Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Reticulofenestra sp.,Pontosphaera enormis,Helicosphaera intermedia,Helicosphaera euphratis,Discolithina sp.,Dictyococcites sp.,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coccolithus pelagicus,Reticulofenestra pseudoumbilica,Helicosphaera carteri,Discoaster variabilis,Discoaster intercalaris,Calcidiscus leptoporus,Helicosphaera paleocarteri,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa sp.,Thoracosphaera sp.,Syracosphaera sp.,Emiliania huxleyi,Comment
  SR,                 ,                 ,NN20              ,              ,104, 643,A,  2,H, 4, 125.00,     11.0500,Donnally ,Nannofossils                                 ,C              ,P                 ,                       ,F                   ,                    ,                        ,                       ,                ,F                 ,                           ,                          ,F                    ,                               ,                     ,                     ,                       ,F                     ,                          ,                        ,                    ,F               ,                  ,                 ,                 ,Reworked taxa <10%; from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN16              ,NN19          ,104, 643,A,  2,H, 5, 125.00,     12.5500,Donnally ,Nannofossils                                 ,A              ,M                 ,                       ,A                   ,                    ,                        ,                       ,                ,C                 ,                           ,                          ,C                    ,                               ,                     ,                     ,                       ,R                     ,                          ,R                       ,                    ,A               ,                  ,                 ,                 ,Reworked taxa <10%; from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN16              ,NN19          ,104, 643,A,  3,H, 2,  49.00,     16.7900,Donnally ,Nannofossils                                 ,A              ,M                 ,                       ,A                   ,                    ,                        ,                       ,                ,C                 ,                           ,                          ,F                    ,                               ,R                    ,                     ,                       ,F                     ,                          ,                        ,                    ,A               ,                  ,F                ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN16              ,NN19          ,104, 643,A,  3,H, 4,  49.00,     19.7900,Donnally ,Nannofossils                                 ,C              ,P                 ,                       ,F                   ,                    ,                        ,                       ,R               ,F                 ,                           ,                          ,C                    ,                               ,                     ,                     ,                       ,R                     ,                          ,                        ,                    ,                ,                  ,                 ,                 ,Reworked taxa =  80%; from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN16              ,NN19          ,104, 643,A,  3,H, 6,  49.00,     22.7900,Donnally ,Nannofossils                                 ,A              ,M                 ,                       ,A                   ,                    ,                        ,                       ,R               ,C                 ,                           ,                          ,                     ,                               ,                     ,                     ,                       ,C                     ,                          ,                        ,                    ,A               ,                  ,                 ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN16              ,NN19          ,104, 643,A,  4,H, 2, 123.00,     27.0300,Donnally ,Nannofossils                                 ,C              ,P                 ,                       ,F                   ,                    ,                        ,                       ,R               ,                  ,                           ,                          ,R                    ,                               ,                     ,                     ,                       ,F                     ,                          ,F                       ,                    ,                ,R                 ,                 ,                 ,Reworked taxa =  50%; from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN16              ,NN19          ,104, 643,A,  7,H, 3,  49.00,     56.2900,Donnally ,Nannofossils                                 ,A              ,M                 ,                       ,A                   ,                    ,                        ,                       ,                ,A                 ,                           ,                          ,A                    ,                               ,                     ,R                    ,R                      ,F                     ,                          ,F                       ,R                   ,F               ,                  ,                 ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN16              ,NN19          ,104, 643,A,  7,H, 5, 126.00,     60.0600,Donnally ,Nannofossils                                 ,A              ,M                 ,                       ,A                   ,                    ,                        ,                       ,                ,A                 ,                           ,                          ,C                    ,                               ,                     ,                     ,                       ,C                     ,                          ,F                       ,                    ,                ,                  ,                 ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN16              ,NN19          ,104, 643,A,  9,H, 1, 125.00,     73.0500,Donnally ,Nannofossils                                 ,C              ,P                 ,                       ,C                   ,                    ,                        ,                       ,                ,C                 ,                           ,                          ,C                    ,                               ,                     ,                     ,                       ,                      ,                          ,                        ,                    ,                ,                  ,                 ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN7               ,NN15          ,104, 643,A,  9,H, 2, 125.00,     74.5500,Donnally ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                    ,                        ,                       ,C               ,A                 ,                           ,                          ,A                    ,R                              ,                     ,                     ,                       ,                      ,R                         ,                        ,                    ,                ,                  ,                 ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN7               ,NN15          ,104, 643,A, 10,H, 1,  49.00,     81.7900,Donnally ,Nannofossils                                 ,A              ,P                 ,R                      ,F                   ,                    ,                        ,                       ,                ,C                 ,                           ,                          ,C                    ,F                              ,                     ,                     ,                       ,                      ,                          ,                        ,                    ,                ,                  ,                 ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN7               ,NN15          ,104, 643,A, 10,H, 4,  49.00,     86.2900,Donnally ,Nannofossils                                 ,A              ,P                 ,F                      ,C                   ,                    ,                        ,                       ,                ,C                 ,                           ,                          ,A                    ,F                              ,R                    ,                     ,                       ,                      ,R                         ,                        ,                    ,                ,                  ,                 ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN7               ,NN15          ,104, 643,A, 11,H, 6,  50.00,     98.8000,Donnally ,Nannofossils                                 ,A              ,P                 ,                       ,A                   ,                    ,                        ,                       ,                ,A                 ,                           ,                          ,A                    ,C                              ,R                    ,R                    ,R                      ,R                     ,                          ,                        ,                    ,                ,                  ,                 ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN1               ,NN6           ,104, 643,A, 43,X,CC,   5.00,    400.4500,Donnally ,Nannofossils                                 ,A              ,P                 ,                       ,F                   ,                    ,                        ,                       ,                ,                  ,C                          ,F                         ,A                    ,                               ,                     ,                     ,                       ,                      ,                          ,                        ,                    ,                ,                  ,                 ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP25              ,              ,104, 643,A, 43,X,CC,  38.00,    400.7800,Donnally ,Nannofossils                                 ,A              ,P                 ,F                      ,F                   ,R                   ,R                       ,R                      ,F               ,R                 ,C                          ,R                         ,A                    ,                               ,                     ,                     ,                       ,                      ,                          ,                        ,                    ,                ,                  ,                 ,                 ,from ODP 104 SR Chapter 26  Tables 5&6  p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
