Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thoracosphaera spp.,Cyclicargolithus floridanus,Sphenolithus heteromorphus,Sphenolithus abies,Reticulofenestra pseudoumbilica,Discoaster variabilis,Discoaster surculus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster brouweri,Coccolithus pelagicus,Calcidiscus leptoporus,Amaurolithus delicatus,Sphenolithus moriformis,Reticulofenestra umbilica,Reticulofenestra bisecta,Pontosphaera spp.,Helicosphaera reticulata,Discoaster saipanensis,Discoaster barbadiensis,Cribrocentrum reticulatum,Coccolithus formosus,Coccolithus eopelagicus,Chiasmolithus titus,Chiasmolithus grandis,Braarudosphaera spp.,Sphenolithus pseudoradians,Sphenolithus predistentus,Helicosphaera compacta,Chiasmolithus solitus,Zygrhablithus bijugatus,Discoaster tanii,Campylosphaera dela,Discoaster deflandrei,Discoaster triradiatus,Discoaster tamalis,Discoaster asymmetricus,Crenalithus doronicoides,Ceratolithus rugosus,Ceratolithus cristatus,Calcidiscus macintyrei,Pseudoemiliania lacunosa,Rhabdosphaera clavigera,Helicosphaera carteri,Pontosphaera japonica,Helicosphaera sellii,Umbilicosphaera sibogae,Scyphosphaera spp.,Scapholithus fossilis,Cyclicargolithus abisectus,Gephyrocapsids (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 674,A,  1,H,CC,  17.00,      6.0500,Clark    ,Nannofossils                                 ,F              ,P                 ,F                  ,rR                         ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,                     ,A                     ,                      ,                       ,                         ,                        ,F                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,F                       ,                    ,R                     ,                      ,C                       ,                       ,                     ,                     ,                    ,                       ,R                 ,                     ,                          ,                      ,C                    ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 674,A,  2,H, 1,  86.00,      6.9600,Clark    ,Nannofossils                                 ,C              ,G                 ,C                  ,rR                         ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,                     ,A                     ,                      ,                       ,rR                       ,                        ,R                ,                        ,                      ,                       ,                         ,                    ,rR                     ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,C                       ,                    ,F                     ,                      ,A                       ,A                      ,C                    ,                     ,                    ,F                      ,A                 ,                     ,                          ,A                     ,A                    ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 674,A,  2,H, 2,  86.00,      8.4600,Clark    ,Nannofossils                                 ,C              ,G                 ,C                  ,rR                         ,                          ,rR                ,                               ,                     ,                   ,                       ,                        ,                   ,F                    ,C                     ,                      ,                       ,                         ,                        ,C                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,F                       ,                    ,F                     ,                      ,A                       ,A                      ,F                    ,F                    ,                    ,C                      ,C                 ,F                    ,                          ,A                     ,A                    ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 674,A,  2,H,CC,  17.00,     15.3700,Clark    ,Nannofossils                                 ,F              ,P                 ,F                  ,                           ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,                     ,R                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,C                       ,                    ,                      ,                      ,C                       ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,C                     ,C                    ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,110, 674,A,  5,X, 1,  99.00,     35.5900,Clark    ,Nannofossils                                 ,F              ,P                 ,                   ,                           ,                          ,                  ,                               ,                     ,                   ,                       ,rF                      ,                   ,                     ,                      ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,C                       ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,R                 ,                     ,                          ,                      ,C                    ,                         ,indeterminate age and zone. from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,C.macintyrei (Gart.),              ,110, 674,A,  5,X, 4,  99.00,     40.0900,Clark    ,Nannofossils                                 ,C              ,G                 ,C                  ,                           ,                          ,                  ,                               ,                     ,rR                 ,                       ,rF                      ,rF                 ,                     ,C                     ,                      ,                       ,                         ,                        ,C                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,C                       ,                    ,F                     ,R                     ,A                       ,A                      ,F                    ,F                    ,R                   ,C                      ,C                 ,F                    ,                          ,V                     ,A                    ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,C.macintyrei (Gart.),              ,110, 674,A,  5,X,CC,  27.00,     41.0700,Clark    ,Nannofossils                                 ,C              ,G                 ,C                  ,rR                         ,                          ,                  ,                               ,rR                   ,                   ,                       ,rF                      ,rR                 ,R                    ,C                     ,                      ,                       ,                         ,                        ,C                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,C                       ,                    ,F                     ,F                     ,A                       ,A                      ,F                    ,F                    ,R                   ,C                      ,C                 ,R                    ,                          ,V                     ,V                    ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,C.macintyrei (Gart.),              ,110, 674,A,  6,X, 1,  80.00,     44.9000,Clark    ,Nannofossils                                 ,C              ,M                 ,C                  ,                           ,                          ,rR                ,                               ,                     ,rR                 ,                       ,                        ,rR                 ,                     ,C                     ,                      ,                       ,                         ,                        ,C                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,C                       ,                    ,F                     ,F                     ,A                       ,C                      ,F                    ,R                    ,R                   ,F                      ,F                 ,R                    ,                          ,A                     ,C                    ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,C.macintyrei (Gart.),              ,110, 674,A,  6,X, 2,  80.00,     46.4000,Clark    ,Nannofossils                                 ,A              ,G                 ,C                  ,                           ,                          ,                  ,                               ,rR                   ,                   ,                       ,rR                      ,                   ,R                    ,A                     ,                      ,                       ,                         ,                        ,C                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,C                       ,                    ,F                     ,C                     ,A                       ,A                      ,C                    ,F                    ,F                   ,C                      ,A                 ,R                    ,                          ,A                     ,C                    ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,110, 674,A,  6,X, 3,  80.00,     47.9000,Clark    ,Nannofossils                                 ,C              ,M                 ,C                  ,                           ,                          ,                  ,                               ,rR                   ,rF                 ,                       ,                        ,R                  ,R                    ,C                     ,                      ,                       ,                         ,                        ,F                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,A                       ,                    ,F                     ,C                     ,A                       ,A                      ,C                    ,                     ,F                   ,C                      ,C                 ,R                    ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,110, 674,A,  6,X, 4,  50.00,     48.6000,Clark    ,Nannofossils                                 ,C              ,M                 ,C                  ,rR                         ,                          ,rR                ,                               ,                     ,                   ,                       ,rF                      ,C                  ,F                    ,C                     ,                      ,                       ,                         ,                        ,C                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,C                     ,                  ,                       ,A                       ,                    ,F                     ,C                     ,A                       ,A                      ,C                    ,R                    ,F                   ,C                      ,A                 ,                     ,rR                        ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,110, 674,A,  6,X,CC,  18.00,     48.8500,Clark    ,Nannofossils                                 ,A              ,G                 ,C                  ,                           ,                          ,rR                ,                               ,                     ,                   ,                       ,rF                      ,C                  ,F                    ,C                     ,                      ,                       ,                         ,rR                      ,F                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,C                     ,                  ,rR                     ,A                       ,                    ,C                     ,C                     ,A                       ,A                      ,C                    ,                     ,F                   ,C                      ,A                 ,R                    ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,110, 674,A,  7,X, 1,  78.00,     54.3800,Clark    ,Nannofossils                                 ,A              ,G                 ,C                  ,                           ,                          ,                  ,                               ,rR                   ,                   ,                       ,A                       ,A                  ,F                    ,C                     ,                      ,                       ,                         ,                        ,F                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,                  ,                       ,A                       ,                    ,F                     ,C                     ,A                       ,A                      ,C                    ,                     ,F                   ,C                      ,A                 ,R                    ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,110, 674,A,  7,X, 2,  78.00,     55.8800,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                           ,                          ,rR                ,                               ,                     ,F                  ,                       ,A                       ,C                  ,F                    ,A                     ,                      ,                       ,                         ,                        ,F                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,F                      ,A                       ,                    ,F                     ,C                     ,A                       ,A                      ,C                    ,                     ,F                   ,F                      ,C                 ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A,  7,X, 3,  78.00,     57.3800,Clark    ,Nannofossils                                 ,A              ,M                 ,C                  ,                           ,                          ,                  ,                               ,                     ,C                  ,                       ,A                       ,A                  ,F                    ,A                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,F                 ,F                      ,A                       ,                    ,F                     ,A                     ,A                       ,A                      ,F                    ,                     ,F                   ,                       ,C                 ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A,  7,X, 4,  78.00,     58.8800,Clark    ,Nannofossils                                 ,A              ,G                 ,F                  ,                           ,                          ,                  ,                               ,                     ,C                  ,                       ,A                       ,A                  ,C                    ,C                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,C                 ,F                      ,A                       ,                    ,F                     ,C                     ,A                       ,A                      ,F                    ,                     ,                    ,                       ,C                 ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A,  7,X,CC,  27.00,     59.2800,Clark    ,Nannofossils                                 ,C              ,M                 ,                   ,                           ,                          ,                  ,                               ,R                    ,C                  ,                       ,A                       ,A                  ,C                    ,C                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,F                 ,C                      ,A                       ,                    ,F                     ,C                     ,C                       ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,110, 674,A,  8,X, 1,  85.00,     63.9500,Clark    ,Nannofossils                                 ,A              ,G                 ,F                  ,                           ,                          ,                  ,                               ,                     ,                   ,                       ,C                       ,A                  ,C                    ,C                     ,                      ,                       ,                         ,                        ,C                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,                  ,                       ,A                       ,                    ,C                     ,C                     ,A                       ,A                      ,C                    ,R                    ,F                   ,C                      ,A                 ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A, 12,X, 1,  70.00,    101.8000,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                           ,                          ,                  ,                               ,R                    ,C                  ,                       ,C                       ,A                  ,C                    ,C                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,C                 ,C                      ,A                       ,                    ,F                     ,C                     ,A                       ,                       ,R                    ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A, 12,X, 2,  70.00,    103.3000,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                           ,                          ,                  ,                               ,R                    ,C                  ,                       ,C                       ,C                  ,C                    ,C                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,C                 ,C                      ,A                       ,                    ,R                     ,C                     ,A                       ,                       ,F                    ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A, 12,X, 3,  70.00,    104.8000,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                           ,                          ,rR                ,                               ,                     ,F                  ,                       ,C                       ,C                  ,C                    ,C                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,C                 ,C                      ,A                       ,                    ,F                     ,C                     ,A                       ,R                      ,F                    ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A, 12,X, 4,  70.00,    106.3000,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                           ,                          ,                  ,                               ,R                    ,C                  ,                       ,C                       ,C                  ,C                    ,C                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,C                 ,C                      ,A                       ,                    ,F                     ,C                     ,A                       ,F                      ,F                    ,R                    ,R                   ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A, 12,X,CC,  16.00,    107.2600,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                           ,                          ,                  ,                               ,F                    ,C                  ,                       ,C                       ,C                  ,C                    ,C                     ,                      ,                       ,                         ,                        ,R                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,C                 ,C                      ,A                       ,                    ,F                     ,C                     ,A                       ,C                      ,C                    ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A, 13,X, 1,  80.00,    111.4000,Clark    ,Nannofossils                                 ,C              ,P                 ,                   ,                           ,                          ,                  ,                               ,R                    ,C                  ,                       ,C                       ,C                  ,F                    ,F                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,C                 ,C                      ,A                       ,                    ,                      ,C                     ,A                       ,                       ,R                    ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A, 13,X, 2,  80.00,    112.9000,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                           ,                          ,                  ,                               ,F                    ,C                  ,                       ,C                       ,C                  ,F                    ,C                     ,                      ,                       ,                         ,                        ,R                ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,C                 ,C                      ,A                       ,                    ,C                     ,C                     ,A                       ,R                      ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A, 13,X, 3,  80.00,    114.4000,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                           ,                          ,                  ,                               ,F                    ,C                  ,                       ,C                       ,C                  ,F                    ,C                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,F                 ,C                      ,C                       ,                    ,F                     ,C                     ,C                       ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
