Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tympanomma binoctonum	Stichocorys sp.	Liriospyris parkerae	Eucyrtidium teuscheri group	Eucyrtidium cienkowskii	Didymocyrtis mammifera	Didymocyrtis laticonus	Cyrtocapsella tetrapera	Cyrtocapsella cornuta	Calocycletta virginis	Calocycletta robusta	Acrosphaera trepanata	Stichocorys wolffii	Dictyophimus splendens	Botryostrobus miralestensis	Anthocyrtidium ehrenbergi	Stylosphaera angelina	Phormostichoartus fistula	Didymocyrtis bassanii	Dendrospyris stabilis	Stichocorys delmontensis	Calocycletta costata	Stichocorys radicula	Siphostichartus corona	Circodiscus ellipticus	Botryostrobus auritus/australis	Lamprocyrtis daniellae	Collosphaera polygona	Calocycletta caepa	Stylatractus universus	Spongodiscus osculosus	Prunopyle hayesi	Eucyrtidium punctatum	Didymocyrtis antepenultima	Diartus petterssoni	Siphocampe modeloensis	Acrosphaera murrayana	Larcospira moschkovskii	Lamprocyclas hannai	Cyrtocapsella elongata	Botryostrobus bramlettei tumidulus	Botryostrobus bramlettei bramlettei	Acrosphaera cyrtodon	Tholospyris capoi	Stichocorys peregrina	Siphocampe crustula	Pseudocubus warreni	Phorticium clevei	Phormostichoartus pitomorphus	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Eucyrtidium teuscheri orthoporus	Eucyrtidium infundibulum	Eucyrtidium calvertense	Didymocyrtis penultima	Anthocyrtidium ophirense	Anthocyrtidium nosicaae	Anthocyrtidium jenghisi	Amphirhopalum ypsilon	Theocorythium trachelium	Lamprocyclas maritalis	Eucyrtidium teuscheri teuscheri	Diartus hughesi	Anthocyrtidium zanguebaricum	Theocorythium vetulum	Pterocanium korotnevi	Eucyrtidium indiensis	Stichopilium bicorne	Prunopyle antarctica	Cycladophora davisiana	Acrosphaera pseudarktios	Siphocampe caryoforma	Didymocyrtis tetrathalamus	Lamprocyrtis nigriniae	Acrosphaera sp.	Eucyrtidium dufresni	Pterocorys minythorax	Anthocyrtidium angulare	Octopyle stenozona	Pterocorys hertwigii	Eucyrtidium anomalum	Dictyophimus infabricatus	Collosphaera orthoconus	Rhizosphaera antarctica	Plectacantha cremastoplegma	Pterocanium grandiporus	Collosphaera tuberosa	Spongaster tetras	Amphirhopalum virchowi	Comment

  SR	Pleistocene      	                 	                  	NR2           	112	 683	A	  5	H	CC	  25.00	     35.5700	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	                     	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	                 	                     	P                  	P                  	P                	                             	                           	                        	                                	P                       	P                      	                      	P                       	                       	                       	P                    	                        	P                     	                               	               	                            	                     	P                    	                     	P                   	P                   	P                     	                        	                     	                          	P                     	               	P                   	P                    	                       	                  	                    	                    	P                        	P                      	P                      	P                          	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	  6	H	CC	  37.00	     50.7200	De Wever 	Radiolarians                                 	A              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	P                	                             	                           	                        	                                	P                       	P                      	                      	P                       	                       	                       	P                    	                        	P                     	P                              	               	P                           	                     	P                    	P                    	P                   	P                   	P                     	                        	                     	P                         	P                     	               	P                   	P                    	                       	P                 	                    	                    	P                        	                       	P                      	P                          	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	  7	H	CC	  14.00	     59.3500	De Wever 	Radiolarians                                 	A              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	                     	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	P                	                             	                           	                        	                                	                        	                       	                      	P                       	?                      	                       	P                    	                        	P                     	P                              	               	P                           	                     	P                    	                     	P                   	                    	P                     	                        	                     	P                         	P                     	               	                    	P                    	                       	P                 	P                   	P                   	P                        	P                      	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	  8	H	CC	  29.00	     69.4100	De Wever 	Radiolarians                                 	A              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	P                	P                            	                           	                        	                                	                        	                       	                      	P                       	P                      	                       	                     	                        	P                     	P                              	               	P                           	                     	P                    	                     	P                   	                    	P                     	                        	P                    	                          	P                     	               	P                   	P                    	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	  9	H	CC	  13.00	     77.1400	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	                     	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	P                	P                            	                           	                        	                                	                        	                       	                      	                        	P                      	                       	                     	                        	P                     	P                              	               	P                           	                     	P                    	                     	P                   	P                   	P                     	P                       	                     	                          	P                     	P              	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	 10	X	CC	  15.00	     79.8900	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	                     	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	                 	P                            	P                          	                        	P                               	                        	P                      	                      	P                       	P                      	                       	                     	                        	P                     	P                              	               	                            	                     	P                    	P                    	P                   	P                   	P                     	P                       	                     	                          	P                     	               	                    	                     	                       	P                 	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	 11	X	 1	 113.00	     88.8300	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	                 	P                            	P                          	                        	                                	P                       	P                      	                      	P                       	P                      	                       	                     	                        	P                     	P                              	               	                            	                     	P                    	                     	P                   	                    	P                     	                        	                     	P                         	P                     	               	                    	                     	P                      	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	 12	X	CC	  11.00	    106.6200	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	                     	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	P                	P                            	P                          	                        	P                               	P                       	P                      	                      	P                       	P                      	                       	                     	                        	P                     	P                              	               	P                           	                     	P                    	                     	P                   	P                   	P                     	                        	                     	P                         	P                     	               	                    	P                    	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	 13	X	CC	   9.00	    107.6500	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	                     	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	                 	                     	P                  	P                  	P                	P                            	P                          	                        	P                               	P                       	P                      	                      	P                       	P                      	                       	                     	                        	P                     	P                              	               	P                           	                     	P                    	                     	                    	P                   	P                     	                        	                     	P                         	P                     	               	P                   	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	 14	X	CC	  11.00	    117.3900	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	                     	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	P                	                     	P                  	                   	                 	P                            	P                          	P                       	P                               	P                       	                       	                      	                        	P                      	                       	                     	                        	P                     	P                              	               	                            	                     	P                    	P                    	                    	P                   	P                     	P                       	                     	P                         	P                     	               	P                   	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	 15	X	CC	  14.00	    134.9700	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	                 	P                            	P                          	                        	P                               	P                       	                       	                      	                        	P                      	                       	                     	                        	P                     	P                              	               	P                           	                     	                     	P                    	                    	P                   	P                     	                        	                     	                          	P                     	               	P                   	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	 16	X	 2	  40.00	    137.1000	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	                     	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	                 	P                            	P                          	                        	                                	P                       	P                      	                      	P                       	P                      	                       	                     	                        	P                     	P                              	               	P                           	                     	                     	P                    	P                   	P                   	P                     	                        	                     	                          	P                     	P              	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Pleistocene      	                 	NR7               	NR3-NR4       	112	 683	A	 17	X	CC	  15.00	    145.8200	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	                   	                   	                 	P                            	P                          	                        	P                               	P                       	P                      	                      	                        	P                      	                       	P                    	                        	P                     	P                              	               	P                           	P                    	P                    	P                    	P                   	P                   	P                     	                        	                     	P                         	P                     	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Early Pliocene   	                 	NR7               	NR3-NR4       	112	 683	A	 19	X	CC	  25.00	    164.7000	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	P                  	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	                 	P                            	P                          	                        	P                               	P                       	P                      	                      	P                       	P                      	                       	                     	P                       	P                     	P                              	               	P                           	P                    	P                    	P                    	                    	                    	P                     	P                       	                     	P                         	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Early Pliocene   	                 	NR7               	NR3-NR4       	112	 683	A	 20	X	CC	  15.00	    173.8000	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	                    	P                	                     	P                  	P                  	                 	P                            	P                          	                        	P                               	                        	P                      	                      	                        	P                      	                       	                     	P                       	P                     	P                              	               	                            	                     	P                    	P                    	                    	P                   	P                     	                        	P                    	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Early Pliocene   	                 	NR7               	NR3-NR4       	112	 683	A	 21	X	CC	  17.00	    185.4800	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	                     	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	P                   	P                	                     	P                  	P                  	                 	P                            	P                          	P                       	P                               	                        	P                      	                      	P                       	P                      	                       	                     	P                       	P                     	P                              	               	P                           	                     	                     	                     	P                   	P                   	P                     	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Early Pliocene   	                 	NR7               	NR3-NR4       	112	 683	A	 22	X	CC	  18.00	    192.9900	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	P                                 	                                   	P                   	P                	                     	P                  	P                  	P                	P                            	P                          	                        	P                               	P                       	P                      	                      	P                       	P                      	                       	P                    	P                       	P                     	P                              	               	                            	                     	P                    	P                    	P                   	P                   	P                     	P                       	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Early Pliocene   	                 	NR9               	NR8           	112	 683	A	 23	X	CC	  23.00	    203.1600	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	P                        	                     	                     	                        	                    	                    	                      	                      	P                              	                      	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	P                  	                      	P                                 	                                   	P                   	P                	P                    	P                  	P                  	                 	P                            	P                          	P                       	P                               	P                       	P                      	                      	P                       	P                      	                       	                     	P                       	P                     	P                              	               	P                           	P                    	P                    	P                    	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Early Pliocene   	                 	NR9               	NR8           	112	 683	A	 24	X	CC	   8.00	    212.0700	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	P                          	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	P                        	                     	                     	                        	                    	                    	                      	                      	P                              	P                     	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	P                  	                      	                                  	                                   	P                   	P                	P                    	P                  	P                  	                 	P                            	P                          	P                       	P                               	P                       	P                      	                      	P                       	P                      	                       	P                    	P                       	P                     	P                              	P              	P                           	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Early Pliocene   	                 	NR9               	NR8           	112	 683	A	 25	X	CC	  20.00	    228.5300	De Wever 	Radiolarians                                 	C              	G                 	                     	               	                    	P                          	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	P                        	                     	                     	                        	                    	                    	                      	                      	P                              	P                     	                     	                  	P                     	                      	                	                     	                          	                   	                      	                     	                       	P                  	                      	P                                 	                                   	P                   	P                	P                    	P                  	P                  	P                	P                            	P                          	P                       	P                               	P                       	P                      	P                     	P                       	P                      	P                      	P                    	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 683	A	 26	X	CC	   9.00	    230.8000	De Wever 	Radiolarians                                 	F              	M                 	                     	               	                    	P                          	P                      	                      	P                     	                       	                     	                     	                    	P                    	                   	P                     	P                          	P                        	                     	P                        	                     	                     	P                       	                    	P                   	                      	                      	                               	                      	P                    	                  	P                     	                      	P               	                     	P                         	P                  	P                     	                     	P                      	P                  	P                     	P                                 	P                                  	P                   	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 683	A	 27	X	CC	  15.00	    241.1800	De Wever 	Radiolarians                                 	F              	M                 	                     	P              	                    	P                          	P                      	                      	                      	                       	                     	                     	                    	P                    	P                  	P                     	P                          	P                        	                     	                         	                     	P                    	                        	                    	P                   	P                     	                      	                               	                      	P                    	                  	P                     	                      	                	                     	                          	P                  	P                     	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 683	A	 28	X	CC	  19.00	    252.2600	De Wever 	Radiolarians                                 	C              	M                 	                     	P              	                    	                           	P                      	                      	P                     	P                      	                     	                     	                    	                     	P                  	                      	                           	                         	P                    	P                        	                     	P                    	P                       	                    	                    	                      	                      	                               	                      	P                    	                  	                      	                      	                	                     	P                         	                   	P                     	P                    	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 683	A	 29	X	CC	  14.00	    260.1400	De Wever 	Radiolarians                                 	C              	G                 	                     	P              	                    	                           	P                      	                      	                      	                       	                     	                     	                    	P                    	                   	P                     	                           	                         	                     	                         	                     	                     	P                       	                    	P                   	                      	                      	                               	                      	                     	                  	P                     	P                     	P               	P                    	P                         	P                  	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	112	 683	A	 30	X	CC	  23.00	    270.7200	De Wever 	Radiolarians                                 	C              	M                 	                     	P              	                    	                           	P                      	                      	P                     	P                      	                     	?                    	                    	P                    	P                  	P                     	                           	                         	P                    	P                        	                     	P                    	P                       	                    	P                   	                      	                      	                               	P                     	P                    	P                 	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

