Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies/neoabies	Reticulofenestra spp. small	Reticulofenestra pseudoumbilica	Helicosphaera kamptneri	Discoaster variabilis	Discoaster surculus	Discoaster brouweri	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster tamalis	Discoaster pentaradiatus	Discoaster asymmetricus	Coccolithus pelagicus	Pontosphaera japonica	Ceratolithus rugosus	Cyclolithella rotula	Crenalithus doronicoides	Rhabdosphaera clavigera	Helicosphaera sellii	Pseudoemiliania lacunosa	Syracosphaera histrica	Discoaster triradiatus	Oolithotus antillarum	Gephyrocapsa spp.	Syracosphaera pulchra	Gephyrocapsa caribbeanica	Ceratolithus telesmus	Pontosphaera syracusana	Gephyrocapsa oceanica	Scyphosphaera pulcherrima	Rhabdosphaera stylifera	Umbilicosphaera mirabilis	Umbilicosphaera sibogae	Emiliania huxleyi	Thoracosphaera sp.	Comment
  SR	Pleistocene      	                 	CN14b             	CN15          	108	 658	A	  6	H	CC	  18.00	     53.4500	Manivit  	Nannofossils                                 	A              	G                 	                           	                           	                               	F                      	                     	                   	                   	                      	F                     	                  	                        	                       	F                    	R                    	                    	                    	C                       	                       	                    	                        	                      	                      	                     	A                	                     	A                        	                     	F                      	A                    	R                        	R                      	R                        	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN14b             	              	108	 658	A	  7	H	CC	  18.00	     59.7600	Manivit  	Nannofossils                                 	A              	G                 	                           	                           	                               	F                      	                     	                   	                   	                      	F                     	                  	                        	                       	F                    	F                    	                    	                    	C                       	                       	                    	                        	R                     	                      	                     	A                	                     	A                        	                     	                       	A                    	                         	R                      	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN14a             	CN14b         	108	 658	A	  8	H	 4	  29.00	     67.4900	Manivit  	Nannofossils                                 	A              	G                 	                           	                           	                               	F                      	                     	                   	                   	                      	F                     	                  	                        	                       	F                    	                     	                    	                    	C                       	R                      	                    	                        	                      	                      	                     	A                	                     	A                        	                     	R                      	A                    	                         	F                      	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN14a             	CN14b         	108	 658	A	  8	H	 5	  29.00	     68.9900	Manivit  	Nannofossils                                 	A              	G                 	                           	                           	                               	F                      	                     	                   	                   	                      	F                     	                  	                        	                       	R                    	F                    	                    	                    	F                       	R                      	                    	R                       	R                     	                      	                     	A                	R                    	C                        	                     	                       	A                    	R                        	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN14a             	              	108	 658	A	  8	H	CC	  11.00	     71.4800	Manivit  	Nannofossils                                 	A              	G                 	                           	                           	                               	F                      	                     	                   	                   	                      	F                     	                  	                        	                       	F                    	R                    	                    	                    	R                       	R                      	                    	R                       	F                     	                      	F                    	A                	F                    	C                        	R                    	R                      	C                    	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN13b             	CN14a         	108	 658	A	  9	H	CC	  13.00	     81.4600	Manivit  	Nannofossils                                 	A              	G                 	                           	                           	                               	F                      	                     	                   	                   	                      	F                     	                  	                        	                       	R                    	F                    	                    	                    	F                       	F                      	                    	F                       	R                     	                      	                     	A                	F                    	C                        	                     	R                      	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN13b             	CN14a         	108	 658	A	 10	H	CC	  14.00	     90.2000	Manivit  	Nannofossils                                 	A              	G                 	                           	                           	                               	F                      	                     	                   	                   	                      	F                     	                  	                        	                       	R                    	                     	                    	                    	C                       	                       	                    	F                       	                      	                      	R                    	A                	                     	C                        	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN13b             	CN14a         	108	 658	A	 11	H	 5	 150.00	     97.9500	Manivit  	Nannofossils                                 	C              	M                 	                           	                           	                               	F                      	                     	                   	                   	                      	F                     	                  	                        	                       	R                    	F                    	                    	                    	C                       	R                      	                    	F                       	F                     	                      	                     	A                	R                    	C                        	                     	R                      	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN13b             	              	108	 658	A	 11	H	 6	  34.00	     98.2900	Manivit  	Nannofossils                                 	C              	M                 	                           	                           	                               	F                      	                     	                   	                   	                      	F                     	                  	                        	                       	R                    	                     	                    	                    	C                       	                       	                    	F                       	                      	                      	F                    	A                	F                    	C                        	R                    	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN13a             	CN13b         	108	 658	A	 11	H	 6	  65.00	     98.6000	Manivit  	Nannofossils                                 	C              	M                 	                           	                           	                               	F                      	                     	                   	                   	R                     	R                     	                  	                        	                       	R                    	R                    	                    	                    	F                       	R                      	R                   	F                       	R                     	                      	R                    	A                	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN13a             	CN13b         	108	 658	A	 11	H	CC	  33.00	    102.0600	Manivit  	Nannofossils                                 	C              	P                 	                           	                           	                               	F                      	                     	                   	                   	R                     	R                     	                  	                        	                       	R                    	                     	                    	                    	C                       	                       	R                   	F                       	                      	                      	                     	A                	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN13a             	CN13b         	108	 658	A	 12	H	CC	  20.00	    111.8200	Manivit  	Nannofossils                                 	F              	P                 	                           	                           	                               	R                      	                     	                   	                   	R                     	R                     	                  	                        	                       	R                    	R                    	                    	                    	R                       	                       	R                   	F                       	R                     	                      	F                    	C                	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN13a             	              	108	 658	A	 13	H	CC	  20.00	    121.3300	Manivit  	Nannofossils                                 	C              	P                 	                           	                           	                               	R                      	                     	                   	                   	R                     	F                     	                  	                        	                       	F                    	R                    	                    	                    	C                       	                       	R                   	F                       	                      	                      	R                    	C                	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Pleistocene      	                 	CN12d             	CN13a         	108	 658	A	 14	H	 3	 145.00	    124.0200	Manivit  	Nannofossils                                 	C              	M                 	                           	                           	                               	R                      	                     	                   	                   	R                     	F                     	                  	                        	                       	R                    	                     	                    	                    	F                       	R                      	R                   	F                       	R                     	                      	                     	C                	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12d             	CN13a         	108	 658	A	 14	H	 5	 145.00	    127.0200	Manivit  	Nannofossils                                 	C              	M                 	                           	                           	                               	R                      	                     	                   	R                  	R                     	F                     	                  	                        	                       	F                    	F                    	                    	                    	R                       	                       	R                   	F                       	                      	R                     	F                    	C                	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12d             	CN13a         	108	 658	A	 14	H	 7	 145.00	    130.0200	Manivit  	Nannofossils                                 	C              	M                 	                           	                           	                               	R                      	                     	                   	F                  	R                     	R                     	                  	                        	                       	R                    	                     	                    	                    	R                       	R                      	R                   	F                       	R                     	F                     	                     	F                	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12d             	CN13a         	108	 658	A	 14	H	CC	  39.00	    131.3600	Manivit  	Nannofossils                                 	C              	P                 	                           	                           	                               	R                      	                     	                   	F                  	R                     	R                     	                  	                        	                       	R                    	R                    	                    	                    	F                       	                       	R                   	F                       	                      	F                     	R                    	C                	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12d             	              	108	 658	A	 15	H	 5	 145.00	    136.1100	Manivit  	Nannofossils                                 	A              	P                 	                           	C                          	                               	F                      	                     	                   	F                  	R                     	R                     	                  	                        	                       	F                    	                     	                    	                    	C                       	                       	F                   	R                       	                      	R                     	                     	C                	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12c             	CN12d         	108	 658	A	 16	H	CC	  14.00	    148.6500	Manivit  	Nannofossils                                 	A              	P                 	                           	C                          	                               	R                      	                     	                   	F                  	F                     	R                     	                  	                        	                       	F                    	                     	                    	                    	C                       	R                      	R                   	R                       	R                     	R                     	F                    	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12c             	CN12d         	108	 658	A	 17	H	 5	 144.00	    155.6400	Manivit  	Nannofossils                                 	C              	M                 	                           	A                          	                               	F                      	                     	                   	F                  	F                     	F                     	                  	                        	                       	F                    	                     	                    	                    	F                       	                       	F                   	R                       	                      	F                     	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12c             	CN12d         	108	 658	A	 17	H	 6	  71.00	    156.4100	Manivit  	Nannofossils                                 	C              	M                 	                           	A                          	                               	F                      	                     	                   	F                  	C                     	F                     	                  	                        	                       	F                    	R                    	                    	                    	F                       	R                      	R                   	R                       	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12c             	CN12d         	108	 658	A	 17	H	CC	  22.00	    156.6500	Manivit  	Nannofossils                                 	C              	M                 	                           	A                          	                               	F                      	                     	                   	F                  	C                     	F                     	                  	R                       	                       	C                    	                     	R                   	R                   	F                       	                       	F                   	R                       	R                     	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12c             	              	108	 658	A	 18	H	 1	  19.00	    157.8900	Manivit  	Nannofossils                                 	A              	M                 	                           	C                          	                               	R                      	                     	                   	R                  	F                     	R                     	                  	R                       	                       	C                    	                     	                    	                    	F                       	                       	R                   	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12b             	CN12c         	108	 658	A	 19	X	 7	 149.00	    168.3900	Manivit  	Nannofossils                                 	C              	P                 	                           	C                          	                               	F                      	                     	F                  	R                  	F                     	R                     	                  	F                       	                       	C                    	R                    	R                   	                    	F                       	R                      	F                   	R                       	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12b             	CN12c         	108	 658	A	 20	X	CC	 145.00	    182.4900	Manivit  	Nannofossils                                 	A              	P                 	                           	A                          	                               	F                      	                     	R                  	F                  	R                     	F                     	                  	F                       	                       	C                    	                     	                    	                    	F                       	                       	F                   	                        	R                     	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12b             	              	108	 658	A	 21	X	CC	  19.00	    188.5200	Manivit  	Nannofossils                                 	C              	P                 	                           	F                          	                               	F                      	                     	F                  	R                  	R                     	F                     	                  	R                       	                       	C                    	R                    	                    	R                   	C                       	                       	R                   	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12a             	CN12b         	108	 658	A	 22	X	 1	 106.00	    187.4600	Manivit  	Nannofossils                                 	C              	P                 	                           	C                          	                               	F                      	                     	F                  	R                  	F                     	F                     	R                 	R                       	                       	C                    	                     	                    	                    	C                       	R                      	R                   	R                       	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12a             	CN12b         	108	 658	A	 22	X	CC	  29.00	    197.1900	Manivit  	Nannofossils                                 	C              	P                 	                           	C                          	                               	F                      	                     	C                  	R                  	F                     	F                     	R                 	R                       	                       	C                    	R                    	                    	                    	C                       	                       	R                   	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12a             	CN12b         	108	 658	A	 23	X	CC	  22.00	    207.5800	Manivit  	Nannofossils                                 	A              	P                 	                           	A                          	                               	R                      	                     	C                  	R                  	F                     	R                     	R                 	R                       	                       	C                    	                     	R                   	                    	C                       	                       	R                   	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12a             	CN12b         	108	 658	A	 24	X	CC	  22.00	    216.0400	Manivit  	Nannofossils                                 	A              	M                 	                           	C                          	                               	R                      	                     	F                  	F                  	F                     	R                     	R                 	R                       	R                      	C                    	R                    	                    	R                   	C                       	R                      	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12a             	CN12b         	108	 658	A	 25	X	CC	  24.00	    224.7300	Manivit  	Nannofossils                                 	A              	P                 	                           	C                          	                               	R                      	                     	F                  	F                  	F                     	R                     	R                 	R                       	                       	C                    	                     	                    	                    	C                       	                       	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12a             	CN12b         	108	 658	A	 26	X	 6	 140.00	    232.5000	Manivit  	Nannofossils                                 	A              	P                 	                           	C                          	                               	R                      	                     	R                  	F                  	F                     	F                     	R                 	F                       	R                      	F                    	                     	                    	                    	F                       	                       	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12a             	CN12b         	108	 658	A	 27	X	CC	  24.00	    243.5200	Manivit  	Nannofossils                                 	A              	P                 	                           	C                          	                               	R                      	                     	R                  	F                  	F                     	F                     	R                 	F                       	F                      	F                    	R                    	R                   	                    	C                       	                       	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN12a             	              	108	 658	A	 28	X	CC	  55.00	    253.5400	Manivit  	Nannofossils                                 	A              	P                 	                           	C                          	                               	R                      	                     	R                  	R                  	F                     	F                     	R                 	C                       	F                      	F                    	                     	                    	                    	C                       	                       	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN11b             	CN12a         	108	 658	A	 29	X	CC	  24.00	    262.9800	Manivit  	Nannofossils                                 	A              	P                 	                           	C                          	                               	R                      	R                    	R                  	R                  	F                     	R                     	R                 	C                       	R                      	F                    	                     	                    	R                   	C                       	                       	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN11b             	CN12a         	108	 658	A	 30	X	CC	  15.00	    270.4500	Manivit  	Nannofossils                                 	C              	P                 	                           	C                          	                               	R                      	R                    	R                  	R                  	F                     	R                     	R                 	F                       	F                      	F                    	R                    	R                   	                    	                        	                       	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Late Pliocene    	                 	CN11b             	CN12a         	108	 658	A	 31	X	CC	  23.00	    275.9400	Manivit  	Nannofossils                                 	F              	P                 	                           	C                          	                               	R                      	F                    	R                  	R                  	F                     	R                     	R                 	F                       	R                      	F                    	                     	                    	                    	                        	                       	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Early Pliocene   	                 	CN11b             	CN12a         	108	 658	A	 32	X	CC	  21.00	    282.6500	Manivit  	Nannofossils                                 	F              	P                 	R                          	C                          	R                              	R                      	F                    	F                  	R                  	F                     	F                     	R                 	                        	                       	                     	                     	                    	                    	                        	                       	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

  SR	Early Pliocene   	                 	CN11b             	              	108	 658	A	 33	X	CC	  23.00	    297.2600	Manivit  	Nannofossils                                 	C              	P                 	R                          	C                          	F                              	R                      	F                    	F                  	R                  	C                     	F                     	                  	                        	                       	                     	                     	                    	                    	                        	                       	                    	                        	                      	                      	                     	                 	                     	                         	                     	                       	                     	                         	                       	                         	                       	                 	                  	from ODP Leg 108 SR Chapter 4 Table 4 p 43

