Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria laevigata,Uvigerina senticosa,Uvigerina peregrina,Uvigerina auberiana,Stilostomella spp.,Pyrgo spp.,Pullenia bulloides,Oridorsalis umbonatus,Nuttallides umbonifera,Nonionella atlantica,Nodosaria spp.,Melonis pompilioides,Melonis barleeanus,Lagena spp.,Hoeglundina elegans,Gyroidinoides spp.,Globocassidulina subglobosa,Globobulimina affinis,Gavelinopsis translucens,Fontbotia wuellerstorfi,Epistominella exigua,Elphidium spp.,Eggerella bradyi,Cibicidoides kullenbergi,Chilostomella oolina,Cassidulina crassa,Cassidulina carinata,Bulimina marginata,Bulimina gr. costata,Brizalina subaenariensis,Bolivina pseudopunctata,Bolivina paula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B,  5,H,CC,  19.00,     40.7200,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,                      ,                   ,                   ,                   ,-                 ,-         ,                  ,-                    ,C                     ,F                   ,-             ,-                   ,-                 ,R          ,-                  ,-                 ,R                          ,F                    ,-                       ,T                      ,-                   ,              ,T               ,-                       ,-                   ,R                 ,T                   ,R                 ,-                   ,                        ,-                      ,F             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B,  6,H,CC,  25.00,     50.5000,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,                      ,                   ,                   ,                   ,T                 ,-         ,                  ,-                    ,C                     ,T                   ,-             ,-                   ,-                 ,T          ,-                  ,-                 ,C                          ,R                    ,-                       ,-                      ,-                   ,              ,-               ,-                       ,-                   ,R                 ,-T                  ,F                 ,-                   ,                        ,-                      ,C             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B,  7,H,CC,  25.00,     56.8500,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,                      ,                   ,                   ,                   ,R                 ,-         ,                  ,-                    ,C                     ,F                   ,-             ,-                   ,R                 ,R          ,-                  ,R                 ,C                          ,F                    ,-                       ,-                      ,-                   ,              ,R               ,-                       ,-                   ,R                 ,-                   ,T                 ,-                   ,                        ,-                      ,R             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B,  8,H,CC,  25.00,     66.6900,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,T                     ,-                  ,R                  ,-A                 ,F                 ,R         ,                  ,-                    ,C                     ,F                   ,T             ,-                   ,T                 ,R          ,-                  ,-                 ,R                          ,R                    ,-                       ,-                      ,-                   ,              ,-               ,T                       ,R                   ,T                 ,-                   ,F                 ,T                   ,                        ,R                      ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B,  9,H,CC,  23.00,     76.5400,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,T                     ,-                  ,-                  ,-                  ,T                 ,-         ,                  ,-                    ,A                     ,R                   ,-             ,-                   ,-                 ,T          ,A                  ,-                 ,R                          ,R                    ,T                       ,-                      ,-                   ,              ,-               ,-                       ,-A                  ,R                 ,R                   ,R                 ,-                   ,                        ,-                      ,C             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B, 10,H,CC,  20.00,     85.9100,Poli     ,Benthic Foraminifers                         ,A              ,G                 ,T                     ,-                  ,-                  ,-                  ,F                 ,-         ,-                 ,-                    ,C                     ,T                   ,T             ,-                   ,-                 ,F          ,-                  ,-                 ,F                          ,T                    ,-                       ,-                      ,-                   ,              ,-               ,-                       ,T                   ,-                 ,T                   ,-                 ,-                   ,                        ,F                      ,C             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B, 11,H,CC,  18.00,     95.4800,Poli     ,Benthic Foraminifers                         ,A              ,VG                ,-                     ,-                  ,-                  ,-                  ,-                 ,-         ,-                 ,-                    ,A                     ,T                   ,-             ,-                   ,-                 ,T          ,-                  ,-                 ,F                          ,-                    ,-                       ,-                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                       ,-                      ,C             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1054,B, 12,H,CC,  29.00,    103.1400,Poli     ,Benthic Foraminifers                         ,A              ,G                 ,-                     ,-                  ,-                  ,-                  ,R                 ,-         ,-                 ,-                    ,C                     ,R                   ,R             ,-                   ,-                 ,R          ,-                  ,T                 ,F                          ,T                    ,-                       ,-                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                       ,T                      ,C             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
