Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticuloides,Globorotalia inflata,Globigerinita glutinata,Globigerina bulloides,Neogloboquadrina pachyderma (dextral),Globigerinella calida,Orbulina universa,Globigerina woodi,Globigerina quinqueloba,Globorotalia truncatulinoides,Neogloboquadrina humerosa,Globorotalia scitula,Comment
  IR,                 ,                 ,                  ,              ,177,1089,C,  8,H,CC,   0.00,     70.3400,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,D                                      ,                           ,F                   ,R                      ,A                    ,R                                    ,                     ,R                ,                 ,F                      ,R                            ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C,  9,H,CC,   7.00,     80.1000,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,D                                      ,A                          ,F                   ,F                      ,A                    ,                                     ,                     ,                 ,                 ,F                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 10,H,CC,  18.00,     88.0800,Andersson,Planktonic Foraminifers                      ,R              ,P                 ,                                       ,P                          ,P                   ,                       ,P                    ,                                     ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 11,H,CC,  13.00,     99.1600,Andersson,Planktonic Foraminifers                      ,F              ,P                 ,A                                      ,                           ,F                   ,R                      ,                     ,                                     ,                     ,                 ,R                ,F                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 12,H,CC,  10.00,    107.4300,Andersson,Planktonic Foraminifers                      ,R              ,P                 ,F                                      ,R                          ,                    ,                       ,R                    ,                                     ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 13,H,CC,   0.00,    117.4200,Andersson,Planktonic Foraminifers                      ,R              ,P                 ,F                                      ,R                          ,R                   ,                       ,R                    ,                                     ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 14,H,CC,   9.00,    126.5500,Andersson,Planktonic Foraminifers                      ,R              ,P                 ,P                                      ,P                          ,                    ,                       ,P                    ,                                     ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 15,H,CC,  21.00,    135.7600,Andersson,Planktonic Foraminifers                      ,F              ,P                 ,A                                      ,A                          ,F                   ,R                      ,                     ,                                     ,                     ,R                ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 16,H,CC,  10.00,    146.8000,Andersson,Planktonic Foraminifers                      ,C              ,P                 ,A                                      ,A                          ,F                   ,                       ,D                    ,                                     ,R                    ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 17,H,CC,  11.00,    156.3300,Andersson,Planktonic Foraminifers                      ,C              ,P                 ,                                       ,F                          ,F                   ,                       ,F                    ,                                     ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 18,H,CC,   0.00,    165.5700,Andersson,Planktonic Foraminifers                      ,C              ,P                 ,F                                      ,R                          ,R                   ,                       ,                     ,                                     ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 19,H,CC,  22.00,    169.5600,Andersson,Planktonic Foraminifers                      ,T              ,P                 ,P                                      ,                           ,                    ,                       ,                     ,                                     ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 20,H,CC,  46.00,    184.0100,Andersson,Planktonic Foraminifers                      ,R              ,P                 ,F                                      ,                           ,F                   ,R                      ,F                    ,R                                    ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,C, 21,H,CC,  19.00,    190.8400,Andersson,Planktonic Foraminifers                      ,T              ,P                 ,P                                      ,P                          ,P                   ,P                      ,P                    ,                                     ,                     ,                 ,                 ,                       ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
