Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis ponticula spinosa,Naviculopsis ponticula ponticula,Naviculopsis constricta,Naviculopsis biapiculata,Dictyocha spp.,Corbisema triacantha,Corbisema archangelskiana,Bachmannocena  diodon,Bachmannocena apiculata apiculata,Distephanus pseudofibula,Dictyocha pygmaea,Bachmannocena  borderlandensis,Bachmannocena dumitricae,Distephanus quinquangellus,Comment
  SR,                 ,                 ,                  ,              ,114, 704,B, 26,X, 2,  80.00,    235.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,S                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 26,X, 3,  80.00,    236.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,R                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 26,X, 4,  80.00,    238.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,R             ,                    ,                         ,S                    ,                                 ,R                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 27,X, 2, 110.00,    244.8000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,S             ,                    ,                         ,-                    ,                                 ,R                       ,-                ,-                             ,rR                      ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 27,X, 3,  20.00,    245.4000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,R             ,                    ,                         ,-                    ,                                 ,R                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 27,X, 3, 110.00,    246.3000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,R             ,                    ,                         ,-                    ,                                 ,S                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
