Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira oestrupii	Thalassiosira latimarginata	Thalassiosira jouseae	Thalassionema nitzschioides	Stephanopyxis turris	Rhizosolenia hebetata f. hiemalis	Proboscia curvirostris	Paralia sulcata	Nitzschia marina	Neodenticula seminae	Neodenticula koizumii	Chaetoceros spp. (resting spores)	Bacterosira fragilis	Asteromphalus flabellatus	Actinocyclus oculatus	Thalassiosira gravida	Proboscia barboi	Actinocyclus curvatulus	Nitzschia reinholdii	Coscinodiscus marginatus	Neodenticula kamtschatica	Koizumia tatsunokuchiensis	Actinoptychus senarius	Denticulopsis katayamae	Cocconeis costata	Fragilariopsis doliolus	Pyxidicula zabelinae	Odontella aurita	Hemidiscus cuneiformis	Azpeitia nodulifera	Rhizosolenia bergonii	Coscinodiscus radiatus	Thalassiosira lineata	Thalassiosira eccentrica	Comment
  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	C	  5	H	CC	   8.00	     40.3100	Ikeda    	Diatoms                                      	A              	G                 	R                      	                           	R                    	R                          	                    	                                 	F                     	               	                	C                   	                     	C                                	                    	                         	                     	F                    	                	R                      	                    	R                       	r                        	                          	                      	                       	                 	R                      	                    	R               	                      	                   	                     	                      	                     	                        	rework=T(N.kamtschatica)

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	C	  6	H	CC	  13.00	     50.1000	Ikeda    	Diatoms                                      	A              	G                 	R                      	                           	T                    	F                          	                    	                                 	                      	               	                	F                   	                     	C                                	                    	                         	                     	C                    	                	R                      	R                   	                        	                         	                          	R                     	                       	                 	T                      	F                   	R               	R                     	                   	                     	                      	                     	                        	rework=T(N.koi)

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	C	  7	H	CC	  15.00	     59.4600	Ikeda    	Diatoms                                      	A              	G                 	                       	                           	F                    	R                          	                    	                                 	R                     	               	                	C                   	                     	C                                	                    	                         	                     	C                    	                	R                      	                    	                        	                         	                          	T                     	                       	                 	R                      	                    	                	                      	                   	                     	                      	                     	                        	       

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	C	  8	H	CC	  27.00	     69.3000	Ikeda    	Diatoms                                      	C              	M                 	R                      	                           	F                    	F                          	                    	R                                	                      	               	                	F                   	                     	F                                	                    	                         	                     	F                    	                	                       	                    	                        	                         	                          	T                     	                       	T                	                       	                    	                	                      	                   	                     	                      	                     	                        	       

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	C	  9	H	 5	  70.00	     75.4000	Ikeda    	Diatoms                                      	C              	G                 	                       	R                          	F                    	                           	                    	                                 	R                     	               	                	R                   	                     	F                                	R                   	                         	                     	F                    	                	                       	T                   	R                       	                         	                          	                      	r                      	                 	                       	                    	                	                      	                   	                     	                      	                     	                        	rework=T(D.kat)

  IR	Pleistocene      	Pleistocene      	NPD 10            	NPD 10        	186	1151	C	  9	H	CC	  19.00	     78.3800	Ikeda    	Diatoms                                      	A              	G                 	R                      	R                          	F                    	F                          	                    	                                 	R                     	               	                	F                   	                     	C                                	                    	                         	F                    	F                    	                	R                      	T                   	R                       	r                        	r                         	R                     	                       	                 	                       	                    	                	                      	                   	                     	                      	                     	                        	rework=T(N.kam)

  IR	Pleistocene      	Pleistocene      	NPD 10            	NPD 10        	186	1151	C	 10	H	CC	  29.00	     88.3800	Ikeda    	Diatoms                                      	A              	G                 	                       	                           	F                    	                           	                    	R                                	R                     	               	                	F                   	                     	F                                	                    	                         	C                    	F                    	R               	                       	R                   	R                       	                         	                          	                      	                       	                 	                       	                    	                	                      	                   	                     	                      	                     	                        	       

  IR	Pleistocene      	Pleistocene      	NPD 10            	NPD 10        	186	1151	C	 11	H	 4	  70.00	     92.9000	Ikeda    	Diatoms                                      	A              	G                 	F                      	                           	                     	F                          	F                   	                                 	T                     	               	                	C                   	                     	F                                	                    	                         	F                    	F                    	R               	R                      	                    	                        	                         	                          	                      	                       	                 	                       	                    	                	                      	                   	                     	                      	                     	                        	       

  IR	Pleistocene      	Pleistocene      	NPD 10            	NPD 10        	186	1151	C	 11	H	CC	  13.00	     97.5500	Ikeda    	Diatoms                                      	A              	G                 	R                      	R                          	F                    	F                          	R                   	R                                	T                     	R              	R               	C                   	rF                   	C                                	R                   	T                        	F                    	                     	                	                       	                    	                        	                         	                          	                      	                       	                 	                       	                    	                	                      	                   	                     	                      	                     	                        	rework=F(N.koi)

