Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Mesocena elliptica,Dictyocha subarctios,Dictyocha fibula,Mesocena quadrangula,Dictyocha spp.,Distephanus crux var. stauracanthus,Distephanus slavnicii,Distephanus octangulatus,Distephanus speculum,Dictyocha mandrai,Dictyocha messanensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  9,H, 1,  20.00,     72.0000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                  ,R                   ,                ,R                   ,              ,F                                  ,R                    ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  9,H, 2,  24.00,     73.5400,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,R                   ,                ,                    ,              ,R                                  ,R                    ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  9,H, 4,  30.00,     76.6000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                  ,R                   ,                ,F                   ,              ,                                   ,R                    ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  9,H, 5, 125.00,     79.0500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,M                 ,                  ,                    ,                ,                    ,              ,R                                  ,A                    ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C,  9,H,CC,  22.00,     81.9400,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,M                 ,                  ,                    ,R               ,A                   ,R             ,                                   ,A                    ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C, 10,H, 5, 105.00,     87.8700,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                  ,F                   ,                ,                    ,              ,                                   ,R                    ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C, 10,H, 6,  77.00,     89.0900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,                  ,C                   ,                ,C                   ,              ,                                   ,                     ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C, 10,H,CC,  34.00,     92.5800,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,M                 ,A                 ,F                   ,                ,                    ,              ,                                   ,                     ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C, 11,H,CC,  40.00,    101.4300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,F                 ,C                   ,R               ,                    ,              ,R                                  ,                     ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C, 12,H,CC,  25.00,    111.6100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,M                 ,F                 ,C                   ,R               ,R                   ,R             ,                                   ,                     ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,C, 13,H,CC,  36.00,    120.7000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,F                 ,R                   ,F               ,                    ,              ,                                   ,                     ,                        ,                    ,                 ,                     ,from ODP Leg 127&128 SR Chapter 14 Table 3 p 244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
