Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sponge spicules	Coscinodiscus spp.	Fragilariopsis spp.	Arachnoidiscus spp.	Thalassiothrix antarctica-longissima-group	Thalassiosira leptopus	Thalassiosira convexa var. aspinosa	Silicoflagellate tests	Odontella aurita	Chaetoceros spp. (resting spores)	Actinocyclus ingens var. ovalis	Rhizosolenia spp.	Fragilariopsis reinholdii	Azpeitia tabularis	Thalassionema nitzschioides  var. parva	Thalassionema nitzschioides	Proboscia barboi	Eucampia antarctica	Coscinodiscus marginatus	Comment
  IR	                 	                 	                  	              	189	1168	A	 12	H	CC	  35.00	    112.0600	diatoms  	Diatoms                                      	C              	M                 	A              	                  	                   	                   	A                                         	                      	                                   	                      	C               	C                                	                               	R                	F                        	                  	R                                      	F                          	R               	R                  	F                       	       

  IR	                 	                 	                  	              	189	1168	A	 13	X	CC	  15.00	    115.9500	diatoms  	Diatoms                                      	C              	M                 	A              	                  	                   	                   	A                                         	                      	                                   	R                     	F               	+                                	F                              	R                	R                        	R                 	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 14	X	CC	  25.00	    125.8100	diatoms  	Diatoms                                      	F              	M                 	A              	                  	                   	                   	F                                         	R                     	F                                  	R                     	R               	R                                	F                              	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 15	X	CC	  12.00	    132.8900	diatoms  	Diatoms                                      	T              	P                 	C              	T                 	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 16	X	CC	  15.00	    144.8600	diatoms  	Diatoms                                      	T              	                  	C              	T                 	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 17	X	CC	  17.00	    154.3100	diatoms  	Diatoms                                      	B              	                  	C              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 18	X	CC	  29.00	    164.8800	diatoms  	Diatoms                                      	T              	P                 	C              	T                 	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 19	X	CC	  16.00	    175.2300	diatoms  	Diatoms                                      	B              	                  	C              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 20	X	CC	  25.00	    184.2000	diatoms  	Diatoms                                      	T              	P                 	C              	T                 	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 21	X	CC	  17.00	    194.6200	diatoms  	Diatoms                                      	B              	                  	C              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 22	X	CC	  29.00	    205.1100	diatoms  	Diatoms                                      	B              	                  	C              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 23	X	CC	  22.00	    214.6900	diatoms  	Diatoms                                      	B              	                  	R              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 25	X	CC	  21.00	    233.1200	diatoms  	Diatoms                                      	B              	                  	R              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 26	X	CC	  26.00	    243.5300	diatoms  	Diatoms                                      	B              	                  	R              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 30	X	CC	   6.00	    281.4800	diatoms  	Diatoms                                      	B              	                  	R              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 42	X	CC	  32.00	    396.6100	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 43	X	CC	  34.00	    406.0100	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 44	X	CC	  32.00	    415.4700	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 45	X	CC	  37.00	    425.5000	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 46	X	CC	  37.00	    435.1000	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 47	X	CC	  38.00	    444.2200	diatoms  	Diatoms                                      	B              	                  	A              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 49	X	CC	  41.00	    463.6900	diatoms  	Diatoms                                      	B              	                  	R              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 50	X	CC	  43.00	    472.7000	diatoms  	Diatoms                                      	B              	                  	R              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 55	X	CC	  31.00	    521.1500	diatoms  	Diatoms                                      	B              	                  	F              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 56	X	CC	  31.00	    529.5500	diatoms  	Diatoms                                      	B              	                  	R              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 57	X	CC	  28.00	    540.5100	diatoms  	Diatoms                                      	B              	                  	F              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 58	X	CC	  45.00	    550.5900	diatoms  	Diatoms                                      	T              	                  	               	                  	T                  	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 61	X	CC	  33.00	    578.3100	diatoms  	Diatoms                                      	R              	M                 	C              	                  	                   	R                  	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 62	X	CC	  32.00	    587.2200	diatoms  	Diatoms                                      	R              	M                 	C              	                  	                   	R                  	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 63	X	CC	  30.00	    597.3000	diatoms  	Diatoms                                      	R              	P                 	F              	                  	                   	R                  	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 64	X	CC	  45.00	    608.3700	diatoms  	Diatoms                                      	R              	P                 	F              	                  	+                  	R                  	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 65	X	CC	  27.00	    616.5300	diatoms  	Diatoms                                      	T              	P                 	F              	+                 	T                  	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 66	X	CC	  34.00	    625.4900	diatoms  	Diatoms                                      	T              	P                 	F              	T                 	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

  IR	                 	                 	                  	              	189	1168	A	 68	X	CC	  40.00	    645.9400	diatoms  	Diatoms                                      	B              	                  	T              	                  	                   	                   	                                          	                      	                                   	                      	                	                                 	                               	                 	                         	                  	                                       	                           	                	                   	                        	       

