Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cyclicargolithus floridanus,Sphenolithus moriformis,Coccolithus pelagicus,Calcidiscus macintyrei,Discoaster quinqueramus,Discoaster brouweri,Calcidiscus leptoporus,Helicosphaera carteri,Reticulofenestra sp.,Rhabdosphaera clavigera,Calcidiscus sp.,Discoaster surculus,Discoaster pentaradiatus,Gephyrocapsa sp. (small),Umbilicosphaera sibogae,Syracosphaera pulchra,Pseudoemiliania lacunosa,Gephyrocapsa caribbeanica,Comment
  SR,Pliocene         ,                 ,CN10a             ,CN12c         ,133, 824,A,  7,H,CC,  15.00,    117.0400,Wei      ,Nannofossils                                 ,F              ,P                 ,                           ,                       ,                     ,                      ,                       ,R                  ,R                     ,                     ,F                   ,R                      ,               ,                   ,                        ,                        ,R                      ,F                    ,F                       ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN12c         ,133, 824,A,  8,H,CC,   0.00,    126.2300,Wei      ,Nannofossils                                 ,R              ,P                 ,                           ,                       ,                     ,                      ,                       ,R                  ,                      ,                     ,R                   ,R                      ,               ,                   ,R                       ,R                       ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN12c         ,133, 824,A,  9,H,CC,   0.00,    135.4500,Wei      ,Nannofossils                                 ,R              ,P                 ,                           ,                       ,                     ,R                     ,                       ,R                  ,                      ,                     ,R                   ,                       ,               ,R                  ,R                       ,                        ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,CN5a              ,CN9b          ,133, 824,A, 14,H,CC,  18.00,    175.2100,Wei      ,Nannofossils                                 ,A              ,P                 ,                           ,A                      ,F                    ,                      ,C                      ,F                  ,F                     ,                     ,A                   ,R                      ,F              ,                   ,                        ,                        ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,CN5a              ,CN9b          ,133, 824,A, 15,H,CC,  11.00,    184.0600,Wei      ,Nannofossils                                 ,R              ,P                 ,                           ,F                      ,R                    ,                      ,                       ,                   ,                      ,                     ,F                   ,                       ,               ,                   ,                        ,                        ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,CN5a              ,CN9b          ,133, 824,A, 17,X,CC,   7.00,    199.0400,Wei      ,Nannofossils                                 ,C              ,P                 ,                           ,C                      ,F                    ,                      ,R                      ,C                  ,R                     ,R                    ,                    ,                       ,               ,                   ,                        ,                        ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,CN5a              ,CN9b          ,133, 824,A, 19,X,CC,   0.00,    222.6300,Wei      ,Nannofossils                                 ,A              ,P                 ,                           ,A                      ,F                    ,R                     ,F                      ,F                  ,F                     ,                     ,                    ,                       ,               ,                   ,                        ,                        ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,CN5a              ,CN9b          ,133, 824,A, 21,X,CC,   0.00,    237.5200,Wei      ,Nannofossils                                 ,R              ,P                 ,                           ,R                      ,R                    ,R                     ,                       ,                   ,                      ,                     ,                    ,                       ,               ,                   ,                        ,                        ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,CN5a              ,CN9b          ,133, 824,A, 22,X,CC,   0.00,    245.4400,Wei      ,Nannofossils                                 ,F              ,P                 ,                           ,F                      ,F                    ,                      ,                       ,                   ,                      ,                     ,                    ,                       ,               ,                   ,                        ,                        ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,CN5a              ,CN9b          ,133, 824,A, 24,X,CC,  15.00,    261.7500,Wei      ,Nannofossils                                 ,R              ,P                 ,                           ,R                      ,R                    ,                      ,                       ,                   ,                      ,                     ,                    ,                       ,               ,                   ,                        ,                        ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 824,A, 32,X,CC,  47.00,    339.1700,Wei      ,Nannofossils                                 ,F              ,P                 ,C                          ,F                      ,F                    ,                      ,                       ,                   ,                      ,                     ,                    ,                       ,               ,                   ,                        ,                        ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 824,A, 36,X,CC,  43.00,    370.6300,Wei      ,Nannofossils                                 ,R              ,P                 ,R                          ,                       ,                     ,                      ,                       ,                   ,                      ,                     ,                    ,                       ,               ,                   ,                        ,                        ,                       ,                     ,                        ,                         ,from ODP 133 SR Chapter 2 Figure 9 p 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
