Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella spp.	Melonis barleeanus	Bulimina aculeata	Bolivina subaenariensis	polymorhinids xxx	Vulvulina spinosa	Uvigerina peregrina	Sigmoilopsis schlumbergeri	Pullenia bulloides	Plectofrondicularia vaughni	Oridorsalis umbonatus	Lenticulina spp.	Laticarinina pauperata	Globocassidulina subglobosa	Cibicidoides spp.	Cassidulina laevigata	Bulimina mexicana	Uvigerina spp.	Oridorsalis spp.	Gyroidinoides spp.	Chilostomella oolina	Pyrgo spp.	Elphidium spp.	Elphidium excavatum f. clavatum	Bulimina marginata	Quinqueloculina seminulum	Nonionella miocenica	Globobulimina auriculata	Cassidulina teretis	Cassidulina crassa	Buccella frigida	Lagena spp.	Nonionella labradorica	Cassidulina norcrossi	Bulimina alazanensis	Valvulineria laevigata	Stainforthia complanata	Marginulina spp.	Elphidium articulatum	Triloculina trigonula	Sphaeroidina bulloides	Elphidium excavatum (Terquem) forma lidoensis	Pullenia quinqueloba	Angulogerina angulosa	Comment
  IR	                 	Pleistocene      	                  	              	174	1073	A	 12	H	CC	  29.00	    109.8200	Katz     	Benthic Foraminifers                         	R              	VG                	                  	                  	                 	                       	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	                 	                     	                 	              	                	                  	                    	          	              	+                              	                  	                         	                    	                        	                   	                  	                	           	                      	+                    	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	AA qtz, AA mica, few planktonics

  IR	                 	Pleistocene      	                  	              	174	1073	A	 14	H	CC	  90.00	    131.3800	Katz     	Benthic Foraminifers                         	C              	VG                	                  	                  	R                	                       	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	                 	                     	                 	              	                	                  	                    	R         	              	C                              	R                 	                         	                    	                        	                   	                  	                	           	A                     	A                    	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	AA qtz, R glauconite, R pyrite C planktonics, A mica

  IR	                 	Pleistocene      	                  	              	174	1073	A	 17	H	CC	  42.00	    159.3300	Katz     	Benthic Foraminifers                         	A              	VG                	                  	C                 	F                	                       	C                	                 	                   	                          	                  	                           	                     	                	                      	                           	F                	                     	                 	              	                	                  	                    	R         	              	F                              	                  	C                        	                    	                        	C                  	                  	                	           	C                     	A                    	                    	                      	R                      	                	F                    	                     	                      	                                             	                    	                     	A pyrite

  IR	                 	Pleistocene      	                  	              	174	1073	A	 22	H	CC	  10.00	    202.6700	Katz     	Benthic Foraminifers                         	A              	VG                	                  	A                 	F                	R                      	                 	                 	                   	                          	                  	                           	                     	R               	                      	                           	R                	                     	                 	              	                	                  	                    	          	              	F                              	                  	                         	                    	                        	C                  	                  	                	R          	R                     	A                    	                    	A                     	R                      	R               	R                    	                     	                      	                                             	                    	                     	AA qtz, M mica, R pyrite

  IR	                 	Pleistocene      	                  	              	174	1073	A	 27	X	CC	  14.00	    242.6100	Katz     	Benthic Foraminifers                         	A              	VG                	                  	                  	C                	                       	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	                 	                     	                 	              	                	                  	                    	R         	              	C                              	C                 	F                        	                    	                        	C                  	R                 	R               	R          	F                     	A                    	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	A qtz, A mica, R glauconite

  IR	                 	Pleistocene      	                  	              	174	1073	A	 32	X	CC	  29.00	    289.1300	Katz     	Benthic Foraminifers                         	A              	VG                	                  	                  	                 	C                      	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	                 	                     	                 	              	                	                  	                    	R         	              	A                              	                  	                         	                    	A                       	                   	C                 	                	           	F                     	F                    	F                   	                      	                       	                	                     	                     	                      	                                             	                    	                     	       

  IR	                 	                 	                  	              	174	1073	A	 45	X	CC	  25.00	    412.1900	Katz     	Benthic Foraminifers                         	               	                  	                  	                  	                 	                       	                 	                 	R                  	                          	                  	                           	                     	                	                      	                           	                 	                     	                 	              	                	                  	                    	C         	C             	                               	                  	C                        	                    	                        	C                  	                  	                	R          	                      	                     	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	       

  IR	                 	Pleistocene      	                  	              	174	1073	A	 50	X	CC	  35.00	    459.8400	Katz     	Benthic Foraminifers                         	A              	VG                	                  	R                 	                 	A                      	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	F                	                     	                 	              	                	                  	                    	A         	F             	C                              	C                 	A                        	R                   	R                       	F                  	C                 	R               	           	                      	                     	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	very abun. benthics

  IR	                 	                 	                  	              	174	1073	A	 56	X	CC	  38.00	    515.8800	Katz     	Benthic Foraminifers                         	A              	VG                	                  	R                 	R                	                       	                 	                 	                   	                          	R                 	                           	                     	                	                      	                           	                 	                     	                 	              	                	                  	                    	R         	R             	A                              	R                 	                         	                    	                        	                   	                  	                	           	                      	                     	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	A qtz, A pyr., C goauc., R mica

  IR	                 	                 	                  	              	174	1073	A	 57	X	CC	  28.00	    524.1300	Katz     	Benthic Foraminifers                         	A              	VG                	C                 	F                 	R                	                       	                 	                 	C                  	F                         	R                 	                           	                     	R               	                      	                           	F                	                     	C                	C             	F               	F                 	R                   	          	              	                               	                  	                         	                    	                        	                   	                  	                	           	                      	                     	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	       

  IR	                 	                 	                  	              	174	1073	A	 58	X	CC	  35.00	    534.5900	Katz     	Benthic Foraminifers                         	C              	M                 	                  	A                 	                 	                       	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	                 	                     	                 	              	                	                  	                    	          	              	                               	                  	                         	                    	                        	                   	                  	                	           	                      	                     	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	A diatoms, M glauc Plectofr. sp. F Uvig. elongata A

  IR	                 	Early Pliocene   	                  	              	174	1073	A	 59	X	CC	  34.00	    544.0900	Katz     	Benthic Foraminifers                         	A              	VG                	F                 	C                 	                 	                       	F                	C                	A                  	C                         	R                 	F                          	R                    	R               	F                     	R                          	F                	R                    	C                	              	                	                  	                    	          	              	                               	                  	                         	                    	                        	                   	                  	                	           	                      	                     	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	AA benthics S/C P. cf. wuellerstorfi Trif. danv.

  IR	                 	                 	                  	              	174	1073	A	 65	X	CC	  39.00	    597.9500	Katz     	Benthic Foraminifers                         	B              	                  	+                 	+                 	+                	+                      	                 	                 	                   	                          	                  	                           	                     	                	                      	                           	                 	                     	                 	              	                	                  	                    	          	              	                               	                  	                         	                    	                        	                   	                  	                	           	                      	                     	                    	                      	                       	                	                     	                     	                      	                                             	                    	                     	diatoms, glauconiteTrif. cf. bradyi

