Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turborotalia cerroazulensis	Subbotina venezuelana	Subbotina eocaena	Catapsydrax dissimilis	Globorotalia praescitula	Sphaeroidinellopsis seminulina	Globorotalia crassaformis	Globigerinita glutinata	Globigerina exumbilicata	Globigerina bulloides	planktonics miscellaneous	Globorotalia inflata	Zeaglobigerina rubescens	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Globigerina quinqueloba	Globigerina falconensis	Orbulina universa	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globorotalia hirsuta	Globigerinoides ruber	Globigerinoides elongatus	Globorotalia tosaensis	Globigerinoides quadrilobatus	Globoquadrina pseudofoliata	Globigerinoides conglobatus	Globigerinella aequilateralis	Globorotalia scitula	Globigerinoides trilobus	Globigerinella pseudobesa	Globigerinoides ruber (pink)	Orbulina bilobata	Globigerinoides sacculifer	Globigerina umbilicata	Globigerinella obesa	Globigerinoides immaturus	Comment
  IR	                 	Pleistocene      	                  	              	174	1073	A	 10	H	CC	  43.00	     92.9100	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	                       	                        	                     	                         	                    	                        	14                                     	1                                    	11                     	                       	                 	                          	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	2                        	                            	                 	                          	                      	                    	                         	P/B=226%benthics=C quartz=C mica=C black minerals=A

  IR	                 	Pleistocene      	                  	Pt1b          	174	1073	A	 13	H	CC	  42.00	    121.4000	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	3                      	                        	7                    	                         	6                   	                        	8                                      	3                                    	15                     	                       	                 	3                         	                             	1                   	5                    	                         	                      	                             	                           	1                          	                             	                    	                        	8                        	                            	                 	1                         	                      	                    	                         	P/B=104% benthics=A

  IR	                 	Pleistocene      	                  	Pt1b          	174	1073	A	 14	H	CC	  90.00	    131.3800	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	                       	                        	R                    	                         	R                   	                        	R                                      	A                                    	R                      	                       	                 	                          	                             	F                   	R                    	                         	                      	                             	                           	                           	P                            	                    	                        	R                        	P                           	                 	                          	                      	                    	                         	P/B=100% benthics=A quartz=A mica=C

  IR	                 	                 	                  	              	174	1073	A	 17	H	CC	  42.00	    159.3300	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	1                      	                        	7                    	4                        	9                   	2                       	3                                      	46                                   	46                     	                       	+                	1                         	                             	                    	+                    	                         	+                     	4                            	                           	                           	                             	                    	                        	4                        	                            	+                	                          	                      	                    	                         	P/B=67% Benthics=C

  IR	                 	Pleistocene      	                  	              	174	1073	A	 20	H	CC	  21.00	    184.6900	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	                       	                        	R                    	                         	D                   	                        	R                                      	R                                    	F                      	                       	                 	R                         	                             	                    	R                    	                         	                      	                             	                           	                           	                             	                    	                        	                         	R                           	                 	                          	                      	                    	                         	P/B=66% benthics=A quartz=C mica=F

  IR	                 	Pleistocene      	                  	Pt1b          	174	1073	A	 32	X	CC	  29.00	    289.1300	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	                       	                        	A                    	                         	P                   	                        	                                       	A                                    	P                      	                       	                 	A                         	                             	P                   	P                    	                         	                      	                             	R                          	                           	                             	                    	                        	P                        	                            	                 	                          	                      	                    	                         	P/B=>300% benthics=F quartz=F mica=R

  IR	                 	                 	                  	              	174	1073	A	 35	X	CC	   0.00	    317.1400	Olson    	Planktonic Foraminifers                      	C              	VG                	                           	                     	                 	                      	                        	                              	                         	3                      	                        	2                    	7                        	                    	                        	1                                      	31                                   	1                      	                       	                 	1                         	                             	                    	                     	                         	                      	2                            	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	P/B=15% Benthics=A

  IR	                 	Pleistocene      	                  	Pt1           	174	1073	A	 36	X	CC	  46.00	    324.8600	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	                       	                        	D                    	                         	D                   	                        	R                                      	R                                    	R                      	                       	P                	                          	                             	                    	R                    	                         	                      	                             	                           	                           	                             	P                   	                        	                         	                            	                 	                          	                      	                    	                         	P/B=>300% benthics=F quartz=F mica=F

  IR	                 	Pleistocene      	                  	Pt1a          	174	1073	A	 38	X	CC	  18.00	    346.6400	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	P                        	                       	                        	                     	                         	D                   	                        	F                                      	P                                    	D                      	                       	P                	R                         	                             	                    	R                    	                         	P                     	                             	                           	                           	                             	P                   	                        	                         	                            	                 	                          	                      	                    	                         	P/B=>300% benthics=C quartz=F mica=F

  IR	                 	                 	                  	              	174	1073	A	 40	X	CC	  31.00	    364.3800	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	3                      	4                       	2                    	2                        	57                  	                        	                                       	49                                   	29                     	                       	3                	10                        	1                            	                    	3                    	+                        	                      	2                            	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	P/B=95% Benthics=F Black material=A

  IR	                 	Pleistocene      	                  	Pt1           	174	1073	A	 42	X	CC	  35.00	    384.6500	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	                       	P                       	                     	                         	D                   	                        	R                                      	F                                    	P                      	                       	R                	R                         	P                            	                    	P                    	                         	P                     	                             	                           	                           	                             	                    	P                       	                         	                            	                 	                          	                      	                    	                         	P/B=>300% benthics=F mica=A

  IR	                 	Pleistocene      	                  	Pt1           	174	1073	A	 44	X	CC	  31.00	    400.4800	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	R                      	R                       	R                    	                         	A                   	                        	R                                      	D                                    	F                      	                       	                 	P                         	                             	                    	                     	                         	                      	                             	                           	                           	                             	P                   	                        	                         	                            	                 	                          	                      	                    	                         	P/B=600% benthics=F mica=A

  IR	                 	Pleistocene      	                  	Pt1a          	174	1073	A	 46	X	CC	  35.00	    421.2300	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	                       	                        	                     	                         	A                   	                        	                                       	                                     	R                      	                       	F                	R                         	P                            	                    	P                    	                         	R                     	                             	P                          	P                          	P                            	                    	                        	                         	                            	                 	                          	                      	                    	                         	P/B=>300% benthics=C

  IR	                 	Pleistocene      	                  	Pt1           	174	1073	A	 50	X	CC	  35.00	    459.8400	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	                       	                        	P                    	                         	A                   	                        	R                                      	R                                    	P                      	                       	                 	R                         	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	P/B=20% benthics=A

  IR	                 	Pleistocene      	                  	              	174	1073	A	 53	X	CC	  41.00	    487.5500	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	R                      	R                       	F                    	                         	A                   	P                       	R                                      	A                                    	F                      	                       	P                	P                         	P                            	                    	                     	P                        	P                     	P                            	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	P/B=90% Benthics=F

  IR	                 	                 	                  	              	174	1073	A	 55	X	CC	  44.00	    506.5900	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	                              	                         	P                      	                        	R                    	                         	                    	P                       	F                                      	D                                    	F                      	P                      	R                	P                         	P                            	A                   	P                    	P                        	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	P/B=70% Benthics=C

  IR	                 	                 	                  	              	174	1073	A	 56	X	CC	  38.00	    515.8800	Olson    	Planktonic Foraminifers                      	C              	VG                	                           	                     	                 	                      	                        	                              	                         	P                      	                        	P                    	                         	F                   	P                       	D                                      	F                                    	R                      	P                      	                 	                          	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	P/B= 80% Benthics=F

  IR	Late Pliocene    	Pleistocene      	                  	              	174	1073	A	 57	X	CC	  28.00	    524.1300	Olson    	Planktonic Foraminifers                      	               	                  	                           	                     	                 	                      	                        	                              	                         	                       	                        	                     	                         	+                   	                        	                                       	                                     	                       	                       	                 	                          	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	       

  IR	                 	                 	                  	              	174	1073	A	 58	X	CC	  35.00	    534.5900	Olson    	Planktonic Foraminifers                      	R              	P                 	                           	                     	                 	                      	                        	                              	                         	                       	                        	                     	+                        	                    	                        	                                       	                                     	                       	                       	                 	                          	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	P/B=100% benthics=R radiolaria=VR diatoms=A

  IR	                 	Early Pliocene   	                  	              	174	1073	A	 59	X	CC	  34.00	    544.0900	Olson    	Planktonic Foraminifers                      	A              	VG                	                           	                     	                 	                      	                        	R                             	D                        	P                      	P                       	P                    	                         	                    	                        	                                       	                                     	                       	                       	                 	                          	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	P/B=100% benthics=A glauconite=A condensed interval

  IR	Middle Miocene   	Early Miocene    	                  	              	174	1073	A	 67	X	CC	  35.00	    616.8900	Olson    	Planktonic Foraminifers                      	T              	P                 	                           	                     	                 	                      	+                       	                              	                         	                       	                        	                     	                         	                    	                        	                                       	                                     	                       	                       	                 	                          	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	Most specimens of planktonics are broken glauconite=A diatoms=F rads=VR

  IR	                 	Late Eocene      	                  	              	174	1073	A	 71	X	CC	  45.00	    654.4600	Olson    	Planktonic Foraminifers                      	F              	                  	+                          	+                    	+                	+                     	                        	                              	                         	                       	                        	                     	                         	                    	                        	                                       	                                     	                       	                       	                 	                          	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	       

  IR	                 	Late Eocene      	                  	              	174	1073	A	 72	X	CC	  43.00	    663.9300	Olson    	Planktonic Foraminifers                      	F              	                  	+                          	+                    	+                	+                     	                        	                              	                         	                       	                        	                     	                         	                    	                        	                                       	                                     	                       	                       	                 	                          	                             	                    	                     	                         	                      	                             	                           	                           	                             	                    	                        	                         	                            	                 	                          	                      	                    	                         	       

