Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rhabdammina sp.,Thalmannammina conglobata  ,Rhizammina sp.,Cyclammina trullissata,Reophax sp. A,Hyperammina sp. A,Stilostomella spp.,Pleurostomella spp.,Reophanus oviculus,Trochammina spp.,Labrospira sp.,Glomospira gordialis,Buliminella grata,Saitoella globosa             ,Nodosaria longiscata,Gyroidinoides spp.,Oridorsalis umbonatus,Pullenia spp.,Chrysalogonium longicostatum,Globocassidulina subglobosa,Cibicidoides spp.,Anomalinoides spp.,Vulvulina spp.,Fissurina spp.,Eggerella sp.,Pyrgo murrhina,Melonis pompilioides,Melonis barleeanus,Comment
  SR,                 ,                 ,                  ,              ,126, 793,B,  7,R,CC,  13.00,    643.3800,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,R            ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B,  8,R, 1,  60.00,    653.0000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,C                 ,R                  ,                  ,                ,              ,                    ,                 ,                              ,R                   ,C                 ,C                    ,F            ,F                           ,F                          ,R                ,R                 ,R             ,R             ,R            ,F             ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B,  9,R, 1,  60.00,    662.7000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,                  ,R                  ,                  ,                ,              ,                    ,                 ,                              ,R                   ,C                 ,F                    ,C            ,                            ,R                          ,R                ,C                 ,              ,              ,R            ,R             ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B,  9,R, 2,  64.00,    664.2000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,F                 ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,C                    ,             ,                            ,                           ,C                ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B,  9,R, 3,  61.00,    665.5900,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,C                 ,R                  ,                  ,                ,              ,                    ,                 ,                              ,                    ,R                 ,C                    ,R            ,R                           ,R                          ,F                ,R                 ,R             ,R             ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 11,R, 4,  88.00,    686.4700,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,C                 ,F                  ,                  ,                ,              ,                    ,R                ,                              ,                    ,                  ,F                    ,R            ,                            ,                           ,F                ,R                 ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 12,R, 2,  46.00,    692.6600,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,C                 ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,F                    ,R            ,F                           ,                           ,F                ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 12,R,CC,   6.00,    693.2800,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,A             ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,F                   ,                  ,R                    ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 16,R, 1,  70.00,    730.4000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,F                 ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,R                           ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 16,R,CC,  15.00,    738.6200,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,A              ,                           ,C             ,                      ,             ,                 ,A                 ,                   ,                  ,                ,              ,                    ,                 ,R                             ,                    ,C                 ,C                    ,R            ,                            ,C                          ,A                ,F                 ,R             ,R             ,C            ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 17,R, 4,  59.00,    743.3400,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,A                 ,A                  ,                  ,                ,              ,                    ,C                ,C                             ,                    ,F                 ,C                    ,C            ,                            ,A                          ,A                ,F                 ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 18,R, 3, 102.00,    752.8200,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,F                 ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 19,R, 2, 137.00,    761.0300,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,A              ,                           ,              ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 20,R, 3,  57.00,    771.3400,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,A              ,F                          ,A             ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 20,R,CC,  17.00,    777.7700,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,C              ,F                          ,              ,                      ,F            ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 21,R, 1,   1.00,    777.7100,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F              ,R                          ,R             ,R                     ,             ,                 ,                  ,                   ,                  ,R               ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 23,R, 3,   4.00,    799.9100,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,F             ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 24,R, 6,  23.00,    814.3500,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,R                           ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 30,R, 4,  16.00,    869.0600,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F              ,                           ,              ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,R                    ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 31,R, 2,  93.00,    876.2100,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,R             ,                      ,             ,                 ,R                 ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,R            ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 33,R, 3,  90.00,    897.0500,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F              ,                           ,              ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 34,R, 3,  62.00,    906.5400,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,C              ,                           ,              ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 35,R, 3, 109.00,    916.5700,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F              ,                           ,F             ,                      ,             ,                 ,F                 ,                   ,                  ,                ,              ,F                   ,                 ,                              ,                    ,R                 ,R                    ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 35,R,CC,   0.00,    921.9100,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,R              ,R                          ,C             ,                      ,             ,                 ,C                 ,                   ,                  ,                ,              ,                    ,                 ,C                             ,F                   ,F                 ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 36,R, 2, 108.00,    924.7800,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,F             ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 43,R, 3,  29.00,    992.5300,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,C             ,                      ,             ,                 ,R                 ,                   ,R                 ,F               ,F             ,C                   ,F                ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 47,R,CC,   0.00,   1034.6000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F              ,                           ,              ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 48,R, 3,  64.00,   1041.2400,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,R                          ,              ,                      ,             ,R                ,                  ,R                  ,R                 ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 49,R, 2, 114.00,   1049.9399,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,             ,C                ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 52,R, 2,  33.00,   1078.1100,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,              ,                      ,R            ,                 ,C                 ,R                  ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 58,R, 3,  94.00,   1137.6400,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,                           ,F             ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 61,R, 2,  48.00,   1164.7200,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F              ,                           ,F             ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 61,R,CC,   0.00,   1167.0601,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,R              ,F                          ,C             ,F                     ,R            ,F                ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 73,R,CC,   0.00,   1284.7100,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,               ,R                          ,F             ,R                     ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,B, 74,R, 1,   5.00,   1288.0500,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F              ,                           ,              ,                      ,             ,                 ,                  ,                   ,                  ,                ,              ,                    ,                 ,                              ,                    ,                  ,                     ,             ,                            ,                           ,                 ,                  ,              ,              ,             ,              ,                    ,                  ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
