Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Reticulofenestra umbilica,Reticulofenestra bisecta,Discoaster deflandrei,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Sphenolithus ciperoensis,Pyrocyclus orangensis,Coronocyclus nitescens,Helicosphaera euphratis,Bicolumnus ovatus,Helicosphaera recta,Chiasmolithus altus,Zygrhablithus bijugatus,Syracosphaera sp.,Bramletteius serraculoides,Triquetrorhabdulus carinatus,Pontosphaera sp.,Helicosphaera sp.,Helicosphaera perch-nielseniae,Helicosphaera intermedia,Reticulofenestra spp. small,Discoaster druggii,Discoaster sp.,Reticulofenestra pseudoumbilica,Discoaster calculosus,Sphenolithus heteromorphus,Sphenolithus conicus,Helicosphaera obliqua,Calcidiscus macintyrei,Sphenolithus dissimilis,Sphenolithus belemnos,Umbilicosphaera sibogae,Discoaster adamanteus,Calcidiscus leptoporus,Pedinocyclus larvalis,Discoaster sp. cf. D. deflandrei (with web),Discoaster variabilis,Discoaster exilis,Helicosphaera carteri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN4               ,              ,126, 793,B,  6,R,CC,  16.00,    636.6700,Firth    ,Nannofossils                                 ,F              ,M                 ,                         ,R                      ,                      ,                         ,                        ,F                    ,C                          ,F                    ,                        ,                        ,R                    ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,R                       ,F                          ,                  ,              ,R                              ,                     ,F                         ,                    ,                     ,R                     ,                       ,                     ,                       ,R                    ,                      ,                     ,                                           ,R                    ,R                ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN4               ,              ,126, 793,B,  7,R,CC,  13.00,    643.3800,Firth    ,Nannofossils                                 ,A              ,G                 ,                         ,F                      ,                      ,                         ,                        ,C                    ,C                          ,C                    ,                        ,                        ,                     ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,R               ,R                ,                              ,                        ,                           ,                  ,C             ,                               ,                     ,C                         ,                    ,                     ,F                     ,                       ,                     ,R                      ,                     ,                      ,                     ,                                           ,                     ,R                ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN4               ,              ,126, 793,B,  8,R,CC,  14.00,    654.3400,Firth    ,Nannofossils                                 ,A              ,G                 ,                         ,F                      ,                      ,                         ,                        ,C                    ,C                          ,C                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,R                ,                              ,                        ,C                          ,                  ,              ,C                              ,                     ,F                         ,                    ,                     ,F                     ,                       ,                     ,R                      ,R                    ,R                     ,                     ,R                                          ,R                    ,R                ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN4               ,              ,126, 793,B,  9,R,CC,  10.00,    665.9300,Firth    ,Nannofossils                                 ,A              ,G                 ,                         ,F                      ,                      ,                         ,                        ,C                    ,C                          ,F                    ,                        ,                        ,R                    ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,C                          ,R                 ,              ,C                              ,                     ,F                         ,                    ,                     ,R                     ,                       ,                     ,R                      ,R                    ,R                     ,                     ,R                                          ,R                    ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN4               ,              ,126, 793,B, 10,R,CC,   6.00,    676.0300,Firth    ,Nannofossils                                 ,C              ,M                 ,                         ,F                      ,                      ,                         ,                        ,C                    ,C                          ,F                    ,                        ,                        ,                     ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,F                          ,                  ,              ,C                              ,                     ,R                         ,                    ,                     ,R                     ,                       ,                     ,R                      ,F                    ,                      ,R                    ,R                                          ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN3               ,              ,126, 793,B, 11,R, 5,  85.00,    687.8900,Firth    ,Nannofossils                                 ,A              ,G                 ,                         ,C                      ,                      ,                         ,                        ,C                    ,C                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,C                              ,                     ,R                         ,                    ,                     ,                      ,                       ,                     ,                       ,F                    ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN3               ,              ,126, 793,B, 11,R,CC,  15.00,    689.4300,Firth    ,Nannofossils                                 ,F              ,M                 ,                         ,F                      ,                      ,                         ,                        ,F                    ,F                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,F                              ,                     ,R                         ,                    ,                     ,                      ,                       ,                     ,                       ,R                    ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN3               ,              ,126, 793,B, 12,R,CC,   6.00,    693.2800,Firth    ,Nannofossils                                 ,A              ,G                 ,                         ,C                      ,                      ,                         ,                        ,C                    ,C                          ,C                    ,R                       ,                        ,R                    ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,C                          ,                  ,              ,C                              ,                     ,F                         ,                    ,                     ,                      ,                       ,R                    ,R                      ,R                    ,R                     ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN3               ,              ,126, 793,B, 13,R,CC,   9.00,    706.2400,Firth    ,Nannofossils                                 ,C              ,G                 ,                         ,F                      ,                      ,                         ,                        ,F                    ,F                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,R                          ,                  ,              ,R                              ,                     ,R                         ,                    ,                     ,                      ,                       ,                     ,R                      ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN3               ,              ,126, 793,B, 14,R, 1,  42.00,    710.8200,Firth    ,Nannofossils                                 ,A              ,M                 ,                         ,F                      ,                      ,                         ,F                       ,C                    ,C                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,R                         ,                    ,                     ,                      ,R                      ,R                    ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN3               ,              ,126, 793,B, 14,R,CC,  14.00,    712.4500,Firth    ,Nannofossils                                 ,C              ,G                 ,                         ,F                      ,                      ,                         ,                        ,R                    ,F                          ,F                    ,                        ,                        ,                     ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,R                       ,F                          ,                  ,              ,                               ,                     ,R                         ,R                   ,R                    ,R                     ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN1c              ,              ,126, 793,B, 15,R, 3,   1.00,    722.9300,Firth    ,Nannofossils                                 ,C              ,P                 ,                         ,R                      ,                      ,                         ,F                       ,C                    ,F                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,F                 ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN1c              ,              ,126, 793,B, 15,R,CC,   5.00,    725.6600,Firth    ,Nannofossils                                 ,C              ,M                 ,                         ,R                      ,                      ,                         ,R                       ,F                    ,F                          ,F                    ,                        ,                        ,R                    ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,R                              ,F                    ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN1c              ,              ,126, 793,B, 16,R, 1,  81.00,    730.5100,Firth    ,Nannofossils                                 ,F              ,P                 ,                         ,                       ,                      ,                         ,                        ,F                    ,F                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN1c              ,              ,126, 793,B, 16,R,CC,  15.00,    738.6200,Firth    ,Nannofossils                                 ,A              ,M                 ,                         ,F                      ,                      ,                         ,F                       ,A                    ,A                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,R                 ,R             ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN1c              ,              ,126, 793,B, 17,R, 3,  20.00,    741.5100,Firth    ,Nannofossils                                 ,A              ,M                 ,                         ,R                      ,                      ,                         ,F                       ,C                    ,C                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,R             ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN1c              ,              ,126, 793,B, 17,R, 5,  40.00,    744.6500,Firth    ,Nannofossils                                 ,A              ,M                 ,                         ,R                      ,                      ,                         ,F                       ,F                    ,A                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,F                 ,R             ,R                              ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN1c              ,              ,126, 793,B, 17,R,CC,  10.00,    747.3300,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,                       ,                      ,                         ,R                       ,                     ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN1c              ,              ,126, 793,B, 18,R, 1,  24.00,    749.0400,Firth    ,Nannofossils                                 ,A              ,M                 ,                         ,R                      ,                      ,                         ,R                       ,C                    ,A                          ,A                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,F                 ,F             ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN1c              ,              ,126, 793,B, 18,R, 4,  23.00,    753.5300,Firth    ,Nannofossils                                 ,C              ,M                 ,                         ,F                      ,                      ,                         ,R                       ,F                    ,C                          ,F                    ,                        ,                        ,R                    ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,R                          ,R                 ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP Leg 126 SR Chapter 16 Table 10 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 21,R, 6, 143.00,    786.6300,Firth    ,Nannofossils                                 ,C              ,M                 ,                         ,R                      ,                      ,                         ,F                       ,F                    ,C                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 22,R, 1,  52.00,    787.8200,Firth    ,Nannofossils                                 ,F              ,M                 ,                         ,R                      ,                      ,                         ,F                       ,R                    ,F                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 22,R,CC,  16.00,    791.9000,Firth    ,Nannofossils                                 ,F              ,P                 ,                         ,R                      ,                      ,                         ,                        ,F                    ,F                          ,R                    ,                        ,                        ,                     ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,R                           ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 23,R, 1, 101.00,    798.0100,Firth    ,Nannofossils                                 ,C              ,M                 ,                         ,F                      ,                      ,                         ,F                       ,F                    ,C                          ,F                    ,                        ,R                       ,                     ,                      ,                       ,                 ,R                  ,                   ,                       ,                 ,                          ,                            ,                ,R                ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 23,R,CC,  36.00,    803.5300,Firth    ,Nannofossils                                 ,C              ,G                 ,                         ,C                      ,                      ,                         ,F                       ,F                    ,C                          ,F                    ,R                       ,F                       ,R                    ,                      ,R                      ,                 ,R                  ,                   ,                       ,                 ,                          ,                            ,R               ,                 ,                              ,R                       ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 24,R,CC,  13.00,    815.5300,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,                       ,                      ,                         ,                        ,                     ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 25,R,CC,   0.00,    825.3900,Firth    ,Nannofossils                                 ,F              ,M                 ,                         ,R                      ,                      ,                         ,R                       ,R                    ,F                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,R                  ,                   ,R                      ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 26,R,CC,  16.00,    835.5400,Firth    ,Nannofossils                                 ,A              ,M                 ,                         ,F                      ,R                     ,                         ,C                       ,F                    ,A                          ,F                    ,R                       ,R                       ,R                    ,R                     ,R                      ,                 ,R                  ,                   ,                       ,                 ,                          ,R                           ,R               ,R                ,R                             ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 27,R,CC,   4.00,    844.6700,Firth    ,Nannofossils                                 ,F              ,G                 ,                         ,R                      ,                      ,                         ,R                       ,R                    ,F                          ,R                    ,                        ,R                       ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 28,R,CC,  12.00,    854.9900,Firth    ,Nannofossils                                 ,C              ,M                 ,                         ,F                      ,                      ,                         ,F                       ,F                    ,C                          ,F                    ,                        ,R                       ,R                    ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 29,R,CC,   0.00,    861.9000,Firth    ,Nannofossils                                 ,C              ,M                 ,                         ,F                      ,                      ,                         ,F                       ,F                    ,C                          ,F                    ,                        ,R                       ,                     ,                      ,                       ,                 ,                   ,R                  ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 30,R, 4,  52.00,    869.4200,Firth    ,Nannofossils                                 ,C              ,M                 ,                         ,F                      ,                      ,                         ,F                       ,F                    ,C                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,R                  ,R                  ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
