Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiphora pelagica	Thalassiphora delicata	Polysphaeridium zoharyi	Polysphaeridium subtile	Polysphaeridium congregatum	Incertae sedis sp.1	Hystrichokolpoma rigaudiae	Homotryblium vallum	Homotryblium floripes	Distatodinium paradoxum	Dapsilidinium pseudocolligerum	Chiropteridium mespilanum	Cannosphaeropsis cf. C. utinensis	Apteodinium spiridoides	Apteodinium sp. A	Apteodinium australiense	Achomosphaera ramulifera	Tuberculodinium vancampoae	Spiniferites ramosus	Spiniferites membranaceus	Pentadinium laticinctum	Lingulodinium machaerophorum	Impagidinium velorum	Hystrichosphaeropsis obscura	Hystrichokolpoma cinctum	Homotryblium tenuispinosum	Homotryblium oceanicum	Dapsilidinium pastielsii	Cyclopsiella granosa	Caligodinium pychnum	Pyxidiella? simplex	Nematosphaeropsis labyrinthea	Impagidinium patulum	Sumatradinium druggii	Spiniferites rubinus	Spiniferites mirabilis	Selenopemphix nephroides	Reticulatosphaera actinocoronata	Operculodinium? eirikianum	Operculodinium israelianum	Operculodinium crassum	Operculodinium centrocarpum	Nematosphaeropsis major	Labyrinthodinium truncatum	Impagidinium sp. F 	Impagidinium aculeatum	Cymatiosphaera invaginata	Batiacasphaera micropapillata s.l.	Achomosphaera andalousiensis	Spiniferites spp.	Operculodinium janduchenei	Micrhystridium sp.	Melitasphaeridium choanophorum	Corrudinium harlandii	Spiniferites belerius	Invertocysta tabulata	Invertocysta lacrymosa	Impagidinium sphaericum	Impagidinium sp. A 	Impagidinium sp.	Impagidinium bacatum	Impagidinium aliferum	Galeacysta etrusca	Brigantedinium spp.	Amiculosphaera umbracula	Stelladinium stellatum	Multispinula quanta	Impagidinium strialatum	Bitectatodinium tepikiense	Comment

  SR	Late Pliocene    	                 	Zone V            	              	149	 900	A	  9	R	 2	  23.00	     66.2300	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                       	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	                    	                         	                       	F                           	                    	                            	                        	                          	                      	                        	                    	                    	                   	                             	F                   	                     	                    	                      	                        	                                	                          	F                         	F                     	F                          	                       	                          	                   	C                     	                         	                                  	F                           	R                	                          	                  	R                             	                     	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	F                       	R                     	R                  	                       	                          	697 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Late Pliocene    	                 	Zone IV           	              	149	 900	A	 10	R	 2	  99.00	     76.5900	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                       	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	F                   	                         	                       	C                           	                    	                            	                        	                          	                      	                        	                    	                    	                   	                             	F                   	                     	                    	R                     	                        	                                	                          	C                         	C                     	R                          	                       	                          	                   	F                     	                         	                                  	                            	R                	                          	R                 	                              	                     	                     	                     	                      	F                      	F                  	F               	                    	R                    	                  	                   	                        	                      	                   	                       	                          	97 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Late Pliocene    	                 	Zone IV           	              	149	 900	A	 10	R	 4	  31.00	     78.9100	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                       	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	F                   	                         	                       	R                           	                    	                            	                        	                          	                      	                        	                    	                    	                   	R                            	R                   	                     	                    	                      	                        	                                	R                         	F                         	R                     	F                          	                       	                          	                   	C                     	F                        	                                  	                            	F                	                          	R                 	R                             	                     	F                    	R                    	F                     	R                      	C                  	C               	R                   	R                    	F                 	R                  	R                       	                      	                   	                       	                          	267 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Early Pliocene   	                 	Zone III          	              	149	 900	A	 11	R	 4	 100.00	     89.2000	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                       	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	                    	                         	                       	                            	                    	                            	                        	                          	                      	                        	                    	                    	                   	                             	+                   	                     	                    	                      	                        	                                	                          	                          	                      	                           	                       	                          	                   	+                     	                         	                                  	                            	                 	                          	                  	                              	                     	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	                        	                      	                   	                       	                          	14 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Late Miocene     	                 	Zone III          	              	149	 900	A	 12	R	 4	  18.00	     98.0800	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                       	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	                    	                         	                       	                            	                    	                            	                        	                          	                      	                        	                    	                    	                   	                             	A                   	                     	                    	                      	                        	                                	                          	                          	                      	                           	                       	                          	                   	R                     	                         	                                  	                            	F                	                          	                  	                              	                     	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	                        	                      	                   	                       	                          	110 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Late Miocene     	                 	Zone II           	              	149	 900	A	 14	R	 5	 148.00	    120.1800	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	C                      	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	                    	                         	                       	C                           	                    	                            	                        	                          	                      	                        	                    	                    	                   	                             	                    	                     	                    	                      	                        	                                	                          	                          	                      	                           	                       	                          	                   	                      	                         	                                  	                            	C                	                          	                  	                              	                     	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	                        	                      	                   	                       	                          	48 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Late Miocene     	                 	Zone II           	              	149	 900	A	 16	R	 5	  81.00	    138.8100	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	R                      	                       	                           	                   	                          	                   	                     	                       	                              	                         	                                 	                       	                 	                        	                        	                          	F                   	                         	                       	F                           	                    	                            	                        	                          	                      	                        	                    	                    	                   	F                            	                    	                     	                    	                      	                        	F                               	                          	F                         	                      	                           	                       	                          	                   	                      	                         	                                  	                            	F                	R                         	                  	                              	                     	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	                        	                      	                   	                       	                          	23 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Late Miocene     	                 	Zone II           	              	149	 900	A	 17	R	 3	  10.00	    144.7000	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	F                      	                       	                           	                   	                          	                   	R                    	                       	                              	                         	                                 	                       	                 	                        	                        	                          	                    	                         	                       	F                           	                    	                            	                        	                          	                      	                        	                    	                    	F                  	                             	R                   	                     	C                   	                      	                        	                                	F                         	F                         	                      	R                          	                       	                          	                   	                      	                         	                                  	                            	C                	R                         	R                 	R                             	R                    	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	                        	                      	                   	                       	                          	169 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Middle Miocene   	                 	Zone II           	              	149	 900	A	 18	R	 2	  58.00	    153.3800	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	F                      	                       	                           	                   	                          	                   	R                    	                       	                              	                         	                                 	                       	                 	                        	R                       	                          	R                   	R                        	                       	F                           	R                   	R                           	                        	                          	                      	                        	                    	                    	R                  	                             	                    	R                    	R                   	R                     	R                       	R                               	F                         	R                         	A                     	R                          	R                      	R                         	R                  	R                     	R                        	F                                 	F                           	                 	                          	                  	                              	                     	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	                        	                      	                   	                       	                          	105 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Early Miocene    	                 	Zone I            	              	149	 900	A	 21	R	 1	 101.00	    181.3100	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	R                      	                       	                           	                   	                          	                   	R                    	                       	C                             	F                        	R                                	R                      	                 	R                       	                        	                          	C                   	R                        	R                      	                            	                    	                            	                        	                          	                      	R                       	                    	                    	F                  	R                            	R                   	                     	                    	                      	                        	                                	                          	                          	                      	                           	                       	                          	                   	                      	                         	                                  	                            	                 	                          	                  	                              	                     	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	                        	                      	                   	                       	                          	98 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Early Miocene    	                 	Zone I            	              	149	 900	A	 30	R	 4	  91.00	    272.5100	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	F                     	R                     	R                      	                       	R                          	R                  	R                         	                   	F                    	                       	C                             	R                        	R                                	R                      	R                	C                       	                        	R                         	R                   	R                        	R                      	R                           	R                   	R                           	F                       	C                         	F                     	F                       	F                   	R                   	                   	                             	                    	                     	                    	                      	                        	                                	                          	                          	                      	                           	                       	                          	                   	                      	                         	                                  	                            	                 	                          	                  	                              	                     	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	                        	                      	                   	                       	                          	197 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

  SR	Early Miocene    	                 	Zone I            	              	149	 900	A	 36	R	 3	  95.00	    328.8500	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	F                     	R                     	C                      	R                      	R                          	R                  	F                         	F                  	C                    	R                      	C                             	R                        	R                                	R                      	R                	R                       	R                       	                          	                    	                         	                       	                            	                    	                            	                        	                          	                      	                        	                    	                    	                   	                             	                    	                     	                    	                      	                        	                                	                          	                          	                      	                           	                       	                          	                   	                      	                         	                                  	                            	                 	                          	                  	                              	                     	                     	                     	                      	                       	                   	                	                    	                     	                  	                   	                        	                      	                   	                       	                          	115 Dinocyst concentration/ml. from 149 SR. Chapter 10. Table 2. page 251.

