Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Sphenolithus heteromorphus	Reticulofenestra samodurovii	Reticulofenestra minutula	Reticulofenestra minuta	Pontosphaera multipora	Pontosphaera discopora	Helicosphaera euphratis	Helicosphaera carteri	Helicosphaera ampliaperta	Geminilithella rotula	Discoaster variabilis	Discoaster deflandrei	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Sphenolithus belemnos	Pyrocyclus orangensis	Pyrocyclus hermosus	Helicosphaera scissura	Hayella aperta	Calcidiscus tropicus	Calcidiscus premacintyrei	Calcidiscus leptoporus	Solidopons petrae	Triquetrorhabdulus challengeri	Rhabdosphaera procera	Umbilicosphaera sibogae	Helicosphaera perch-nielseniae	Cryptococcolithus takayamae	Scyphosphaera spp.	Discoaster signus	Braarudosphaera bigelowii	Discoaster "six-rayed"	Helicosphaera waltrans	Discoaster kugleri	Cruciplacolithus tenuiforatus	Pontosphaera spp.	Reticulofenestra pseudoumbilicus	Discoaster musicus	Triquetrorhabdulus rugosus	Scapholithus fossilis	Discoaster pseudovariabilis	Discoaster bollii	Comment

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  3	X	 1	 138.00	    275.6800	Howe     	Nannofossils                                 	M-H            	M                 	F                      	F                         	R                           	C                        	A                      	F                     	S                     	S                      	F                    	                         	C                    	F                    	                     	C                          	                      	C                    	R                       	                     	                     	                   	                      	              	R                   	                         	                      	                 	                              	F                    	                       	                              	S                          	S                 	R                	                         	                      	                      	                  	                             	S                	                                	                  	                          	                     	                           	                 	Rare Cretaceous reworking & Few biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  3	X	 3	  40.00	    277.7000	Howe     	Nannofossils                                 	L-M            	P-M               	S                      	F                         	R                           	C                        	F                      	                      	                      	                       	F                    	                         	F                    	R                    	                     	C                          	                      	C                    	R                       	?S                   	                     	                   	                      	S             	                    	S                        	                      	                 	                              	                     	R                      	                              	                           	                  	F                	                         	                      	?S                    	?R                	                             	                 	                                	                  	                          	                     	                           	                 	Abundant biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  3	X	 5	  30.00	    280.6000	Howe     	Nannofossils                                 	VL             	P                 	                       	                          	                            	                         	                       	                      	                      	                       	                     	                         	                     	F                    	                     	                           	                      	                     	                        	                     	                     	                   	                      	              	                    	                         	                      	                 	                              	                     	                       	                              	                           	                  	F                	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Abundant biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  4	X	 1	  50.00	    284.4000	Howe     	Nannofossils                                 	M-H            	M-G               	R                      	F                         	R                           	C                        	C                      	R                     	S                     	                       	F                    	                         	F                    	C                    	                     	C                          	R                     	C                    	F                       	                     	                     	                   	                      	S             	R                   	S                        	                      	                 	                              	                     	F                      	                              	                           	                  	F                	                         	                      	S                     	?R                	S                            	                 	                                	                  	                          	                     	                           	                 	Abundant biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  4	X	 3	  93.00	    287.8300	Howe     	Nannofossils                                 	H              	M-G               	R                      	F                         	                            	A                        	C                      	R                     	                      	R                      	C                    	S                        	C                    	C                    	                     	C                          	R                     	C                    	F                       	                     	                     	                   	                      	              	F                   	R                        	                      	                 	                              	                     	F                      	R                             	                           	                  	F                	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Single Paleogene reworking & Few biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  4	X	 4	  75.00	    289.1500	Howe     	Nannofossils                                 	VL             	P                 	                       	                          	                            	                         	                       	                      	                      	                       	                     	                         	                     	R                    	                     	R                          	                      	                     	                        	                     	                     	                   	                      	              	                    	                         	                      	                 	                              	                     	                       	                              	                           	                  	R                	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Rare biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  5	X	 1	  28.00	    293.8800	Howe     	Nannofossils                                 	L              	P                 	                       	R                         	                            	R                        	                       	S                     	                      	R                      	F                    	                         	R                    	F                    	                     	F                          	                      	F                    	R                       	                     	                     	                   	                      	              	R                   	                         	                      	                 	                              	                     	                       	S                             	                           	                  	S                	                         	C                     	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Abundant biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  5	X	 3	  65.00	    297.2500	Howe     	Nannofossils                                 	M              	M                 	R                      	F                         	S                           	C                        	A                      	S                     	                      	R                      	F                    	R                        	F                    	F                    	                     	C                          	S                     	F                    	R                       	                     	S                    	                   	                      	              	R                   	                         	R                     	S                	                              	                     	F                      	                              	                           	                  	F                	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Abundant biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  5	X	CC	  39.00	    303.4900	Howe     	Nannofossils                                 	M              	M-G               	F                      	F                         	S                           	C                        	C                      	R                     	                      	R                      	F                    	R                        	                     	C                    	                     	C                          	R                     	C                    	F                       	                     	                     	                   	                      	              	R                   	S                        	S                     	                 	S                             	                     	F                      	                              	                           	S                 	F                	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Abundant biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  6	X	 2	  24.00	    304.9400	Howe     	Nannofossils                                 	H              	M-G               	F                      	F                         	                            	C                        	C                      	R                     	R                     	R                      	F                    	R                        	F                    	C                    	                     	C                          	                      	C                    	F                       	                     	S                    	                   	                      	              	R                   	                         	R                     	                 	                              	R                    	F                      	                              	                           	                  	F                	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Few Cretaceous reworking & Abundant biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  6	X	 3	 115.00	    307.3500	Howe     	Nannofossils                                 	H              	M-G               	F                      	F                         	R                           	C                        	C                      	R                     	                      	R                      	F                    	R                        	F                    	C                    	S                    	C                          	R                     	C                    	F                       	                     	                     	                   	                      	              	F                   	R                        	                      	                 	                              	R                    	R                      	                              	                           	                  	F                	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Rare Cretaceous & Paleogene reworking. Rare biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  6	X	 6	  95.00	    311.6500	Howe     	Nannofossils                                 	M-H            	M-G               	F                      	F                         	F                           	C                        	A                      	R                     	R                     	R                      	F                    	R                        	F                    	F                    	R                    	C                          	                      	C                    	F                       	                     	                     	                   	                      	              	R                   	R                        	R                     	                 	R                             	R                    	F                      	                              	                           	                  	C                	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Few biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Middle Miocene   	                 	CN4               	              	157	 951	B	  7	X	 5	  59.00	    319.4900	Howe     	Nannofossils                                 	M-H            	P-M               	F                      	F                         	F                           	C                        	F                      	R                     	S                     	                       	R                    	                         	F                    	F                    	C                    	C                          	R                     	C                    	F                       	R                    	                     	                   	                      	              	F                   	                         	S                     	                 	                              	                     	                       	                              	                           	R                 	R                	R                        	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Common Paleogene reworking & Rare biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Early Miocene    	                 	CN3               	              	157	 951	B	  8	X	 1	 107.00	    323.5700	Howe     	Nannofossils                                 	M              	M-G               	F                      	F                         	F                           	C                        	C                      	F                     	R                     	R                      	F                    	R                        	F                    	F                    	F                    	C                          	S                     	F                    	R                       	                     	                     	R                  	R                     	              	                    	                         	R                     	                 	                              	F                    	C                      	R                             	S                          	                  	                 	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Rare Cretaceous reworking & Few biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Early Miocene    	                 	CN3               	              	157	 951	B	  8	X	 3	  18.00	    325.6800	Howe     	Nannofossils                                 	H              	M                 	F                      	C                         	C                           	C                        	C                      	R                     	R                     	R                      	R                    	S                        	F                    	C                    	F                    	A                          	R                     	C                    	F                       	                     	                     	R                  	                      	              	R                   	R                        	                      	                 	S                             	R                    	                       	                              	                           	                  	                 	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Few Cretaceous & Rare Paleogene reworking. Rare biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Early Miocene    	                 	CN3               	              	157	 951	B	  8	X	 4	  42.50	    327.4250	Howe     	Nannofossils                                 	VL             	P                 	                       	                          	S                           	S                        	                       	                      	                      	                       	                     	                         	                     	R                    	R                    	S                          	                      	                     	S                       	                     	                     	                   	                      	              	                    	                         	                      	                 	                              	                     	                       	                              	                           	                  	                 	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	found in SR. Ch 29. Table 3.

  SR	Early Miocene    	                 	CN3               	              	157	 951	B	  9	X	 5	 116.00	    339.2600	Howe     	Nannofossils                                 	M              	P-M               	F                      	F                         	F                           	C                        	C                      	R                     	S                     	R                      	F                    	F                        	F                    	C                    	F                    	C                          	R                     	C                    	F                       	                     	                     	S                  	                      	              	R                   	                         	                      	S                	                              	                     	                       	                              	                           	                  	                 	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Few biogenic siliceous debris. found in SR. Ch 29. Table 3.

  SR	Early Miocene    	                 	CN3               	              	157	 951	B	  9	X	 6	 128.00	    340.8800	Howe     	Nannofossils                                 	H              	M-G               	F                      	C                         	F                           	C                        	C                      	R                     	S                     	                       	F                    	                         	F                    	C                    	F                    	C                          	F                     	C                    	F                       	R                    	S                    	R                  	S                     	?S            	F                   	R                        	R                     	                 	                              	                     	                       	                              	                           	                  	                 	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Rare Paleogene reworking. found in SR. Ch 29. Table 3.

  SR	Early Miocene    	                 	CN3               	              	157	 951	B	 10	X	CC	  23.00	    351.1300	Howe     	Nannofossils                                 	M-H            	M                 	F                      	F                         	F                           	A                        	C                      	S                     	R                     	R                      	F                    	F                        	R                    	C                    	F                    	C                          	S                     	C                    	F                       	                     	                     	                   	                      	              	                    	                         	                      	                 	                              	                     	                       	                              	                           	                  	                 	                         	                      	                      	                  	                             	                 	                                	                  	                          	                     	                           	                 	Rare Cretaceous & Paleogene reworking. Common biogenic siliceous debris. found in SR. Ch 29. Table 3.

