Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Spongotrochus glacialis,Rhizosphaera antarctica,Pseudocubus vema,Phorticium clevei,Eucyrtidium calvertense,Desmospyris spongiosa,Desmospyris rhodospyroides,Cycladophora pliocenica,Antarctissa robusta,Antarctissa cylindrica,Eucyrtidium teuscheri,Botryopera triloba,Saccospyris praeantarctica,Ceratocyrtis histricosa,Antarctissa denticulata,Comment
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C,  9,R, 2,  53.00,    276.4300,Caulet   ,Radiolarians                                 ,C              ,G                 ,                      ,                       ,                       ,C               ,                 ,                       ,R                    ,T                         ,C                      ,A                  ,A                     ,                     ,R                 ,T                         ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C,  9,R,CC,   0.00,    284.0900,Caulet   ,Radiolarians                                 ,C              ,G                 ,T                     ,T                      ,                       ,C               ,C                ,                       ,C                    ,C                         ,A                      ,C                  ,T                     ,                     ,C                 ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C, 10,R,CC,   0.00,    293.6000,Caulet   ,Radiolarians                                 ,A              ,G                 ,T                     ,R                      ,T                      ,R               ,R                ,R                      ,F                    ,R                         ,C                      ,A                  ,T                     ,                     ,C                 ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C, 11,R,CC,   0.00,    300.0300,Caulet   ,Radiolarians                                 ,F              ,G                 ,T                     ,                       ,                       ,R               ,R                ,                       ,R                    ,T                         ,C                      ,C                  ,                      ,                     ,R                 ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C, 12,R,CC,   0.00,    303.9100,Caulet   ,Radiolarians                                 ,C              ,G                 ,                      ,                       ,                       ,R               ,F                ,R                      ,R                    ,C                         ,C                      ,C                  ,T                     ,                     ,C                 ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C, 13,R,CC,   0.00,    322.6000,Caulet   ,Radiolarians                                 ,C              ,G                 ,                      ,R                      ,                       ,F               ,R                ,R                      ,                     ,T                         ,C                      ,A                  ,                      ,T                    ,                  ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C, 14,R,CC,   0.00,    327.2200,Caulet   ,Radiolarians                                 ,R              ,G                 ,R                     ,T                      ,                       ,R               ,R                ,F                      ,                     ,C                         ,C                      ,                   ,                      ,                     ,                  ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C, 15,R,CC,   0.00,    342.0800,Caulet   ,Radiolarians                                 ,R              ,G                 ,F                     ,                       ,                       ,R               ,R                ,                       ,R                    ,F                         ,C                      ,F                  ,                      ,                     ,                  ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C, 16,R,CC,   0.00,    347.4500,Caulet   ,Radiolarians                                 ,R              ,G                 ,                      ,                       ,                       ,C               ,                 ,R                      ,R                    ,R                         ,                       ,R                  ,R                     ,                     ,                  ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C, 17,R,CC,   0.00,    353.3600,Caulet   ,Radiolarians                                 ,R              ,G                 ,R                     ,T                      ,                       ,T               ,                 ,                       ,                     ,R                         ,R                      ,                   ,                      ,                     ,                  ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,C, 18,R,CC,   0.00,    366.0700,Caulet   ,Radiolarians                                 ,F              ,G                 ,R                     ,T                      ,T                      ,R               ,T                ,T                      ,F                    ,R                         ,F                      ,R                  ,                      ,                     ,                  ,                          ,                       ,                       ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
