Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp.,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Coccolithus miopelagicus,Sphenolithus moriformis,Reticulofenestra pseudoumbilica,Reticulofenestra gelida,Discoaster variabilis,Helicosphaera spp.,Discoaster loeblichii,Discoaster surculus,Discoaster quinqueramus,Discoaster intercalaris,Discoaster brouweri,Triquetrorhabdulus rugosus,Amaurolithus tricorniculatus,Amaurolithus amplificus,Amaurolithus delicatus,Pseudoemiliania lacunosa,Discoaster pentaradiatus,Gephyrocapsa > 4.5,Gephyrocapsa spp. (small),Comment
  IR,                 ,                 ,                  ,              ,189,1172,B,  6,H,CC,   3.00,     50.5200,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,F                      ,                     ,                  ,                     ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B,  7,H,CC,  13.00,     60.3300,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,C                      ,                     ,                  ,                     ,R                  ,                       ,                       ,                   ,                          ,                            ,                       ,R                     ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B,  8,H,CC,  21.00,     69.7800,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,C                      ,                     ,                  ,                     ,R                  ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B,  9,H,CC,  23.00,     79.2000,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,C                      ,                     ,                  ,                     ,R                  ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 10,H,CC,  45.00,     89.0500,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,C                      ,                     ,                  ,                     ,                   ,R                      ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 11,H,CC,   0.00,     98.0600,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,                       ,                     ,                  ,                     ,                   ,R                      ,                       ,                   ,                          ,R                           ,R                      ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 13,H,CC,  69.00,    116.5200,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,                       ,                     ,                  ,                     ,R                  ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 14,H,CC,   9.00,    126.4600,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,                       ,R                    ,                  ,                     ,                   ,                       ,R                      ,                   ,R                         ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 15,H,CC,  16.00,    136.1100,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,A                      ,F                    ,                  ,R                    ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 16,H,CC,  30.00,    145.8200,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,                      ,                      ,                        ,                       ,                               ,                       ,F                    ,C                 ,R                    ,R                  ,R                      ,R                      ,F                  ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 17,H,CC,   0.00,    154.3000,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,C                     ,                      ,                        ,                       ,                               ,                       ,C                    ,F                 ,F                    ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 18,H,CC,  14.00,    164.1200,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,A                     ,A                     ,                        ,                       ,A                              ,A                      ,F                    ,                  ,                     ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 19,H,CC,  16.00,    174.0300,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                     ,C                     ,C                     ,F                       ,                       ,                               ,                       ,                     ,                  ,                     ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 20,H,CC,   8.00,    183.1000,nannos   ,Nannofossils                                 ,A              ,M                 ,A                    ,                     ,A                     ,A                     ,                        ,F                      ,                               ,                       ,                     ,                  ,                     ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 21,H,CC,  14.00,    192.6400,nannos   ,Nannofossils                                 ,A              ,M                 ,A                    ,                     ,C                     ,C                     ,C                       ,                       ,                               ,                       ,                     ,                  ,                     ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 22,H,CC,  30.00,    202.7400,nannos   ,Nannofossils                                 ,A              ,M                 ,A                    ,C                    ,F                     ,C                     ,                        ,                       ,                               ,                       ,                     ,                  ,                     ,                   ,                       ,                       ,                   ,                          ,                            ,                       ,                      ,                        ,                        ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
