Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus sp. aff. S. anarrhopus,Reticulofenestra spp.,Pontosphaera spp.,Placolith (small),Pentalith (fragments),Discoaster saipanensis,Discoaster barbadiensis,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Cribrocentrum reticulatum,Coccolithus pelagicus,Pemma papillatum,Micrantholithus spp.,Helicosphaera spp.,Discoaster spp.,Discoaster kuepperi,Braarudosphaera spp.,Sphenolithus spp.,Ericsonia formosa,Dictyococcites scrippsae,Calcidiscus protoannulus,Biantholithus sparsus,Coccolithus eopelagicus,Sphenolithus radians,Reticulofenestra umbilica,Reticulofenestra hillae,Micrantholithus flos,Discoaster tanii tanii,Bramletteius serraculoides,Braarudosphaera bigelowii,Sphenolithus pseudoradians,Sphenolithus intercalaris,Pemma basquense crassum,Micrantholithus pinguis,Helicosphaera salebrosa,Discoaster tanii nodifer,Braarudosphaera discula,Helicosphaera sp. aff. H. intermedia,Sphenolithus tribulosus,Helicosphaera reticulata,Helicosphaera bramlettei,Discoaster deflandrei,Helicosphaera compacta,Isthmolithus recurvus,Ericsonia subdisticha,Dictyococcites hampdenensis,Sphenolithus obtusus,Sphenolithus celsus,Reticulofenestra dictyoda,Chiasmolithus sp. cf. C. modestus,Sphenolithus predistentus,Sphenolithus distentus,Isthmolithus unipons,Triquetrorhabdulus farnsworthii,Sphenolithus heteromorphus,Helicosphaera burkei,Helicosphaera carteri,Discoaster variabilis,Discoaster signus,Calcidiscus leptoporus,Oolithotus spp.,Discoaster exilis,Umbellosphaera irregularis,Reticulofenestra pseudoumbilica,Minylitha convallis,Discoaster braarudii,Umbilicosphaera spp.,Dictyococcites haqii,Triquetrorhabdulus rugosus,Calcidiscus macintyrei,Discoaster brouweri,Sphenolithus quadrispinatus,Discoaster sp. cf. D. neorectus,Discoaster pentaradiatus,Discoaster bollii,Discoaster archipelagoensis,Discoaster andamanensis,Discoaster perclarus,Helicosphaera sellii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  5,R, 2,  80.00,    201.0000,Quinterno,Nannofossils                                 ,R              ,M                 ,                       ,                                   ,                     ,                 ,R                ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,                     ,                ,                    ,                  ,R              ,                   ,                    ,                 ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,rR                        ,                    ,                     ,                     ,                 ,                      ,               ,                 ,                          ,                               ,R                  ,                    ,                    ,                    ,                          ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  5,R, 2, 132.00,    201.5200,Quinterno,Nannofossils                                 ,R              ,M                 ,                       ,                                   ,                     ,                 ,                 ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,                     ,                ,                    ,                  ,               ,                   ,                    ,                 ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,                     ,                     ,                 ,                      ,               ,                 ,                          ,                               ,F                  ,                    ,                    ,                    ,                          ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  5,R,CC,  13.00,    201.9800,Quinterno,Nannofossils                                 ,C              ,M                 ,                       ,                                   ,F                    ,                 ,                 ,                     ,                      ,                       ,rR                     ,                           ,                          ,                         ,F                    ,                ,                    ,                  ,F              ,                   ,                    ,C                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,R                    ,F                    ,                 ,F                     ,               ,                 ,                          ,C                              ,C                  ,                    ,                    ,                    ,R                         ,F                     ,C                  ,                           ,F                              ,R                       ,                 ,F                          ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  6,R, 2,  89.00,    210.7900,Quinterno,Nannofossils                                 ,A              ,M                 ,                       ,                                   ,F                    ,                 ,                 ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,F                    ,                ,                    ,                  ,F              ,                   ,                    ,F                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,                     ,F                    ,                 ,F                     ,               ,                 ,                          ,F                              ,C                  ,                    ,                    ,                    ,                          ,R                     ,F                  ,R                          ,                               ,                        ,                 ,F                          ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  7,R,CC,  20.00,    220.4700,Quinterno,Nannofossils                                 ,C              ,M                 ,                       ,                                   ,F                    ,                 ,                 ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,F                    ,                ,                    ,                  ,R              ,                   ,                    ,C                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,R                    ,R                    ,                 ,                      ,F              ,                 ,                          ,F                              ,C                  ,                    ,                    ,                    ,R                         ,R                     ,F                  ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  8,R, 1,  52.00,    228.2200,Quinterno,Nannofossils                                 ,C              ,P                 ,                       ,                                   ,C                    ,                 ,                 ,                     ,                      ,                       ,                       ,rF                         ,rF                        ,                         ,                     ,                ,                    ,                  ,F              ,                   ,                    ,R                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,rF                        ,                    ,                     ,R                    ,                 ,                      ,               ,                 ,                          ,                               ,                   ,                    ,                    ,                    ,R                         ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,135, 841,B,  8,R,CC,   0.00,    229.1600,Quinterno,Nannofossils                                 ,C              ,P                 ,                       ,                                   ,F                    ,                 ,                 ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,R                    ,                ,                    ,                  ,F              ,                   ,                    ,F                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,F                              ,                          ,                    ,                     ,C                    ,                 ,R                     ,               ,                 ,                          ,F                              ,C                  ,                    ,                    ,                    ,R                         ,                      ,F                  ,                           ,R                              ,F                       ,R                ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,              ,135, 841,B,  9,R, 1,  91.00,    238.3100,Quinterno,Nannofossils                                 ,R              ,P                 ,                       ,                                   ,                     ,                 ,                 ,                     ,                      ,                       ,                       ,rR                         ,                          ,                         ,                     ,                ,                    ,                  ,               ,                   ,                    ,                 ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,                     ,                     ,                 ,                      ,               ,                 ,                          ,                               ,R                  ,                    ,                    ,                    ,                          ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,              ,135, 841,B,  9,R,CC,   0.00,    239.9400,Quinterno,Nannofossils                                 ,C              ,P                 ,                       ,                                   ,F                    ,R                ,F                ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,R                    ,                ,                    ,                  ,R              ,                   ,                    ,F                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,                     ,R                    ,                 ,R                     ,               ,                 ,                          ,R                              ,C                  ,                    ,                    ,                    ,R                         ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,              ,135, 841,B, 10,R,CC,   0.00,    248.3300,Quinterno,Nannofossils                                 ,F              ,P                 ,                       ,                                   ,                     ,                 ,                 ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,                     ,                ,                    ,                  ,               ,                   ,                    ,                 ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,                     ,                     ,                 ,                      ,               ,                 ,                          ,                               ,F                  ,                    ,                    ,                    ,                          ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,              ,135, 841,B, 11,R,CC,  16.00,    258.8300,Quinterno,Nannofossils                                 ,F              ,P                 ,                       ,                                   ,R                    ,                 ,                 ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,R                    ,                ,                    ,                  ,R              ,                   ,                    ,F                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,                     ,                     ,                 ,                      ,               ,                 ,                          ,R                              ,F                  ,                    ,                    ,                    ,                          ,                      ,                   ,F                          ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,              ,135, 841,B, 12,R,CC,  27.00,    269.5700,Quinterno,Nannofossils                                 ,F              ,P                 ,                       ,                                   ,F                    ,                 ,                 ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,R                    ,                ,                    ,                  ,R              ,                   ,                    ,F                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,                     ,R                    ,                 ,                      ,               ,                 ,                          ,                               ,F                  ,                    ,                    ,                    ,                          ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,              ,135, 841,B, 14,R,CC,   5.00,    285.2500,Quinterno,Nannofossils                                 ,C              ,P                 ,                       ,                                   ,F                    ,                 ,                 ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,F                    ,                ,                    ,                  ,               ,                   ,                    ,C                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,F                    ,                     ,                 ,F                     ,               ,                 ,                          ,R                              ,F                  ,                    ,                    ,                    ,R                         ,R                     ,R                  ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,              ,135, 841,B, 15,R,CC,  24.00,    300.9100,Quinterno,Nannofossils                                 ,F              ,P                 ,                       ,                                   ,C                    ,R                ,F                ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,F                    ,                ,                    ,                  ,F              ,                   ,                    ,C                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,R                              ,                          ,                    ,                     ,                     ,                 ,F                     ,               ,                 ,                          ,R                              ,R                  ,                    ,R                   ,                    ,                          ,R                     ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,              ,135, 841,B, 16,R,CC,  23.00,    312.8800,Quinterno,Nannofossils                                 ,F              ,P                 ,                       ,                                   ,                     ,                 ,                 ,                     ,                      ,                       ,                       ,                           ,                          ,                         ,                     ,                ,                    ,                  ,F              ,                   ,                    ,F                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,                          ,                    ,                     ,R                    ,                 ,R                     ,               ,                 ,                          ,                               ,F                  ,                    ,                    ,                    ,                          ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN4               ,              ,135, 841,B, 32,R, 1, 107.00,    459.1700,Quinterno,Nannofossils                                 ,F              ,M                 ,                       ,                                   ,                     ,                 ,R                ,                     ,                      ,                       ,                       ,F                          ,F                         ,                         ,R                    ,                ,                    ,                  ,R              ,                   ,                    ,F                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,                     ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,F                         ,                    ,                     ,                     ,                 ,                      ,               ,                 ,                          ,                               ,                   ,                    ,                    ,                    ,F                         ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN4               ,              ,135, 841,B, 32,R,CC,  15.00,    460.3800,Quinterno,Nannofossils                                 ,C              ,M                 ,                       ,                                   ,                     ,                 ,R                ,                     ,                      ,                       ,                       ,C                          ,R                         ,                         ,                     ,                ,                    ,                  ,F              ,                   ,                    ,F                ,                 ,                        ,                        ,                     ,                       ,                    ,                         ,                       ,                    ,                      ,                          ,                         ,                          ,                         ,                       ,                       ,                       ,                        ,                       ,                                    ,                       ,                        ,                        ,F                    ,                      ,                     ,                     ,                           ,                    ,                   ,                         ,                                 ,                         ,                      ,                    ,                               ,F                         ,                    ,                     ,                     ,                 ,                      ,               ,R                ,                          ,                               ,                   ,                    ,                    ,                    ,                          ,                      ,                   ,                           ,                               ,                        ,                 ,                           ,                       ,                    ,                    ,from ODP Leg 135 SR Chapter 17 Table 6 p 278-281 & Table 8 p 282
