Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygodiscus sigmoides	Watznaueria barnesae	Thoracosphaera operculata	Prinsius bisulcus	Micrantholithus pinguis	Cruciplacolithus tenuis	Cribrosphaerella ehrenbergii	Cretarhabdus conicus	Coccolithus subpertusus	Coccolithus pelagicus	Braarudosphaera bigelowii	Arkhangelskiella cymbiformis	Zygrhablithus bijugatus	Zygodiscus bramlettei	Toweius pertusus	Toweius eminens	Sphenolithus moriformis	Prediscosphaera cretacea	Placozygus sigmoides	Neochiastozygus chiastus	Micula decussata	Micrantholithus sp.	Markalius inversus	Heliolithus cantabriae	Fasciculithus tympaniformis	Fasciculithus thomasii	Fasciculithus schaubii	Fasciculithus lillianae	Fasciculithus janii	Fasciculithus involutus	Fasciculithus bobii	Fasciculithus alanii	Ellipsolithus distichus	Discoaster multiradiatus	Discoaster mohleri	Discoaster helianthus	Coronocyclus prionion	Chiasmolithus consuetus	Chiasmolithus californicus	Chiasmolithus bidens	Tribrachiatus contortus	Thoracosphaera saxea	Rhomboaster cuspis	Microrhabdulus decoratus	Fasciculithus spp.	Discoaster diastypus	Discoaster barbadiensis	Tribrachiatus orthostylus	Sphenolithus radians	Discoaster robustus	Discoaster lodoensis	Discoaster cf. diastypus	Discoaster binodosus	Coronocyclus serratus	Coccolithus formosus	Chiasmolithus grandis	Reticulofenestra spp.	Discoaster nonaradiatus	Discoaster kuepperi	Discoaster cf. kuepperi	Zeughrabdotus/Placozygus spp.	Toweius gammation	Rhabdosphaera tenuis	Reticulofenestra samodurovii	Reticulofenestra dictyoda	Reticulofenestra cf. bisecta	Pseudotriquetrorhabdulus inversus	Helicosphaera seminulum	Helicosphaera lophota	Discoaster sublodoensis	Discoaster gemmifer	Cyclicargolithus floridanus	Coccolithus eopelagicus	Chiasmolithus titus	Chiasmolithus solitus	Chiasmolithus expansus	Campylosphaera dela	Birkelundia staurion	Rhabdosphaera inflata	Nannotetrina cristata	Heliolithus kleinpellii	Eiffellithus turriseiffelii	Discoaster bifax/praebifax	Neococcolithes dubius	Nannotetrina fulgens	Discoaster spp. (overgrown)	Cyclicargolithus cf. floridanus	Micrantolithus/Pemma sp.	Micrantholithus flos	Chiasmolithus gigas	Sphenolithus spiniger	Sphenolithus furcatolithoides	Pemma basquensis	Eiffellithus eximius	Thoracosphaera prolata	Reticulofenestra umbilica	Nannotetrina pappii	Discoaster martinii	Ahmuellerella octoradiata	Transversopontis pulcher	Micrantholithus cf. altus	Pontosphaera plana	Discoaster saipanensis	Discoaster distinctus	Sphenolithus obtusus	Reticulofenestra floridana	Comment

  IR	                 	Middle Eocene    	                  	NP15          	173	1067	A	  4	R	CC	  18.00	    681.3700	Wise     	Nannofossils                                 	C              	M                 	                    	rR                  	                         	                 	                       	                       	                            	                    	                       	C                    	+                        	+                           	C                      	                     	                	               	C                      	                        	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	+                    	                       	                          	                    	                       	                    	                  	                        	                  	                    	C                      	                         	F                   	                   	                    	                        	                    	                     	C                   	F                    	A                    	                       	                   	                       	                             	                 	                    	C                           	F                        	                            	C                                	                       	                     	                       	+                  	+                          	F                      	F                  	F                    	R                     	+                  	R                   	                     	R                    	                       	                           	                          	                     	R                   	                           	                               	                        	                    	R                  	+                    	+                            	+               	rR                  	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	       

  IR	                 	                 	                  	              	173	1067	A	  5	R	 2	  57.00	    688.5700	Wise     	Nannofossils                                 	T              	P                 	                    	                    	                         	                 	                       	                       	                            	                    	                       	F                    	                         	                            	                       	                     	                	               	                       	                        	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	                     	                       	                          	                    	                       	                    	                  	                        	                  	                    	                       	                         	                    	                   	                    	                        	                    	                     	                    	                     	F                    	                       	                   	                       	                             	                 	                    	                            	                         	                            	                                 	                       	                     	                       	                   	                           	                       	                   	                     	                      	                   	                    	                     	R                    	                       	                           	                          	                     	                    	                           	                               	                        	                    	                   	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	       

  IR	                 	                 	                  	NP15          	173	1067	A	  5	R	CC	  14.00	    690.5200	Wise     	Nannofossils                                 	C              	G                 	                    	rR                  	                         	                 	                       	                       	                            	                    	                       	C                    	C                        	                            	A                      	                     	                	               	C                      	                        	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	F                    	                       	                          	                    	                       	                    	                  	                        	                  	                    	C                      	                         	F                   	                   	                    	                        	                    	                     	C                   	R                    	A                    	                       	                   	                       	                             	                 	                    	F                           	F                        	                            	A                                	                       	R                    	                       	                   	                           	F                      	F                  	F                    	R                     	F                  	R                   	                     	                     	                       	rR                         	F                         	                     	R                   	F                          	                               	C                       	R                   	R                  	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	CP13b

  IR	                 	Middle Eocene    	                  	NP15          	173	1067	A	  6	R	 1	   5.00	    696.1500	Wise     	Nannofossils                                 	A              	G                 	                    	                    	                         	                 	                       	                       	                            	                    	                       	C                    	R                        	                            	A                      	                     	                	               	C                      	                        	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	                     	                       	                          	                    	                       	                    	                  	                        	                  	                    	C                      	                         	F                   	                   	                    	                        	                    	                     	C                   	R                    	A                    	                       	                   	                       	                             	                 	                    	F                           	R                        	                            	A                                	                       	                     	                       	                   	                           	                       	R                  	F                    	                      	                   	                    	                     	                     	                       	                           	                          	R                    	R                   	F                          	F                              	                        	                    	                   	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	CP13a

  IR	                 	Middle Miocene   	                  	NP14          	173	1067	A	  6	R	 1	 121.00	    697.3100	Wise     	Nannofossils                                 	A              	G                 	                    	rR                  	                         	                 	                       	                       	                            	rR                  	                       	A                    	                         	                            	A                      	                     	                	               	C                      	                        	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	                     	                       	                          	                    	                       	                    	                  	                        	                  	                    	A                      	                         	R                   	                   	R                   	                        	R                   	                     	C                   	F                    	A                    	R                      	                   	                       	                             	                 	                    	F                           	R                        	R                           	A                                	                       	                     	R                      	                   	                           	C                      	                   	R                    	R                     	R                  	R                   	R                    	R                    	rR                     	rR                         	R                         	                     	                    	                           	                               	                        	                    	                   	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	CP12b

  IR	Early Eocene     	Middle Eocene    	                  	NP14          	173	1067	A	  8	R	CC	  23.00	    720.7300	Wise     	Nannofossils                                 	C              	VG                	                    	                    	                         	                 	                       	                       	rR                          	rR                  	                       	A                    	                         	                            	                       	                     	                	               	F                      	rR                      	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	C                    	                       	                          	                    	                       	                    	                  	rR                      	                  	                    	A                      	                         	F                   	                   	                    	                        	                    	                     	A                   	F                    	A                    	R                      	                   	                       	rR                           	F                	F                   	F                           	F                        	R                           	+                                	R                      	R                    	R                      	R                  	F                          	F                      	R                  	C                    	R                     	F                  	F                   	                     	                     	                       	                           	                          	                     	                    	                           	                               	                        	                    	                   	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	CP12a

  IR	                 	Early Eocene     	                  	NP13          	173	1067	A	 10	R	 2	 119.00	    737.4900	Wise     	Nannofossils                                 	C              	G                 	                    	                    	                         	                 	                       	                       	rR                          	                    	                       	A                    	                         	                            	F                      	                     	                	               	F                      	rR                      	                    	                        	                	                   	R                 	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	                     	F                      	                          	                    	                       	                    	                  	rR                      	                  	                    	C                      	                         	F                   	                   	A                   	                        	F                   	                     	F                   	F                    	F                    	R                      	F                  	C                      	                             	                 	                    	                            	                         	                            	                                 	                       	                     	                       	                   	                           	                       	                   	                     	                      	                   	                    	                     	                     	                       	                           	                          	                     	                    	                           	                               	                        	                    	                   	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	CP11

  IR	                 	Early Eocene     	                  	NP12          	173	1067	A	 11	R	 3	  40.00	    743.0000	Wise     	Nannofossils                                 	C              	M                 	                    	rR                  	                         	                 	                       	                       	                            	                    	                       	A                    	                         	                            	A                      	                     	                	               	A                      	                        	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	R                    	F                      	                          	                    	                       	                    	                  	                        	                  	                    	F                      	C                        	A                   	F                  	F                   	F                       	R                   	+                    	C                   	R                    	                     	                       	                   	                       	                             	                 	                    	                            	                         	                            	                                 	                       	                     	                       	                   	                           	                       	                   	                     	                      	                   	                    	                     	                     	                       	                           	                          	                     	                    	                           	                               	                        	                    	                   	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	CP10

  IR	                 	Early Eocene     	                  	NP11          	173	1067	A	 12	R	 1	  10.00	    744.6000	Wise     	Nannofossils                                 	F              	P                 	                    	                    	                         	                 	                       	                       	                            	                    	                       	R                    	                         	                            	                       	                     	                	               	A                      	                        	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	                     	                       	                          	F                   	                       	                    	                  	                        	                  	                    	C                      	A                        	F                   	A                  	                    	                        	                    	                     	                    	                     	                     	                       	                   	                       	                             	                 	                    	                            	                         	                            	                                 	                       	                     	                       	                   	                           	                       	                   	                     	                      	                   	                    	                     	                     	                       	                           	                          	                     	                    	                           	                               	                        	                    	                   	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	CP10

  IR	                 	Early Eocene     	                  	NP10          	173	1067	A	 12	R	CC	  25.00	    746.3400	Wise     	Nannofossils                                 	F              	P                 	                    	                    	                         	                 	                       	                       	                            	                    	                       	C                    	                         	                            	                       	                     	                	               	C                      	                        	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	C                       	                  	                     	                     	F                      	                          	R                   	C                      	F                   	R                 	rR                      	R                 	C                   	F                      	                         	                    	                   	                    	                        	                    	                     	                    	                     	                     	                       	                   	                       	                             	                 	                    	                            	                         	                            	                                 	                       	                     	                       	                   	                           	                       	                   	                     	                      	                   	                    	                     	                     	                       	                           	                          	                     	                    	                           	                               	                        	                    	                   	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	CP9; dissolution assemblage

  IR	                 	Late Paleocene   	                  	NP9           	173	1067	A	 13	R	 1	  64.00	    754.8400	Wise     	Nannofossils                                 	A              	VG                	F                   	rR                  	                         	A                	                       	R                      	rR                          	                    	C                      	A                    	                         	rR                          	C                      	R                    	A               	A              	A                      	rR                      	F                   	F                       	cC              	R                  	R                 	R                     	F                          	F                     	F                     	C                      	F                  	F                      	F                  	A                   	R                      	F                       	F                 	R                    	F                    	C                      	F                         	C                   	                       	                    	                  	                        	                  	                    	                       	                         	                    	                   	                    	                        	                    	                     	                    	                     	                     	                       	                   	                       	                             	                 	                    	                            	                         	                            	                                 	                       	                     	                       	                   	                           	                       	                   	                     	                      	                   	                    	                     	                     	                       	                           	                          	                     	                    	                           	                               	                        	                    	                   	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	CP8 (lower part; H. cantabria present)

  IR	                 	Early Paleocene  	NP2               	NP4           	173	1067	A	 14	R	 1	   0.00	    763.8000	Wise     	Nannofossils                                 	C              	G                 	F                   	rR                  	R                        	C                	F                      	C                      	rR                          	rR                  	C                      	A                    	C                        	rR                          	                       	                     	                	               	                       	                        	                    	                        	                	                   	                  	                      	                           	                      	                      	                       	                   	                       	                   	                    	                       	                        	                  	                     	                     	                       	                          	                    	                       	                    	                  	                        	                  	                    	                       	                         	                    	                   	                    	                        	                    	                     	                    	                     	                     	                       	                   	                       	                             	                 	                    	                            	                         	                            	                                 	                       	                     	                       	                   	                           	                       	                   	                     	                      	                   	                    	                     	                     	                       	                           	                          	                     	                    	                           	                               	                        	                    	                   	                     	                             	                	                    	                      	                         	                   	                   	                         	                        	                         	                  	                      	                     	                    	                          	May contain Chiasmolithus danicus

