Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia cerroazulensis,Truncorotaloides rohri,Subbotina venezuelana,Subbotina linaperta,Morozovella spinulosa,Globigerinatheka mexicana,Globigerinatheka index,Chiloguembelina cubensis,Acarinina primitiva,Acarinina bullbrooki,Turborotalia possagnoensis,Turborotalia pomeroli,Porticulasphaera semiinvoluta,Turborotalia cocoaensis,Subbotina cryptomphala,Subbotina praeturritilina,Globigerinatheka rubriformis,Acarinina collactea,Hantkenina liebusi,Hantkenina alabamensis,Globorotaloides suteri,Pseudohastigerina micra,Subbotina hagni,Subbotina eocaena,Catapsydrax dissimilis,Cribrohantkenina inflata,Turborotalia cunialensis,Comment
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,A,  5,H,CC,  21.00,     47.7800,Bellier  ,Planktonic Foraminifers                      ,F              ,G                 ,R                          ,                      ,F                    ,F                  ,                     ,                         ,                      ,R                       ,                   ,                    ,                          ,                     ,                             ,                       ,                      ,                         ,                            ,                   ,                  ,P                     ,                      ,R                      ,F              ,F                ,R                     ,P                       ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,A,  6,H,CC,  26.00,     57.3100,Bellier  ,Planktonic Foraminifers                      ,F              ,G                 ,P                          ,                      ,F                    ,F                  ,                     ,                         ,                      ,R                       ,                   ,                    ,                          ,                     ,                             ,                       ,                      ,                         ,                            ,                   ,                  ,R                     ,                      ,R                      ,               ,F                ,P                     ,P                       ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,A,  7,H, 2,  70.00,     59.2000,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                           ,                      ,                     ,                   ,                     ,                         ,                      ,                        ,                   ,                    ,                          ,                     ,                             ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,F                      ,               ,                 ,                      ,P                       ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P15           ,171,1053,A,  7,H, 4,  70.00,     62.2000,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,P                          ,                      ,                     ,F                  ,                     ,                         ,R                     ,                        ,                   ,                    ,                          ,                     ,                             ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,R                      ,               ,                 ,                      ,R                       ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P15           ,171,1053,A,  7,H, 6,  70.00,     65.2000,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,R                          ,                      ,                     ,F                  ,                     ,                         ,                      ,                        ,                   ,                    ,                          ,                     ,                             ,R                      ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,R                      ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A,  7,H,CC,  21.00,     66.8300,Bellier  ,Planktonic Foraminifers                      ,F              ,G                 ,R                          ,                      ,F                    ,F                  ,                     ,                         ,                      ,R                       ,                   ,                    ,                          ,P                    ,                             ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,R                      ,F              ,F                ,R                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A,  8,H,CC,  25.00,     76.3600,Bellier  ,Planktonic Foraminifers                      ,F              ,G                 ,R                          ,                      ,F                    ,F                  ,                     ,                         ,                      ,                        ,                   ,                    ,                          ,R                    ,+                            ,                       ,R                     ,                         ,                            ,                   ,                  ,                      ,                      ,R                      ,F              ,F                ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A,  9,H,CC,  12.00,     85.7000,Bellier  ,Planktonic Foraminifers                      ,F              ,G                 ,F                          ,                      ,F                    ,F                  ,                     ,                         ,R                     ,R                       ,                   ,                    ,                          ,                     ,F                            ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,R                      ,F              ,F                ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 10,H,CC,   0.00,     94.8100,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                          ,                      ,F                    ,A                  ,                     ,                         ,                      ,R                       ,                   ,                    ,                          ,P                    ,R                            ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,R                      ,A              ,A                ,F                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 11,H,CC,  24.00,    104.9200,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                          ,                      ,F                    ,F                  ,                     ,                         ,                      ,                        ,                   ,                    ,                          ,R                    ,F                            ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,R                      ,F              ,F                ,R                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 12,H,CC,  27.00,    114.5800,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                          ,                      ,F                    ,F                  ,                     ,                         ,                      ,P                       ,                   ,                    ,                          ,                     ,F                            ,                       ,R                     ,                         ,                            ,                   ,                  ,F                     ,                      ,R                      ,F              ,F                ,R                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 13,H,CC,  12.00,    123.7900,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                          ,                      ,F                    ,F                  ,                     ,                         ,                      ,R                       ,                   ,                    ,                          ,                     ,F                            ,                       ,                      ,                         ,                            ,                   ,                  ,R                     ,                      ,P                      ,F              ,F                ,R                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 14,H,CC,  30.00,    133.4600,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                          ,                      ,F                    ,R                  ,                     ,P                        ,                      ,R                       ,                   ,                    ,                          ,                     ,F                            ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,R                      ,F              ,F                ,R                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 15,H,CC,  11.00,    139.0400,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,R                          ,                      ,                     ,F                  ,                     ,                         ,                      ,                        ,                   ,                    ,                          ,F                    ,F                            ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 16,X,CC,  15.00,    147.3900,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,R                          ,                      ,                     ,F                  ,                     ,F                        ,                      ,                        ,                   ,                    ,                          ,F                    ,F                            ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,F                      ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 17,X,CC,  25.00,    153.0400,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                           ,                      ,                     ,F                  ,                     ,                         ,R                     ,                        ,                   ,                    ,                          ,                     ,F                            ,                       ,                      ,                         ,                            ,                   ,P                 ,                      ,R                     ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 18,X,CC,  27.00,    164.0300,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,F                          ,                      ,                     ,F                  ,                     ,F                        ,R                     ,                        ,                   ,                    ,                          ,R                    ,F                            ,                       ,                      ,                         ,                            ,                   ,P                 ,P                     ,                      ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 19,X, 1,  73.00,    164.6300,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,R                          ,                      ,                     ,F                  ,                     ,F                        ,R                     ,                        ,                   ,                    ,                          ,                     ,R                            ,P                      ,                      ,                         ,F                           ,                   ,                  ,                      ,                      ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 19,X, 4,  80.00,    169.2000,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,R                          ,                      ,                     ,                   ,                     ,                         ,R                     ,                        ,                   ,                    ,                          ,P                    ,R                            ,P                      ,                      ,                         ,F                           ,                   ,                  ,                      ,                      ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 19,X, 6,  57.00,    171.9700,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,R                          ,P                     ,                     ,                   ,P                    ,F                        ,                      ,                        ,                   ,R                   ,                          ,R                    ,R                            ,P                      ,                      ,                         ,F                           ,                   ,                  ,                      ,                      ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,A, 19,X,CC,  17.00,    173.1700,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,R                          ,R                     ,                     ,F                  ,R                    ,F                        ,R                     ,                        ,                   ,F                   ,                          ,F                    ,R                            ,                       ,                      ,P                        ,F                           ,P                  ,                  ,                      ,                      ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P15           ,171,1053,A, 20,X, 2,   8.50,    175.0850,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,R                     ,                     ,F                  ,                     ,F                        ,                      ,                        ,P                  ,                    ,                          ,R                    ,R                            ,R                      ,R                     ,                         ,                            ,                   ,                  ,                      ,                      ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P15           ,171,1053,A, 20,X, 4, 139.50,    179.3950,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,R                     ,                     ,F                  ,R                    ,F                        ,                      ,                        ,P                  ,R                   ,                          ,R                    ,R                            ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P15           ,171,1053,A, 20,X, 6,  24.00,    181.2400,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,P                     ,                     ,F                  ,R                    ,                         ,R                     ,                        ,R                  ,F                   ,R                         ,F                    ,R                            ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1053,A, 20,X,CC,  39.00,    183.3100,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                          ,R                     ,R                    ,F                  ,F                    ,F                        ,R                     ,R                       ,R                  ,F                   ,                          ,                     ,                             ,                       ,                      ,                         ,                            ,                   ,                  ,                      ,                      ,                       ,               ,                 ,                      ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
