Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tristylospyris triceros,Thyrsocyrtis  tetracantha,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Podocyrtis papalis,Podocyrtis chalara,Lychnocanoma bellum,Eusyringium fistuligerum,Dictyoprora pirum,Dictyoprora mongolfieri,Cryptocarpium azyx,Calocyclas hispida,Lychnocanoma amphitrite,Calocyclas turris,Cryptocarpium ornatum,Podocyrtis goetheana,Lithocyclia aristotelis group,Calocyclas bandyca,Thyrsocyrtis bromia,Dictyoprora armadillo,Lophocyrtis jacchia,Stylatractus universus,Artophormis barbadensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,C. ornata     ,,171,1053,A,6,H,CC,26.00,57.3100,Blome    ,Radiolarians                                 ,A              ,VG                ,R                      ,                         ,                       ,                     ,                  ,                  ,                   ,                        ,F                ,C                      ,                  ,                  ,                       ,                 ,R                    ,                    ,F                            ,                  ,                   ,F                    ,F                  ,R                     ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,C. ornata     ,,171,1053,A,7,H,CC,21.00,66.8300,Blome    ,Radiolarians                                 ,A              ,VG                ,R                      ,                         ,                       ,C                    ,                  ,                  ,                   ,                        ,F                ,A                      ,F                 ,                  ,                       ,F                ,F                    ,                    ,F                            ,                  ,F                  ,C                    ,R                  ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,Calocyclas bandyca,,171,1053,A,8,H,CC,25.00,76.3600,Blome    ,Radiolarians                                 ,C              ,M                 ,                       ,F                        ,R                      ,                     ,F                 ,                  ,                   ,                        ,F                ,C                      ,                  ,F                 ,                       ,F                ,R                    ,                    ,F                            ,F                 ,R                  ,F                    ,R                  ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,Calocyclas bandyca,,171,1053,A,9,H,CC,12.00,85.7000,Blome    ,Radiolarians                                 ,C              ,VG                ,R                      ,F                        ,                       ,C                    ,                  ,                  ,                   ,                        ,                 ,C                      ,C                 ,F                 ,                       ,C                ,                     ,                    ,                             ,R                 ,R                  ,F                    ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,Calocyclas bandyca,,171,1053,A,10,H,CC,0.00,94.8100,Blome    ,Radiolarians                                 ,A              ,VG                ,R                      ,C                        ,R                      ,C                    ,C                 ,                  ,                   ,                        ,R                ,A                      ,F                 ,R                 ,                       ,C                ,F                    ,                    ,                             ,R                 ,F                  ,R                    ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,Calocyclas bandyca,,171,1053,A,11,H,CC,24.00,104.9200,Blome    ,Radiolarians                                 ,F              ,M                 ,R                      ,F                        ,R                      ,C                    ,F                 ,                  ,R                  ,                        ,                 ,C                      ,F                 ,F                 ,                       ,F                ,                     ,                    ,                             ,R                 ,F                  ,                     ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,Calocyclas bandyca,,171,1053,A,12,H,CC,27.00,114.5800,Blome    ,Radiolarians                                 ,C              ,M                 ,                       ,F                        ,R                      ,C                    ,F                 ,                  ,                   ,                        ,R                ,C                      ,F                 ,R                 ,                       ,F                ,R                    ,                    ,                             ,R                 ,                   ,                     ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,,171,1053,A,13,H,CC,12.00,123.7900,Blome    ,Radiolarians                                 ,A              ,VG                ,R                      ,                         ,F                      ,C                    ,                  ,                  ,                   ,C                       ,F                ,A                      ,C                 ,C                 ,                       ,C                ,                     ,F                   ,F                            ,                  ,                   ,                     ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,,171,1053,A,14,H,CC,30.00,133.4600,Blome    ,Radiolarians                                 ,C              ,P                 ,                       ,F                        ,F                      ,F                    ,                  ,                  ,R                  ,F                       ,                 ,A                      ,F                 ,F                 ,                       ,C                ,                     ,                    ,                             ,                  ,                   ,                     ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,,171,1053,A,15,H,CC,11.00,139.0400,Blome    ,Radiolarians                                 ,F              ,P                 ,                       ,                         ,                       ,R                    ,                  ,                  ,                   ,R                       ,                 ,C                      ,                  ,R                 ,                       ,R                ,                     ,                    ,                             ,                  ,                   ,                     ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,,171,1053,A,16,X,CC,15.00,147.3900,Blome    ,Radiolarians                                 ,F              ,P                 ,R                      ,F                        ,                       ,F                    ,                  ,                  ,R                  ,                        ,R                ,F                      ,F                 ,F                 ,                       ,R                ,                     ,                    ,                             ,                  ,                   ,                     ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,,171,1053,A,17,X,CC,25.00,153.0400,Blome    ,Radiolarians                                 ,F              ,P                 ,F                      ,F                        ,F                      ,F                    ,                  ,                  ,F                  ,F                       ,R                ,C                      ,R                 ,F                 ,                       ,                 ,R                    ,                    ,                             ,                  ,                   ,                     ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,,171,1053,A,18,X,CC,27.00,164.0300,Blome    ,Radiolarians                                 ,F              ,M                 ,F                      ,R                        ,F                      ,F                    ,C                 ,R                 ,R                  ,F                       ,                 ,C                      ,R                 ,F                 ,                       ,T                ,                     ,                    ,                             ,                  ,                   ,                     ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,,171,1053,A,19,X,CC,17.00,173.1700,Blome    ,Radiolarians                                 ,C              ,G                 ,                       ,F                        ,F                      ,F                    ,A                 ,R                 ,F                  ,C                       ,R                ,A                      ,F                 ,F                 ,F                      ,                 ,                     ,                    ,                             ,                  ,                   ,                     ,                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,,171,1053,A,20,X,CC,39.00,183.3100,Blome    ,Radiolarians                                 ,F              ,M                 ,R                      ,F                        ,F                      ,F                    ,C                 ,T                 ,R                  ,F                       ,F                ,C                      ,C                 ,C                 ,                       ,                 ,                     ,                    ,                             ,                  ,                   ,                     ,                   ,                      ,                       ,       
