Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Remesella sp.	Pseudoclavulina globulifera	Protosangularia cenomaniana	Protosangularia albiana	Pleurostomella spp.	Oolina spp.	Nodosaria spp.	Lenticulina spp.	Hanzawaia ammophila	Gyroidinoides infracretaceus	Dentalina spp.	Buliminella spp.	Buliminella carseyae	Bulimina spp.	Sliterella lobulata	Serovaina spissiformis	Pseudoclavulina rugolosa	Osangularia plummerae	Oridorsalis umbonatus	Nuttallinella florealis	Nuttallides truempyi	Marssonella trochoides	Gyroidinoides globosa	Gaudryina pyramidata	Conorbinoides hillebrandti	Aragonia velascoensis	Aragonia ouezzanensis	Reophax spp.	Pyramidina szajnochae	Orthomorphina spp.	Gyroidinoides quadratus	Ellipsodimorphina spp.	Bathysiphon spp.	Anomalinoides spp.	Alabamina creta	Osangularia mexicana	Marssonella oxycona	Vulvulina spinosa	Vulvulina mexicana	Stilostomella subspinosa	Oridorsalis tenera	Globocassidulina subglobosa	Cibicidoides subspiratus	Cibicidoides spp.	Cibicidoides praemundulus	Cibicidoides havanensis	Cibicidoides bradyi	Buliminella grata	Stilostomella spp.	Pullenia bulloides	Fissurina spp.	Cibicidoides subhaidingeri	Cibicidoides mundulus	Chrysalogonium tenuicostatum	Anomalinoides semicribratus	Anomalinoides globulosus	Stilostomella abyssorum	Pyrgo murrhina	Martinottiella sp.	Gyroidinoides girardanus	Eggerella bradyi	Ehrenbergina hystrix	Pseudoclavulina spp.	Parafissurina spp.	Nonion spp.	Melonis pompilioides	Melonis barleeanus	Gyroidinoides neosoldanii	Gaudryina spp.	Dorothia spp.	Cibicidoides renzi	Cibicidoides cicatricosus	Uvigerina spp.	Uvigerina hispidocostata	Uvigerina hispida	Quinqueloculina sp.	Karreriella bradyi	Haplophragmoides spp.	Cibicidoides wuellerstorfi	Chrysalogonium longicostatum	Uvigerina graciliformis	Pyrgo lucernula	Pleurostomella acuta	Pullenia quinqueloba	Gyroidinoides spp.	Ellipsoidina ellipsoides	Dentalina communis	Chilostomella oolina	Sphaeroidina bulloides	Abyssamina quadrata	Eponides regularis	Brizalina barbata	Uvigerina senticosa	Comment

  IR	                 	                 	                  	              	198	1208	A	  6	H	CC	  26.00	     52.6200	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	                   	           	              	                	                   	                            	              	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	+               	                  	               	                    	                   	                 	                  	                        	R                 	                           	                        	                 	                         	                       	T                  	                 	                  	F                 	              	                          	                     	                            	                           	                        	                       	R             	                  	R                       	R               	                    	                    	                  	R          	                    	R                 	R                        	              	             	                  	                         	              	F                       	F                	T                  	                  	                     	F                         	                            	                       	T              	                    	T                   	+                 	                        	                  	                    	                      	                   	R                 	R                	                   	       

  IR	                 	                 	                  	              	198	1208	A	  8	H	CC	  16.00	     71.6000	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	                   	           	              	                	                   	                            	              	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	F                 	                           	                        	                 	                         	                       	                   	                 	                  	F                 	              	R                         	                     	                            	                           	T                       	                       	R             	                  	F                       	R               	                    	                    	T                 	           	                    	                  	R                        	              	             	                  	                         	              	R                       	T                	                   	+                 	                     	T                         	                            	                       	T              	                    	                    	+                 	                        	                  	T                   	                      	T                  	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 10	H	CC	  24.00	     90.6200	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	                   	           	              	T               	                   	                            	R             	                	                    	             	                   	                      	                        	                     	T                    	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	R                 	T                          	                        	T                	                         	                       	                   	                 	                  	R                 	              	R                         	                     	                            	                           	                        	                       	R             	                  	T                       	R               	                    	                    	                  	           	                    	F                 	R                        	              	             	                  	                         	              	                        	T                	                   	                  	R                    	F                         	                            	                       	               	                    	T                   	+                 	                        	                  	                    	R                     	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 11	H	CC	  24.00	    100.1600	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	                   	           	              	                	                   	                            	              	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	R                 	R                          	                        	F                	                         	                       	                   	                 	                  	                  	              	                          	                     	                            	                           	                        	                       	R             	                  	                        	F               	                    	                    	                  	R          	                    	                  	F                        	              	             	+                 	                         	              	T                       	                 	R                  	                  	                     	C                         	                            	                       	R              	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 14	H	CC	  23.00	    128.7000	benthics 	Benthic Foraminifers                         	F              	VG                	             	                           	                           	                       	R                  	R          	              	                	                   	                            	R             	                	                    	             	                   	                      	                        	                     	R                    	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	R                 	                           	                        	R                	                         	                       	R                  	                 	R                 	R                 	              	R                         	                     	T                           	                           	T                       	                       	R             	R                 	                        	R               	                    	+                   	R                 	R          	                    	                  	R                        	              	R            	                  	                         	T             	R                       	F                	                   	                  	                     	F                         	                            	                       	T              	                    	                    	                  	                        	                  	T                   	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 16	H	CC	  23.00	    147.7700	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	R                  	           	              	                	                   	                            	T             	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	F                 	                           	                        	F                	                         	                       	F                  	                 	                  	F                 	              	                          	                     	                            	                           	                        	                       	F             	                  	R                       	                	                    	                    	                  	R          	                    	                  	T                        	R             	             	                  	                         	              	T                       	T                	R                  	                  	T                    	R                         	                            	                       	R              	                    	                    	+                 	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 18	H	CC	  26.00	    166.6600	benthics 	Benthic Foraminifers                         	C              	VG                	             	                           	                           	                       	+                  	T          	              	                	                   	                            	              	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	R                     	                	                  	               	                    	                   	                 	                  	                        	R                 	                           	                        	T                	                         	                       	                   	                 	                  	R                 	              	R                         	                     	                            	                           	T                       	                       	F             	R                 	T                       	R               	                    	+                   	                  	R          	                    	                  	+                        	              	T            	                  	                         	              	F                       	R                	                   	                  	T                    	F                         	                            	                       	R              	T                   	T                   	+                 	+                       	+                 	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 21	X	CC	  13.00	    191.0700	benthics 	Benthic Foraminifers                         	C              	G                 	             	                           	                           	                       	+                  	T          	              	T               	                   	                            	R             	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	F                 	T                          	                        	R                	                         	                       	                   	                 	                  	                  	              	R                         	R                    	R                           	                           	T                       	                       	R             	R                 	R                       	R               	                    	+                   	                  	R          	                    	                  	R                        	T             	             	                  	                         	R             	C                       	R                	                   	T                 	                     	R                         	                            	T                      	T              	T                   	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 23	X	CC	  23.00	    208.1800	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	                   	T          	              	                	                   	                            	              	                	                    	             	                   	                      	                        	                     	                     	                       	+                   	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	R                 	F                          	                        	F                	                         	                       	                   	                 	                  	R                 	T             	T                         	                     	                            	                           	                        	                       	F             	                  	R                       	R               	                    	                    	                  	           	                    	R                 	T                        	              	             	T                 	R                        	              	                        	                 	                   	                  	R                    	R                         	T                           	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 25	X	CC	   8.00	    224.5900	benthics 	Benthic Foraminifers                         	F              	G                 	             	                           	                           	                       	                   	           	              	T               	                   	                            	R             	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	R                     	                	                  	               	                    	                   	                 	                  	R                       	F                 	                           	                        	R                	                         	                       	                   	                 	                  	R                 	T             	                          	                     	                            	                           	T                       	F                      	F             	                  	R                       	R               	                    	                    	+                 	R          	R                   	                  	R                        	              	             	                  	R                        	T             	R                       	R                	T                  	T                 	R                    	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 29	X	CC	  24.00	    265.9400	benthics 	Benthic Foraminifers                         	C              	G                 	             	                           	                           	                       	R                  	           	              	                	                   	                            	R             	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	C                       	R                 	                           	                        	R                	                         	                       	R                  	                 	R                 	R                 	T             	                          	                     	                            	R                          	R                       	R                      	R             	R                 	R                       	R               	R                   	+                   	T                 	R          	T                   	R                 	T                        	R             	T            	R                 	R                        	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 31	X	CC	  27.00	    285.0600	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	T                  	T          	              	                	                   	                            	R             	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	F                       	F                 	                           	                        	R                	R                        	T                      	T                  	                 	                  	R                 	T             	                          	                     	                            	                           	R                       	F                      	R             	R                 	R                       	R               	T                   	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 32	X	CC	  25.00	    295.4100	benthics 	Benthic Foraminifers                         	               	                  	             	                           	                           	                       	+                  	+          	              	                	                   	                            	+             	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	+                       	+                 	                           	                        	+                	                         	+                      	                   	                 	                  	+                 	+             	                          	                     	                            	                           	+                       	+                      	+             	+                 	+                       	+               	                    	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 34	X	CC	  21.00	    314.1700	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	                   	           	              	                	                   	                            	T             	                	                    	             	                   	                      	                        	                     	R                    	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	R                	                  	F                       	F                 	                           	                        	R                	                         	                       	                   	                 	R                 	R                 	T             	R                         	R                    	T                           	T                          	F                       	                       	              	                  	                        	                	                    	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 36	X	 2	  18.00	    326.5800	benthics 	Benthic Foraminifers                         	C              	M                 	             	                           	                           	                       	                   	           	              	                	                   	                            	              	                	                    	             	                   	                      	                        	                     	R                    	                       	+                   	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	F                	                  	C                       	R                 	T                          	                        	R                	                         	F                      	R                  	                 	                  	                  	              	                          	                     	                            	                           	                        	                       	              	                  	                        	                	                    	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 36	X	 2	  18.00	    326.5800	benthics 	Benthic Foraminifers                         	F              	P                 	             	                           	                           	                       	                   	           	              	                	                   	T                           	R             	                	                    	             	                   	                      	                        	R                    	F                    	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	F                	T                 	F                       	                  	T                          	R                       	                 	F                        	                       	                   	R                	                  	                  	              	                          	                     	                            	                           	                        	                       	              	                  	                        	                	                    	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 36	X	CC	   5.00	    327.4500	benthics 	Benthic Foraminifers                         	T              	M                 	             	                           	                           	                       	                   	           	              	                	                   	                            	              	                	                    	             	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	+                	                  	                        	                  	                           	                        	                 	                         	                       	                   	                 	                  	                  	              	                          	                     	                            	                           	                        	                       	              	                  	                        	                	                    	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	barren

  IR	                 	                 	                  	              	198	1208	A	 36	X	CC	  30.00	    327.7000	benthics 	Benthic Foraminifers                         	               	                  	             	                           	                           	                       	R                  	           	              	+               	                   	                            	+             	                	                    	             	                   	                      	                        	+                    	+                    	                       	+                   	+                     	+                    	+                   	                          	+                    	+                    	            	                     	                  	                       	+                     	                	                  	               	+                   	                   	                 	                  	                        	                  	                           	                        	                 	                         	                       	                   	                 	                  	                  	              	                          	                     	                            	                           	                        	                       	              	                  	                        	                	                    	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 37	X	CC	  14.00	    340.6200	benthics 	Benthic Foraminifers                         	R              	M                 	             	                           	                           	                       	R                  	           	              	T               	                   	                            	R             	T               	                    	             	R                  	                      	                        	F                    	C                    	R                      	R                   	T                     	T                    	F                   	R                         	T                    	T                    	            	                     	                  	+                      	R                     	                	                  	               	T                   	+                  	                 	                  	                        	                  	                           	                        	                 	                         	                       	                   	                 	                  	                  	              	                          	                     	                            	                           	                        	                       	              	                  	                        	                	                    	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 39	X	CC	   8.00	    360.6200	benthics 	Benthic Foraminifers                         	R              	G                 	             	                           	                           	                       	                   	           	              	                	                   	T                           	R             	                	                    	             	T                  	R                     	                        	R                    	                     	                       	R                   	                      	F                    	T                   	R                         	T                    	T                    	+           	C                    	F                 	+                      	R                     	T               	T                 	T              	                    	                   	                 	                  	                        	                  	                           	                        	                 	                         	                       	                   	                 	                  	                  	              	                          	                     	                            	                           	                        	                       	              	                  	                        	                	                    	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 41	X	CC	  12.00	    376.1400	benthics 	Benthic Foraminifers                         	R              	M                 	             	                           	                           	                       	R                  	           	              	R               	                   	                            	              	R               	                    	R            	T                  	R                     	R                       	T                    	F                    	R                      	R                   	F                     	T                    	F                   	T                         	R                    	T                    	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	                  	                           	                        	                 	                         	                       	                   	                 	                  	                  	              	                          	                     	                            	                           	                        	                       	              	                  	                        	                	                    	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

  IR	                 	                 	                  	              	198	1208	A	 42	X	CC	  20.00	    382.9000	benthics 	Benthic Foraminifers                         	C              	M                 	R            	C                          	R                          	F                      	T                  	T          	R             	R               	T                  	C                           	T             	R               	+                   	T            	                   	                      	                        	                     	                     	                       	                    	                      	                     	                    	                          	                     	                     	            	                     	                  	                       	                      	                	                  	               	                    	                   	                 	                  	                        	                  	                           	                        	                 	                         	                       	                   	                 	                  	                  	              	                          	                     	                            	                           	                        	                       	              	                  	                        	                	                    	                    	                  	           	                    	                  	                         	              	             	                  	                         	              	                        	                 	                   	                  	                     	                          	                            	                       	               	                    	                    	                  	                        	                  	                    	                      	                   	                  	                 	                   	       

