Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria laevigata	Uvigerina senticosa	Uvigerina peregrina	Uvigerina auberiana	Stilostomella spp.	Pyrgo spp.	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Nonionella atlantica	Nodosaria spp.	Melonis sp.	Melonis pompilioides	Melonis barleeanus	Lagena spp.	Hoeglundina elegans	Gyroidinoides spp.	Globocassidulina subglobosa	Globobulimina affinis	Gavelinopsis translucens	Fontbotia wuellerstorfi	Epistominella exigua	Elphidium spp.	Eggerella bradyi	Cibicidoides kullenbergi	Chilostomella oolina	Cassidulina crassa	Cassidulina carinata	Bulimina marginata	Bulimina gr. costata	Bulimina alazanensis	Bulimina aculeata	Brizalina subaenariensis	Bolivinita quadrilatera	Bolivina pseudopunctata	Bolivina paula	Comment
  IR	                 	                 	                  	              	172	1056	C	  6	H	CC	  22.00	     53.3700	Poli     	Benthic Foraminifers                         	F              	M                 	-                     	-                  	-                  	R                  	-                 	-         	-                 	-                    	F                     	R                   	-             	-          	-                   	-                 	-          	-                  	T                 	F                          	F                    	F                       	-                      	-                   	-             	-               	R                       	-                   	-                 	R                   	R                 	T                   	F                   	-                	T                       	-                      	F                      	C             	       

  IR	                 	                 	                  	              	172	1056	C	  7	H	CC	  35.00	     63.0400	Poli     	Benthic Foraminifers                         	F              	M                 	R                     	-                  	-                  	-                  	-                 	-         	R                 	R                    	F                     	-                   	-             	-          	-                   	-                 	F          	F                  	F                 	-                          	T                    	-                       	R                      	-                   	-             	-               	-                       	-                   	-                 	F                   	+                 	                    	F                   	-                	F                       	-                      	-                      	C             	       

  IR	                 	                 	                  	              	172	1056	C	  8	H	CC	  34.00	     72.6400	Poli     	Benthic Foraminifers                         	C              	M                 	-                     	-                  	R                  	-                  	-                 	F         	-                 	C                    	-                     	-                   	-             	-          	T                   	R                 	-          	F                  	F                 	-                          	T                    	-                       	C                      	-                   	-             	-               	-                       	-                   	-                 	R                   	F                 	R                   	-                   	-                	-                       	-                      	-                      	-             	       

  IR	                 	                 	                  	              	172	1056	C	  9	H	CC	  35.00	     82.3200	Poli     	Benthic Foraminifers                         	F              	M                 	-                     	-                  	F                  	-                  	-                 	-         	-                 	R                    	T                     	T                   	-             	-          	-                   	R                 	-          	-                  	F                 	R                          	-                    	-                       	R                      	R                   	-             	-               	T                       	-                   	-                 	-                   	-                 	R                   	-                   	-                	-                       	-                      	T                      	T             	       

  IR	                 	                 	                  	              	172	1056	C	 10	H	CC	  33.00	     91.5100	Poli     	Benthic Foraminifers                         	R              	M                 	+                     	-                  	+                  	-                  	-                 	-         	+                 	-                    	-                     	+                   	-             	-          	+                   	-                 	-          	-                  	+                 	+                          	-                    	-                       	+                      	-                   	-             	-               	-                       	-                   	-                 	-                   	+                 	+                   	+                   	-                	+                       	-                      	+                      	+             	       

  IR	                 	                 	                  	              	172	1056	C	 11	H	CC	  37.00	    101.0500	Poli     	Benthic Foraminifers                         	F              	M                 	T                     	-                  	-                  	T                  	-                 	R         	-                 	-                    	R                     	F                   	-             	-          	T                   	F                 	-          	R                  	F                 	-                          	T                    	-                       	-                      	-                   	-             	R               	-                       	-                   	R                 	-                   	-                 	F                   	-                   	-                	F                       	-                      	T                      	F             	       

  IR	                 	                 	                  	              	172	1056	C	 12	H	CC	  26.00	    110.3900	Poli     	Benthic Foraminifers                         	F              	M                 	T                     	-                  	R                  	-                  	R                 	T         	-                 	F                    	-                     	-                   	-             	-          	-                   	-                 	-          	-                  	-                 	-                          	A                    	-                       	-                      	-                   	-             	T               	-                       	-                   	-                 	-                   	T                 	R                   	-                   	-                	T                       	R                      	-                      	-             	       

  IR	                 	                 	                  	              	172	1056	C	 13	H	CC	  30.00	    119.7100	Poli     	Benthic Foraminifers                         	F              	P                 	-                     	T                  	A                  	-                  	T                 	T         	-                 	-                    	-                     	-                   	T             	-          	-                   	F                 	-          	R                  	T                 	-                          	F                    	-                       	F                      	-                   	-             	-               	T                       	-                   	-                 	-                   	T                 	R                   	-                   	-                	F                       	-                      	-                      	-             	       

  IR	                 	                 	                  	              	172	1056	C	 14	H	CC	  35.00	    127.6500	Poli     	Benthic Foraminifers                         	F              	M                 	-                     	-                  	-                  	-                  	-                 	R         	-                 	T                    	-                     	-                   	R             	-          	-                   	A                 	-          	R                  	R                 	-                          	C                    	-                       	-                      	-                   	T             	-               	-                       	-                   	-                 	-                   	-                 	T                   	-                   	-                	T                       	-                      	-                      	-             	       

  IR	                 	                 	                  	              	172	1056	C	 15	H	CC	  29.00	    136.4700	Poli     	Benthic Foraminifers                         	F              	M                 	-                     	-                  	A                  	-                  	F                 	C         	-                 	-                    	-                     	-                   	-             	-          	-                   	-                 	-          	T                  	-                 	-                          	F                    	-                       	-                      	-                   	-             	-               	-                       	-                   	-                 	-                   	-                 	T                   	-                   	-                	T                       	-                      	-                      	-             	       

  IR	                 	                 	                  	              	172	1056	C	 16	H	CC	  33.00	    146.0300	Poli     	Benthic Foraminifers                         	F              	M                 	F                     	-                  	A                  	-                  	-                 	-         	-                 	-                    	-                     	-                   	F             	-          	-                   	F                 	-          	-                  	-                 	-                          	R                    	-                       	T                      	-                   	-             	-               	-                       	-                   	-                 	T                   	-                 	C                   	-                   	-                	-                       	-                      	-                      	-             	       

  IR	                 	                 	                  	              	172	1056	C	 17	H	CC	  32.00	    155.5000	Poli     	Benthic Foraminifers                         	F              	M                 	-                     	-                  	A                  	T                  	F                 	-         	-                 	-                    	-                     	-                   	C             	-          	F                   	-                 	-          	-                  	-                 	-                          	F                    	-                       	T                      	-                   	-             	-               	-                       	-                   	-                 	-                   	-                 	-                   	-                   	-                	-                       	-                      	-                      	T             	       

