Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Pulleniatina praecursor,Globorotalia tumida,Globorotalia crassaformis,Globigerinoides fistulosus,Dentoglobigerina altispira,Globorotalia tosaensis,Sphaeroidinella dehiscens s.l.,Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globorotalia tumida flexuosa,Globorotalia multicamerata,Globorotalia menardii,Globigerinoides trilobus,Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinoides extremus,Globigerinoides conglobatus,Dentoglobigerina globosa,Globigerinoides sacculifer,Orbulina universa,Globorotalia scitula,Globigerinella siphonifera,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia ungulata,Globorotalia truncatulinoides,Globigerinoides ruber (pink),Zeaglobigerina rubescens,Bolliella calida,Bolliella adamsi,Comment
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,27,X,CC,24.00,256.1300,Perembo,Planktonic Foraminifers,A,VG,A,,A,F,,,F,,,,,,,,,,,,,,,,,A,,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,28,X,CC,27.00,266.0100,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,,,A,,,,,,,,,,,,,,,,,A,A,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,29,X,CC,9.00,275.5000,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,,,A,,,,,,,,,,,,,,,,,A,A,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,30,X,CC,31.00,285.3800,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,A,,,,,,,,,,,,,,,,,,,A,A,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,31,X,CC,31.00,294.8100,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,A,,A,,,,,,,,,,,,,,,,,A,A,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,32,X,CC,15.00,304.3600,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,A,,A,,,,,,,,,,,,,,,,,A,A,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1109,C,33,X,CC,32.00,314.2300,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,A,,R,,,,,,,,,,,,,,,,,A,A,,,,,,,
IR,,,,N21,180,1109,C,34,X,CC,37.00,324.0200,Resig,Planktonic Foraminifers,A,G,F,,F,R,F,,F,F,A,,,R,A,A,A,A,,,,A,F,,F,F,,,,,,,,
IR,,,,N21,180,1109,C,35,X,CC,45.00,333.8300,Resig,Planktonic Foraminifers,C,M,,A,F,R,F,F,R,R,A,F,,,A,A,A,A,F,F,F,A,R,R,F,,,,,,,,,
IR,,,,,180,1109,C,36,X,CC,33.00,338.8900,Resig,Planktonic Foraminifers,F,M,,,R,,R,R,,,,,,,F,,F,F,R,,,R,,,,,,,,,,,,
IR,,,,,180,1109,C,37,X,CC,40.00,345.2000,Resig,Planktonic Foraminifers,R,M,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,
IR,,,,N21,180,1109,C,38,X,CC,26.00,356.3000,Resig,Planktonic Foraminifers,A,VG,F,F,F,F,,,F,F,A,A,F,R,A,A,A,A,A,F,R,,,,,,,,,,,,,
IR,,Late Pliocene,,N21,180,1109,C,39,X,CC,40.00,362.4300,Perembo,Planktonic Foraminifers,A,VG,A,,A,A,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,Late Pliocene,,,180,1109,C,40,X,CC,21.00,369.7900,Perembo,Planktonic Foraminifers,A,VG,A,A,A,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,N20,180,1109,C,41,X,CC,32.00,376.5500,Perembo,Planktonic Foraminifers,A,VG,A,A,A,R,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,
