Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia cf. kugleri,Globoquadrina venezuelana,Globoquadrina praedehiscens,Globoquadrina cf. tripartita,Globigerinoides primordius,Globigerina praebulloides,Globigerina ciperoensis,Globigerina cf. ciperoensis,Globigerina angulisuturalis,Catapsydrax unicavus,Globorotalia mayeri,Globorotalia cf. fohsi peripheroronda,Globorotalia kugleri,Globoquadrina dehiscens,Globigerinoides trilobus,Globigerinoides quadrilobatus,Globigerinoides immaturus,Neogloboquadrina continuosa,Globorotalia pseudokugleri,Catapsydrax dissimilis,Globigerinoides obliquus,Globigerinoides cf. primordius,Globigerina woodi,Globorotaloides suteri,Globorotaloides cf. suteri,Globorotalia fohsi peripheroronda,Praeorbulina sicanus,Praeorbulina glomerosa glomerosa,Praeorbulina glomerosa circularis,Orbulina suturalis,Globorotalia praemenardii,Globorotalia archeomenardii,Globigerinatella insueta,Orbulina universa,Globorotalia fohsi praefohsi,Globorotalia fohsi peripheroacuta,Sphaeroidinellopsis disjuncta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. insueta        ,              ,101, 626,D,  6,R,CC,   0.00,    227.3000,Melillo  ,Planktonic Foraminifers                      ,               ,                  ,                        ,F                        ,                           ,                            ,                          ,F                        ,                       ,                           ,                           ,                    ,F                  ,                                     ,                    ,R                      ,F                       ,F                            ,F                        ,R                          ,                          ,                      ,R                       ,                              ,                 ,                      ,                          ,F                                ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. insueta        ,              ,101, 626,D, 10,R, 1,   0.00,            ,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                        ,F                        ,                           ,                            ,                          ,R                        ,                       ,                           ,                           ,                    ,C                  ,                                     ,                    ,F                      ,F                       ,F                            ,F                        ,R                          ,                          ,                      ,R                       ,                              ,                 ,                      ,                          ,R                                ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. insueta        ,              ,101, 626,D, 11,R, 1,  25.00,    274.6500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                        ,C                        ,                           ,                            ,                          ,R                        ,                       ,                           ,                           ,                    ,C                  ,                                     ,                    ,F                      ,R                       ,F                            ,C                        ,R                          ,                          ,                      ,                        ,                              ,                 ,                      ,                          ,R                                ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. insueta        ,              ,101, 626,D, 11,R, 2,  25.00,    274.9300,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                        ,C                        ,                           ,                            ,                          ,R                        ,                       ,                           ,                           ,                    ,C                  ,                                     ,                    ,R                      ,F                       ,C                            ,C                        ,R                          ,                          ,                      ,R                       ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. insueta        ,              ,101, 626,D, 11,R,CC,  10.00,    275.7000,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                        ,C                        ,R                          ,                            ,                          ,R                        ,                       ,                           ,                           ,                    ,F                  ,                                     ,                    ,                       ,C                       ,F                            ,F                        ,R                          ,                          ,                      ,                        ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. insueta        ,              ,101, 626,D, 13,R, 1,  25.00,    293.4500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                        ,C                        ,R                          ,                            ,                          ,R                        ,                       ,                           ,                           ,                    ,F                  ,                                     ,                    ,R                      ,F                       ,F                            ,                         ,R                          ,                          ,                      ,R                       ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. insueta        ,              ,101, 626,D, 13,R, 1, 100.00,    294.2000,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                        ,C                        ,R                          ,                            ,                          ,R                        ,                       ,                           ,                           ,                    ,F                  ,                                     ,                    ,R                      ,F                       ,F                            ,F                        ,R                          ,                          ,                      ,                        ,                              ,F                ,                      ,R                         ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. insueta        ,              ,101, 626,D, 13,R,CC,  12.00,    294.6200,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                        ,C                        ,F                          ,                            ,                          ,R                        ,                       ,                           ,                           ,                    ,F                  ,                                     ,                    ,F                      ,F                       ,C                            ,F                        ,R                          ,                          ,                      ,R                       ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. insueta        ,              ,101, 626,D, 14,R, 1,  25.00,    303.1500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                        ,C                        ,F                          ,R                           ,                          ,R                        ,                       ,                           ,                           ,                    ,F                  ,                                     ,                    ,F                      ,F                       ,F                            ,F                        ,F                          ,                          ,                      ,                        ,                              ,                 ,T                     ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. stainforthi    ,              ,101, 626,D, 14,R, 1,  90.00,    303.8000,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                        ,C                        ,R                          ,F                           ,                          ,R                        ,                       ,                           ,                           ,                    ,F                  ,                                     ,                    ,R                      ,F                       ,R                            ,F                        ,R                          ,                          ,R                     ,R                       ,R                             ,T                ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. stainforthi    ,              ,101, 626,D, 14,R,CC,  15.00,    304.0200,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                        ,P                        ,                           ,                            ,                          ,                         ,                       ,                           ,                           ,                    ,P                  ,                                     ,                    ,                       ,                        ,P                            ,P                        ,T                          ,                          ,P                     ,                        ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. stainforthi    ,              ,101, 626,D, 17,R,CC,   3.00,    331.8300,Melillo  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                           ,                            ,                          ,                         ,                       ,                           ,                           ,                    ,                   ,                                     ,                    ,                       ,P                       ,                             ,                         ,                           ,                          ,                      ,                        ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. stainforthi    ,              ,101, 626,D, 19,R,CC,  29.00,    351.2900,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                        ,R                        ,F                          ,                            ,                          ,F                        ,                       ,                           ,                           ,R                   ,F                  ,                                     ,                    ,F                      ,F                       ,F                            ,F                        ,R                          ,                          ,                      ,                        ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. kugleri        ,              ,101, 626,D, 20,R,CC,  38.00,    361.2300,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,R                       ,F                        ,F                          ,                            ,                          ,F                        ,                       ,                           ,                           ,R                   ,C                  ,                                     ,F                   ,F                      ,F                       ,F                            ,F                        ,T                          ,F                         ,                      ,                        ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. kugleri        ,              ,101, 626,D, 21,R,CC,   8.00,    371.3000,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,P                       ,F                        ,F                          ,                            ,P                         ,F                        ,                       ,                           ,                           ,                    ,R                  ,                                     ,P                   ,F                      ,F                       ,F                            ,F                        ,                           ,                          ,                      ,                        ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. ciperoensis    ,              ,101, 626,D, 23,R, 1,  70.00,    390.3000,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,R                       ,F                        ,F                          ,R                           ,F                         ,F                        ,R                      ,F                          ,R                          ,R                   ,R                  ,R                                    ,                    ,                       ,                        ,                             ,                         ,                           ,                          ,                      ,                        ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,G. ciperoensis    ,              ,101, 626,D, 23,R,CC,   5.00,    390.6300,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,R                       ,F                        ,F                          ,R                           ,F                         ,F                        ,R                      ,F                          ,R                          ,R                   ,                   ,                                     ,                    ,                       ,                        ,                             ,                         ,                           ,                          ,                      ,                        ,                              ,                 ,                      ,                          ,                                 ,                    ,                                ,                                 ,                  ,                         ,                           ,                        ,                 ,                            ,                                 ,                             ,from Melillo; ODP 101 SR Ch 1 Fig 4 p 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
