Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cibicidoides praemundulus	Bulimina semicostata	Osangularia mexicana	Gyroidinoides altispirus	Cibicidoides trincherasensis	Globocassidulina subglobosa (large form)	Cibicidoides havanensis	Vulvulina spinosa	Stilostomella nuttalli	Stilostomella gracillima	Pullenia quinqueloba	Oridorsalis umbonatus	Gyroidinoides planulatus	Globocassidulina subglobosa (small form)	Stilostomella subspinosa	Siphonodosaria modesta	Pleurostomella spp.	Orthomorphina perversa	Martinottiella petrosa	Karreriella chapapotensis	Bulimina alazanensis	Anomalinoides cf.  A. alazanensis	Uvigerina spinicostata	Pullenia coryelli	Plectofrondicularia cf. P. lirata	Orthomorphina rohri	Lenticulina vortex	Heterolepa grimsdalei	Eggerella bradyi	Cassidulina crassa	Anomalinoides alabamensis	Pullenia bulloides	Pleurostomella cf. P. alternans	Hanzawaia cushmani (flat form)	Gyroidinoides girardanus	Cibicides laurisae	Nuttallides umbonifera	Textularia leuzingeri	Praebulimina sp.	Hopkinsina mioindex	Bolivinopsis gryzbowski	Bolivina tectiformis	Bolivina cf. B. huneri	Karreriella sp.	Spiroplectammina spinosa	Oridorsalis umbonatus  (scallopped margin)	Chrysalogonium equisetiformis	Pullenia quadriloba	Anomalinoides semicribratus	Cibicides pseudowuellerstorfi	Bulimina macilenta	Trifarina sp.	Cassidulina sp. (scalloped margin)	Comment

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 23	X	 1	 120.00	    209.6000	Boersma  	Benthic Foraminifers                         	               	P                 	                         	F                   	                    	                        	                            	+                                       	T                      	+                	                      	                        	                    	F/C                  	                        	F                                       	+                       	T                     	F                  	                      	                      	                         	                    	                                 	+                     	                 	                                 	                   	                  	                     	                	                  	                         	                  	                               	                              	T                       	                  	                      	                     	+               	                   	                       	                    	                      	               	                        	T                                         	                             	                   	T                          	                             	                  	+            	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 23	X	 2	 120.00	    211.1000	Boersma  	Benthic Foraminifers                         	               	VP                	+                        	                    	                    	                        	                            	                                        	                       	T                	T                     	                        	                    	F/C                  	T                       	T                                       	T                       	                      	                   	+                     	                      	                         	                    	                                 	                      	                 	                                 	                   	T                 	+                    	                	                  	                         	                  	                               	                              	R                       	                  	                      	                     	T               	                   	                       	                    	                      	               	                        	                                          	R                            	                   	T                          	+                            	+                 	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 23	X	 3	 120.00	    212.6000	Boersma  	Benthic Foraminifers                         	               	P                 	T                        	+                   	                    	                        	                            	+                                       	                       	                 	T                     	                        	+                   	F/C                  	                        	F                                       	T                       	                      	                   	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	                     	                	T                 	                         	+                 	                               	                              	F                       	                  	R                     	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	T                          	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 23	X	 4	 120.00	    214.1000	Boersma  	Benthic Foraminifers                         	               	VP                	                         	                    	+                   	                        	                            	                                        	                       	                 	                      	+                       	                    	+                    	R                       	                                        	+                       	                      	                   	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	                     	                	                  	                         	+                 	                               	                              	                        	                  	                      	                     	                	                   	                       	R                   	                      	               	                        	+                                         	                             	+                  	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 24	X	 1	 120.00	    219.2000	Boersma  	Benthic Foraminifers                         	               	M                 	                         	                    	                    	                        	                            	R                                       	+                      	                 	                      	R                       	+                   	                     	T                       	+                                       	+                       	                      	R                  	                      	                      	+                        	                    	                                 	                      	+                	                                 	                   	                  	                     	                	                  	                         	                  	                               	                              	F                       	                  	                      	                     	                	                   	                       	T                   	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 24	X	 2	 120.00	    220.7000	Boersma  	Benthic Foraminifers                         	               	M                 	                         	T                   	                    	                        	                            	F                                       	+                      	                 	F                     	+                       	                    	F                    	F                       	T                                       	F                       	                      	F                  	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	+                 	                     	                	                  	                         	+                 	                               	                              	F                       	                  	                      	                     	                	+                  	T                      	T                   	                      	               	                        	+                                         	+                            	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 24	X	 3	 120.00	    222.2000	Boersma  	Benthic Foraminifers                         	               	M                 	                         	F                   	                    	                        	                            	F                                       	R                      	                 	F                     	                        	                    	F/C                  	T                       	F                                       	F                       	                      	R                  	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	+                    	                	                  	                         	F                 	                               	                              	+                       	                  	+                     	                     	                	+                  	                       	                    	                      	               	                        	+                                         	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 24	X	 4	 120.00	    223.7000	Boersma  	Benthic Foraminifers                         	               	M                 	+                        	                    	+                   	                        	                            	T                                       	F                      	                 	+                     	T                       	                    	F                    	+                       	F                                       	T                       	+                     	                   	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	+                 	+                    	                	                  	                         	                  	                               	                              	T                       	                  	                      	                     	                	                   	                       	T                   	                      	               	+                       	+                                         	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 24	X	 5	 120.00	    225.2000	Boersma  	Benthic Foraminifers                         	               	M                 	R                        	T                   	                    	                        	                            	F                                       	+                      	+                	F                     	F                       	                    	F                    	                        	F                                       	T                       	+                     	F                  	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	+                    	                	                  	                         	                  	                               	T                             	+                       	                  	                      	                     	                	                   	+                      	F                   	                      	+              	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Late Oligocene   	                 	                  	              	115	 709	C	 25	X	 1	 120.00	    228.9000	Boersma  	Benthic Foraminifers                         	               	M                 	+                        	T                   	                    	                        	                            	R                                       	                       	                 	                      	F                       	+                   	R                    	F                       	F                                       	                        	                      	F                  	                      	                      	                         	                    	+                                	                      	                 	                                 	+                  	                  	                     	                	                  	                         	+                 	                               	                              	                        	F                 	                      	+                    	+               	+                  	+                      	+                   	F                     	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 25	X	 2	 120.00	    230.4000	Boersma  	Benthic Foraminifers                         	               	VP                	                         	                    	                    	                        	                            	                                        	T                      	                 	                      	                        	                    	F                    	                        	                                        	+                       	                      	R                  	                      	                      	                         	                    	                                 	                      	                 	                                 	T                  	                  	                     	                	                  	                         	                  	                               	                              	                        	                  	                      	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 25	X	 3	 120.00	    231.9000	Boersma  	Benthic Foraminifers                         	               	P                 	                         	T                   	                    	                        	                            	R                                       	+                      	+                	T                     	F                       	T                   	F                    	T                       	F                                       	T                       	                      	                   	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	                     	                	                  	                         	                  	                               	+                             	                        	                  	+                     	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 25	X	 4	 120.00	    233.4000	Boersma  	Benthic Foraminifers                         	               	VP                	                         	                    	                    	+                       	                            	                                        	                       	                 	                      	                        	                    	                     	                        	+                                       	                        	                      	+                  	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	                     	                	                  	                         	                  	                               	                              	                        	+                 	                      	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 26	X	 1	 120.00	    238.6000	Boersma  	Benthic Foraminifers                         	               	G                 	T                        	                    	                    	+                       	+                           	F/C                                     	                       	                 	R                     	F/C                     	T                   	T                    	+                       	F                                       	T                       	T                     	                   	                      	+                     	+                        	                    	                                 	                      	+                	                                 	T                  	                  	F                    	+               	                  	                         	                  	                               	                              	+                       	+                 	                      	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 26	X	 2	  10.00	    239.0000	Boersma  	Benthic Foraminifers                         	               	M                 	                         	+                   	+                   	+                       	                            	+                                       	F                      	                 	R                     	F                       	F                   	F                    	                        	+                                       	+                       	T                     	                   	+                     	                      	                         	                    	+                                	                      	+                	                                 	+                  	                  	F                    	                	                  	                         	+                 	+                              	+                             	+                       	                  	                      	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 26	X	 4	 120.00	    243.1000	Boersma  	Benthic Foraminifers                         	               	M                 	T                        	                    	                    	                        	                            	+                                       	F                      	T                	F                     	F/C                     	                    	F/C                  	+                       	R                                       	F                       	                      	                   	                      	                      	                         	                    	                                 	+                     	+                	F                                	+                  	+                 	+                    	+               	+                 	+                        	                  	                               	                              	                        	                  	                      	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 27	X	 1	 120.00	    248.2000	Boersma  	Benthic Foraminifers                         	               	P                 	                         	                    	                    	+                       	                            	                                        	T                      	                 	+                     	                        	                    	R                    	                        	+                                       	+                       	+                     	R                  	+                     	+                     	+                        	+                   	+                                	                      	                 	                                 	                   	                  	                     	                	                  	                         	                  	                               	                              	                        	                  	                      	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 27	X	 2	 120.00	    249.7000	Boersma  	Benthic Foraminifers                         	               	VP                	                         	                    	                    	+                       	                            	+                                       	                       	+                	R                     	R                       	+                   	+                    	+                       	+                                       	                        	                      	                   	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	                     	                	                  	                         	                  	                               	                              	                        	                  	                      	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 27	X	 3	 120.00	    251.2000	Boersma  	Benthic Foraminifers                         	               	VP                	                         	                    	                    	                        	                            	+                                       	+                      	                 	                      	                        	                    	                     	                        	                                        	                        	                      	                   	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	                     	                	                  	                         	                  	                               	                              	                        	                  	                      	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 28	X	 1	 121.00	    257.9100	Boersma  	Benthic Foraminifers                         	               	VP                	                         	                    	+                   	+                       	+                           	                                        	                       	                 	                      	                        	                    	                     	                        	                                        	                        	                      	                   	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	                     	                	                  	                         	                  	                               	                              	                        	                  	                      	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

  SR	Early Oligocene  	                 	                  	              	115	 709	C	 28	X	 3	 121.00	    260.9100	Boersma  	Benthic Foraminifers                         	               	VP                	+                        	+                   	                    	                        	                            	                                        	                       	                 	                      	                        	                    	                     	                        	                                        	                        	                      	                   	                      	                      	                         	                    	                                 	                      	                 	                                 	                   	                  	                     	                	                  	                         	                  	                               	                              	                        	                  	                      	                     	                	                   	                       	                    	                      	               	                        	                                          	                             	                   	                           	                             	                  	             	                                  	from 115 SR. Chapter 20. Table 11. pages 340-341.

