Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stauroxiphos communis	Siphocampe arachnea	Phormostichoartus crustula	Lamprocyrtis neoheteroporos	Cycladophora pliocenica	Botryostrobus bramlettei tumidulus	Stylatractus universus	Eucyrtidium calvertense	Cycladophora davisiana	Spongotrochus glacialis	Spongodiscus osculosus	Lamprocyrtis heteroporos	Lamprocyclas hannai	Phormostichoartus fistula	Botryostrobus bramlettei bramlettei	Cycladophora bicornis amphora	Lamprocyclas margatensis	Stichocorys wolffii	Spirema sp.	Lychnocanoma nipponica nipponica	Botryostrobus bramlettei costatus	Stichocorys peregrina	Theocorys redondoensis	Stylacontarium acquilonium	Pterocanium trilobum	Pterocanium grandiporus	Phormostichoartus intermedium	Botryostrobus sp. aff. B. aquilonaris	Botryostrobus bramlettei seriatus	Cyrtocapsella japonica	Dictyophimus splendens	Botryopera deflandrei	Stylacontarium sp.aff. S. bispiculum	Siphocampe modeloensis	Prunopyle titan	Sphaeropyle robusta	Pterocanium auritum	Phormostichoartus crustula (old)	Sphaeropyle langii	Pterocanium korotnevi	Lychnocanoma nipponica sakaii	Cycladophora davisiana (old)	Ceratospyris borealis	Phormostichoartus pitomorphus	Cycladophora bicornis helios	Ceratocyrtis histricosa group	Dictyophimus crisiae	Eucyrtidium matuyamai	Pseudodictyophimus gracilipes	Lamprocyrtis nigriniae	Gondwanaria dogieli	Botryostrobus aquilonaris	Pterocorys clausus	Comment

  SR	                 	                 	                  	              	146	 892	D	  3	X	 1	   5.00	     18.0500	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	R                          	                       	R                                 	T                     	                       	R                     	R                      	R                     	                        	T                  	                         	                                   	R                            	                        	                   	           	                                	                                 	                     	                      	R                         	R                   	                       	                             	C                                    	                                 	                      	                      	                     	                                    	                      	               	                   	T                  	                                	                  	R                    	                             	                            	                     	R                            	                            	R                            	                    	R                    	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  3	X	CC	   0.00	     18.7800	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	R                          	                       	                                  	                      	                       	R                     	                       	                      	                        	                   	                         	                                   	                             	                        	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	R                 	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  4	X	 1	  29.00	     27.7900	Caulet   	Radiolarians                                 	R              	G                 	                     	R                  	                          	C                          	R                      	                                  	R                     	T                      	C                     	C                      	C                     	                        	                   	                         	                                   	C                            	                        	                   	           	                                	                                 	                     	                      	R                         	                    	                       	                             	R                                    	                                 	                      	                      	                     	                                    	                      	               	                   	T                  	                                	R                 	                     	T                            	                            	C                    	                             	                            	R                            	R                   	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  4	X	 3	  28.00	     30.3000	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	T                         	R                          	R                      	R                                 	T                     	                       	                      	R                      	R                     	T                       	                   	                         	                                   	R                            	                        	                   	           	                                	                                 	                     	                      	R                         	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	R                            	R                           	R                    	R                            	T                           	R                            	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  4	X	CC	  37.00	     31.2700	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	T                         	                           	                       	                                  	R                     	T                      	                      	                       	                      	                        	T                  	                         	                                   	                             	                        	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	R                           	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  5	X	 1	  52.00	     37.5200	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	R                          	R                      	R                                 	R                     	T                      	                      	R                      	R                     	                        	T                  	                         	R                                  	R                            	                        	                   	           	                                	                                 	                     	                      	R                         	                    	                       	                             	R                                    	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	R                 	T                    	R                            	R                           	T                    	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  5	X	 2	  95.00	     39.4500	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	                           	                       	                                  	R                     	                       	                      	R                      	                      	                        	                   	                         	                                   	                             	                        	R                  	R          	R                               	                                 	                     	R                     	                          	                    	                       	                             	                                     	                                 	C                     	T                     	C                    	                                    	                      	R              	                   	                   	R                               	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  5	X	 3	 125.00	     41.2500	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	                           	                       	                                  	R                     	                       	                      	R                      	                      	                        	                   	                         	                                   	                             	                        	R                  	           	                                	                                 	                     	R                     	                          	                    	                       	                             	                                     	                                 	                      	T                     	C                    	                                    	R                     	R              	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  5	X	CC	  14.00	     43.1000	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	                           	                       	                                  	                      	                       	                      	                       	                      	                        	                   	                         	                                   	                             	                        	R                  	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	R                    	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  6	X	 1	  83.00	     47.3300	Caulet   	Radiolarians                                 	R              	G                 	                     	R                  	                          	                           	                       	                                  	R                     	                       	                      	                       	                      	                        	                   	                         	                                   	                             	                        	C                  	           	                                	                                 	                     	R                     	                          	                    	                       	                             	                                     	                                 	C                     	                      	R                    	                                    	                      	               	T                  	T                  	R                               	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  6	X	 3	  91.00	     50.1600	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	                           	                       	                                  	                      	                       	                      	T                      	                      	                        	                   	                         	                                   	                             	                        	                   	           	R                               	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	R                     	                      	                     	T                                   	R                     	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  6	X	 4	  74.00	     51.4900	Caulet   	Radiolarians                                 	VR             	G                 	                     	                   	                          	                           	                       	                                  	                      	                       	                      	                       	                      	                        	                   	                         	                                   	                             	                        	                   	T          	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	R                     	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  6	X	 5	  67.00	     52.9200	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	                           	                       	                                  	                      	                       	                      	                       	                      	                        	                   	                         	                                   	                             	                        	                   	           	R                               	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	C                     	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  6	X	CC	  15.00	     53.4900	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	                           	                       	                                  	                      	                       	                      	T                      	                      	                        	                   	                         	                                   	                             	                        	                   	           	R                               	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	R                     	                      	                     	                                    	R                     	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  7	X	 1	  73.00	     54.7300	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	                           	                       	                                  	T                     	                       	                      	T                      	                      	                        	                   	                         	?                                  	                             	                        	C                  	           	                                	                                 	                     	R                     	                          	                    	                       	                             	                                     	                                 	                      	T                     	R                    	R                                   	R                     	R              	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  7	X	 2	  25.00	     55.7500	Caulet   	Radiolarians                                 	VR             	G                 	                     	                   	                          	                           	                       	                                  	                      	                       	                      	                       	                      	                        	                   	                         	                                   	                             	                        	R                  	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	R                     	R                    	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  7	X	 3	  74.00	     57.5000	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	                           	                       	                                  	T                     	                       	                      	T                      	                      	                        	                   	                         	                                   	                             	                        	C                  	           	                                	                                 	                     	T                     	                          	                    	                       	                             	                                     	                                 	                      	R                     	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  7	X	 4	 113.00	     59.3900	Caulet   	Radiolarians                                 	VR             	G                 	                     	                   	                          	                           	                       	                                  	                      	                       	                      	                       	                      	                        	                   	                         	?                                  	                             	                        	                   	           	R                               	T                                	                     	                      	                          	                    	                       	                             	                                     	                                 	R                     	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  7	X	 5	  32.00	     60.0800	Caulet   	Radiolarians                                 	VR             	G                 	                     	                   	                          	                           	                       	                                  	T                     	                       	                      	                       	                      	                        	                   	                         	                                   	                             	                        	                   	T          	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  7	X	 6	  21.00	     61.2400	Caulet   	Radiolarians                                 	C              	G                 	                     	R                  	R                         	C                          	R                      	R                                 	R                     	                       	                      	T                      	T                     	C                       	                   	R                        	                                   	R                            	T                       	                   	           	R                               	                                 	R                    	T                     	R                         	R                   	T                      	R                            	R                                    	T                                	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  7	X	CC	  17.00	     61.5800	Caulet   	Radiolarians                                 	R              	M                 	                     	                   	                          	                           	                       	                                  	R                     	                       	                      	R                      	                      	                        	                   	                         	                                   	                             	                        	                   	           	                                	                                 	R                    	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  8	X	 1	  43.00	     62.1300	Caulet   	Radiolarians                                 	R              	G                 	                     	                   	                          	T                          	                       	                                  	R                     	                       	                      	                       	                      	                        	                   	R                        	                                   	                             	                        	R                  	R          	T                               	T                                	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  8	X	 2	  57.00	     63.5700	Caulet   	Radiolarians                                 	VR             	G                 	                     	R                  	R                         	R                          	                       	R                                 	                      	                       	                      	                       	R                     	                        	                   	                         	                                   	R                            	T                       	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  8	X	 2	 117.00	     64.1700	Caulet   	Radiolarians                                 	VR             	G                 	                     	                   	                          	R                          	                       	R                                 	                      	T                      	                      	                       	                      	                        	                   	                         	                                   	                             	                        	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  8	X	 3	  65.00	     65.1500	Caulet   	Radiolarians                                 	VR             	G                 	                     	R                  	R                         	R                          	                       	                                  	R                     	                       	                      	T                      	R                     	                        	                   	                         	                                   	R                            	                        	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	  9	X	CC	  61.00	     75.9400	Caulet   	Radiolarians                                 	VR             	M                 	                     	                   	                          	R                          	                       	                                  	R                     	                       	                      	                       	                      	                        	                   	R                        	T                                  	                             	                        	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	 11	X	 2	  46.00	    111.4600	Caulet   	Radiolarians                                 	VR             	M                 	                     	R                  	                          	R                          	T                      	                                  	R                     	                       	R                     	R                      	R                     	R                       	T                  	                         	                                   	                             	                        	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	 11	X	CC	  30.00	    113.0700	Caulet   	Radiolarians                                 	VR             	M                 	                     	                   	                          	                           	                       	T                                 	                      	T                      	R                     	                       	                      	                        	                   	                         	                                   	                             	                        	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	 12	X	 3	  81.00	    122.8100	Caulet   	Radiolarians                                 	VR             	P                 	                     	R                  	                          	T                          	                       	T                                 	T                     	                       	                      	                       	                      	                        	                   	                         	                                   	                             	                        	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

  SR	                 	                 	                  	              	146	 892	D	 15	X	 2	  37.00	    149.3700	Caulet   	Radiolarians                                 	VR             	P                 	R                    	R                  	R                         	T                          	T                      	R                                 	                      	                       	                      	                       	                      	                        	                   	                         	                                   	                             	                        	                   	           	                                	                                 	                     	                      	                          	                    	                       	                             	                                     	                                 	                      	                      	                     	                                    	                      	               	                   	                   	                                	                  	                     	                             	                            	                     	                             	                            	                             	                    	                     	                             	                      	                   	                         	                  	From Leg 146; Ch 3; Table 4; p. 54-55

