Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia plesiotumida,Globigerinoides extremus,Globorotalia lenguaensis,Globoturborotalita nepenthes,Globorotalia (Hirsutella) cibaoensis,Neogloboquadrina acostaensis,Globorotalia margaritae,Globorotalia tumida,Globorotalia pseudomiocenica,Sphaeroidinellopsis seminulina,Dentoglobigerina altispira,Truncorotalia truncatulinoides,Comment
  IR,                 ,Early Pliocene   ,                  ,Pl1a          ,194,1194,A,  6,H,CC,  30.00,     52.5900,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                         ,                        ,                        ,                            ,                                    ,                            ,                       ,R                  ,                            ,                              ,                          ,                              ,N18. No Sa.dehiscens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Pl1a          ,194,1194,A,  7,H,CC,  33.00,     62.1800,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                         ,                        ,                        ,                            ,                                    ,                            ,                       ,F                  ,                            ,                              ,                          ,                              ,N18. No Sa.dehiscens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Pl1a          ,194,1194,A,  8,H,CC,  31.00,     71.6300,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                         ,                        ,                        ,R                           ,                                    ,R                           ,                       ,F                  ,                            ,                              ,                          ,                              ,N18. No Sa dehiscens.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,Pl1a          ,194,1194,A,  9,H,CC,  34.00,     80.8400,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                         ,                        ,                        ,                            ,R                                   ,                            ,R                      ,                   ,                            ,                              ,                          ,                              ,Base N18. No Gr.tumida.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1194,A, 10,H,CC,  43.00,     90.8500,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,A                        ,                        ,R                       ,                            ,                                    ,A                           ,                       ,                   ,                            ,                              ,                          ,                              ,Top N17A. No P.primalis.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1194,A, 11,H,CC,  21.00,    100.2300,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,F                        ,A                       ,R                       ,P                           ,P                                   ,                            ,                       ,                   ,                            ,                              ,                          ,                              ,N17A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1194,A, 12,H,CC,  44.00,    109.8000,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,F                        ,A                       ,R                       ,                            ,                                    ,                            ,                       ,                   ,                            ,                              ,                          ,                              ,N17A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1194,A, 13,H,CC,  39.00,    117.3800,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,R                        ,F                       ,                        ,                            ,                                    ,                            ,                       ,                   ,                            ,                              ,                          ,                              ,N17A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
