Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Stylatractus universus,Stichocorys peregrina,Spongaster tetras,Pterocanium prismatium,Phormostichoartus fistula,Phormostichoartus doliolum,Lychnodictyum audax,Didymocyrtis penultima,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Theocalyptra davisiana,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Pterocorys minythorax,Lamprocyrtis nigriniae,Collosphaera tuberosa,Comment
  SR,                 ,                 ,P12               ,              ,138, 852,B,  1,H, 4,  60.00,      5.1000,Moore    ,Radiolarians                                 ,F              ,M                 ,                     ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,                           ,R                     ,                       ,R                                  ,R                    ,R                     ,-                    ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P12               ,              ,138, 852,B,  1,H, 4, 110.00,      5.6000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,                     ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,                           ,R                     ,                       ,R                                  ,R                    ,R                     ,R                    ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 852,B,  1,H, 6, 110.00,      8.6000,Moore    ,Radiolarians                                 ,C              ,M                 ,                     ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,-                          ,R                     ,                       ,R                                  ,R                    ,R                     ,-                    ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 852,B,  1,H,CC,  19.00,      8.8200,Moore    ,Radiolarians                                 ,C/A            ,M                 ,                     ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,-                          ,R                     ,-                      ,-                                  ,R                    ,R                     ,-                    ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 852,B,  2,H, 2, 110.00,     11.5000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,                     ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,-                          ,R                     ,-                      ,R                                  ,R                    ,R                     ,-                    ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 852,B,  2,H, 3, 110.00,     13.0000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,-                    ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,-                          ,R                     ,-                      ,R                                  ,R                    ,R                     ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,B,  2,H, 4,  10.00,     13.5000,Moore    ,Radiolarians                                 ,C              ,M                 ,-                    ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,R                          ,R                     ,R                      ,R                                  ,R                    ,R                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,B,  2,H, 4,  60.00,     14.0000,Moore    ,Radiolarians                                 ,C              ,M                 ,-                    ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,R                          ,R                     ,R                      ,-                                  ,R                    ,R                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,B,  2,H, 4, 110.00,     14.5000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,R                    ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,R                          ,R                     ,R                      ,R                                  ,R                    ,-                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,B,  2,H, 5,  10.00,     15.0000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,R                    ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,R                          ,R                     ,R                      ,R                                  ,-                    ,-                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,B,  2,H, 5,  60.00,     15.5000,Moore    ,Radiolarians                                 ,F              ,P                 ,R                    ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,R                          ,R                     ,R                      ,R                                  ,-                    ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,B,  2,H, 5, 140.00,     16.3000,Moore    ,Radiolarians                                 ,C              ,M                 ,R                    ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,R                          ,R                     ,R                      ,R                                  ,                     ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,B,  2,H, 6,  10.00,     16.5000,Moore    ,Radiolarians                                 ,R              ,P                 ,R                    ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,                        ,R                          ,R                     ,R                      ,R                                  ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,B,  2,H, 6,  60.00,     17.0000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,R                    ,R                     ,                     ,R                ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,-                       ,R                          ,R                     ,R                      ,R                                  ,                     ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,B,  2,H, 6, 110.00,     17.5000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                     ,R                ,-                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,-                       ,R                          ,R                     ,R                      ,R                                  ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,B,  2,H,CC,  22.00,     18.9100,Moore    ,Radiolarians                                 ,C/A            ,M                 ,R                    ,R                     ,                     ,R                ,-                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,-                       ,R                          ,R                     ,R                      ,R                                  ,                     ,                      ,                     ,Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 1, 110.00,     19.5000,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,R                       ,R                          ,R                     ,R                      ,R                                  ,                     ,                      ,                     ,Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 2,  10.00,     20.0000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,R                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,R                       ,R                          ,R                     ,R                      ,R                                  ,                     ,                      ,                     ,Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 2,  60.00,     20.5000,Moore    ,Radiolarians                                 ,R              ,P                 ,R                    ,R                     ,                     ,R                ,-                     ,                         ,                          ,                   ,                      ,                         ,                       ,-                    ,-                       ,R                          ,-                     ,-                      ,-                                  ,                     ,                      ,                     ,Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 2, 140.00,     21.3000,Moore    ,Radiolarians                                 ,C              ,M                 ,R                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,-                       ,R                          ,R                     ,-                      ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 3,  10.00,     21.5000,Moore    ,Radiolarians                                 ,R              ,P                 ,R                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,-                       ,R                          ,R                     ,-                      ,                                   ,                     ,                      ,                     ,Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 3,  60.00,     22.0000,Moore    ,Radiolarians                                 ,F              ,M                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,-                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 3, 110.00,     22.5000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,R                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 3, 140.00,     22.8000,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,R                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 4, 110.00,     24.0000,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,R                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 5,  10.00,     24.5000,Moore    ,Radiolarians                                 ,C              ,M                 ,R                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,R                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 5,  60.00,     25.0000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                    ,R                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 5, 140.00,     25.8000,Moore    ,Radiolarians                                 ,C              ,G                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,-                      ,R                    ,R                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 6,  10.00,     26.0000,Moore    ,Radiolarians                                 ,A              ,G                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,-                      ,R                    ,R                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 6,  60.00,     26.5000,Moore    ,Radiolarians                                 ,A              ,G                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,-                      ,R                    ,R                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 6, 110.00,     27.0000,Moore    ,Radiolarians                                 ,A              ,M                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,R                       ,R                          ,-                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 6, 140.00,     27.3000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,-                      ,R                    ,R                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H, 7,  20.00,     27.6000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,-                    ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,R                       ,R                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  3,H,CC,  23.00,     28.4600,Moore    ,Radiolarians                                 ,F              ,P                 ,R                    ,R                     ,-                    ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,-                      ,R                    ,R                       ,R                          ,-                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  4,H, 1, 110.00,     29.0000,Moore    ,Radiolarians                                 ,A              ,M                 ,F                    ,R                     ,-                    ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,R                       ,-                          ,R                     ,                       ,                                   ,                     ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,B,  4,H, 2,  10.00,     29.5000,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,rT                   ,R                ,-                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,-                       ,R                          ,-                     ,                       ,                                   ,                     ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 2,  60.00,     30.0000,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,R                    ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,R                       ,R                          ,-                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 2, 110.00,     30.5000,Moore    ,Radiolarians                                 ,F              ,M                 ,F                    ,R                     ,C                    ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,R                       ,R                          ,-                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 4, 110.00,     33.5000,Moore    ,Radiolarians                                 ,F              ,M                 ,R                    ,R                     ,C                    ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,R                       ,-                          ,-                     ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 5,  10.00,     34.0000,Moore    ,Radiolarians                                 ,F              ,M                 ,F                    ,R                     ,F                    ,R                ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,R                       ,-                          ,                      ,                       ,                                   ,                     ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 5,  60.00,     34.5000,Moore    ,Radiolarians                                 ,C/A            ,G                 ,F                    ,R                     ,F                    ,R                ,-                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,-                       ,-                          ,                      ,                       ,                                   ,                     ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 5, 140.00,     35.3000,Moore    ,Radiolarians                                 ,C/A            ,G                 ,F                    ,R                     ,F                    ,R                ,-                     ,                         ,                          ,                   ,                      ,                         ,-                      ,R                    ,-                       ,-                          ,                      ,                       ,                                   ,                     ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 6,  10.00,     35.5000,Moore    ,Radiolarians                                 ,R              ,P                 ,F                    ,R                     ,F                    ,R                ,-                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,-                       ,-                          ,                      ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 6,  60.00,     36.0000,Moore    ,Radiolarians                                 ,C/A            ,G                 ,F                    ,R                     ,C                    ,R                ,-                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                    ,-                       ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 6, 110.00,     36.5000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,R                    ,R                     ,C                    ,R                ,R                     ,-                        ,                          ,                   ,                      ,                         ,R                      ,R                    ,-                       ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 6, 140.00,     36.8000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,C                    ,R                ,-                     ,-                        ,                          ,                   ,                      ,                         ,R                      ,R                    ,                        ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H, 7,  52.00,     37.4200,Moore    ,Radiolarians                                 ,C/A            ,M                 ,R                    ,R                     ,F                    ,R                ,R                     ,-                        ,                          ,                   ,                      ,                         ,R                      ,R                    ,                        ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  4,H,CC,  25.00,     37.9400,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,F                    ,R                ,R                     ,R                        ,                          ,                   ,                      ,-                        ,-                      ,-                    ,                        ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  5,H, 1, 110.00,     38.5000,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,C                    ,R                ,R                     ,R                        ,                          ,                   ,                      ,R                        ,R                      ,R                    ,                        ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
