Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Lithomelissa stigi	Eucyrtidium pseudoinflatum	Cycladophora spongothorax	Siphonosphaera vesuvius	Acrosphaera australis	Amphymenium challengerae	Acrosphaera labrata	Desmospyris spongiosa	Cycladophora pliocenica	Stylatractus universus	Lampromitra coronata	Lychnocanium grande	Eucyrtidium calvertense	Antarctissa cylindrica	Triceraspyris antarctica	Prunopyle titan	Helotholus vema	Comment
  IR	                 	                 	                  	              	178	1095	B	 11	H	CC	   0.00	    187.6300	Weinheimer	Radiolarians                                 	A              	G                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	C                      	F                     	F                   	                   	A                      	A                     	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 12	H	CC	  10.00	    197.0100	Weinheimer	Radiolarians                                 	R              	G                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	                       	T                     	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 14	X	CC	  21.00	    211.0600	Weinheimer	Radiolarians                                 	T              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	                       	                      	                    	T                  	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 16	X	CC	  25.00	    228.7600	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	F                      	R                     	                    	C                  	F                      	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 17	X	CC	  26.00	    243.6200	Weinheimer	Radiolarians                                 	R              	P                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	                       	                      	                    	F                  	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 18	X	CC	  17.00	    253.0900	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	F                      	R                     	                    	F                  	F                      	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 19	X	CC	   0.00	    253.1000	Weinheimer	Radiolarians                                 	F              	M                 	                     	                  	                          	                         	                       	                     	                        	F                  	                     	                       	                      	                    	C                  	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 20	X	CC	  24.00	    272.3600	Weinheimer	Radiolarians                                 	F              	M                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	                       	                      	                    	R                  	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 21	X	CC	  27.00	    282.1100	Weinheimer	Radiolarians                                 	R              	G                 	                     	                  	                          	                         	                       	                     	                        	                   	                     	                       	                      	                    	                   	                       	R                     	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 26	X	CC	  29.00	    330.3500	Weinheimer	Radiolarians                                 	F              	M                 	                     	                  	T                         	                         	-                      	                     	-                       	-                  	                     	                       	T                     	                    	T                  	T                      	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 27	X	CC	  19.00	    339.7600	Weinheimer	Radiolarians                                 	R              	M                 	                     	                  	                          	                         	-                      	                     	-                       	-                  	                     	                       	R                     	                    	R                  	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 28	X	CC	  30.00	    349.4900	Weinheimer	Radiolarians                                 	T              	M                 	                     	                  	                          	                         	-                      	                     	-                       	-                  	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 29	X	CC	  23.00	    359.1200	Weinheimer	Radiolarians                                 	C              	M                 	                     	                  	R                         	-                        	R                      	R                    	                        	-                  	                     	                       	R                     	R                   	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 30	X	CC	  18.00	    368.7900	Weinheimer	Radiolarians                                 	R              	M                 	                     	                  	                          	                         	-                      	                     	-                       	-                  	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 31	X	CC	  28.00	    378.5400	Weinheimer	Radiolarians                                 	T              	P                 	                     	                  	                          	-                        	-                      	                     	-                       	-                  	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 32	X	CC	  29.00	    388.1200	Weinheimer	Radiolarians                                 	R              	M                 	                     	                  	                          	-                        	-                      	                     	-                       	-                  	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 33	X	CC	  22.00	    397.4000	Weinheimer	Radiolarians                                 	F              	M                 	                     	                  	                          	-                        	-                      	                     	-                       	-                  	R                    	R                      	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 34	X	CC	  18.00	    406.9000	Weinheimer	Radiolarians                                 	R              	M                 	                     	                  	R                         	-                        	-                      	                     	-                       	-                  	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 35	X	CC	   6.00	    415.0800	Weinheimer	Radiolarians                                 	R              	M                 	                     	                  	                          	-                        	-                      	                     	-                       	-                  	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 37	X	CC	   9.00	    431.2900	Weinheimer	Radiolarians                                 	T              	P                 	                     	                  	                          	-                        	-                      	                     	-                       	-                  	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 39	X	CC	  21.00	    454.8200	Weinheimer	Radiolarians                                 	R              	P                 	                     	                  	                          	-                        	R                      	                     	                        	                   	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 40	X	CC	   9.00	    464.3600	Weinheimer	Radiolarians                                 	T              	P                 	                     	                  	                          	-                        	-                      	                     	                        	                   	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 41	X	CC	  13.00	    474.1300	Weinheimer	Radiolarians                                 	T              	P                 	                     	                  	                          	-                        	-                      	                     	                        	                   	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 43	X	CC	  40.00	    485.9700	Weinheimer	Radiolarians                                 	T              	P                 	                     	                  	                          	T                        	                       	T                    	                        	                   	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 44	X	CC	  22.00	    493.6200	Weinheimer	Radiolarians                                 	R              	P                 	-                    	-                 	                          	-                        	-                      	                     	                        	                   	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 45	X	CC	  34.00	    500.1300	Weinheimer	Radiolarians                                 	T              	P                 	-                    	-                 	                          	-                        	                       	                     	                        	                   	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 50	X	CC	  32.00	    544.2900	Weinheimer	Radiolarians                                 	T              	P                 	-                    	-                 	                          	-                        	                       	                     	                        	                   	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

  IR	                 	                 	                  	              	178	1095	B	 51	X	CC	  23.00	    552.5500	Weinheimer	Radiolarians                                 	T              	P                 	-                    	-                 	T                         	-                        	                       	                     	                        	                   	                     	                       	                      	                    	                   	                       	                      	                        	               	               	       

