Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tritaxa spp.	Stensioina pommerana	Spiroplectammina spp.	Sliteria varsoviensis	Reussella szajnochae	Pseudouvigerina plummerae	Praebulimina reussi	Paralabamina lunata	Osangularia navarroana	Gyroidinoides spp.	Gavelinella beccariiformis	Eouvigerina subsculptura	Coryphostoma incrassata	Cibicidoides velascoensis	Bolivinoides paleocenica	Aragonia velascoensis	lagenid taxa	Sitella cf. plana	Nuttallinella florealis	Nonion spp.	Gyroidinoides depressus	Gaudryina pyramidata	Bolivinoides delicatulus	Allomorphina trochoides	Alabamina sp. A	Spiroplectammina spectabilis	Pullenia spp.	Hyperammina/Bathysiphon frag.	Oridorsalis spp.	Cibicidoides hyphalus	Quadrimorphina allomorphinoides	Pyramidina rudita	Nuttallides truempyi	Glomospira spp.	Bulimina sp. (apical spine)	Osangularia velascoensis	Marssonella oxycona	Gyroidinoides globosa	Bulimina trinitatensis	Globorotalites sp. A	Coryphostoma midwayensis	Cibicidoides dayi	Anomalinoides praespissiformis	other agglutinated taxa	Neoflabellina semireticulata	Charltonia? sp. (porate)	Bulimina sp. 185 (apical spine)	Bulimina sp. (triangular)	Pyramidina? sp. (without ap. spine)	Buliminella grata	Buliminella beaumonti	pleurostomellid taxa	Nodogenerina spp.	Ammodiscus sp.	Comment

  IR	                 	Early Paleocene  	                  	              	171	1052	E	 17	R	CC	  18.00	    300.3300	Widmark  	Benthic Foraminifers                         	A              	M                 	+           	                    	                     	                     	                    	                         	                   	                   	                      	+                 	+                         	                        	                       	+                        	+                       	+                    	+           	                 	                       	           	                       	+                   	+                       	                       	+              	                            	+            	                             	+               	+                    	+                              	                 	+                   	               	                           	                        	                   	                     	+                     	+                   	+                       	+                	+                             	                       	                            	                        	                               	                         	                                   	                 	                     	                    	                 	              	       

  IR	                 	Maestrichtian    	                  	              	171	1052	E	 18	R	 2	  59.00	    302.1900	Widmark  	Benthic Foraminifers                         	A              	G                 	+           	                    	                     	                     	                    	                         	                   	                   	                      	                  	+                         	                        	+                      	                         	+                       	+                    	+           	                 	                       	           	                       	                    	+                       	                       	               	                            	+            	                             	+               	+                    	                               	+                	+                   	               	                           	+                       	+                  	+                    	+                     	                    	                        	                 	                              	                       	                            	                        	                               	                         	                                   	                 	                     	                    	                 	              	       

  IR	                 	Maestrichtian    	                  	              	171	1052	E	 22	R	CC	  20.00	    343.9800	Widmark  	Benthic Foraminifers                         	A              	G                 	+           	                    	                     	+                    	                    	                         	+                  	+                  	                      	                  	+                         	+                       	+                      	+                        	                        	                     	+           	+                	                       	+          	                       	+                   	                        	                       	+              	                            	+            	                             	+               	                     	+                              	+                	+                   	+              	+                          	                        	                   	                     	                      	                    	                        	                 	                              	                       	                            	                        	                               	                         	                                   	                 	                     	                    	                 	              	       

  IR	                 	Maestrichtian    	                  	              	171	1052	E	 25	R	CC	   0.00	    368.8500	Widmark  	Benthic Foraminifers                         	A              	G                 	            	                    	+                    	                     	                    	+                        	+                  	+                  	                      	                  	                          	+                       	+                      	                         	                        	                     	+           	                 	                       	+          	+                      	+                   	                        	                       	               	                            	+            	+                            	+               	+                    	                               	                 	                    	               	                           	                        	                   	                     	                      	                    	                        	                 	                              	                       	                            	                        	                               	                         	                                   	                 	                     	                    	                 	              	       

  IR	                 	Maestrichtian    	                  	              	171	1052	E	 28	R	CC	   0.00	    400.1200	Widmark  	Benthic Foraminifers                         	A              	G                 	+           	                    	+                    	                     	                    	+                        	+                  	                   	                      	+                 	+                         	+                       	+                      	+                        	                        	                     	+           	                 	                       	           	+                      	                    	                        	                       	+              	+                           	+            	+                            	                	                     	                               	                 	                    	               	                           	                        	                   	                     	                      	                    	                        	                 	                              	                       	                            	                        	                               	                         	                                   	                 	                     	                    	                 	              	       

  IR	                 	Maestrichtian    	                  	              	171	1052	E	 31	R	CC	  12.00	    434.8900	Widmark  	Benthic Foraminifers                         	A              	M                 	            	                    	                     	+                    	                    	+                        	+                  	                   	                      	                  	+                         	+                       	                       	                         	                        	                     	+           	+                	+                      	+          	+                      	+                   	+                       	+                      	+              	                            	             	                             	                	                     	                               	                 	                    	               	                           	                        	                   	                     	                      	                    	                        	                 	                              	                       	                            	                        	                               	                         	                                   	                 	                     	                    	                 	              	       

  IR	                 	Campanian        	                  	              	171	1052	E	 34	R	 2	  57.00	    455.9700	Widmark  	Benthic Foraminifers                         	A              	G                 	+           	+                   	+                    	+                    	+                   	+                        	+                  	+                  	+                     	+                 	+                         	+                       	+                      	+                        	+                       	+                    	            	                 	                       	           	                       	                    	                        	                       	               	                            	             	                             	                	                     	                               	                 	                    	               	                           	                        	                   	                     	                      	                    	                        	                 	                              	                       	                            	                        	                               	                         	                                   	                 	                     	                    	                 	              	       

