Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus embergeri	Watznaueria ovata	Watznaueria manivitae	Watznaueria britannica	Watznaueria biporta	Watznaueria barnesae	Tubodiscus verenae	Rucinolithus wisei	Rhagodiscus dekaenelii	Lithraphidites carniolensis carniolensis	Helenea chiastia	Haqius ellipticus	Diazomatolithus lehmanii	Cyclagelosphaera margerelii	Cyclagelosphaera deflandrei	Cruciellipsis cuvillieri	Cretarhabdus angustiforatus	Assipetra infracretacea	Zeugrhabdotus cooperi	Tubodiscus jurapelagicus	Rhagodiscus asper	Haqius circumradiatus	Pickelhaube furtiva	Manivitella pemmatoidea	Cretarhabdus conicus	Zeugrhabdotus erectus	Glaukolithus diplogrammus	Calcicalathina oblongata	Watznaueria supracretacea	Eiffellithus primus	Biscutum constans	Assipetra terebrodentarius	Hayesites bulbus	Lithraphidites bollii	Nannoconus ligius	Comment
  IR	                 	                 	                  	              	185	1149	B	 18	R	 1	  94.00	    302.5400	Lozar    	Nannofossils                                 	F              	P                 	C                      	R                	R                    	R                     	                   	C                   	                  	                  	                      	                                        	                	R                	R                       	C                          	R                          	R                       	R                          	R                      	R                    	                        	                 	R                    	                   	                       	                    	                     	                         	                        	R                        	                   	                 	R                         	                	                     	R                	rare dolomite; preserved coccosphaeres.

  IR	                 	                 	                  	              	185	1149	B	 19	R	 1	  20.00	    311.5000	Lozar    	Nannofossils                                 	C              	M                 	C                      	                 	C                    	F                     	C                  	A                   	                  	                  	                      	F                                       	R               	R                	R                       	C                          	                           	R                       	                           	C                      	R                    	R                       	                 	R                    	                   	R                      	                    	F                    	R                        	                        	R                        	                   	                 	F                         	                	R                    	R                	rare dolomite

  IR	                 	                 	                  	              	185	1149	B	 19	R	 1	 125.00	    312.5500	Lozar    	Nannofossils                                 	F              	P                 	R                      	                 	R                    	R                     	                   	R                   	                  	                  	                      	                                        	                	R                	R                       	R                          	R                          	                        	R                          	R                      	                     	R                       	                 	                     	                   	                       	                    	                     	                         	                        	R                        	                   	                 	R                         	                	                     	                 	       

  IR	                 	                 	                  	              	185	1149	B	 20	R	 1	  46.00	    321.3600	Lozar    	Nannofossils                                 	C              	P                 	C                      	                 	R                    	F                     	                   	A                   	                  	                  	                      	R                                       	R               	R                	F                       	C                          	                           	F                       	C                          	R                      	R                    	R                       	                 	F                    	                   	                       	                    	R                    	                         	                        	C                        	                   	                 	R                         	                	F                    	                 	rare dolomite; preserved coccosphaeres.

  IR	                 	                 	                  	              	185	1149	B	 20	R	 1	 139.00	    322.2900	Lozar    	Nannofossils                                 	F              	P                 	F                      	                 	R                    	                      	                   	F                   	                  	                  	                      	R                                       	                	                 	                        	F                          	R                          	R                       	R                          	F                      	                     	                        	                 	R                    	                   	                       	                    	                     	                         	                        	                         	                   	                 	R                         	                	R                    	                 	       

  IR	                 	                 	                  	              	185	1149	B	 22	R	 1	   0.00	    340.1000	Lozar    	Nannofossils                                 	C              	M                 	C                      	                 	C                    	A                     	                   	A                   	                  	                  	R                     	R                                       	R               	                 	C                       	C                          	                           	R                       	                           	R                      	R                    	                        	                 	F                    	                   	R                      	                    	                     	                         	R                       	                         	                   	                 	R                         	                	                     	                 	rare preserved coccosphaeres

  IR	                 	                 	                  	              	185	1149	B	 22	R	 1	  17.00	    340.2700	Lozar    	Nannofossils                                 	F              	P                 	F                      	                 	                     	R                     	F                  	A                   	                  	                  	                      	                                        	R               	F                	F                       	R                          	                           	F                       	F                          	C                      	                     	                        	                 	R                    	                   	R                      	                    	R                    	                         	                        	                         	                   	                 	                          	R               	                     	                 	dolomite;coccosphaeres preserved.

  IR	                 	                 	                  	              	185	1149	B	 22	R	 1	  82.00	    340.9200	Lozar    	Nannofossils                                 	F              	P                 	R                      	R                	                     	F                     	F                  	D                   	                  	                  	                      	                                        	                	R                	R                       	F                          	R                          	R                       	R                          	R                      	                     	                        	                 	                     	                   	                       	                    	                     	                         	                        	R                        	                   	                 	                          	                	                     	                 	rare dolomite.

  IR	                 	                 	                  	              	185	1149	B	 23	R	CC	  22.00	    349.9200	Lozar    	Nannofossils                                 	C              	M                 	C                      	                 	R                    	C                     	C                  	A                   	                  	                  	R                     	                                        	                	                 	C                       	A                          	                           	F                       	R                          	F                      	F                    	                        	R                	R                    	                   	R                      	                    	R                    	                         	R                       	R                        	R                  	R                	R                         	                	                     	                 	well preserved coccosphaeres.

  IR	                 	                 	                  	              	185	1149	B	 24	R	 1	  21.00	    359.4100	Lozar    	Nannofossils                                 	C              	M                 	R                      	R                	                     	F                     	R                  	A                   	R                 	                  	                      	R                                       	                	R                	C                       	C                          	R                          	C                       	                           	R                      	                     	R                       	                 	                     	                   	                       	R                   	                     	                         	                        	                         	                   	                 	                          	                	                     	                 	rare preserved coccosphaeres

  IR	                 	                 	                  	              	185	1149	B	 24	R	 1	  80.00	    360.0000	Lozar    	Nannofossils                                 	C              	M                 	R                      	                 	R                    	F                     	                   	A                   	R                 	                  	                      	R                                       	R               	R                	C                       	F                          	                           	C                       	                           	F                      	                     	F                       	                 	                     	                   	R                      	                    	                     	                         	R                       	                         	                   	                 	                          	                	                     	                 	       

  IR	                 	                 	                  	              	185	1149	B	 25	R	 1	  22.00	    368.9200	Lozar    	Nannofossils                                 	C              	M                 	F                      	                 	                     	F                     	R                  	A                   	                  	R                 	                      	R                                       	R               	R                	C                       	F                          	                           	F                       	F                          	C                      	R                    	F                       	                 	R                    	                   	R                      	                    	                     	R                        	                        	                         	                   	                 	                          	                	                     	                 	coccosphaeres preserved

  IR	                 	                 	                  	              	185	1149	B	 26	R	 1	  28.00	    378.3800	Lozar    	Nannofossils                                 	C              	P                 	F                      	                 	                     	C                     	R                  	A                   	                  	R                 	                      	R                                       	R               	R                	F                       	C                          	                           	F                       	F                          	F                      	R                    	R                       	                 	                     	                   	                       	                    	R                    	                         	                        	                         	                   	                 	                          	                	                     	                 	rare preserved coccosphaeres

  IR	                 	                 	                  	              	185	1149	B	 26	R	 1	  50.00	    378.6000	Lozar    	Nannofossils                                 	C              	P                 	R                      	                 	                     	C                     	                   	A                   	                  	                  	                      	R                                       	                	                 	F                       	C                          	R                          	C                       	                           	F                      	                     	F                       	                 	                     	                   	                       	R                   	                     	                         	                        	                         	                   	                 	                          	                	                     	                 	       

  IR	                 	                 	                  	              	185	1149	B	 26	R	 1	  80.00	    378.9000	Lozar    	Nannofossils                                 	F              	P                 	R                      	                 	                     	C                     	                   	C                   	R                 	F                 	                      	F                                       	R               	R                	C                       	C                          	                           	R                       	F                          	F                      	                     	                        	                 	                     	R                  	R                      	                    	                     	                         	                        	                         	                   	                 	                          	                	                     	                 	       

  IR	                 	                 	                  	              	185	1149	B	 27	R	 1	  10.00	    387.7000	Lozar    	Nannofossils                                 	C              	M                 	R                      	                 	                     	F                     	                   	A                   	                  	                  	                      	R                                       	                	                 	F                       	C                          	                           	R                       	R                          	C                      	                     	                        	                 	R                    	                   	                       	                    	                     	                         	                        	                         	                   	                 	                          	                	                     	                 	       

  IR	                 	                 	                  	              	185	1149	B	 28	R	 2	  42.00	    398.8400	Lozar    	Nannofossils                                 	C              	M                 	R                      	                 	R                    	F                     	                   	A                   	R                 	                  	                      	                                        	R               	F                	F                       	C                          	F                          	R                       	R                          	                       	                     	R                       	R                	R                    	                   	                       	                    	                     	                         	                        	                         	                   	                 	                          	                	                     	                 	       

  IR	                 	                 	                  	              	185	1149	B	 28	R	 2	 138.00	    399.8000	Lozar    	Nannofossils                                 	C              	M                 	R                      	R                	F                    	F                     	F                  	A                   	R                 	                  	R                     	                                        	                	R                	F                       	R                          	C                          	R                       	F                          	F                      	R                    	                        	                 	                     	                   	                       	                    	                     	                         	                        	                         	                   	                 	                          	                	                     	                 	dolomite and preserved coccosphaeres.

  IR	                 	                 	                  	              	185	1149	B	 29	R	 1	  23.00	    407.0300	Lozar    	Nannofossils                                 	F              	P                 	R                      	                 	R                    	F                     	                   	D                   	                  	                  	                      	                                        	                	                 	F                       	F                          	C                          	                        	F                          	A                      	                     	                        	                 	                     	                   	                       	                    	                     	                         	                        	                         	                   	                 	                          	                	                     	                 	       

  IR	                 	                 	                  	              	185	1149	B	 29	R	 1	  92.00	    407.7200	Lozar    	Nannofossils                                 	C              	M                 	R                      	F                	F                    	C                     	R                  	A                   	R                 	R                 	R                     	R                                       	R               	R                	C                       	A                          	R                          	F                       	F                          	R                      	                     	                        	                 	                     	                   	                       	                    	                     	                         	                        	                         	                   	                 	                          	                	                     	                 	preserved coccosphaeres

