Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina falconensis,Neogloboquadrina incompta,Globorotalia obesa,Globigerinoides ruber,Globigerinita iota,Globigerinita glutinata,Globigerina calida,Globigerina bulloides,Turborotalita humilis,Sphaeroidinella dehiscens dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotaloides hexagona,Globigerinoides sacculifer,Globigerinoides obliquus obliquus,Globigerinoides immaturus,Globigerina rubescens,Orbulina universa,Globigerinoides elongatus,Neogloboquadrina pachyderma,Neogloboquadrina humerosa,Hastigerinopsis riedeli,Globigerina quinqueloba,Neogloboquadrina blowi,Globorotalia tumida,Globorotalia scitula,Globorotalia cultrata cultrata,Globorotalia ungulata,Globorotalia tosaensis,Globorotalia cultrata menardii,Globigerinoides conglobatus,Globigerinella aequilateralis,Globigerina decoraperta,Globigerinita uvula,Neogloboquadrina pseudopachyderma,Globigerina calida praecalida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  6,H, 3,  49.00,     47.0800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                      ,A                        ,                  ,                     ,                  ,A                      ,                  ,C                    ,                     ,                                   ,                            ,C                         ,T                       ,T                         ,                                 ,T                        ,                     ,T                ,                         ,A                          ,                         ,T                      ,A                      ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,T                  ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  7,H, 7,  52.00,     62.9200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                      ,A                        ,F                 ,                     ,C                 ,C                      ,F                 ,A                    ,                     ,                                   ,                            ,F                         ,                        ,                          ,                                 ,                         ,                     ,T                ,                         ,A                          ,                         ,                       ,                       ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,T                  ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  8,H,CC,  13.00,     71.7100,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                      ,                         ,C                 ,C                    ,C                 ,A                      ,C                 ,C                    ,                     ,                                   ,F                           ,A                         ,                        ,A                         ,                                 ,R                        ,T                    ,                 ,                         ,                           ,T                        ,                       ,F                      ,R                     ,F                  ,T                   ,                              ,T                    ,T                     ,F                             ,T                          ,T                            ,R                      ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  9,H,CC,  23.00,     74.8900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                      ,C                        ,                  ,C                    ,                  ,A                      ,                  ,A                    ,                     ,                                   ,F                           ,C                         ,                        ,C                         ,                                 ,T                        ,F                    ,T                ,T                        ,                           ,                         ,                       ,A                      ,F                     ,T                  ,T                   ,T                             ,                     ,                      ,                              ,                           ,                             ,                       ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B, 10,H,CC,   5.00,     86.4400,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                      ,                         ,                  ,T                    ,                  ,F                      ,                  ,A                    ,                     ,                                   ,T                           ,                          ,                        ,                          ,                                 ,                         ,                     ,T                ,                         ,A                          ,F                        ,C                      ,A                      ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B, 11,X,CC,  15.00,     87.9500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                       ,                         ,                  ,T                    ,                  ,                       ,                  ,                     ,                     ,                                   ,                            ,                          ,                        ,                          ,                                 ,                         ,                     ,                 ,                         ,                           ,                         ,                       ,                       ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B, 12,X,CC,  25.00,    102.2500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                      ,                         ,                  ,R                    ,                  ,F                      ,                  ,T                    ,                     ,                                   ,T                           ,                          ,                        ,                          ,                                 ,                         ,                     ,T                ,T                        ,                           ,                         ,                       ,                       ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B, 13,X,CC,  25.00,    114.7500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                      ,                         ,T                 ,A                    ,                  ,A                      ,T                 ,                     ,T                    ,T                                  ,C                           ,F                         ,F                       ,A                         ,F                                ,F                        ,C                    ,                 ,                         ,                           ,                         ,                       ,                       ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B, 14,X,CC,  25.00,    120.4000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                      ,T                        ,A                 ,T                    ,T                 ,C                      ,A                 ,A                    ,                     ,                                   ,                            ,                          ,                        ,                          ,                                 ,                         ,                     ,                 ,                         ,                           ,                         ,                       ,                       ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B, 15,X,CC,  26.00,    126.5300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                      ,                         ,                  ,                     ,                  ,                       ,                  ,                     ,                     ,                                   ,                            ,                          ,                        ,                          ,                                 ,                         ,                     ,                 ,                         ,                           ,                         ,                       ,                       ,                      ,                   ,                    ,                              ,                     ,                      ,                              ,                           ,                             ,                       ,                   ,                                 ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
