Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum speculum	Distephanus crux	Dictyocha varia	Dictyocha extensa extensa	Distephanus speculum speculum (8-sided)	Distephanus speculum speculum (7-sided)	Dictyocha sp.	Dictyocha perlaevis perlaevis	Dictyocha fibula mutabilis	Dictyocha fibula fibula	Dictyocha fibula ausonia	Dictyocha extensa longa	Dictyocha messanensis	Dictyocha clinata	Bachmannocena diodon nodosa f. transenna	Bachmannocena diodon nodosa f. navicula	Bachmannocena diodon nodosa	Distephanus speculum speculum (5-sided)	Bachmannocena elliptica	Dictyocha delicata bisecta	Dictyocha lingii	Bachmannocena circulus	Dictyocha perlaevis flexatella	Distephanus quinquangellus	Dictyocha aculeata subaculeata	Bachmannocena quadrangula	Distephanus pulchra	Distephanus boliviensis	Bachmannocena quadrangula (5-sided)	Dictyocha calida calida	Dictyocha aculeata aculeata	Comment
  SR	Pleistocene      	                 	B. quadrangula    	              	138	 848	B	  3	H	 1	 120.00	     12.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	10                           	                	               	                         	                                       	                                       	             	13                           	                          	                       	                        	                       	62                   	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	                              	5                         	                              	208                      	                   	1                      	                                   	1                      	                           	Aberrant specimens = 1; Total count = 300; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Pleistocene      	                 	B. quadrangula    	              	138	 848	B	  3	H	 4	 120.00	     17.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	31                           	                	               	                         	                                       	                                       	             	4                            	                          	                       	                        	                       	212                  	                 	                                        	                                       	                           	1                                      	                       	                          	                	                      	                              	                          	                              	45                       	5                  	1                      	1                                  	                       	                           	Aberrant specimens = 0; Total count = 300; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Early Pliocene   	                 	D. messanensis    	              	138	 848	B	  4	H	 1	 120.00	     22.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                             	                	2              	                         	                                       	                                       	87           	93                           	                          	                       	                        	1                      	105                  	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	                              	11                        	                              	1                        	                   	                       	                                   	                       	                           	Aberrant specimens = 0; Total count = 300; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Early Pliocene   	                 	D. messanensis    	              	138	 848	B	  4	H	 4	 120.00	     26.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	7                            	                	               	                         	                                       	                                       	171          	38                           	                          	                       	                        	5                      	77                   	                 	                                        	                                       	                           	1                                      	                       	                          	                	                      	                              	                          	1                             	                         	                   	                       	                                   	                       	                           	Aberrant specimens = 1; Total count = 300; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Early Pliocene   	                 	D. messanensis    	              	138	 848	B	  5	H	 1	 120.00	     31.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	13                           	                	               	                         	                                       	                                       	40           	63                           	                          	                       	                        	42                     	18                   	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	                              	1                         	                              	                         	                   	                       	                                   	                       	                           	Aberrant specimens = 4; Total count = 177; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Late Miocene     	                 	                  	              	138	 848	B	  5	H	 4	 120.00	     36.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	22                           	                	               	                         	                                       	                                       	15           	173                          	                          	5                      	15                      	9                      	                     	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	1                             	                          	                              	                         	                   	                       	                                   	                       	                           	Aberrant specimens = 0; Total count = 240; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Late Miocene     	                 	D. extensa        	              	138	 848	B	  6	H	 1	 120.00	     41.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	44                           	                	4              	39                       	                                       	                                       	172          	1                            	                          	15                     	4                       	13                     	                     	                 	                                        	                                       	                           	2                                      	                       	                          	1               	6                     	                              	                          	                              	                         	                   	                       	                                   	                       	                           	Aberrant specimens = 0; Total count = 294; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Late Miocene     	                 	D. extensa        	              	138	 848	B	  6	H	 4	 120.00	     45.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	15                           	1               	10             	10                       	                                       	                                       	104          	45                           	                          	8                      	47                      	58                     	1                    	                 	                                        	                                       	                           	                                       	                       	1                         	                	                      	                              	                          	                              	                         	                   	                       	                                   	                       	                           	Aberrant specimens = 1; Total count = 300; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Late Miocene     	                 	D. extensa        	              	138	 848	B	  7	H	 1	 116.00	     50.8600	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	115                          	7               	90             	6                        	                                       	                                       	24           	2                            	                          	12                     	6                       	35                     	                     	                 	                                        	                                       	                           	1                                      	2                      	                          	                	                      	                              	                          	                              	                         	                   	                       	                                   	                       	                           	Aberrant specimens = 1; Total count = 300; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Late Miocene     	                 	D. extensa        	              	138	 848	B	  7	H	 4	 120.00	     55.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	70                           	1               	15             	2                        	                                       	                                       	24           	15                           	                          	                       	                        	                       	1                    	1                	73                                      	4                                      	94                         	                                       	                       	                          	                	                      	                              	                          	                              	                         	                   	                       	                                   	                       	                           	Aberrant specimens = 2; Total count = 300; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Late Miocene     	                 	Ds. speculum tenuis	              	138	 848	B	  8	H	 1	 120.00	     60.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	25                           	40              	57             	6                        	                                       	                                       	140          	19                           	                          	9                      	4                       	                       	                     	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	                              	                          	                              	                         	                   	                       	                                   	                       	                           	Aberrant specimens = 0; Total count = 303; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Middle Miocene   	                 	D. varia          	              	138	 848	B	  9	H	 1	  50.00	     69.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	36                           	                	4              	                         	4                                      	1                                      	203          	3                            	2                         	31                     	1                       	1                      	                     	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	                              	                          	                              	                         	                   	                       	                                   	                       	                           	Aberrant specimens = 0; Total count = 286; from Leg 138 SR Ch 8 Table 5 pp 136-137

  SR	Middle Miocene   	                 	D. varia          	              	138	 848	B	 10	H	 1	 120.00	     79.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	4                            	1               	34             	3                        	                                       	                                       	             	                             	                          	                       	                        	                       	                     	                 	                                        	                                       	                           	                                       	                       	                          	                	                      	                              	                          	                              	                         	                   	                       	                                   	                       	                           	Aberrant specimens = 0; Total count = 42; from Leg 138 SR Ch 8 Table 5 pp 136-137

