Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Whiteinella inornata,Whiteinella baltica,Whiteinella archaeocretacea,Heterohelix moremani,Clavihedbergella simplex,Heterohelix globulosa,Hastigerinoides watersi,Marginotruncana pseudolinneiana,Dicarinella hagni,Archaeoglobigerina cretacea,Marginotruncana sinuosa,Contusotruncana fornicata,Pseudoguembelina costellifera,Heterohelix striata,Heterohelix sphenoides,Globigerinelloides prairiehillensis,Rugotruncana subcircumnodifer,Rugoglobigerina rugosa,Pseudotextularia elegans,Globotruncana linneiana,Globotruncana aegyptiaca,Globotruncanita subspinosa,Globotruncanita stuartiformis,Contusotruncana patelliformis,Globotruncanita stuarti,Globotruncana esnehensis,Globotruncana arca,Gansserina gansseri,Rugoglobigerina rotundata,Rugoglobigerina hexacamerata,Contusotruncana contusa,Abathomphalus mayaroensis,Woodringina hornerstownensis,Parvularugoglobigerina eugubina,Parasubbotina pseudobulloides,Globoconusa daubjergensis,Parvularugoglobigerina alabamensis,Guembelitria cretacea,Eoglobigerina eobulloides,Praemurica taurica,Subbotina triloculinoides,Praemurica pseudoinconstans,Parasubbotina varianta,Morozovella angulata,Igorina albeari,Globanomalina ehrenbergi,Subbotina velascoensis,Morozovella velascoensis,Morozovella occlusa,Morozovella aequa,Morozovella acuta,Acarinina soldadoensis,Acarinina coalingensis,Subbotina triangularis,Morozovella subbotinae,Morozovella apanthesma,Chiloguembelina wilcoxensis,Pseudohastigerina micra,Morozovella marginodentata,Morozovella gracilis,Turborotalia praecentralis,Morozovella formosa,Morozovella aragonensis,Igorina broedermanni,Acarinina wilcoxensis,Acarinina quetra,Turborotalia ampliapertura,Tenuitella munda,Tenuitella angustiumbilicata,Paragloborotalia opima nana,Globoquadrina altispira globosa,Globigerina praebulloides,Globigerina ciperoensis,Globigerina angulisuturalis,Chiloguembelina cubensis,Cassigerinella chipolensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B,  6,R,CC,  10.00,    346.4500,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,P                ,P                     ,                      ,P                     ,P                     ,                      ,P                          ,P                      ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B,  7,R,CC,   0.00,    362.5700,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,P                  ,                 ,P                ,P                     ,                      ,P                     ,P                     ,P                     ,P                          ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B,  8,R,CC,   8.00,    370.1600,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,P                       ,P                  ,P                ,P                ,P                     ,P                     ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B,  9,R, 1,  40.00,    372.7000,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,P                       ,P                  ,P                ,P                ,P                     ,P                     ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 10,R,CC,   6.00,    429.8200,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,P                   ,P              ,                        ,P                     ,P                       ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 11,R, 3,  56.00,    433.3600,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,P                        ,                           ,P                     ,P                   ,P              ,P                       ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 12,R, 2,  94.00,    442.1400,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,P                            ,                         ,                                  ,                     ,                         ,                  ,P                        ,P                          ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 12,R, 3,  67.00,    443.3700,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,+                           ,+                              ,P                            ,                         ,                                  ,                     ,P                        ,P                 ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 12,R, 4,  53.00,    444.2300,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,P                           ,P                              ,+                            ,                         ,                                  ,P                    ,P                        ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 12,R,CC,  17.00,    444.5200,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,P                                 ,P                    ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 13,R, 1,  24.00,    444.9400,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,P                           ,P                              ,+                            ,P                        ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 13,R,CC,  13.00,    454.5100,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,P                     ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,P                  ,P                        ,                            ,P                      ,P                        ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 14,R,CC,   0.00,    461.5100,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                   ,                           ,                    ,                        ,P                    ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,P                       ,                          ,                             ,                             ,                       ,P                       ,                  ,                   ,P                        ,P                           ,P                      ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 15,R,CC,  17.00,    471.7500,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,P                            ,P                      ,P                       ,P                 ,P                  ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 16,R, 3,  98.00,    475.4800,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,P                     ,                        ,                       ,                        ,P                         ,P                            ,P                            ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 17,R,CC,  21.00,    486.4000,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                    ,                   ,                           ,                    ,                        ,                     ,                       ,                               ,                 ,                           ,                       ,P                        ,                             ,                   ,                      ,                                   ,P                            ,P                     ,P                       ,P                      ,P                       ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 18,R,CC,  10.00,    495.5100,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                    ,                   ,                           ,P                   ,                        ,                     ,P                      ,P                              ,                 ,P                          ,                       ,                         ,P                            ,P                  ,P                     ,P                                  ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 19,R, 3,  91.00,    499.4100,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                   ,                           ,                    ,                        ,P                    ,                       ,P                              ,                 ,                           ,P                      ,P                        ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 19,R,CC,  19.00,    499.6100,forams   ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                           ,                    ,                        ,+                    ,                       ,+                              ,                 ,+                          ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,B, 20,R,CC,  14.00,    507.1000,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,P                   ,                   ,P                          ,                    ,                        ,P                    ,                       ,P                              ,P                ,P                          ,                       ,                         ,                             ,                   ,                      ,                                   ,                             ,                      ,                        ,                       ,                        ,                          ,                             ,                             ,                       ,                        ,                  ,                   ,                         ,                            ,                       ,                         ,                            ,                               ,                             ,                         ,                                  ,                     ,                         ,                  ,                         ,                           ,                      ,                    ,               ,                        ,                      ,                        ,                   ,                 ,                 ,                      ,                      ,                      ,                      ,                      ,                           ,                       ,                          ,                    ,                          ,                   ,                       ,                    ,                     ,                ,                          ,                ,                            ,                           ,                               ,                         ,                       ,                           ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
