Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Truncorotalia crassaformis,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Menardella menardii (sinistral),Menardella menardii (dextral),Globorotalia tumida flexuosa,Globorotalia tumida,Globoconella inflata,Globigerinoides obliquus,Globigerinoides fistulosus,Globigerinoides extremus,Neogloboquadrina pachyderma,Globoturborotalita rubescens,Globigerinella calida,Globigerina cariacoensis,Globigerina bulloides,Globigerina bermudezi,Truncorotalia crassaformis hessi,Menardella limbata,Hirsutella hirsuta,Globigerina falconensis,Hastigerina pelagica,Menardella exilis,Comment
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  3,H,CC,  27.00,     23.9800,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,-                                    ,+                                    ,-                         ,-                        ,-                           ,-                              ,-                            ,-                           ,                   ,+                   ,                        ,-                         ,-                       ,+                          ,                            ,                     ,                        ,                     ,                     ,                                ,-                 ,-                 ,                       ,+                   ,-                ,"<0.068, no flexuosa"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  4,H, 1,  70.00,     24.2000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,-                         ,-                        ,+                           ,-                              ,-                            ,+                           ,+                  ,+                   ,                        ,                          ,                        ,-                          ,-                           ,-                    ,                        ,-                    ,-                    ,                                ,                  ,                  ,                       ,-                   ,                 ,flexuosa present >0.068 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  4,H, 2,  86.00,     25.8600,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,-                         ,-                        ,-                           ,-                              ,-                            ,+                           ,+                  ,-                   ,                        ,                          ,                        ,-                          ,-                           ,-                    ,                        ,-                    ,-                    ,                                ,                  ,-                 ,                       ,-                   ,                 ,flexuosa present>0.068 Ma much aragonitic crap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  4,H, 4,  70.00,     28.7000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,-                         ,                         ,+                           ,+                              ,+                            ,+                           ,-                  ,+                   ,                        ,                          ,                        ,+                          ,-                           ,-                    ,                        ,+                    ,-                    ,                                ,                  ,-                 ,                       ,-                   ,                 ,>0.068 Ma  flexuosa present
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  4,H,CC,  24.00,     33.5900,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,+                                    ,+                                    ,+                         ,+                        ,+                           ,+                              ,-                            ,+                           ,+                  ,                    ,-                       ,-                         ,-                       ,                           ,                            ,-                    ,                        ,                     ,                     ,                                ,-                 ,                  ,                       ,                    ,                 ,LO flexuosa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  5,H,CC,  19.00,     42.8300,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,                          ,-                        ,-                           ,-                              ,-                            ,-                           ,                   ,+                   ,-                       ,-                         ,-                       ,-                          ,+                           ,+                    ,                        ,+                    ,                     ,                                ,-                 ,                  ,                       ,                    ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  6,H,CC,  24.00,     52.4100,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,+                              ,-                            ,+                           ,+                  ,+                   ,-                       ,-                         ,-                       ,                           ,                            ,                     ,                        ,                     ,+                    ,                                ,-                 ,+                 ,                       ,                    ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  7,H,CC,  13.00,     61.6800,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,-                         ,+                        ,-                           ,-                              ,-                            ,-                           ,-                  ,+                   ,-                       ,-                         ,-                       ,-                          ,                            ,-                    ,                        ,                     ,                     ,                                ,-                 ,                  ,                       ,                    ,                 ,mica aragonitic crap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  8,H,CC,  21.00,     71.5900,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,-                                    ,+                                    ,+                         ,                         ,+                           ,+                              ,-                            ,+                           ,+                  ,+                   ,-                       ,-                         ,-                       ,+                          ,+                           ,                     ,                        ,                     ,                     ,+                               ,-                 ,                  ,                       ,                    ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  9,H, 1,  70.00,     71.7000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,-                                    ,-                         ,-                        ,-                           ,+                              ,-                            ,-                           ,+                  ,+                   ,                        ,                          ,                        ,-                          ,                            ,-                    ,                        ,-                    ,-                    ,                                ,                  ,-                 ,                       ,-                   ,                 ,mica present (biotite) many small forams; sorted no flexuosa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  9,H, 4,  70.00,     76.2000,Chaisson ,Planktonic Foraminifers                      ,F              ,G                 ,-                                    ,+                                    ,+                         ,-                        ,-                           ,-                              ,-                            ,-                           ,-                  ,-                   ,                        ,                          ,                        ,-                          ,-                           ,-                    ,                        ,-                    ,-                    ,                                ,                  ,-                 ,                       ,-                   ,                 ,many aragonitic fragments mostly pteropods no flexuosa or menardii>0.401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B,  9,H,CC,  26.00,     81.1400,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,+                        ,+                           ,+                              ,-                            ,-                           ,-                  ,+                   ,-                       ,-                         ,-                       ,+                          ,+                           ,                     ,                        ,                     ,                     ,                                ,-                 ,                  ,                       ,                    ,                 ,>0.401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B, 10,H, 4,  70.00,     85.7000,Chaisson ,Planktonic Foraminifers                      ,F              ,G                 ,-                                    ,F                                    ,R                         ,R                        ,-                           ,-                              ,-                            ,                            ,-                  ,F                   ,                        ,                          ,                        ,R                          ,-                           ,R                    ,                        ,R                    ,-                    ,                                ,                  ,F                 ,-                      ,                    ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B, 10,H, 5,  70.00,     87.2000,Chaisson ,Planktonic Foraminifers                      ,F              ,G                 ,-                                    ,R                                    ,R                         ,R                        ,R                           ,-                              ,-                            ,                            ,-                  ,F                   ,                        ,                          ,                        ,R                          ,-                           ,-                    ,                        ,R                    ,-                    ,                                ,                  ,R                 ,-                      ,                    ,                 ,no hessi found; suspect spms.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,N22           ,172,1055,B, 10,H,CC,  34.00,     90.7200,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,-                                    ,+                                    ,+                         ,-                        ,+                           ,-                              ,-                            ,-                           ,-                  ,+                   ,-                       ,-                         ,-                       ,                           ,                            ,                     ,                        ,+                    ,                     ,                                ,-                 ,                  ,                       ,                    ,                 ,inflata with flat spiral side = triangula
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B, 11,H,CC,  27.00,    100.8500,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,-                        ,-                           ,+                              ,+                            ,-                           ,-                  ,+                   ,-                       ,-                         ,-                       ,+                          ,                            ,                     ,                        ,+                    ,                     ,                                ,-                 ,                  ,                       ,                    ,                 ,>0.401<1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B, 12,H,CC,  27.00,    110.7300,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,+                        ,+                           ,+                              ,-                            ,-                           ,-                  ,-                   ,-                       ,-                         ,-                       ,+                          ,                            ,                     ,                        ,+                    ,                     ,                                ,-                 ,                  ,                       ,                    ,                 ,>0.401<1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B, 13,H,CC,  21.00,    119.5700,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,+                        ,+                           ,-                              ,-                            ,-                           ,-                  ,+                   ,r1                      ,-                         ,-                       ,+                          ,-                           ,                     ,+                       ,+                    ,                     ,+                               ,-                 ,                  ,                       ,                    ,                 ,>1.3 obliquus reworked?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B, 14,H, 2,  70.00,    119.7300,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,+                        ,+                           ,-                              ,-                            ,                            ,-                  ,+                   ,-                       ,                          ,                        ,+                          ,-                           ,-                    ,+                       ,+                    ,+                    ,                                ,                  ,                  ,                       ,                    ,                 ,many small forams; sorted no obliquus<1.3 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B, 14,H, 3,  70.00,    121.2300,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,+                         ,+                        ,+                           ,+                              ,-                            ,                            ,-                  ,+                   ,                        ,                          ,                        ,+                          ,-                           ,+                    ,-                       ,-                    ,-                    ,                                ,                  ,                  ,                       ,                    ,                 ,no obliquus<1.3 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B, 14,H, 4,  70.00,    122.7300,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,-                         ,-                        ,+                           ,-                              ,-                            ,                            ,-                  ,-                   ,+                       ,                          ,                        ,-                          ,-                           ,-                    ,-                       ,-                    ,-                    ,                                ,                  ,                  ,                       ,                    ,                 ,obliquus present>1.3 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1055,B, 14,H,CC,  43.00,    129.3400,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,-                                    ,-                         ,+                        ,+                           ,-                              ,-                            ,-                           ,-                  ,+                   ,+                       ,-                         ,-                       ,                           ,                            ,                     ,                        ,                     ,                     ,                                ,                  ,                  ,                       ,                    ,                 ,>1.3<1.77
