Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tetrapyle octacantha	Stylodictya validispina	Spongocore puella	Spongobrachium ellipticus	Spongaster tetras tetras	Sethophormis sp. aff. S. pentalactis	Saturnalis circularis	Pterocanium trilobum	Plectopyramis dodecomma	Peripyramis circumtexta	Lithopera bacca	Liriospyris reticulata	Hexacontium enthacanthum	Euchitonia furcata	Euchitonia elegans	Didymocyrtis tetrathalamus tetrathalamus	Dictyophimus crisiae	Dictyocoryne truncatum	Dictyocodon sp.	Cycladophora spp.	Cornutella profunda	Circodiscus microporus	Carpocanistrum spp.	Botryostrobus auritus/australis	Axoprunum stauraxonium	Amphirhopalum ypsilon	Podocyrtis sp. aff. P. papalis	Theopilium tricostatum	Theocorythium trachelium trachelium	Stylatractus sp.	Stylacontarium acquilonium	Stichopera pectinata group	Spongotrochus (?) venustum	Siphonosphaera polysiphonia	Sethophormis pentalactis	Phormospyris stabilis stabilis	Ommatodiscus murrayi	Lamprocyclas maritalis maritalis	Hymeniastrum euclidis	Giraffospyris angulata	Eucyrtidium hexagonatum	Dictyocoryne profunda	Axoprunum angelinum	Anthocyrtidium ophirense	Acrosphaera spinosa	Thyrsocyrtis triacantha	Theocotylissa ficus	Theocotylissa alpha	Podocyrtis acalles	Giraffospyris lata	Stylotrochus quadribrachiatus quadribrachiatus	Rhopalocanium sp.	Podocyrtis sp. aff. P.  acalles	Podocyrtis sinuosa	Podocyrtis papalis	Phormocyrtis striata striata	Phormocyrtis striata exquisita	Lychnocanoma sp.	Cryptocarpium sp.	Calocyclas hispida	Buryella tetradica	Pterocanium praetextum praetextum	Phormostichoartus corbula	Lamprocyclas hannai	Heliodiscus asteriscus	Acrosphaera lappacea	Stylatractus giganteus	Siphonosphaera cyathina	Lithocampe sp.	Cycladophora sp. aff. C. cabrilloensis	Acrosphaera flammabunda	Tessarastrum straussi	Pterocorys hertwigii	Otosphaera polymorpha	Lamprocyclas maritalis polypora	Eucyrtidium anomalum	Collosphaera macropora	Archipilium sp. aff. A. macropus	Spongobrachium  sp. aff. S. ellipticum	Lophophaena cylindrica	Collosphaera orthoconus	Botryostrobus sp. cf. B. aquilonarius	Anthocyrtidium sp. aff. zanguebaricum	Comment

  SR	                 	                 	                  	              	136	 842	A	  1	H	 3	 129.00	      4.2900	Hull     	Radiolarians                                 	A              	M-G               	F                   	C                      	C                	R                        	C                       	                                    	C                    	C                   	R                      	                       	C              	                      	C                       	F                 	C                 	C                                       	C                   	C                     	               	C                	C                  	                      	C                  	C                              	R                     	C                    	                              	C                     	F                                  	C               	F                         	                          	R                         	C                          	                        	R                             	                    	C                               	R                    	                      	C                      	C                    	                   	C                       	C                  	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	C                                	                         	                   	C                     	C                   	R                     	C                      	F             	R                                     	R                      	                     	                    	                     	                               	                    	                      	                                	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 Table 1 pp 6-9

  SR	                 	                 	                  	              	136	 842	A	  1	H	 4	 129.00	      5.7900	Hull     	Radiolarians                                 	C              	M                 	                    	F                      	C                	                         	R                       	                                    	F                    	F                   	                       	F                      	F              	R                     	F                       	R                 	F                 	C                                       	R                   	C                     	               	F                	C                  	R                     	C                  	R                              	R                     	C                    	                              	                      	F                                  	                	C                         	R                         	                          	                           	                        	                              	                    	                                	                     	R                     	                       	C                    	R                  	C                       	                   	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	R                                	                         	R                  	                      	                    	                      	                       	              	                                      	                       	                     	                    	                     	                               	                    	                      	                                	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 Table 1 pp 6-9

  SR	                 	                 	                  	              	136	 842	A	  1	H	 5	   8.00	      6.0800	Hull     	Radiolarians                                 	C              	P-G               	                    	F                      	C                	                         	F                       	                                    	C                    	                    	R                      	R                      	               	                      	                        	R                 	A                 	R                                       	                    	C                     	               	                 	C                  	R                     	                   	                               	R                     	C                    	                              	                      	                                   	                	F                         	                          	                          	                           	                        	                              	                    	F                               	F                    	                      	                       	C                    	                   	                        	R                  	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	                                 	                         	                   	F                     	                    	R                     	                       	              	                                      	                       	                     	                    	                     	                               	                    	                      	                                	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 Table 1 pp 6-9

  SR	                 	                 	                  	              	136	 842	A	  1	H	 5	 129.00	      7.2900	Hull     	Radiolarians                                 	C              	P-G               	R                   	F                      	C                	                         	F                       	                                    	F                    	F                   	F                      	                       	C              	R                     	                        	                  	C                 	C                                       	                    	C                     	R              	C                	C                  	                      	                   	                               	R                     	C                    	                              	                      	R                                  	                	F                         	R                         	                          	R                          	                        	                              	                    	C                               	R                    	R                     	C                      	C                    	                   	                        	F                  	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	F                                	R                        	F                  	C                     	R                   	                      	                       	              	                                      	                       	                     	                    	                     	                               	                    	                      	                                	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 Table 1 pp 6-9

  SR	                 	                 	                  	              	136	 842	A	  1	H	 6	  66.00	      8.1600	Hull     	Radiolarians                                 	               	                  	                    	                       	                 	                         	                        	                                    	                     	                    	                       	                       	               	                      	                        	                  	                  	                                        	                    	                      	               	                 	                   	                      	                   	                               	                      	                     	                              	                      	                                   	                	                          	                          	                          	                           	                        	                              	                    	                                	                     	                      	                       	                     	                   	                        	                   	+                      	                   	+                  	                  	+                 	+                                             	+                	+                              	+                 	+                 	+                           	+                             	+               	+                	+                 	+                 	                                 	                         	                   	                      	                    	                      	                       	              	                                      	                       	                     	                    	                     	                               	                    	                      	                                	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 pp 12-13

  SR	                 	                 	                  	              	136	 842	A	  1	H	 6	 124.00	      8.7400	Hull     	Radiolarians                                 	               	                  	                    	                       	                 	                         	                        	                                    	                     	                    	                       	                       	               	                      	                        	                  	                  	                                        	                    	                      	               	                 	                   	                      	                   	                               	                      	                     	                              	                      	                                   	                	                          	                          	                          	                           	                        	                              	                    	                                	                     	                      	                       	                     	                   	                        	                   	+                      	+                  	+                  	+                 	+                 	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	                                 	                         	                   	                      	                    	                      	                       	              	                                      	                       	                     	                    	                     	                               	                    	                      	                                	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 pp 12-13

  SR	                 	                 	                  	              	136	 842	A	  1	H	 6	 128.00	      8.7800	Hull     	Radiolarians                                 	A              	P-M               	                    	                       	C                	                         	A                       	R                                   	F                    	F                   	F                      	                       	C              	                      	C                       	C                 	C                 	C                                       	R                   	C                     	               	C                	C                  	                      	C                  	                               	C                     	C                    	                              	R                     	F                                  	R               	F                         	F                         	R                         	F                          	R                       	R                             	F                   	R                               	F                    	R                     	F                      	C                    	R                  	F                       	F                  	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	                                 	                         	                   	                      	                    	                      	                       	              	                                      	                       	                     	                    	                     	                               	                    	                      	                                	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 Table 1 pp 6-9

  SR	                 	                 	                  	              	136	 842	A	  1	H	 7	   6.00	      9.0600	Hull     	Radiolarians                                 	               	                  	                    	                       	                 	                         	                        	                                    	                     	                    	                       	                       	               	                      	                        	                  	                  	                                        	                    	                      	               	                 	                   	                      	                   	                               	                      	                     	+                             	                      	                                   	                	                          	                          	                          	                           	                        	                              	                    	                                	                     	                      	                       	                     	                   	                        	                   	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	                                 	                         	                   	                      	                    	                      	                       	              	                                      	                       	                     	                    	                     	                               	                    	                      	                                	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 pp 12-13

  SR	                 	                 	                  	              	136	 842	A	  1	H	 7	   9.00	      9.0900	Hull     	Radiolarians                                 	A              	P-M               	C                   	C                      	C                	R                        	C                       	R                                   	C                    	F                   	R                      	F                      	F              	R                     	C                       	F                 	F                 	F                                       	R                   	C                     	R              	F                	C                  	F                     	R                  	F                              	F                     	C                    	                              	                      	                                   	                	                          	                          	                          	                           	                        	                              	                    	                                	                     	                      	                       	                     	                   	                        	                   	                       	                   	                   	                  	                  	                                              	                 	                               	                  	                  	                            	                              	                	                 	                  	                  	                                 	                         	                   	                      	                    	                      	                       	              	                                      	                       	                     	                    	                     	                               	                    	                      	                                	                                      	                      	                       	                                     	                                     	from ODP Leg 136 SR Ch 1 Table 1 pp 6-9

