Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis grunowii,Sceptroneis sp.,Pyxilla (all generic taxa),Hemiaulus sp. 3,Hemiaulus crenulatus,Hemiaulus caracteristicus,Stictodiscus sp.,Stephanopyxis cf. superba,Stephanopyxis tunis var. cylindrus,Pseudotriceratium chenevieri,Stephanopyxis cf. marginata,Pseudostictodiscus picus,Navicula udintsevii,Kisseleviella carina,Asteromphalus oligocenicus,Sceptroneis pesplanus,Pterotheca danica,Coscinodiscus spiralis,Rutilaria sp.,Melosira architecturalis,Nitzschia kerguelenis,Thalassiosira hydra,Coscinodiscus denarius,Sceptroneis tenue,Denticulopsis hustedtii,Thalassiosira torokina,Thalassiosira burckliana,Nitzschia porteri,Nitzschia marina/reinholdii,Nitzschia denticuloides,Nitzschia cylindrus,Actinocyclus ingens,Rouxia californica,Nitzschia cf. praeinterfrigidaria,Cosmiodiscus intersectus,Actinocyclus fryxellae,Thalassiosira praeconvexa,Thalassiosira inura,Eucampia antarctica,Actinocyclus ingens var. ovalis,Denticulopsis punctata var. hustedtii,Denticulopsis dimorpha,Nitzschia praeinterfrigidaria,Thalassiosira lentiginosa,Thalassiosira gravida,Nitzschia ritscherii,Nitzschia curta,Nitzschia barronii,Actinocyclus actinochilus,Porosira glacialis,Diatoms (unspecified pennate taxa),Diatoms (unspecified centric taxa),Chaetoceros spp. (resting spores),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C,  8,R,CC,   2.00,     57.6200,Baldauf  ,Diatoms                                      ,R              ,P                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,rR                           ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 10,R,CC,   9.00,     76.9900,Baldauf  ,Diatoms                                      ,R              ,P                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,R                    ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 12,R,CC,   5.00,     96.3500,Baldauf  ,Diatoms                                      ,F              ,M                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,R                    ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,F                  ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,R                        ,R                    ,R                   ,R              ,R                 ,R                        ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 13,R, 2,  21.00,    107.6100,Baldauf  ,Diatoms                                      ,R              ,P                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,rR                     ,R                     ,                        ,                 ,                           ,                       ,R                  ,                   ,                  ,R                                ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,R                        ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 14,R,CC,  14.00,    119.9200,Baldauf  ,Diatoms                                      ,R              ,P                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,rR                     ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,R                            ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 17,R,CC,   0.00,    140.1000,Baldauf  ,Diatoms                                      ,R              ,P                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,rR                     ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 18,R,CC,   0.00,    143.4600,Baldauf  ,Diatoms                                      ,C              ,M                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,C                      ,                      ,R                       ,R                ,                           ,R                      ,                   ,R                  ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,R                                    ,R                     ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 19,R, 2,  86.00,    147.0600,Baldauf  ,Diatoms                                      ,C              ,G                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,C                      ,R                     ,R                       ,                 ,                           ,                       ,                   ,R                  ,R                 ,R                                ,F                       ,R                     ,R                        ,R                  ,R                  ,R                              ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 19,R,CC,   0.00,    148.4800,Baldauf  ,Diatoms                                      ,C              ,M                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,F                      ,R                     ,R                       ,R                ,                           ,R                      ,                   ,                   ,R                 ,R                                ,F                       ,R                     ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 20,R, 2,  80.00,    152.0000,Baldauf  ,Diatoms                                      ,F              ,M                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,R                      ,F                     ,                        ,                 ,R                          ,                       ,                   ,                   ,R                 ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 20,R,CC,   0.00,    153.0800,Baldauf  ,Diatoms                                      ,R              ,P                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,R                      ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 22,R,CC,  15.00,    164.2800,Baldauf  ,Diatoms                                      ,F              ,M                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,F                      ,R                     ,R                       ,R                ,R                          ,R                      ,R                  ,R                  ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 23,R,CC,  26.00,    167.0900,Baldauf  ,Diatoms                                      ,R              ,P                 ,                      ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,R                      ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 25,R, 1,  68.00,    174.2800,Baldauf  ,Diatoms                                      ,R              ,P                 ,R                     ,               ,R                         ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,R                    ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 25,R,CC,   0.00,    174.9000,Baldauf  ,Diatoms                                      ,F              ,P                 ,R                     ,               ,R                         ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,R                ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 26,R, 1,  70.00,    183.9000,Baldauf  ,Diatoms                                      ,R              ,P                 ,R                     ,               ,R                         ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 26,R, 3,  76.00,    186.9600,Baldauf  ,Diatoms                                      ,F              ,P                 ,R                     ,               ,R                         ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 26,R,CC,  31.00,    188.0100,Baldauf  ,Diatoms                                      ,C              ,M                 ,R                     ,               ,F                         ,R              ,                    ,F                        ,                ,R                        ,R                                 ,R                           ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,R                  ,R                     ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 27,R, 1,  34.00,    193.2400,Baldauf  ,Diatoms                                      ,F              ,P                 ,R                     ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,R                   ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 29,R, 4,  58.00,    217.2800,Baldauf  ,Diatoms                                      ,R              ,P                 ,R                     ,               ,R                         ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,R                    ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 30,R, 1, 108.00,    222.8800,Baldauf  ,Diatoms                                      ,A              ,G                 ,C                     ,               ,F                         ,R              ,R                   ,F                        ,                ,R                        ,R                                 ,R                           ,                           ,R                       ,                   ,F                   ,R                         ,                     ,R                ,R                     ,R            ,R                       ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 30,R, 2,  80.00,    224.1000,Baldauf  ,Diatoms                                      ,F              ,M                 ,R                     ,               ,R                         ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 30,R, 4,  80.00,    227.1000,Baldauf  ,Diatoms                                      ,R              ,P                 ,R                     ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 31,R, 4,  79.00,    236.6900,Baldauf  ,Diatoms                                      ,R              ,P                 ,R                     ,               ,R                         ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 32,R, 1,  96.00,    242.0600,Baldauf  ,Diatoms                                      ,F              ,P                 ,R                     ,R              ,R                         ,               ,                    ,                         ,                ,                         ,                                  ,R                           ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 32,R,CC,   7.00,    242.2000,Baldauf  ,Diatoms                                      ,C              ,M                 ,F                     ,               ,F                         ,               ,                    ,R                        ,R               ,                         ,R                                 ,                            ,R                          ,                        ,                   ,R                   ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 33,R, 2,  80.00,    253.0000,Baldauf  ,Diatoms                                      ,C              ,M                 ,F                     ,               ,F                         ,               ,R                   ,R                        ,R               ,                         ,F                                 ,F                           ,                           ,R                       ,                   ,F                   ,R                         ,R                    ,R                ,R                     ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
