Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Svenia cf. hamiltonensis	Serovaina infracretacea	Saracenaria spinosa	Pyramidulina obscura	Pseudonodosaria humilis	Praebulimina cf. nannina	Lingulonodosaria sp. B	Lenticulina spp.	Gavelinella sp. B	Gavelinella cf. andersoni	Gaudryina aff. richteri	Coryphostoma sp.	Astacolus spp.	?Eurycheilostoma cf. hergottensis	Vaginulina sp.	Lingulonodosaria nodosaria	Lingulina buddencanyonensis	Laevidentalina oligostegia	Laevidentalina nana	Hergottella sp.	Citharina cf. petila	Ramulina spp.	Lingulonodosaria loryi	Gavelinella sp. A	Vaginulinopsis sp.	Tritaxia gaultina	Serovaina gracillima	Remesella sp.	Pseudogaudryinella sp. A	Pleurostomella aff. reussi	Osangularia schloenbachi	Laevidentalina gracilis	Laevidentalina cylindroides	Globulina prisca	Dorothia sp.	Citharina sp. B	Berthelina  intermedia	Astacolus cf. scitula	Lingulonodosaria sp. A	Ellipsoidella cf. cuneata	Tricarinella excavata	Repmania corona	Quadrimorphina allomorphinoides	Pyramidulina sceptrum	Hemirobulina hamulus	Grigelis sp.	Charltonia cf. australis	Ammosphaeroidina sp.	Gavelinella  cf. indica	Pseudogaudryinella sp. B	Planularia bradyana	Glomospirella sp.	Astacolus sp. A	Pseudogaudryinella sp. C	Scheibnerova protindica	Heterantyx cf. cretosa	Saracenaria triangularis	Lingulina sp.	Psilocitharella recta	Citharina sp. A	Spiroplectinella cf. gandolfii	Ellipsoglandulina sp.	Tappanina sp.	Marssonella oxycona	Globorotalites aptiensis	Cuneus cf. ludbrookae	Pyramidulina sp.	?Frondicularia sp.	Comment

  SR	Albian           	                 	                  	              	123	 766	A	 17	R	 3	  36.00	    155.8600	Haig     	Benthic Foraminifers                         	               	                  	R                       	R                      	                   	R                   	R                      	                        	                      	C               	                 	C                        	                       	R               	              	R                                	R             	                          	                           	R                         	R                  	               	R                   	R            	                      	                 	                  	C                	R                   	C            	                        	C                         	C                       	                       	                           	                	            	               	C                     	                     	                      	                         	                     	               	R                              	                     	                    	            	R                       	                    	                       	                        	R                  	                 	R              	C                       	C                      	C                     	                        	R            	                     	R              	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 17	R	 5	  29.00	    158.7900	Haig     	Benthic Foraminifers                         	               	                  	                        	C                      	                   	                    	                       	                        	                      	R               	                 	C                        	                       	C               	R             	C                                	              	R                         	                           	R                         	R                  	               	                    	             	                      	                 	                  	R                	R                   	C            	                        	R                         	A                       	                       	                           	                	R           	               	C                     	                     	                      	                         	                     	               	R                              	                     	R                   	            	                        	R                   	                       	R                       	                   	                 	               	C                       	A                      	R                     	R                       	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	Hedbergella cf. punctata identified as ?; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 17	R	CC	   6.00	    162.2200	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	                   	                    	                       	R                       	                      	C               	                 	A                        	                       	A               	              	                                 	R             	R                         	                           	R                         	R                  	               	R                   	R            	R                     	                 	                  	C                	A                   	C            	                        	C                         	A                       	                       	R                          	R               	            	               	A                     	                     	                      	R                        	R                    	R              	C                              	                     	                    	            	C                       	                    	                       	R                       	                   	R                	               	R                       	A                      	C                     	                        	             	R                    	               	                              	                     	             	                   	                        	                     	                	                  	uncertain identity of Gregelis sp.; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 18	R	 2	  83.00	    164.4300	Haig     	Benthic Foraminifers                         	               	                  	R                       	R                      	                   	                    	                       	                        	                      	C               	                 	C                        	                       	                	              	A                                	              	                          	                           	R                         	R                  	               	                    	             	                      	                 	                  	C                	                    	R            	                        	C                         	R                       	                       	                           	                	            	               	R                     	                     	                      	                         	                     	               	                               	                     	                    	            	                        	                    	                       	R                       	                   	                 	               	R                       	R                      	                      	                        	R            	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 18	R	 3	  65.00	    165.7500	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	                   	                    	                       	R                       	                      	C               	                 	C                        	                       	R               	R             	C                                	              	R                         	                           	C                         	                   	               	R                   	             	                      	                 	                  	R                	C                   	R            	R                       	R                         	A                       	                       	                           	                	            	               	R                     	                     	                      	                         	                     	               	                               	                     	                    	            	                        	                    	                       	R                       	                   	                 	               	C                       	C                      	R                     	R                       	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 18	R	 5	  93.00	    169.0300	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	                   	                    	R                      	                        	                      	R               	                 	A                        	R                      	C               	              	C                                	              	R                         	                           	R                         	R                  	               	                    	             	                      	                 	                  	R                	C                   	C            	R                       	R                         	A                       	                       	                           	                	            	R              	R                     	C                    	                      	R                        	                     	               	                               	                     	R                   	            	                        	                    	                       	C                       	                   	                 	R              	A                       	C                      	C                     	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 18	R	CC	   9.00	    170.2400	Haig     	Benthic Foraminifers                         	               	                  	                        	C                      	                   	                    	                       	R                       	                      	C               	                 	C                        	C                      	C               	              	R                                	              	R                         	                           	                          	R                  	               	                    	             	                      	                 	                  	C                	C                   	R            	R                       	                          	C                       	                       	                           	                	            	R              	R                     	C                    	                      	                         	                     	               	                               	                     	                    	            	                        	                    	                       	C                       	                   	R                	               	R                       	A                      	R                     	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	uncertain identity of Glomospirella sp.; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 19	R	 4	  23.00	    176.4300	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	                   	                    	R                      	C                       	                      	C               	R                	                         	C                      	A               	              	R                                	              	R                         	                           	R                         	C                  	               	R                   	             	R                     	                 	                  	R                	C                   	C            	A                       	R                         	A                       	                       	                           	                	            	R              	R                     	C                    	                      	                         	R                    	R              	                               	                     	                    	            	R                       	                    	                       	                        	                   	                 	               	R                       	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 19	R	CC	  20.00	    178.6000	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	                   	                    	                       	C                       	                      	C               	                 	                         	A                      	C               	              	R                                	              	R                         	                           	R                         	C                  	               	                    	R            	                      	R                	                  	R                	R                   	C            	C                       	R                         	A                       	                       	                           	                	            	               	R                     	C                    	                      	                         	                     	               	                               	                     	R                   	            	                        	R                   	                       	R                       	R                  	R                	R              	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	uncertain identity of Glomospirella sp.; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 20	R	 1	  47.00	    181.8700	Haig     	Benthic Foraminifers                         	               	                  	                        	A                      	                   	                    	                       	R                       	                      	R               	C                	R                        	C                      	R               	R             	                                 	              	                          	                           	                          	                   	               	                    	             	                      	C                	                  	                 	                    	C            	R                       	                          	A                       	                       	                           	                	R           	               	C                     	                     	                      	                         	                     	R              	                               	                     	                    	            	                        	R                   	                       	                        	                   	                 	               	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 20	R	 2	  48.00	    183.3800	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	                   	                    	                       	C                       	                      	C               	                 	                         	A                      	C               	              	R                                	              	R                         	R                          	                          	R                  	               	                    	             	R                     	C                	                  	                 	R                   	C            	R                       	R                         	A                       	                       	R                          	                	R           	               	C                     	R                    	                      	R                        	                     	               	                               	                     	                    	            	R                       	                    	R                      	                        	                   	                 	               	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 20	R	 3	  68.00	    185.0800	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	                   	                    	                       	A                       	                      	A               	                 	R                        	A                      	A               	              	C                                	R             	C                         	R                          	                          	R                  	               	R                   	             	C                     	C                	R                 	                 	R                   	C            	C                       	C                         	A                       	                       	R                          	                	            	               	A                     	C                    	                      	C                        	                     	               	R                              	                     	                    	            	C                       	                    	A                      	                        	                   	                 	               	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 20	R	CC	  13.00	    186.5200	Haig     	Benthic Foraminifers                         	               	                  	C                       	A                      	                   	                    	                       	R                       	R                     	C               	C                	C                        	A                      	C               	              	R                                	R             	                          	R                          	R                         	C                  	               	R                   	C            	R                     	A                	                  	C                	R                   	A            	R                       	C                         	A                       	                       	R                          	R               	R           	R              	A                     	C                    	                      	C                        	R                    	R              	R                              	R                    	R                   	R           	C                       	R                   	                       	                        	                   	                 	               	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	uncertain identity of Glomospirella sp.; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 21	R	 1	  90.00	    191.9000	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	                   	                    	                       	A                       	C                     	C               	C                	C                        	A                      	C               	              	R                                	              	                          	                           	                          	R                  	               	R                   	             	                      	A                	                  	R                	                    	A            	C                       	C                         	A                       	                       	                           	                	R           	               	A                     	C                    	R                     	R                        	                     	               	                               	                     	                    	            	                        	                    	                       	                        	                   	                 	               	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 21	R	 2	  52.00	    193.0200	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	                   	                    	                       	R                       	                      	C               	C                	A                        	A                      	C               	              	C                                	              	R                         	                           	                          	R                  	               	                    	             	                      	C                	                  	                 	                    	C            	R                       	C                         	A                       	                       	                           	                	R           	               	A                     	C                    	                      	                         	                     	               	                               	                     	                    	            	                        	                    	                       	                        	                   	                 	               	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 21	R	CC	  10.00	    193.5700	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	                   	                    	R                      	R                       	R                     	C               	C                	C                        	C                      	A               	              	R                                	              	                          	                           	C                         	C                  	               	                    	R            	R                     	C                	R                 	T                	R                   	C            	C                       	C                         	A                       	R                      	R                          	R               	R           	R              	R                     	C                    	                      	                         	                     	               	                               	                     	                    	            	                        	                    	                       	                        	                   	                 	               	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Aptian           	                 	                  	              	123	 766	A	 24	R	CC	  23.00	    221.6300	Haig     	Benthic Foraminifers                         	               	                  	                        	A                      	C                  	                    	R                      	                        	                      	A               	R                	A                        	R                      	C               	R             	                                 	              	                          	                           	                          	                   	R              	R                   	R            	R                     	C                	                  	                 	                    	             	                        	                          	                        	                       	                           	                	            	               	                      	                     	                      	                         	                     	               	                               	                     	                    	            	                        	                    	                       	                        	                   	                 	               	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	uncertain identity of Glomospirella sp.; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Aptian           	                 	                  	              	123	 766	A	 25	R	 1	  33.00	    229.9300	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	R                  	R                   	R                      	                        	R                     	A               	A                	A                        	R                      	R               	C             	C                                	R             	R                         	R                          	R                         	R                  	C              	R                   	             	                      	                 	                  	                 	                    	             	                        	                          	                        	                       	                           	                	            	               	                      	                     	                      	                         	                     	               	                               	                     	                    	            	                        	                    	                       	                        	                   	                 	               	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Aptian           	                 	                  	              	123	 766	A	 25	R	CC	  16.00	    230.6800	Haig     	Benthic Foraminifers                         	               	                  	R                       	A                      	R                  	R                   	R                      	R                       	R                     	C               	C                	A                        	R                      	C               	R             	R                                	              	                          	                           	                          	                   	               	                    	             	                      	                 	                  	                 	                    	             	                        	                          	                        	                       	                           	                	            	               	                      	                     	                      	                         	                     	               	                               	                     	                    	            	                        	                    	                       	                        	                   	                 	               	                        	                       	                      	                        	             	                     	               	                              	                     	             	                   	                        	                     	                	                  	uncertain identity of Frondicularia sp; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

