Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Vekshinella stradnerii	Rhagodiscus asper	Nannoconus steinmannii	Lithraphidites carniolensis carniolensis	Haqius circumradiatus	Eprolithus floralis	Rucinolithus irregularis	Micrantholithus obtusus	Braarudosphaera regularis	Braarudosphaera batilliformis	Tranolithus gabalus	Prediscosphaera columnata	Gephyrorhabdus coronadventis	Tetrapodorhabdus decorus	Stradneria crenulata	Micula decussata	Lithraphidites quadratus	Cribrosphaerella ehrenbergii	Ceratolithoides aculeus	Micula murus	Ceratolithoides kamptneri	Eiffellithus parallelus	Prinsius dimorphosus	Markalius inversus	Cruciplacolithus primus (large)	Chiasmolithus danicus	Braarudosphaera bigelowii	Nannotetrina cristata	Chiasmolithus gigas	Zygrhablithus bijugatus	Reticulofenestra umbilica	Ericsonia formosa	Coccolithus eopelagicus	Chiasmolithus solitus	Chiasmolithus grandis	Sphenolithus furcatolithoides labradorensis	Rhabdosphaera tenuis	Pedinocyclus larvalis	Ellipsolithus bollii	Discoaster tanii ornatus	Sphenolithus radians	Coronocyclus prionion	Coccolithus pelagicus	Pemma papillatum	Discoaster barbadiensis	Comment
  IR	                 	Middle Eocene    	                  	              	171	1049	C	  5	H	CC	  20.00	     49.9100	Self-Trail	Nannofossils                                 	T              	                  	                    	                      	                 	                      	                                        	                     	                   	                        	                       	                         	                             	                   	                         	                            	                        	                    	                	                        	                            	                       	            	                         	                       	                    	                  	                               	                     	                         	+                    	+                  	                       	                         	                 	                       	                     	                     	                                           	                    	                     	                    	                        	                    	                     	                     	                	                       	CP 13b

  IR	                 	Early Paleocene  	                  	CP3           	171	1049	C	  7	X	CC	   7.00	     98.0100	Self-Trail	Nannofossils                                 	A              	G                 	                    	                      	                 	                      	                                        	                     	                   	                        	                       	                         	                             	                   	                         	                            	                        	                    	                	                        	                            	                       	            	                         	                       	+                   	+                 	+                              	+                    	+                        	                     	                   	                       	                         	                 	                       	                     	                     	                                           	                    	                     	                    	                        	                    	                     	                     	                	                       	       

  IR	                 	Maestrichtian    	                  	CP3           	171	1049	C	  8	X	CC	  22.00	    115.5900	Self-Trail	Nannofossils                                 	A              	G                 	                    	                      	                 	                      	                                        	                     	                   	                        	                       	                         	                             	                   	                         	                            	                        	                    	                	+                       	                            	                       	+           	+                        	+                      	                    	                  	                               	                     	                         	                     	                   	                       	                         	                 	                       	                     	                     	                                           	                    	                     	                    	                        	                    	                     	                     	                	                       	CC26a

  IR	                 	Maestrichtian    	                  	CC26          	171	1049	C	  9	X	CC	  11.00	    121.0200	Self-Trail	Nannofossils                                 	A              	G                 	                    	                      	                 	                      	                                        	                     	                   	                        	                       	                         	                             	                   	                         	                            	                        	                    	                	+                       	                            	                       	+           	+                        	                       	                    	                  	                               	                     	                         	                     	                   	                       	                         	                 	                       	                     	                     	                                           	                    	                     	                    	                        	                    	                     	                     	                	                       	CC26a

  IR	                 	Maestrichtian    	                  	CC25          	171	1049	C	 10	H	CC	   9.00	    129.9300	Self-Trail	Nannofossils                                 	               	                  	                    	                      	                 	                      	                                        	                     	                   	                        	                       	                         	                             	                   	                         	                            	+                       	+                   	+               	+                       	+                           	+                      	            	                         	                       	                    	                  	                               	                     	                         	                     	                   	                       	                         	                 	                       	                     	                     	                                           	                    	                     	                    	                        	                    	                     	                     	                	                       	CC25b



  IR	                 	Albian           	                  	CC8           	171	1049	C	 11	X	CC	  30.00	    134.5300	Self-Trail	Nannofossils                                 	A              	M                 	                    	                      	                 	                      	+                                       	+                    	+                  	+                       	                       	                         	                             	+                  	+                        	+                           	                        	                    	                	                        	                            	                       	            	                         	                       	                    	                  	                               	                     	                         	                     	                   	                       	                         	                 	                       	                     	                     	                                           	                    	                     	                    	                        	                    	                     	                     	                	                       	CC8a

  IR	                 	Aptian           	                  	CP7           	171	1049	C	 12	X	CC	  18.00	    148.2800	Self-Trail	Nannofossils                                 	A              	M                 	R                   	                      	F                	                      	C                                       	                     	R                  	C                       	F                      	R                        	R                            	                   	                         	                            	                        	                    	                	                        	                            	                       	            	                         	                       	                    	                  	                               	                     	                         	                     	                   	                       	                         	                 	                       	                     	                     	                                           	                    	                     	                    	                        	                    	                     	                     	                	                       	CC7c

  IR	                 	Aptian           	                  	CC7(Watkins, ODP171)	171	1049	C	 13	X	CC	  48.00	    153.2800	Self-Trail	Nannofossils                                 	F              	M                 	F                   	R                     	R                	R                     	F                                       	R                    	R                  	                        	                       	                         	                             	                   	                         	                            	                        	                    	                	                        	                            	                       	            	                         	                       	                    	                  	                               	                     	                         	                     	                   	                       	                         	                 	                       	                     	                     	                                           	                    	                     	                    	                        	                    	                     	                     	                	                       	       

