Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria spp.,Pullenia salisburyi,Nonionella miocenica,Gyroidina lamarckiana,Globocassidulina spp.,Chilostomella oolina,Calcareous spp. (indeterminate),Agglutinated spp. (indeterminate),Robertina sp. A,Gyroidina sp. A,Globobulimina elongata,Cyclammina spp.,Stainforthia complanata,Nonion spp.,Haplophragmoides sp. D,Haplophragmoides sp. C,Haplophragmoides compressum,Globobulimina auriculata,Bolivina seminuda,Haplophragmoides spp.,Ammodiscus sp. D,Ammodiscus sp. B,Martinottiella communis,Cyclammina cf. C. tani,Martinottiella sp.,Martinottiella nodulosa,Ammodiscus spp.,Ammodiscus sp. A,Ammodiscus incertus,Quinqueloculina seminulum,Quinqueloculina akneriana,Parafissurina curta,Gyroidina orbicularis,Globocassidulina subglobosa,Islandiella norcrossi,Nummoloculina sp. C,Miliammina echigoensis,Uvigerina yabei,Sphaeroidina spp.,Melonis pompilioides,Melonis nicobarense,Elphidium cf. E. hughesi foraminosum,Eggerella sp. A,Cibicides aknerianus,Haplophragmoides sp. A,Cassidulinoides tenuis,Cassidulinoides sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 10,R,CC,   9.00,    243.8000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,                               ,                                 ,               ,               ,                      ,               ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,                ,                       ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,1                    ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 14,R, 2,  33.00,    283.4300,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,                               ,                                 ,               ,               ,                      ,               ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,                ,                       ,                      ,                  ,1                      ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 15,R, 3,  49.00,    294.7900,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,                               ,                                 ,               ,               ,                      ,               ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,                ,                       ,                      ,                  ,                       ,1              ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 18,R,CC,   3.00,    326.8400,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,                               ,                                 ,               ,               ,                      ,               ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,                ,1                      ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 19,R,CC,  18.00,    332.1600,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,3                              ,                                 ,               ,               ,                      ,               ,                       ,           ,                      ,                      ,                           ,                        ,                 ,1                    ,                ,                ,9                      ,                      ,                  ,2                      ,               ,                ,                   ,1                        ,1                        ,1                  ,1                    ,8                          ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 28,R,CC,  27.00,    418.2700,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,                               ,5                                ,               ,               ,                      ,1              ,                       ,           ,                      ,1                     ,4                          ,                        ,                 ,4                    ,                ,                ,                       ,                      ,2                 ,1                      ,1              ,4               ,2                  ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 29,R,CC,  21.00,    429.1900,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,                               ,1                                ,               ,               ,                      ,1              ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,                ,1                      ,3                     ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 31,R,CC,  28.00,    439.1800,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,                               ,                                 ,               ,               ,                      ,1              ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,1               ,                       ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 32,R, 3,  31.00,    448.8100,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                 ,                   ,                    ,                     ,                     ,                    ,                               ,2                                ,               ,7              ,                      ,               ,                       ,           ,                      ,1                     ,                           ,                        ,                 ,2                    ,1               ,                ,                       ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 32,R, 4, 143.00,    451.4300,Brunner  ,Benthic Foraminifers                         ,               ,                  ,1                ,                   ,14                  ,                     ,                     ,8                   ,8                              ,                                 ,2              ,34             ,                      ,               ,1                      ,1          ,1                     ,15                    ,3                          ,2                       ,1                ,                     ,                ,                ,                       ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 32,R, 5,  24.00,    451.7400,Brunner  ,Benthic Foraminifers                         ,               ,                  ,5                ,                   ,2                   ,1                    ,2                    ,5                   ,5                              ,                                 ,1              ,24             ,1                     ,1              ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,                ,                       ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,B, 33,R, 2,  34.00,    457.0400,Brunner  ,Benthic Foraminifers                         ,               ,                  ,2                ,1                  ,3                   ,51                   ,11                   ,16                  ,3                              ,3                                ,               ,               ,                      ,               ,                       ,           ,                      ,                      ,                           ,                        ,                 ,                     ,                ,                ,                       ,                      ,                  ,                       ,               ,                ,                   ,                         ,                         ,                   ,                     ,                           ,                     ,                   ,                      ,               ,                 ,                    ,                   ,                                    ,               ,                    ,                      ,                      ,                   ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
