Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Mesocena elliptica,Dictyocha subarctios,Dictyocha spp.,Distephanus crux var. stauracanthus,Dictyocha messanensis,Distephanus slavnicii,Mesocena quadrangula,Distephanus speculum,Dictyocha fibula,Distephanus octangulatus,Dictyocha mandrai,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 6, 109.00,     72.6900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,F             ,R                                  ,                     ,R                    ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 7,  30.00,     73.4000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,              ,                                   ,                     ,R                    ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 8,  30.00,     74.9000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,M                 ,                  ,                    ,F             ,R                                  ,F                    ,R                    ,                    ,                    ,A               ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H,CC,  32.00,     75.8400,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,R             ,                                   ,                     ,R                    ,                    ,                    ,R               ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 1,  32.00,     75.1200,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,M                 ,                  ,R                   ,              ,A                                  ,                     ,                     ,                    ,R                   ,                ,R                       ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 1, 119.00,     75.9900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,              ,R                                  ,                     ,R                    ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 3,  30.00,     77.8600,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,M                 ,                  ,R                   ,              ,F                                  ,                     ,                     ,R                   ,F                   ,R               ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 3,  87.00,     78.4300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,R                 ,                    ,              ,R                                  ,                     ,R                    ,F                   ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 5,  30.00,     80.8600,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,R                 ,R                   ,R             ,                                   ,                     ,                     ,R                   ,F                   ,F               ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 5,  67.00,     81.2300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,C                 ,C                   ,              ,F                                  ,                     ,R                    ,F                   ,R                   ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 7,  30.00,     83.7300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,C                 ,C                   ,              ,F                                  ,                     ,R                    ,F                   ,R                   ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 7,  87.00,     84.3000,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,R                 ,R                   ,              ,                                   ,                     ,                     ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H,CC,  38.00,     84.7500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,                  ,R                   ,              ,R                                  ,                     ,F                    ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 10,H,CC,  22.00,     95.1900,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,R                   ,              ,                                   ,                     ,                     ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 11,H,CC,  29.00,    104.2400,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,R                   ,              ,                                   ,                     ,                     ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 12,H,CC,  36.00,    114.8300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,F              ,M                 ,F                 ,                    ,              ,                                   ,                     ,                     ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 13,H,CC,  29.00,    123.5300,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,                    ,              ,R                                  ,R                    ,                     ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 14,H,CC,  38.00,    133.8100,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,M                 ,                  ,R                   ,              ,                                   ,                     ,                     ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 15,H,CC,  32.00,    144.4500,Ling     ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,M                 ,F                 ,F                   ,R             ,                                   ,                     ,                     ,                    ,                    ,                ,                        ,                 ,from ODP Legs 127&128 SR Chapter 14 Table 1 p 241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
