Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina asanoi,Orbulina universa,Neogloboquadrina humerosa,Globorotalia inflata,Globigerinoides ruber,Globigerina bulloides,Beella digitata,"Neogloboquadrina sp. ""rounded""",Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globorotalia puncticulata,Globigerina umbilicata,Globigerina quadrilatera,Neogloboquadrina pachyderma (sinistral),Globigerina apertura,Globigerina quinqueloba,Globigerinoides conglobatus,Globorotaloides hexagona,Neogloboquadrina dutertrei,Hastigerina aequilateralis,Comment
  IR,                 ,                 ,N22               ,N23           ,167,1016,A,  6,H,CC,  23.00,     55.4800,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,                       ,F                ,A                        ,A                   ,R                    ,C                    ,               ,                              ,A                                    ,                    ,                         ,                      ,                        ,                                       ,                    ,                       ,R                          ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1016,A,  8,H,CC,  34.00,     74.6900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                      ,F                ,A                        ,                    ,                     ,A                    ,               ,                              ,                                     ,                    ,                         ,                      ,                        ,A                                      ,                    ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1016,A,  9,H,CC,  28.00,     84.1600,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,A                      ,R                ,                         ,R                   ,                     ,A                    ,               ,                              ,C                                    ,                    ,                         ,A                     ,                        ,A                                      ,                    ,A                      ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1016,A, 10,H,CC,  24.00,     93.6400,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,A                      ,                 ,C                        ,                    ,                     ,C                    ,               ,                              ,                                     ,                    ,                         ,                      ,                        ,A                                      ,                    ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1016,A, 11,X,CC,  19.00,     95.8800,Kennett  ,Planktonic Foraminifers                      ,F              ,P                 ,A                      ,                 ,C                        ,C                   ,                     ,R                    ,               ,                              ,F                                    ,                    ,                         ,A                     ,                        ,                                       ,                    ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1016,A, 12,X,CC,  30.00,    105.3900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                      ,F                ,F                        ,F                   ,                     ,A                    ,               ,A                             ,C                                    ,R                   ,                         ,A                     ,                        ,                                       ,                    ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1016,A, 13,X,CC,  12.00,    115.6400,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                      ,F                ,A                        ,F                   ,                     ,A                    ,               ,C                             ,                                     ,                    ,                         ,A                     ,                        ,A                                      ,F                   ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1016,A, 14,X,CC,  28.00,    125.3000,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                      ,F                ,                         ,F                   ,                     ,A                    ,F              ,                              ,A                                    ,R                   ,C                        ,C                     ,                        ,                                       ,                    ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1016,A, 15,X,CC,  13.00,    134.7300,Kennett  ,Planktonic Foraminifers                      ,A              ,M/G               ,A                      ,C                ,C                        ,C                   ,                     ,F                    ,               ,A                             ,F                                    ,R                   ,F                        ,F                     ,F                       ,                                       ,                    ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1016,A, 16,X,CC,  20.00,    144.4900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                      ,C                ,R                        ,F                   ,R                    ,A                    ,R              ,                              ,                                     ,                    ,                         ,                      ,                        ,                                       ,                    ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1016,A, 17,X,CC,  16.00,    154.0000,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,R                      ,                 ,                         ,                    ,                     ,                     ,               ,                              ,                                     ,                    ,                         ,                      ,                        ,                                       ,                    ,                       ,                           ,                        ,                          ,                          ,from IR. Ch 10. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
