Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira convexa,Thalassiosira antiqua,Nitzschia reinholdii,Thalassiosira plicata,Thalassionema nitzschioides,Stephanopyxis turris,Coscinodiscus marginatus,Coscinodiscus asteromphalus,Thalassiosira oestrupii,Thalassionema nitzschioides  var. parva,Synedra sp.,Actinocyclus ingens,Thalassiothrix longissima,Thalassiosira nativa,Rhizosolenia barboi,Denticulopsis hyalina,Coscinodiscus sp.,Coscinodiscus cf. C. marginatus,Nitzschia rolandii,Nitzschia marina,Neodenticula kamtschatica,Hemidiscus cuneiformis,Actinocyclus ehrenbergii,Thalassiosira eccentrica,Coscinodiscus radiatus,Azpeitia nodulifer,Thalassiosira spp. (native type),Thalassiosira hyalinopsis,Rhizosolenia sp.,Neodenticula cf. N. seminae,Actinoptychus senarius,Thalassiothrix spp.,Neodenticula sp. (N. rolandii),Neodenticula sp.,Neodenticula koizumii,Neodenticula cf. N. koizumii,Neodenticula cf. N. kamtschatica,Thalassiosira sp.,Thalassionema schraderi,Sponge spicules,Paralia sulcata,Denticulopsis hustedtii,Denticulopsis lauta s.l.,Denticulopsis lauta,Denticulopsis dimorpha,Denticulopsis sp.,Nitzschia cf. N. jouseana,Neodenticula seminae (sensu Akiba),Actinocyclus ellipticus f. lanceolata,Neodenticula seminae,Crucidenticula nicobarica,Actinocyclus ingens  var. nodus,Simonseniella curvirostris,Rhizosolenia matuyamai,Navicula sp.,Thalassiosira leptopus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1016,A,  5,H,CC,  29.00,     45.7500,Maruyama ,Diatoms                                      ,F              ,P/M               ,                     ,                     ,                    ,                     ,                           ,                    ,                        ,                           ,                       ,                                       ,           ,                   ,                         ,                    ,C                  ,                     ,                 ,                               ,R                 ,R               ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,F                   ,                         ,                               ,                          ,R                     ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1016,A,  6,H,CC,  23.00,     55.4800,Maruyama ,Diatoms                                      ,C              ,P/M               ,                     ,                     ,                    ,                     ,+                          ,+                   ,                        ,                           ,                       ,                                       ,           ,+                  ,+                        ,                    ,                   ,                     ,                 ,                               ,                  ,+               ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,+                       ,                   ,                      ,                 ,                         ,                                  ,                                     ,F                   ,                         ,                               ,F                         ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 10            ,              ,167,1016,A,  7,H,CC,  21.00,     64.7600,Maruyama ,Diatoms                                      ,C              ,P/M               ,                     ,                     ,R                   ,                     ,                           ,                    ,                        ,                           ,                       ,                                       ,           ,                   ,                         ,                    ,F                  ,                     ,                 ,                               ,                  ,+               ,                         ,F                     ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,C                   ,                         ,                               ,                          ,                      ,            ,                      ,Actinocyclus oculatus fragment present.from IR. Ch 10. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 10            ,              ,167,1016,A,  8,H,CC,  34.00,     74.6900,Maruyama ,Diatoms                                      ,C              ,M                 ,                     ,                     ,F                   ,                     ,+                          ,                    ,                        ,                           ,                       ,                                       ,           ,                   ,                         ,                    ,F                  ,+                    ,                 ,                               ,                  ,+               ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,+                                 ,                                     ,F                   ,                         ,+                              ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 10            ,              ,167,1016,A,  9,H,CC,  28.00,     84.1600,Maruyama ,Diatoms                                      ,C              ,P                 ,                     ,                     ,+                   ,                     ,F                          ,                    ,                        ,                           ,                       ,                                       ,           ,                   ,C                        ,                    ,C                  ,                     ,                 ,                               ,                  ,R               ,                         ,+                     ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,+                ,                       ,               ,               ,                       ,+                       ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,+                        ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 9             ,NPD 10        ,167,1016,A, 10,H,CC,  24.00,     93.6400,Maruyama ,Diatoms                                      ,A              ,P/M               ,                     ,                     ,R                   ,                     ,                           ,+                   ,A                       ,                           ,                       ,                                       ,           ,                   ,R                        ,                    ,A                  ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,A                  ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,+                       ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 9             ,              ,167,1016,A, 11,X,CC,  19.00,     95.8800,Maruyama ,Diatoms                                      ,A              ,P/M               ,A                    ,                     ,                    ,                     ,                           ,+                   ,A                       ,                           ,                       ,                                       ,           ,                   ,                         ,                    ,A                  ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 9             ,              ,167,1016,A, 12,X,CC,  30.00,    105.3900,Maruyama ,Diatoms                                      ,A              ,M                 ,                     ,                     ,                    ,                     ,                           ,                    ,A                       ,                           ,                       ,                                       ,           ,                   ,+                        ,                    ,A                  ,                     ,                 ,                               ,                  ,                ,                         ,+                     ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,C                  ,                              ,                ,+                    ,                            ,                                ,                 ,+                      ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,+                   ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 9             ,              ,167,1016,A, 13,X,CC,  12.00,    115.6400,Maruyama ,Diatoms                                      ,A              ,M                 ,C                    ,                     ,                    ,                     ,                           ,                    ,A                       ,                           ,                       ,                                       ,           ,                   ,F                        ,                    ,A                  ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,R                                 ,R                                    ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 14,X,CC,  28.00,    125.3000,Maruyama ,Diatoms                                      ,F              ,P                 ,                     ,                     ,                    ,                     ,                           ,                    ,+                       ,                           ,                       ,                                       ,           ,                   ,+                        ,                    ,+                  ,+                    ,+                ,                               ,                  ,                ,                         ,+                     ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 15,X,CC,  13.00,    134.7300,Maruyama ,Diatoms                                      ,R              ,P                 ,+                    ,                     ,                    ,                     ,                           ,                    ,C                       ,                           ,                       ,+                                      ,           ,                   ,                         ,                    ,C                  ,+                    ,                 ,                               ,                  ,                ,                         ,F                     ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,+                           ,                                ,                 ,+                      ,               ,               ,                       ,                        ,+                  ,                      ,                 ,+                        ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 16,X,CC,  20.00,    144.4900,Maruyama ,Diatoms                                      ,R              ,P                 ,                     ,                     ,                    ,                     ,                           ,                    ,F                       ,                           ,                       ,                                       ,           ,                   ,F                        ,                    ,F                  ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,R                ,                       ,               ,               ,                       ,                        ,                   ,                      ,R                ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 17,X,CC,  16.00,    154.0000,Maruyama ,Diatoms                                      ,F              ,P/M               ,                     ,                     ,                    ,                     ,                           ,                    ,F                       ,                           ,                       ,                                       ,           ,                   ,F                        ,                    ,C                  ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,+               ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,+                  ,+                     ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 18,X,CC,  17.00,    163.6500,Maruyama ,Diatoms                                      ,R              ,P                 ,                     ,                     ,                    ,                     ,                           ,                    ,                        ,                           ,                       ,+                                      ,           ,                   ,F                        ,                    ,F                  ,+                    ,                 ,                               ,                  ,                ,                         ,+                     ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,+                  ,                              ,                ,                     ,                            ,                                ,                 ,                       ,A              ,               ,+                      ,+                       ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,Actinocyclus oculatus fragment present.from IR. Ch 10. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 19,X,CC,  25.00,    173.2100,Maruyama ,Diatoms                                      ,F              ,P/M               ,                     ,                     ,                    ,                     ,                           ,                    ,R                       ,                           ,                       ,                                       ,           ,                   ,                         ,                    ,                   ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,+                ,+                      ,F              ,R              ,+                      ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 20,X,CC,  20.00,    182.8900,Maruyama ,Diatoms                                      ,A              ,P/M               ,                     ,                     ,                    ,                     ,                           ,                    ,C                       ,                           ,                       ,                                       ,           ,                   ,F                        ,                    ,F                  ,                     ,                 ,                               ,                  ,                ,+                        ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,F                  ,+                             ,+               ,+                    ,+                           ,+                               ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 21,X,CC,  16.00,    192.4500,Maruyama ,Diatoms                                      ,C              ,P                 ,                     ,                     ,                    ,                     ,F                          ,                    ,F                       ,                           ,                       ,                                       ,           ,                   ,F                        ,                    ,                   ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 22,X,CC,  18.00,    202.1400,Maruyama ,Diatoms                                      ,A              ,P/M               ,                     ,                     ,                    ,                     ,                           ,                    ,A                       ,                           ,                       ,                                       ,R          ,                   ,                         ,                    ,                   ,                     ,                 ,                               ,                  ,                ,                         ,F                     ,                        ,                        ,                      ,C                 ,R                               ,R                        ,R               ,R                          ,R                     ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 23,X,CC,  31.00,    211.8100,Maruyama ,Diatoms                                      ,A              ,M/G               ,                     ,F                    ,F                   ,                     ,R                          ,+                   ,C                       ,                           ,                       ,                                       ,           ,                   ,                         ,R                   ,C                  ,                     ,                 ,                               ,R                 ,F               ,                         ,R                     ,                        ,F                       ,R                     ,A                 ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 24,X,CC,  25.00,    221.3800,Maruyama ,Diatoms                                      ,A              ,P                 ,                     ,+                    ,                    ,                     ,+                          ,                    ,                        ,                           ,+                      ,                                       ,           ,                   ,                         ,+                   ,                   ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,+                       ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 25,X,CC,  28.00,    231.0800,Maruyama ,Diatoms                                      ,A              ,P                 ,                     ,F                    ,                    ,                     ,                           ,                    ,                        ,                           ,                       ,                                       ,           ,                   ,+                        ,R                   ,F                  ,                     ,                 ,                               ,                  ,                ,                         ,                      ,+                       ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 26,X,CC,  22.00,    240.6300,Maruyama ,Diatoms                                      ,A              ,P/M               ,                     ,                     ,                    ,                     ,                           ,                    ,A                       ,                           ,R                      ,                                       ,           ,                   ,                         ,R                   ,                   ,                     ,                 ,                               ,+                 ,R               ,+                        ,R                     ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 27,X,CC,  34.00,    250.4100,Maruyama ,Diatoms                                      ,A              ,P                 ,                     ,                     ,                    ,                     ,R                          ,                    ,C                       ,                           ,F                      ,                                       ,           ,                   ,                         ,                    ,R                  ,R                    ,R                ,F                              ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 28,X,CC,  31.00,    259.9900,Maruyama ,Diatoms                                      ,A              ,M                 ,                     ,                     ,F                   ,                     ,A                          ,                    ,C                       ,                           ,R                      ,                                       ,           ,                   ,C                        ,F                   ,                   ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 29,X,CC,  35.00,    269.5800,Maruyama ,Diatoms                                      ,A              ,P                 ,                     ,R                    ,                    ,                     ,                           ,                    ,                        ,                           ,R                      ,R                                      ,F          ,+                  ,                         ,                    ,                   ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,NPD 7A            ,NPD 9         ,167,1016,A, 30,X,CC,  34.00,    278.8900,Maruyama ,Diatoms                                      ,A              ,M/G               ,+                    ,                     ,                    ,+                    ,+                          ,+                   ,+                       ,+                          ,                       ,                                       ,           ,                   ,                         ,                    ,                   ,                     ,                 ,                               ,                  ,                ,                         ,                      ,                        ,                        ,                      ,                  ,                                ,                         ,                ,                           ,                      ,                   ,                              ,                ,                     ,                            ,                                ,                 ,                       ,               ,               ,                       ,                        ,                   ,                      ,                 ,                         ,                                  ,                                     ,                    ,                         ,                               ,                          ,                      ,            ,                      ,from IR. Ch 10.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
