Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia mayeri	Neogloboquadrina continuosa	Globoquadrina venezuelana	Globoquadrina baroemoenensis	Globigerinoides subquadratus	Globigerinoides sacculifer (without sack)	Globigerinoides obliquus	Globigerinoides altiapertura	Globigerinita glutinata	Globigerinatella insueta	Fohsella peripheroronda	Dentoglobigerina altispira	Catapsydrax dissimilis	Globoquadrina dehiscens	Globigerinella aequilateralis	Cassigerinella chipolensis	Sphaeroidinellopsis disjuncta	Globigerinoides sacculifer	Fohsella birnageae	Praeorbulina sicana	Paragloborotalia semivera	Globoconella praescitula	Globorotaloides hexagonus	Globoconella zealandica	Hirsutella scitula	Menardella archeomenardii	Globoconella miozea	Sphaeroidinellopsis seminulina	Fohsella peripheroacuta	Sphaeroidinellopsis kochi	Orbulina universa	Menardella praemenardii	Fohsella praefohsi	Globorotalia lenguaensis	Fohsella fohsi fohsi	Globoturborotalita woodi	Globigerina bulloides	Globoconella panda	Menardella menardii (sinistral)	Globoturborotalita nepenthes	Globoturborotalita druryi	Menardella menardii (dextral)	Menardella limbata (sinistral)	Globigerina falconensis	Neogloboquadrina acostaensis	Hirsutella cibaoensis	Globorotalia paralenguaensis	Globorotalia merotumida	Neogloboquadrina pachyderma (sinistral)	Globigerinoides ruber	Neogloboquadrina pachyderma (dextral)	Globoturborotalita decoraperta	Globigerinoides extremus	Sphaeroidinellopsis paenedehiscens	Hirsutella challengeri	Globoturborotalita apertura	Candeina nitida	Neogloboquadrina dutertrei	Globigerinoides seigliei	Hirsutella juanai	Globorotalia plesiotumida	Menardella limbata (dextral)	Neogloboquadrina humerosa	Globigerinoides conglobatus	Pulleniatina primalis (sin.)	Globorotalia tumida	Sphaeroidinella dehiscens	Menardella multicamerata	Hirsutella margaritae	Truncorotalia crassaformis	Menardella exilis	Hirsutella hirsuta	Pulleniatina primalis (dex.)	Menardella pertenuis	Menardella miocenica	Globoturborotalita rubescens	Globigerinoides fistulosus	Globorotalia ungulata	Pulleniatina obliquiloculata	Truncorotalia truncatulinoides (dex.)	Truncorotalia truncatulinoides (sin.)	Globoconella inflata	Beella praedigitata	Beella digitata	Globoturborotalita tenella	Berggrenia riedeli	Comment

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  2	H	 5	  42.00	     14.0200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	F                                        	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	R                         	                  	                   	                         	                        	R                        	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	R                              	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	F                    	                                     	                              	                        	                                  	                      	                           	               	R                         	                        	                 	                         	                            	                         	R                          	                            	R                  	                         	                        	                     	R                         	                 	                  	                            	                    	                    	F                           	                          	                     	R                           	R                                    	                                     	R                   	R                  	               	                          	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  2	H	CC	  25.00	     17.4800	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	                                         	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	F                         	                  	                   	                         	                        	                         	                       	                  	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	F                              	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	               	F                         	                        	                 	                         	                            	                         	R                          	                            	                   	R                        	                        	                     	R                         	                 	S                 	                            	                    	                    	R                           	                          	                     	                            	F                                    	                                     	                    	R                  	               	R                         	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  3	H	 2	  42.00	     19.0200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	R                                        	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	R                         	                  	                   	                         	                        	                         	                       	                  	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	                               	                            	                         	                             	                              	R                      	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	               	F                         	                        	                 	                         	                            	                         	                           	                            	                   	R                        	                        	                     	R                         	                 	                  	                            	                    	                    	R                           	                          	                     	R                           	S                                    	S                                    	F                   	                   	               	R                         	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  3	H	 5	  42.00	     23.5200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	F                                        	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	R                         	                  	                   	                         	                        	                         	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	R                              	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	               	F                         	                        	                 	                         	                            	                         	R                          	                            	                   	                         	                        	                     	R                         	                 	                  	                            	                    	                    	R                           	                          	R                    	                            	R                                    	                                     	F                   	                   	               	R                         	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  3	H	CC	  24.00	     26.9500	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	                                         	                        	                            	F                      	                        	                       	                          	                      	                       	                             	                          	                             	F                         	                  	                   	                         	                        	                         	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	F                              	                            	                         	                             	                              	R                      	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	               	F                         	                        	                 	                         	                            	                         	R                          	                            	                   	R                        	                        	                     	R                         	                 	                  	                            	                    	                    	F                           	                          	                     	R                           	F                                    	R                                    	R                   	                   	               	                          	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  4	H	 2	  42.00	     28.5200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	F                                        	                        	                            	C                      	                        	                       	                          	                      	                       	R                            	                          	                             	F                         	                  	                   	                         	                        	                         	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	                     	                  	S                              	                            	                         	                             	                              	R                      	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	S              	F                         	                        	                 	                         	                            	                         	R                          	                            	                   	R                        	                        	                     	R                         	                 	                  	                            	                    	                    	F                           	                          	                     	R                           	R                                    	                                     	F                   	                   	S              	                          	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  4	H	 5	  42.00	     33.0200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	F                                        	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	F                         	                  	                   	                         	                        	                         	                       	                  	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	S                              	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	               	F                         	                        	                 	                         	                            	                         	R                          	                            	                   	R                        	                        	                     	R                         	                 	                  	                            	                    	                    	F                           	                          	                     	R                           	R                                    	                                     	R                   	                   	               	                          	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  4	H	CC	  16.00	     36.4800	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	                                         	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	F                         	                  	                   	                         	                        	R                        	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	                     	                  	R                              	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	R              	F                         	                        	                 	                         	                            	                         	R                          	                            	                   	R                        	                        	                     	R                         	                 	                  	                            	                    	                    	F                           	                          	                     	R                           	R                                    	F                                    	                    	                   	R              	                          	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  5	H	 2	  42.00	     38.0200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	F                                        	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	R                         	                  	                   	                         	                        	R                        	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	                               	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	F                    	R                                    	                              	                        	                                  	                      	                           	               	C                         	                        	                 	                         	                            	                         	R                          	                            	S                  	R                        	                        	                     	F                         	                 	                  	                            	                    	                    	R                           	                          	                     	F                           	R                                    	                                     	R                   	                   	               	                          	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  5	H	 5	  42.00	     42.5200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	F                                        	                        	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	F                         	                  	                   	                         	                        	                         	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	                               	                            	                         	                             	                              	R                      	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	S              	F                         	                        	                 	                         	                            	                         	R                          	                            	                   	R                        	                        	                     	F                         	                 	                  	                            	                    	                    	R                           	                          	                     	F                           	R                                    	R                                    	                    	                   	               	                          	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  5	H	CC	  15.00	     45.8500	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	                                         	R                       	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	C                         	                  	                   	                         	                        	R                        	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	                               	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	F                    	                                     	                              	                        	                                  	                      	                           	R              	F                         	                        	                 	                         	                            	                         	R                          	                            	                   	R                        	                        	                     	                          	                 	                  	                            	                    	                    	F                           	                          	                     	R                           	R                                    	F                                    	R                   	                   	               	                          	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  6	H	 2	  42.00	     47.5200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	F                                        	                        	                            	C                      	                        	                       	                          	                      	                       	F                            	                          	                             	F                         	                  	                   	                         	                        	                         	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	                               	                            	                         	                             	                              	R                      	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	R              	F                         	                        	                 	                         	                            	                         	R                          	                            	                   	R                        	                        	                     	F                         	                 	                  	                            	                    	                    	R                           	                          	                     	R                           	R                                    	R                                    	                    	                   	R              	                          	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  6	H	 5	  42.00	     52.0200	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	C                                        	R                       	                            	F                      	                        	                       	                          	                      	                       	R                            	                          	                             	F                         	                  	                   	                         	                        	                         	                       	R                 	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	R                              	                            	                         	R                            	                              	                       	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	               	F                         	                        	                 	                         	                            	                         	R                          	                            	R                  	R                        	                        	                     	R                         	?                	                  	                            	                    	                    	R                           	                          	R                    	R                           	                                     	                                     	R                   	                   	               	                          	                  	from 165SR. Ch. 2. Appendix A

  SR	Pleistocene      	                 	N22               	              	165	 999	A	  6	H	CC	  23.00	     55.3900	Chaisson 	Planktonic Foraminifers                      	               	G                 	                       	                           	                         	                            	                            	                                         	R                       	                            	F                      	                        	                       	                          	                      	                       	                             	                          	                             	C                         	                  	                   	                         	                        	                         	                       	                  	                         	                   	                              	                       	                         	R                	                       	                  	                        	                    	                        	R                    	                  	F                              	                            	                         	                             	                              	                       	                            	                     	                            	                       	                                       	C                    	R                                    	                              	                        	                                  	                      	                           	               	C                         	                        	                 	                         	                            	                         	R                          	                            	F                  	R                        	                        	                     	                          	                 	                  	                            	                    	                    	                            	                          	R                    	R                           	R                                    	                                     	                    	                   	R              	                          	                  	from 165SR. Ch. 2. Appendix A
