Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Neogloboquadrina pachyderma	Menardella menardii (sinistral)	Menardella menardii (dextral)	Menardella limbata	Menardella exilis	Globoturborotalita rubescens	Globoconella inflata	Globigerinoides obliquus	Globigerinoides fistulosus	Globigerinoides extremus	Globigerinella calida	Globigerina bulloides	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Menardella pertenuis	Menardella miocenica	Globorotalia tumida flexuosa	Globoturborotalita woodi	Globoturborotalita decoraperta	Globorotalia tumida	Globoconella puncticulata	Globigerina falconensis	Hirsutella hirsuta	Truncorotalia tosaensis	Globigerina bermudezi	Globigerina cariacoensis	Truncorotalia crassaformis hessi	Globigerinoides ruber (pink)	Hastigerina pelagica	Comment
  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  1	H	CC	  23.00	      7.9900	Chaisson 	Planktonic Foraminifers                      	C              	M                 	R                         	                         	                            	                           	R                              	-                            	                  	                 	-                           	-                   	                        	                          	                        	-                    	                     	-                                    	R                                    	                    	                    	R                           	                        	                              	F                  	                         	                       	-                 	                       	                     	                        	                                	                            	                    	>0.068 Ma tumida flexuosa present

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  2	H	 1	  70.00	      8.7000	Chaisson 	Planktonic Foraminifers                      	C              	VG                	R                         	                         	R                           	-                          	R                              	-                            	                  	                 	-                           	-                   	                        	                          	                        	R                    	-                    	R                                    	F                                    	                    	                    	F                           	                        	                              	R                  	                         	                       	R                 	                       	R                    	                        	R                               	                            	R                   	pteropods, scaphopods etc.

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  2	H	 2	  70.00	     10.2000	Chaisson 	Planktonic Foraminifers                      	C              	VG                	F                         	-                        	R                           	-                          	R                              	-                            	                  	                 	-                           	-                   	                        	                          	                        	R                    	                     	F                                    	R                                    	                    	                    	F                           	                        	                              	R                  	                         	                       	R                 	                       	-                    	                        	R                               	                            	R                   	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  2	H	 3	  70.00	     11.7000	Chaisson 	Planktonic Foraminifers                      	C              	VG                	F                         	-                        	R                           	-                          	R                              	-                            	                  	                 	-                           	-                   	                        	                          	                        	R                    	                     	R                                    	-                                    	                    	                    	R                           	                        	                              	R                  	                         	                       	R                 	                       	R                    	                        	R                               	                            	-                   	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  2	H	 4	  70.00	     13.2000	Chaisson 	Planktonic Foraminifers                      	C              	VG                	R                         	-                        	R                           	-                          	F                              	-                            	                  	                 	-                           	F                   	                        	                          	                        	R                    	                     	-                                    	F                                    	                    	                    	-                           	                        	                              	-                  	                         	                       	-                 	                       	                     	                        	-                               	                            	-                   	glauconite no hirsuta no flexuosa >0.45 Ma

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  2	H	CC	  12.00	     17.8300	Chaisson 	Planktonic Foraminifers                      	C              	M                 	-                         	-                        	R                           	-                          	F                              	-                            	                  	                 	-                           	F                   	                        	                          	                        	R                    	                     	-                                    	R                                    	                    	                    	-                           	                        	                              	-                  	                         	                       	-                 	                       	                     	                        	R                               	R                           	                    	no flexuosa and no tumida <0.75 Ma  crassaformis hessi present

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  3	H	 1	  70.00	     18.2000	Chaisson 	Planktonic Foraminifers                      	C              	VG                	R                         	R                        	R                           	-                          	R                              	-                            	                  	                 	-                           	-                   	                        	                          	                        	-                    	-                    	-                                    	R                                    	                    	                    	R                           	                        	                              	R                  	                         	                       	-                 	                       	R                    	                        	                                	                            	-                   	< 0.401 flexuosa present

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  3	H	 2	  70.00	     19.7000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	-                        	R                           	R                          	F                              	-                            	                  	                 	-                           	F                   	                        	                          	                        	R                    	-                    	R                                    	R                                    	                    	                    	R                           	                        	                              	R                  	                         	                       	-                 	                       	-                    	                        	R                               	                            	-                   	

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  3	H	 3	  70.00	     21.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	R                        	R                           	R                          	-                              	-                            	                  	                 	                            	F                   	                        	-                         	-                       	R                    	-                    	-                                    	R                                    	                    	                    	                            	                        	                              	-                  	                         	                       	-                 	                       	R                    	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  3	H	 4	  70.00	     22.7000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	+                           	+                          	+                              	                             	                  	                 	                            	+                   	                        	-                         	-                       	                     	-                    	+                                    	+                                    	                    	                    	                            	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  3	H	 5	  61.00	     24.1100	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	+                           	+                          	-                              	-                            	                  	                 	+                           	-                   	-                       	-                         	+                       	                     	+                    	-                                    	+                                    	                    	                    	-                           	                        	                              	-                  	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  3	H	 6	  70.00	     25.7000	Chaisson 	Planktonic Foraminifers                      	F              	VG                	R                         	R                        	R                           	R                          	R                              	-                            	                  	                 	-                           	F                   	                        	                          	                        	-                    	-                    	-                                    	R                                    	                    	                    	                            	                        	                              	-                  	                         	                       	                  	                       	-                    	                        	R                               	                            	-                   	much clay < 0.75 Ma  c. hessi present

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  3	H	CC	  21.00	     27.4100	Chaisson 	Planktonic Foraminifers                      	               	                  	R                         	R                        	R                           	-                          	-                              	-                            	                  	                 	                            	-                   	                        	                          	                        	-                    	                     	-                                    	R                                    	                    	                    	                            	                        	                              	-                  	                         	                       	-                 	                       	                     	                        	R                               	R                           	                    	< 0.75 Ma no inflata delicate menardii

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  4	H	 1	  68.00	     27.6800	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	+                           	+                          	+                              	-                            	                  	                 	                            	+                   	-                       	-                         	-                       	                     	                     	+                                    	+                                    	                    	                    	                            	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  4	H	 2	  70.00	     29.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                         	+                        	+                           	+                          	+                              	-                            	                  	                 	+                           	-                   	-                       	-                         	-                       	                     	                     	+                                    	+                                    	                    	                    	-                           	-                       	                              	-                  	                         	                       	-                 	                       	-                    	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  4	H	 3	  66.00	     30.6600	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	+                        	+                           	+                          	+                              	-                            	                  	                 	                            	+                   	-                       	-                         	-                       	                     	                     	-                                    	+                                    	                    	r                   	-                           	                        	                              	                   	                         	                       	                  	                       	R                    	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  4	H	CC	  20.00	     37.0300	Chaisson 	Planktonic Foraminifers                      	               	M                 	-                         	-                        	R                           	-                          	-                              	-                            	                  	                 	                            	R                   	                        	                          	                        	R                    	                     	R                                    	F                                    	                    	                    	                            	                        	                              	-                  	                         	                       	                  	                       	                     	                        	-                               	+                           	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  5	H	CC	  14.00	     45.6400	Chaisson 	Planktonic Foraminifers                      	               	                  	-                         	R                        	R                           	R                          	-                              	-                            	                  	                 	-                           	R                   	                        	                          	                        	-                    	R                    	-                                    	F                                    	                    	                    	                            	                        	                              	-                  	                         	                       	                  	                       	                     	R                       	                                	                            	                    	no crassaformis hessi > 0.75 Ma ?

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  6	H	CC	  26.00	     56.1000	Chaisson 	Planktonic Foraminifers                      	               	                  	-                         	R                        	F                           	R                          	-                              	-                            	                  	                 	R                           	R                   	                        	                          	                        	R                    	                     	R                                    	-                                    	                    	                    	                            	                        	                              	-                  	                         	                       	                  	                       	                     	                        	R                               	                            	                    	no menardii no tumida

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  7	H	CC	  25.00	     59.3500	Chaisson 	Planktonic Foraminifers                      	               	G                 	R                         	R                        	-                           	R                          	-                              	-                            	                  	                 	-                           	-                   	                        	                          	                        	R                    	                     	R                                    	F                                    	                    	                    	                            	                        	                              	-                  	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  8	H	 1	  68.00	     60.0800	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	R                        	F                           	F                          	-                              	-                            	                  	                 	R                           	R                   	-                       	-                         	-                       	-                    	R                    	R                                    	R                                    	                    	                    	                            	                        	                              	-                  	-                        	                       	                  	                       	R                    	R                       	                                	                            	                    	glauconite and quartz

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  8	H	 2	  68.00	     61.5800	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	R                        	R                           	R                          	-                              	-                            	                  	                 	R                           	-                   	R                       	-                         	-                       	                     	                     	-                                    	F                                    	                    	                    	-                           	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	glauconite

  IR	                 	                 	                  	N21           	172	1054	A	  8	H	 4	  68.00	     64.5800	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	+                        	+                           	+                          	-                              	-                            	                  	-                	                            	-                   	+                       	-                         	-                       	                     	                     	+                                    	+                                    	                    	                    	-                           	                        	                              	-                  	                         	                       	                  	+                      	                     	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  8	H	CC	  14.00	     65.7100	Chaisson 	Planktonic Foraminifers                      	               	G                 	+                         	+                        	+                           	+                          	-                              	-                            	                  	                 	+                           	                    	+                       	                          	                        	+                    	                     	+                                    	+                                    	                    	                    	                            	                        	                              	-                  	                         	                       	                  	                       	                     	+                       	                                	                            	                    	glauconite >1.3 Ma

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	  9	H	CC	  13.00	     74.4000	Chaisson 	Planktonic Foraminifers                      	               	                  	-                         	R                        	F                           	R                          	R                              	-                            	                  	                 	-                           	R                   	-                       	                          	                        	R                    	                     	R                                    	-                                    	                    	                    	                            	                        	                              	-                  	                         	                       	                  	                       	                     	                        	                                	                            	                    	no fistulosus< 1.77 Ma

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	 10	H	CC	  30.00	     85.5000	Chaisson 	Planktonic Foraminifers                      	               	G                 	R                         	-                        	-                           	F                          	-                              	-                            	                  	                 	R                           	R                   	R                       	                          	                        	-                    	                     	-                                    	R                                    	                    	                    	                            	                        	                              	-                  	                         	                       	                  	                       	                     	R                       	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	 11	X	CC	  29.00	     94.6500	Chaisson 	Planktonic Foraminifers                      	               	                  	R                         	R                        	R                           	R                          	R                              	-                            	                  	                 	R                           	F                   	R                       	                          	                        	-                    	                     	-                                    	-                                    	                    	                    	                            	                        	                              	R                  	                         	                       	                  	                       	                     	-                       	                                	                            	                    	no truncat

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	 12	H	CC	  45.00	    102.9500	Chaisson 	Planktonic Foraminifers                      	               	G                 	R                         	R                        	R                           	R                          	-                              	-                            	                  	                 	-                           	R                   	R                       	                          	                        	R                    	R                    	-                                    	-                                    	                    	                    	                            	                        	                              	F                  	                         	                       	                  	                       	                     	                        	                                	                            	                    	no truncat inflata, crassaformis and pachy crusted

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	 13	X	CC	  24.00	    112.2400	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	+                           	+                          	+                              	-                            	                  	                 	+                           	+                   	-                       	                          	                        	                     	+                    	-                                    	-                                    	                    	                    	                            	                        	                              	+                  	                         	                       	                  	                       	                     	                        	                                	                            	                    	many lithic fragments - quartz and felspathic Uvigerina

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	 14	X	CC	  18.00	    122.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	+                           	-                          	-                              	-                            	                  	                 	-                           	-                   	-                       	                          	                        	-                    	-                    	+                                    	+                                    	                    	                    	                            	                        	                              	-                  	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	 16	X	 1	  70.00	    132.6000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	+                           	+                          	-                              	-                            	                  	                 	                            	+                   	-                       	-                         	-                       	                     	                     	+                                    	-                                    	                    	-                   	-                           	                        	                              	                   	                         	                       	+                 	                       	                     	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	 16	X	 4	  70.00	    137.1000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	R                        	F                           	R                          	-                              	-                            	                  	                 	                            	R                   	-                       	-                         	-                       	                     	                     	F                                    	-                                    	                    	                    	                            	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1054	A	 16	X	 5	  70.00	    138.6000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	R                        	R                           	-                          	-                              	-                            	                  	                 	                            	R                   	-                       	-                         	-                       	                     	                     	R                                    	-                                    	                    	                    	-                           	                        	                              	                   	                         	                       	                  	                       	-                    	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N22           	172	1054	A	 16	X	CC	  30.00	    141.5200	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	F                        	R                           	R                          	R                              	-                            	                  	                 	                            	R                   	-                       	R                         	-                       	R                    	-                    	F                                    	                                     	                    	                    	                            	                        	                              	                   	                         	R                      	F                 	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 18	X	 1	  70.00	    151.9000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	R                           	+                          	-                              	-                            	                  	                 	                            	+                   	-                       	-                         	-                       	+                    	R                    	-                                    	-                                    	                    	                    	                            	                        	                              	                   	                         	R                      	+                 	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 18	X	 2	  70.00	    153.4000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	-                           	+                          	+                              	-                            	-                 	                 	                            	-                   	-                       	-                         	+                       	                     	                     	-                                    	-                                    	                    	                    	-                           	                        	                              	-                  	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 18	X	 4	  70.00	    156.4000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	-                           	+                          	+                              	-                            	                  	                 	+                           	-                   	-                       	+                         	+                       	                     	+                    	-                                    	-                                    	                    	                    	-                           	                        	                              	                   	                         	                       	                  	+                      	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 18	X	CC	  43.00	    159.9000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	-                           	+                          	+                              	-                            	                  	-                	                            	-                   	-                       	-                         	-                       	-                    	-                    	-                                    	-                                    	                    	                    	                            	                        	                              	+                  	                         	                       	+                 	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 19	X	 1	  70.00	    161.6000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	R                        	F                           	                           	-                              	-                            	                  	                 	                            	-                   	R                       	R                         	R                       	                     	                     	-                                    	-                                    	                    	                    	                            	                        	                              	                   	                         	                       	                  	                       	-                    	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 19	X	 2	  70.00	    163.1000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	R                        	F                           	R                          	-                              	-                            	                  	                 	                            	-                   	R                       	R                         	R                       	                     	R                    	-                                    	-                                    	                    	                    	                            	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 19	X	 3	  70.00	    164.6000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	+                        	+                           	+                          	-                              	-                            	                  	                 	                            	-                   	-                       	+                         	-                       	                     	+                    	-                                    	-                                    	                    	-                   	-                           	                        	                              	                   	                         	                       	                  	                       	-                    	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 19	X	CC	  15.00	    166.0200	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	-                        	R                           	R                          	-                              	-                            	                  	                 	R                           	-                   	-                       	R                         	R                       	                     	R                    	-                                    	-                                    	                    	                    	                            	                        	                              	                   	                         	                       	-                 	R                      	                     	                        	                                	                            	                    	few lithics

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 20	X	 3	  70.00	    174.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	-                        	F                           	F                          	-                              	-                            	                  	                 	                            	-                   	-                       	F                         	-                       	                     	-                    	-                                    	-                                    	                    	                    	-                           	                        	                              	                   	                         	                       	R                 	R                      	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 20	X	 4	  62.00	    175.6200	Chaisson 	Planktonic Foraminifers                      	C              	VG                	R                         	R                        	F                           	R                          	-                              	-                            	                  	                 	                            	-                   	R                       	-                         	R                       	                     	R                    	-                                    	-                                    	                    	                    	                            	R                       	                              	-                  	                         	                       	-                 	                       	                     	                        	                                	                            	                    	>1.9 <2.2

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 20	X	 5	  70.00	    177.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	R                        	F                           	R                          	-                              	-                            	-                 	R                	                            	-                   	-                       	R                         	R                       	                     	                     	-                                    	-                                    	                    	                    	-                           	                        	                              	-                  	                         	                       	                  	R                      	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 20	X	CC	  33.00	    177.9500	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                         	F                        	-                           	R                          	F                              	-                            	                  	F                	R                           	                    	R                       	R                         	-                       	                     	F                    	                                     	                                     	                    	                    	                            	                        	                              	-                  	                         	R                      	                  	R                      	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 21	X	 2	  70.00	    181.3600	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                         	-                        	-                           	+                          	                               	                             	                  	+                	                            	-                   	-                       	+                         	-                       	                     	                     	-                                    	-                                    	                    	                    	-                           	                        	                              	                   	                         	                       	-                 	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 21	X	 3	  70.00	    182.8600	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                         	+                        	-                           	+                          	                               	                             	                  	+                	                            	-                   	-                       	+                         	                        	                     	                     	-                                    	-                                    	                    	                    	-                           	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 21	X	 4	  70.00	    184.2200	Chaisson 	Planktonic Foraminifers                      	C              	VG                	-                         	R                        	-                           	R                          	-                              	R                            	                  	F                	                            	-                   	                        	R                         	                        	                     	                     	                                     	                                     	F                   	                    	                            	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 21	X	 5	  70.00	    185.7200	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                         	+                        	-                           	                           	                               	                             	                  	+                	                            	                    	                        	+                         	                        	                     	                     	-                                    	-                                    	R                   	F                   	                            	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 21	X	 6	  70.00	    187.2200	Chaisson 	Planktonic Foraminifers                      	C              	VG                	+                         	+                        	-                           	                           	                               	                             	                  	+                	                            	-                   	                        	+                         	                        	                     	                     	-                                    	-                                    	+                   	+                   	-                           	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 21	X	CC	  31.00	    189.6900	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                         	+                        	-                           	F                          	F                              	-                            	+                 	-                	+                           	                    	                        	                          	                        	                     	R                    	                                     	                                     	+                   	+                   	                            	+                       	+                             	-                  	R                        	R                      	                  	                       	                     	                        	                                	                            	                    	no atlantica  only one limbata probably 2.3 - 2.4 Ma

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 22	X	 1	  85.00	    190.6500	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	                         	-                           	                           	                               	                             	-                 	+                	                            	-                   	                        	+                         	                        	                     	                     	-                                    	-                                    	+                   	+                   	-                           	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1054	A	 22	X	CC	  31.00	    198.7300	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	+                        	-                           	+                          	-                              	+                            	-                 	-                	+                           	-                   	-                       	-                         	F                       	-                    	R                    	                                     	                                     	                    	                    	                            	                        	                              	                   	                         	                       	                  	                       	                     	                        	                                	                            	                    	no atlantica no limbata<2.3 Ma

