Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sentusidinium sp. A	Scriniodinium attadalense	Meiourogonyaulax maculata	Dissimulidinium lobispinosum	Batioladinium spp.	Wallodinium spp.	Tetrachacysta sp. A	Nannoceratopsis pellucida	Leptodinium eumorphum	Egmontodinium torynum	Circulodinium deflandrei	Hystrichodinium oligacanthum	Tubotuberella vlamingii	Peridictyocysta mirabilis	Liesbergia sp. A	Chlamydophorella spp.	Belodinium dysculum	Amphorula sp. A	Wanaea spp.	Pareodinia spp.	Stiphrosphaeridium anthophorum	Meiourogonyaulax stoveri	Bourkidinium spp.	Tetrachacysta sp. B	Fromea cylindrica	Systematophora areolata	Oligosphaeridium diluculum	Meiourogonyaulax diaphanis	Hystrichodinium compactum	Tanyosphaeridium spp.	Gonyaulacysta helicoidea	Apteodinium granulatum	Omatia montgomeryi	Hystrichodinium isodiametricum	Dapsilidinium pastielsii	Rigaudella aemula	Balcattia sp. A	Batioladinium reticulatum	Cymososphaeridium validum	Scriniodinium crystallinum	Exochosphaeridium arnace	Batioladinium micropodum	Yalkalpodinium scutum	Prolixosphaeridium inequiornatum	Oligosphaeridium complex	Muderongia testudinaria	Muderongia australis	Kaiwaradinium scrutillinum	Impagidinium spp.	Dingodinium cerviculum	Cribroperidinium spp.	Circulodinium colliveri	Cassiculosphaeridia magna	Batiacasphaera subtilis	Prolixosphaeridium parvispinum	Phoberocysta neocomica	Spiniferites spp.	Herendeenia postprojecta	Epitricysta vinckensis	Comment

  SR	Hauterivian      	Barremian        	2biii             	              	122	 762	C	 79	X	 3	  90.00	    842.4000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	                     	                     	                        	                            	                       	                         	                	F                    	R                  	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	F                     	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	R                   	C                         	C                	F                     	F                    	C                      	C                        	F                      	F                             	                      	R                	R                       	R                     	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Hauterivian      	Barremian        	2biii             	              	122	 762	C	 79	X	CC	  35.00	    843.0900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	R               	                   	                         	                     	                     	C                       	                            	                       	                         	                	R                    	F                  	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	C                     	                  	R                             	                        	                 	               	                         	                         	                          	R                       	                        	R                    	F                               	                        	                       	                    	F                         	C                	F                     	C                    	C                      	C                        	F                      	R                             	R                     	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Hauterivian      	                 	2div              	              	122	 762	C	 80	X	CC	   2.00	    843.5200	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	                     	                     	C                       	                            	                       	                         	                	F                    	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	F                     	                  	                              	                        	                 	               	                         	                         	                          	R                       	                        	R                    	R                               	F                       	R                      	F                   	F                         	F                	C                     	F                    	C                      	F                        	C                      	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	Valanginian      	4ai-ii            	              	122	 762	C	 81	X	 1	  47.00	    848.9700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	R                        	                         	                            	                  	                	                   	                         	R                    	C                    	                        	                            	R                      	                         	                	C                    	                   	               	           	               	                              	R                       	                 	                   	                 	C                      	                          	                          	                         	R                    	F                       	                      	                  	R                             	                        	                 	               	                         	                         	                          	                        	R                       	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	                 	                 	                  	              	122	 762	C	 81	X	 1	 112.00	    849.6200	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	                     	                     	                        	                            	                       	                         	                	                     	                   	               	           	               	                              	                        	                 	                   	                 	+                      	                          	                          	                         	                     	                        	+                     	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiii             	              	122	 762	C	 81	X	 2	  50.00	    850.5000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	R                        	                         	                            	                  	                	                   	                         	                     	R                    	                        	                            	R                      	                         	                	F                    	                   	               	           	               	R                             	                        	F                	                   	                 	                       	                          	                          	                         	                     	F                       	R                     	                  	C                             	                        	                 	               	R                        	                         	                          	R                       	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiii             	              	122	 762	C	 82	X	 1	  50.00	    854.0000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	+                        	                         	                            	                  	                	                   	                         	                     	+                    	                        	                            	                       	                         	                	+                    	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiii             	              	122	 762	C	 82	X	 2	  92.00	    855.9200	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	+                    	+                    	                        	                            	                       	                         	                	+                    	                   	               	           	               	+                             	                        	                 	                   	                 	+                      	                          	                          	                         	+                    	                        	                      	                  	                              	                        	                 	               	                         	                         	+r                        	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiii             	              	122	 762	C	 82	X	 3	  50.00	    857.0000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	+                    	                     	                        	                            	                       	                         	                	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	+                       	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiii             	              	122	 762	C	 82	X	 4	  16.00	    858.1600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	+                    	                     	                        	                            	                       	                         	                	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	+                       	+                     	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiii             	              	122	 762	C	 83	X	 1	  35.00	    858.8500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	                     	R                    	                        	                            	                       	                         	                	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	F                         	                          	                         	                     	F                       	F                     	                  	F                             	                        	                 	               	F                        	F                        	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiii             	              	122	 762	C	 84	X	 1	  29.00	    863.7900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	R                        	C                        	                            	                  	R               	                   	                         	                     	                     	R                       	                            	                       	                         	                	R                    	                   	               	           	               	                              	                        	                 	                   	                 	                       	F                         	                          	F                        	F                    	R                       	F                     	                  	                              	                        	                 	               	R                        	R                        	rR                        	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiii             	              	122	 762	C	 85	X	 1	  59.00	    873.5900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	C                        	                            	                  	                	F                  	                         	R                    	                     	R                       	                            	                       	                         	                	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	C                       	R                     	                  	                              	                        	                 	               	                         	R                        	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiii             	              	122	 762	C	 85	X	 2	  35.00	    874.8500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	A                        	                            	R                 	                	R                  	                         	F                    	                     	                        	                            	                       	                         	                	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	R                        	R                    	                        	F                     	                  	F                             	                        	                 	               	F                        	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiv              	              	122	 762	C	 86	X	 1	 112.00	    883.6200	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	C                           	F                 	                	                   	                         	                     	                     	                        	                            	                       	                         	F               	R                    	                   	               	           	               	                              	                        	F                	                   	                 	                       	                          	                          	F                        	F                    	                        	                      	                  	                              	                        	R                	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiv              	              	122	 762	C	 86	X	 2	  20.00	    884.2000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	+                        	                         	+                           	                  	                	                   	                         	+                    	                     	                        	                            	                       	                         	                	                     	+                  	               	           	               	                              	                        	+                	                   	+                	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiv              	              	122	 762	C	 86	X	 3	  82.00	    886.3200	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	R               	                   	                         	R                    	                     	                        	                            	                       	                         	C               	                     	                   	               	           	               	                              	                        	C                	                   	                 	                       	                          	                          	                         	                     	                        	                      	                  	F                             	                        	                 	R              	R                        	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4aiv              	              	122	 762	C	 86	X	 4	  18.00	    887.1800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	                     	                     	                        	                            	                       	                         	C               	                     	                   	               	           	               	                              	                        	C                	                   	                 	                       	                          	                          	                         	C                    	                        	                      	                  	                              	                        	                 	               	R                        	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	                 	                 	                  	              	122	 762	C	 87	X	 1	 115.00	    893.1500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	                     	                     	                        	                            	                       	                         	+               	                     	                   	               	           	               	                              	                        	+                	                   	                 	                       	                          	                          	                         	                     	                        	+                     	                  	+                             	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	                 	                 	                  	              	122	 762	C	 88	X	 1	  19.00	    901.6900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	                            	                  	                	                   	                         	+                    	                     	                        	                            	                       	                         	+               	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	+                         	                         	+                    	                        	                      	                  	                              	                        	+                	+              	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 88	X	 2	 116.00	    904.1600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	R                        	                         	C                           	F                 	                	R                  	                         	                     	                     	                        	                            	                       	F                        	F               	R                    	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	R                     	                  	                              	                        	F                	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 88	X	 3	  19.00	    904.6900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	C                           	                  	                	F                  	                         	                     	                     	                        	                            	                       	C                        	F               	                     	                   	               	           	F              	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	R                     	                  	F                             	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 88	X	 4	 113.00	    907.1300	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	+                        	+                           	                  	                	+                  	                         	                     	                     	+                       	                            	                       	                         	+               	                     	                   	               	+r         	               	                              	                        	+                	                   	                 	                       	                          	                          	                         	                     	+                       	                      	+r                	+                             	+r                      	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 88	X	 5	  19.00	    907.6900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	+                        	+                           	                  	                	+                  	                         	                     	                     	+                       	                            	                       	                         	+               	                     	+                  	               	           	               	                              	                        	+                	                   	                 	                       	                          	                          	                         	                     	+                       	+                     	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 88	X	 6	 127.00	    910.2700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	                         	+                           	                  	                	                   	                         	                     	                     	                        	+                           	                       	                         	                	                     	+                  	+              	           	               	                              	                        	                 	+                  	                 	                       	                          	                          	                         	+                    	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 89	X	 1	  80.00	    911.8000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	+                        	+                        	+                           	                  	                	                   	                         	                     	                     	                        	+                           	                       	                         	+               	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 89	X	 2	  19.00	    912.6900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	R                        	F                        	F                           	F                 	                	                   	                         	F                    	                     	                        	C                           	                       	                         	F               	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	R                         	                          	F                        	R                    	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 89	X	 3	  85.00	    914.8500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	R                        	F                           	F                 	                	F                  	                         	R                    	R                    	                        	C                           	                       	F                        	                	                     	                   	               	           	               	                              	F                       	                 	R                  	                 	R                      	R                         	R                         	R                        	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 89	X	 4	  19.00	    915.6900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	F                        	F                        	F                           	                  	                	                   	                         	R                    	                     	                        	C                           	                       	F                        	R               	                     	                   	R              	           	               	R                             	R                       	R                	R                  	F                	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 89	X	 5	  19.00	    917.1900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	C                  	                         	C                        	F                           	R                 	                	                   	                         	R                    	                     	                        	F                           	                       	F                        	                	F                    	                   	               	           	               	R                             	F                       	R                	R                  	R                	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 90	X	 1	  19.00	    920.6900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	C                  	F                        	F                        	C                           	F                 	R               	C                  	                         	                     	                     	                        	C                           	                       	C                        	F               	                     	R                  	R              	           	               	R                             	R                       	R                	                   	                 	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 90	X	 2	  19.00	    922.1900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	F                  	                         	F                        	F                           	R                 	                	                   	                         	                     	                     	                        	C                           	                       	                         	F               	                     	                   	               	rF         	R              	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 90	X	 3	  19.00	    923.6900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                         	C                        	F                           	F                 	                	R                  	R                        	R                    	                     	                        	F                           	R                      	R                        	F               	R                    	F                  	R              	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 90	X	 4	  92.00	    925.9200	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                  	                         	+                        	+                           	                  	                	                   	                         	+                    	                     	                        	+                           	                       	                         	                	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 91	X	 1	 109.00	    931.0900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                  	+                        	+                        	+                           	+                 	+               	+                  	+                        	+                    	+                    	+                       	                            	                       	                         	                	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

  SR	Berriasian       	                 	4bi               	              	122	 762	C	 91	X	 2	  15.00	    931.6500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                  	+                        	+                        	+                           	+                 	                	                   	                         	                     	                     	                        	                            	                       	                         	                	                     	                   	               	           	               	                              	                        	                 	                   	                 	                       	                          	                          	                         	                     	                        	                      	                  	                              	                        	                 	               	                         	                         	                          	                        	                        	                     	                                	                        	                       	                    	                          	                 	                      	                     	                       	                         	                       	                              	                      	                 	                        	                      	from ODP Leg 122 SR Chapter 31 Figure 3 p 514

