Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Vekshinella stradnerii,Tranolithus phacelosus,Seribiscutum primitivum,Rhagodiscus splendens,Repagalum parvidentatum,Reinhardtites anthophorus,Prediscosphaera cretacea,Micula decussata,Helicolithus trabeculatus,Glaukolithus compactus,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus eximius,Chiastozygus litterarius,Biscutum constans,Aspidolithus parcus expansus,Ahmuellerella octoradiata,Stradneria crenulata,Cribrosphaerella ehrenbergii,Broinsonia dentata,Aspidolithus parcus parcus,Kamptnerius magnificus,Reinhardtites levis,Neocrepidolithus watkinsii,Watznaueria supracretacea,Coccolith species B,Biscutum coronum,Placozygus sigmoides,Lucianorhabdus cayeuxii,Cretarhabdus sp. cf. C. conicus,Chiastozygus garrisonii,Bidiscus rotatorius,Arkhangelskiella specillata,Lapideacassis mariae,Placozygus fibuliformis,Prediscosphaera spinosa,Vekshinella dibrachiata,Arkhangelskiella cymbiformis,Vekshinella sp. cf. V. parma,Sollasites lowei,Coccolith species I,Prediscosphaera arkhangelskyi,Gephyrorhabdus coronadventis,Misceomarginatus pleniporus,Cretarhabdus conicus,Monomarginatus spp.,Biscutum dissimilis,Octocyclus reinhardtii,Lithraphidites carniolensis,Prediscosphaera stoveri,Biscutum magnum,Vekshinella parma,Scampanella magnifica,Octolithus multiplus,Nephrolithus corystus,Cribrosphaerella daniae,Acuturris scotus,Nephrolithus frequens miniporus,Nephrolithus frequens,Biscutum notaculum,Rhagodiscus angustus,Toweius tovae,Toweius pertusus,Toweius eminens,Sphenolithus primus,Scampanella sp.,Prinsius martinii,Prinsius bisulcus,Neochiastozygus junctus,Neochiastozygus distentus,Neochiastozygus chiastus,Markalius inversus,Heliolithus kleinpellii,Heliolithus conicus,Heliolithus cantabriae,Fasciculithus tympaniformis,Discoaster elegans,Chiasmolithus danicus,Chiasmolithus consuetus,Braarudosphaera bigelowii,Neochiastozygus cearae,Ellipsolithus bollii,Discoaster mohleri,Cruciplacolithus tenuis,Chiasmolithus bidens,Zygodiscus adamas,Ericsonia subpertusa,Biantholithus sparsus,Zygrhablithus bijugatus,Neochiastozygus concinnus,Heliolithus universus,Ellipsolithus distichus,Discoaster multiradiatus,Discoaster delicatus,Coccolithus pelagicus,Semihololithus kerabyi,Ellipsolithus macellus,Heliolithus megastypus,Discoaster nobilis,Discoaster lenticularis,Zygodiscus plectopons,Toweius callosus,Neocrepidolithus bukryi,Neococcolithes protenus,Pontosphaera versa,Neococcolithes dubius,Discoaster falcatus,Discoaster diastypus,Chiasmolithus solitus,Tribrachiatus orthostylus,Toweius magnicrassus,Sphenolithus radians,Discoaster kuepperi,Discoaster gemmeus,Pontosphaera fimbriata,Lophodolithus nascens,Chiasmolithus expansus,Micrantholithus vesper,Chiasmolithus eograndis,Ericsonia formosa,Discoaster lodoensis,Discoaster barbadiensis,Chiasmolithus grandis,Reticulofenestra prebisecta,Discoaster cruciformis,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Discoaster binodosus,Reticulofenestra hampdenensis,Reticulofenestra hillae,Pontosphaera multipora,Discoaster saipanensis,Discoaster distinctus,Reticulofenestra pseudogammation,Sphenolithus moriformis,Reticulofenestra floridana,Coccolithus eopelagicus,Blackites tenuis,Reticulofenestra umbilica,Reticulofenestra samodurovii,Discoaster tanii nodifer,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 32,R, 1,  51.00,    455.0100,Watkins  ,Nannofossils                                 ,R              ,M                 ,                    ,                      ,                      ,                       ,                     ,F                      ,                         ,                        ,R               ,                         ,                      ,F                  ,F                          ,                    ,                        ,F                ,                            ,F                        ,                    ,R                           ,                  ,                          ,F                     ,R                  ,                          ,                         ,                   ,F               ,                    ,                       ,R                              ,F                      ,                   ,R                          ,                    ,                       ,R                      ,                       ,                            ,                            ,                ,                   ,F                            ,                            ,                           ,                    ,R                  ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 34,R,CC,  16.00,    475.0800,Watkins  ,Nannofossils                                 ,VR             ,M                 ,R                   ,F                     ,R                     ,                       ,                     ,F                      ,                         ,R                       ,                ,                         ,                      ,R                  ,R                          ,                    ,                        ,R                ,                            ,R                        ,R                   ,                            ,                  ,                          ,R                     ,R                  ,R                         ,                         ,                   ,F               ,                    ,                       ,R                              ,R                      ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,R                  ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 35,R, 1,   0.00,    483.0000,Watkins  ,Nannofossils                                 ,R              ,M                 ,                    ,F                     ,R                     ,                       ,                     ,C                      ,                         ,R                       ,                ,                         ,                      ,F                  ,F                          ,                    ,                        ,F                ,                            ,R                        ,                    ,R                           ,                  ,                          ,F                     ,                   ,R                         ,                         ,                   ,R               ,R                   ,                       ,                               ,R                      ,                   ,                           ,                    ,                       ,R                      ,R                      ,                            ,                            ,                ,                   ,F                            ,                            ,                           ,R                   ,                   ,R                  ,R                     ,R                          ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 36,R, 1,  20.00,    492.7000,Watkins  ,Nannofossils                                 ,F              ,M                 ,F                   ,F                     ,                      ,                       ,                     ,C                      ,                         ,F                       ,                ,                         ,                      ,F                  ,F                          ,                    ,                        ,F                ,                            ,F                        ,                    ,                            ,                  ,                          ,F                     ,F                  ,                          ,                         ,                   ,F               ,R                   ,                       ,                               ,R                      ,                   ,R                          ,                    ,                       ,F                      ,                       ,                            ,                            ,                ,                   ,F                            ,                            ,R                          ,R                   ,R                  ,R                  ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 36,R, 1, 114.00,    493.6400,Watkins  ,Nannofossils                                 ,VR             ,M-P               ,R                   ,                      ,                      ,                       ,                     ,F                      ,                         ,                        ,                ,                         ,                      ,R                  ,R                          ,                    ,                        ,                 ,                            ,                         ,                    ,                            ,                  ,                          ,R                     ,                   ,                          ,                         ,                   ,R               ,                    ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,R                      ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 36,R, 2, 115.00,    495.1500,Watkins  ,Nannofossils                                 ,R              ,M-P               ,R                   ,R                     ,                      ,                       ,                     ,R                      ,                         ,R                       ,                ,R                        ,                      ,R                  ,R                          ,                    ,                        ,R                ,                            ,R                        ,                    ,                            ,                  ,                          ,R                     ,                   ,R                         ,                         ,                   ,R               ,                    ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,R                      ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 37,R,CC,  11.00,    505.2000,Watkins  ,Nannofossils                                 ,R              ,M                 ,F                   ,                      ,F                     ,                       ,                     ,C                      ,                         ,F                       ,                ,                         ,                      ,F                  ,F                          ,                    ,                        ,F                ,                            ,                         ,                    ,R                           ,                  ,                          ,F                     ,R                  ,R                         ,                         ,                   ,R               ,                    ,                       ,                               ,R                      ,                   ,F                          ,                    ,                       ,F                      ,                       ,R                           ,                            ,                ,                   ,F                            ,                            ,R                          ,F                   ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 38,R, 2,  25.00,    513.2500,Watkins  ,Nannofossils                                 ,               ,                  ,                    ,R                     ,                      ,                       ,                     ,R                      ,                         ,                        ,                ,                         ,                      ,R                  ,                           ,                    ,                        ,                 ,                            ,                         ,                    ,                            ,                  ,                          ,                      ,R                  ,                          ,                         ,                   ,                ,                    ,                       ,                               ,                       ,                   ,                           ,                    ,                       ,                       ,                       ,                            ,                            ,                ,                   ,                             ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 39,R, 1,  63.00,    521.6300,Watkins  ,Nannofossils                                 ,R              ,M                 ,F                   ,                      ,R                     ,                       ,                     ,C                      ,                         ,R                       ,                ,                         ,                      ,F                  ,R                          ,                    ,                        ,                 ,                            ,R                        ,                    ,                            ,                  ,                          ,F                     ,R                  ,R                         ,                         ,                   ,R               ,R                   ,                       ,                               ,R                      ,                   ,                           ,                    ,                       ,R                      ,                       ,R                           ,                            ,                ,                   ,R                            ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 39,R, 2, 137.00,    523.8700,Watkins  ,Nannofossils                                 ,R              ,M-G               ,F                   ,                      ,R                     ,                       ,                     ,A                      ,                         ,F                       ,                ,                         ,R                     ,R                  ,R                          ,                    ,                        ,F                ,                            ,F                        ,                    ,R                           ,                  ,                          ,F                     ,F                  ,R                         ,                         ,                   ,R               ,R                   ,                       ,                               ,R                      ,                   ,F                          ,                    ,                       ,                       ,R                      ,F                           ,                            ,                ,R                  ,R                            ,R                           ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 39,R,CC,  31.00,    524.2400,Watkins  ,Nannofossils                                 ,F              ,M-G               ,F                   ,F                     ,R                     ,                       ,                     ,A                      ,                         ,F                       ,R               ,                         ,F                     ,F                  ,R                          ,                    ,                        ,F                ,                            ,R                        ,                    ,R                           ,                  ,                          ,F                     ,F                  ,                          ,                         ,                   ,F               ,                    ,                       ,                               ,F                      ,R                  ,F                          ,                    ,R                      ,                       ,                       ,F                           ,                            ,                ,R                  ,F                            ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 40,R, 1,  17.00,    530.6700,Watkins  ,Nannofossils                                 ,F              ,M-G               ,F                   ,                      ,R                     ,                       ,                     ,A                      ,                         ,R                       ,                ,                         ,F                     ,F                  ,R                          ,                    ,                        ,F                ,                            ,F                        ,                    ,                            ,                  ,                          ,C                     ,F                  ,R                         ,                         ,                   ,R               ,R                   ,                       ,R                              ,F                      ,R                  ,F                          ,                    ,                       ,                       ,R                      ,F                           ,R                           ,                ,R                  ,F                            ,R                           ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 748,C, 40,R, 1,  57.00,    531.0700,Watkins  ,Nannofossils                                 ,F              ,M-G               ,F                   ,                      ,F                     ,                       ,                     ,A                      ,                         ,F                       ,                ,                         ,R                     ,                   ,                           ,                    ,R                       ,F                ,R                           ,R                        ,R                   ,                            ,                  ,R                         ,F                     ,F                  ,R                         ,                         ,                   ,F               ,R                   ,R                      ,                               ,                       ,R                  ,                           ,                    ,                       ,R                      ,R                      ,F                           ,                            ,                ,R                  ,F                            ,                            ,                           ,                    ,                   ,                   ,                      ,                           ,                       ,               ,                 ,                     ,                    ,                     ,                       ,                ,                               ,                     ,                  ,                    ,             ,                ,               ,                   ,               ,                 ,                 ,                       ,                         ,                        ,                  ,                       ,                   ,                      ,                           ,                  ,                     ,                       ,                         ,                      ,                    ,                  ,                       ,                    ,                 ,                    ,                     ,                       ,                         ,                     ,                       ,                        ,                    ,                     ,                      ,                      ,                      ,                  ,                       ,                     ,                ,                       ,                       ,                  ,                     ,                   ,                    ,                     ,                         ,                    ,                    ,                   ,                  ,                      ,                     ,                      ,                      ,                       ,                 ,                    ,                       ,                     ,                           ,                      ,                         ,                                 ,                    ,                             ,                       ,                      ,                      ,                     ,                                ,                       ,                          ,                       ,                ,                         ,                            ,                        ,from ODP Leg 120 SR Vol 1 Chapter 21 Table 2 p 350-351
