Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerinelloides multispinus,Heterohelix globulosa,Hedbergella aff. monmouthensis,Hedbergella sp.,Heterohelix planata,Subbotina varianta,Subbotina sp.,Chiloguembelina sp.,Acarinina mckannai,Subbotina triloculinoides,Igorina pusilla,Acarinina esnaensis,Acarinina sp.,Globanomalina pseudomenardii,Globanomalina chapmani,Subbotina velascoensis,Subbotina triangularis,Subbotina quadrata,Morozovella tadjikistanensis,Igorina convexa,Igorina albeari,Acarinina acarinata,Acarinina soldadoensis,Planorotalites australiformis,Chiloguembelina wilcoxensis,Acarinina primitiva,Subbotina patagonica,Morozovella subbotinae,Morozovella gracilis,Acarinina wilcoxensis,Acarinina pseudotopilensis,Subbotina inaequispira,Pseudohastigerina wilcoxensis,Morozovella lensiformis,Igorina broedermanni,Acarinina pentacamerata,Acarinina angulosa,Morozovella aragonensis,Acarinina bullbrooki,Subbotina frontosa,Pseudohastigerina micra,Globigerinatheka senni,Subbotina linaperta,Subbotina angiporoides,Morozovella spinulosa,Globorotaloides turgida,Globigerinatheka index,Chiloguembelina cubensis,Acarinina spinuloinflata,Acarinina collactea,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P3                ,P4            ,120, 748,C, 17,R,CC,   7.00,    320.5700,Berggren ,Planktonic Foraminifers                      ,F              ,P                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,+                  ,                  ,                         ,               ,                   ,             ,                            ,                      ,+                     ,+                     ,                  ,                            ,               ,               ,+                  ,+                     ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,Zone P3 uncertain; from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P3                ,P4            ,120, 748,C, 19,R,CC,  12.00,    331.4900,Berggren ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,+                  ,                  ,                         ,               ,+                  ,             ,                            ,                      ,+                     ,+                     ,                  ,                            ,               ,               ,+                  ,+                     ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,Zone P3 uncertain; from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P3                ,P4            ,120, 748,C, 20,R, 1,   1.00,    340.5100,Berggren ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,+                  ,                  ,                         ,               ,                   ,             ,                            ,                      ,+                     ,+                     ,+                 ,+                           ,+              ,+              ,+                  ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,Zone P3 uncertain; from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P3                ,P4            ,120, 748,C, 21,R,CC,  12.00,    351.0200,Berggren ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                     ,                              ,               ,                   ,                  ,+            ,+                  ,                  ,                         ,               ,                   ,+            ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,Zone P3 uncertain; from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P3                ,P4            ,120, 748,C, 22,R, 1,  40.00,    359.9000,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                              ,                     ,                              ,               ,                   ,                  ,+            ,+                  ,                  ,                         ,+              ,                   ,+            ,+                           ,+                     ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,Zone P3 uncertain; from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
