Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma	Neogloboquadrina dutertrei	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia scitula	Globorotalia hirsuta	Globorotalia crassaformis hessi	Globorotalia crassaformis	Globorotalia conglomerata	Globorotalia aequilaterus	Globoconella inflata	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides ruber (pink)	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides immaturus	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Sphaeroidinella dehiscens	Globorotalia menardii	Globorotalia tosaensis	Globorotalia inflata	Comment
  IR	                 	Pleistocene      	                  	              	175	1075	A	  7	H	CC	  15.00	     59.0500	Christensen	Planktonic Foraminifers                      	C              	M                 	1                           	5                	-                                      	D53                        	+                         	-                  	                             	3                   	                    	-                              	7                        	-                        	-                        	                    	                        	1                         	1                           	A12                  	-                            	6                        	                       	                       	-                    	2                        	                     	-                     	5                   	fragments are common and many of the speciments are broken; it is probably a dissolution fauna since there aren't that many ruber

  IR	                 	                 	                  	              	175	1075	A	  8	H	CC	  22.00	     68.7500	Christensen	Planktonic Foraminifers                      	               	                  	1                           	A29              	1                                      	D51                        	4                         	10                 	-                            	-                   	-                   	-                              	-                        	-                        	6                        	8                   	-                       	1                         	2                           	12                   	-                            	-                        	-                      	                       	A20                  	                         	                     	                      	                    	       

  IR	                 	Pleistocene      	                  	              	175	1075	A	  9	H	CC	  26.00	     78.2700	Christensen	Planktonic Foraminifers                      	               	                  	-                           	D31              	-                                      	A12                        	A11                       	-                  	-                            	-                   	-                   	-                              	-                        	1                        	1                        	1                   	-                       	1                         	0                           	7                    	5                            	-                        	-                      	                       	A10                  	                         	                     	                      	                    	       

  IR	                 	Pleistocene      	                  	              	175	1075	A	 10	H	CC	  26.00	     87.8100	Christensen	Planktonic Foraminifers                      	               	                  	4                           	9                	-                                      	A25                        	2                         	1                  	-                            	-                   	-                   	-                              	1                        	1                        	10                       	-                   	A43                     	5                         	-                           	A41                  	-                            	-                        	-                      	                       	-                    	2                        	3                    	                      	                    	       

  IR	                 	                 	                  	              	175	1075	A	 12	H	CC	  28.00	    106.8400	Christensen	Planktonic Foraminifers                      	               	                  	2                           	A11              	-                                      	A19                        	4                         	-                  	-                            	1                   	-                   	-                              	-                        	-                        	2                        	-                   	A14                     	1                         	1                           	A9                   	-                            	-                        	1                      	1                      	A15                  	                         	                     	                      	                    	       

  IR	                 	Pleistocene      	                  	              	175	1075	A	 13	H	CC	  18.00	    116.1900	Christensen	Planktonic Foraminifers                      	F              	                  	1                           	D27              	3                                      	A10                        	A5                        	-                  	-                            	-                   	-                   	-                              	2                        	-                        	-                        	A14                 	-                       	-                         	-                           	-                    	-                            	-                        	-                      	                       	2                    	                         	                     	                      	                    	dissolution

  IR	                 	                 	                  	              	175	1075	A	 14	H	CC	  29.00	    125.7600	Christensen	Planktonic Foraminifers                      	               	                  	4                           	A10              	1                                      	-                          	-                         	-                  	-                            	-                   	-                   	-                              	D33                      	-                        	-                        	-                   	4                       	-                         	-                           	2                    	-                            	-                        	-                      	                       	4                    	                         	                     	                      	                    	       

  IR	                 	                 	                  	              	175	1075	A	 16	H	CC	  19.00	    144.4900	Christensen	Planktonic Foraminifers                      	T              	P                 	-                           	A4               	1                                      	D17                        	-                         	1                  	-                            	-                   	-                   	-                              	-                        	-                        	-                        	A4                  	1                       	-                         	-                           	-                    	1                            	-                        	1                      	-                      	1                    	                         	                     	                      	                    	dissolution fauna (resistant forms are concentrated)

