Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella spp.	Pyrgo spp.	Oridorsalis umbonatus	Nuttallides umbonifera	Melonis sp.	Melonis pompilioides	Melonis barleeanus	Globobulimina affinis	Fontbotia wuellerstorfi	Epistominella exigua	Pullenia bulloides	Uvigerina auberiana	Nodosaria spp.	Gyroidinoides spp.	Valvulineria laevigata	Nonionella atlantica	Lagena spp.	Chilostomella oolina	Bolivina pseudopunctata	Globocassidulina subglobosa	Eggerella bradyi	Uvigerina peregrina	Bolivina paula	Comment
  IR	                 	                 	                  	              	172	1062	A	  9	H	CC	  40.00	     78.3400	Poli     	Benthic Foraminifers                         	F              	M                 	                  	R         	F                    	                      	           	F                   	                  	                     	R                      	F                   	R                 	                   	              	                  	                      	                    	           	                    	                       	                           	R               	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	 10	H	CC	  57.00	     88.0700	Poli     	Benthic Foraminifers                         	F              	M                 	                  	R         	R                    	C                     	T          	R                   	                  	                     	R                      	C                   	                  	                   	              	                  	                      	                    	           	                    	                       	T                          	                	T                  	              	       

  IR	                 	                 	                  	              	172	1062	A	 11	H	CC	  28.00	     97.5600	Poli     	Benthic Foraminifers                         	R              	M                 	                  	          	                     	+                     	           	                    	                  	                     	                       	                    	+                 	                   	              	+                 	                      	                    	           	                    	                       	+                          	+               	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	 12	H	CC	  17.00	    106.6400	Poli     	Benthic Foraminifers                         	F              	M                 	F                 	          	R                    	F                     	F          	                    	                  	T                    	                       	                    	F                 	                   	              	                  	                      	                    	           	                    	                       	T                          	T               	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	 13	H	CC	   0.00	    115.6600	Poli     	Benthic Foraminifers                         	R              	M                 	F                 	F         	R                    	F                     	           	                    	R                 	R                    	                       	                    	                  	                   	              	                  	                      	                    	           	                    	                       	T                          	T               	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	 14	H	CC	  14.00	    124.1600	Poli     	Benthic Foraminifers                         	R              	M                 	F                 	          	                     	F                     	           	F                   	                  	                     	                       	                    	                  	                   	              	                  	                      	                    	           	T                   	                       	                           	                	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	 15	H	CC	   0.00	    135.1700	Poli     	Benthic Foraminifers                         	R              	M                 	F                 	          	                     	T                     	F          	                    	C                 	                     	                       	                    	                  	T                  	R             	                  	T                     	F                   	R          	T                   	R                      	                           	                	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	 16	H	CC	  35.00	    144.5500	Poli     	Benthic Foraminifers                         	R              	M                 	R                 	          	T                    	F                     	           	                    	F                 	                     	R                      	                    	                  	                   	              	                  	                      	                    	           	                    	                       	                           	                	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	 17	H	CC	   0.00	    153.9100	Poli     	Benthic Foraminifers                         	F              	M                 	F                 	          	                     	F                     	           	                    	F                 	                     	                       	                    	F                 	R                  	R             	R                 	                      	                    	           	                    	                       	                           	                	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	 18	H	CC	   0.00	    163.4000	Poli     	Benthic Foraminifers                         	F              	M                 	F                 	          	                     	R                     	           	F                   	C                 	                     	                       	                    	F                 	                   	              	                  	                      	                    	           	                    	                       	                           	                	                   	              	       

  IR	                 	                 	                  	              	172	1062	A	 20	H	CC	  33.00	    180.6400	Poli     	Benthic Foraminifers                         	F              	M                 	F                 	R         	R                    	F                     	R          	C                   	R                 	T                    	C                      	F                   	                  	                   	              	                  	                      	                    	           	                    	                       	                           	                	                   	              	       

