Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira trifulta	Thalassiosira oestrupii	Thalassiosira nordenskioeldii	Thalassiosira nidulus	Rhizosolenia hebetata f. hebetata	Proboscia curvirostris	Paralia sulcata	Neodenticula seminae	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Actinocyclus curvatulus	Thalassiosira gravida vegetative	Thalassiosira gravida spore	Rhizosolenia hebetata f. semispina	Coscinodiscus asteromphalus	Thalassiosira decipiens	Pseudoeunotia doliolus	Porosira glacialis	Nitzschia grunowii	Navicula spp.	Bacterosira fragilis	Thalassiosira hyalina	Stephanopyxis turris	Rhizosolenia styliformis	Biddulphia spp.	Thalassiosira anguste-lineata	Nitzschia cylindrica	Comment
  SR	                 	                 	                  	              	152	 919	B	  5	H	 6	  36.00	    116.8600	Koc      	Diatoms                                      	A              	M                 	F                        	                      	C                      	                             	F                    	F                                	R                     	               	                    	R                       	A                                	F                      	F                               	C                          	F                                 	                           	                       	                      	R                 	F                 	             	                    	                     	F                   	R                       	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  5	H	 7	  42.00	    117.9200	Koc      	Diatoms                                      	C              	M                 	F                        	                      	C                      	                             	R                    	R                                	R                     	               	                    	R                       	F                                	F                      	C                               	R                          	R                                 	                           	                       	                      	                  	                  	             	                    	                     	F                   	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  6	H	 1	  37.00	    118.8700	Koc      	Diatoms                                      	A              	M                 	C                        	R                     	F                      	                             	R                    	R                                	R                     	               	                    	                        	A                                	F                      	F                               	C                          	F                                 	R                          	                       	                      	                  	                  	             	                    	                     	F                   	R                       	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  6	H	 2	  42.00	    120.4200	Koc      	Diatoms                                      	R              	P                 	R                        	                      	R                      	                             	                     	                                 	                      	               	                    	                        	R                                	R                      	                                	                           	R                                 	                           	                       	                      	                  	                  	             	                    	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  6	H	 4	  40.00	    123.4000	Koc      	Diatoms                                      	F              	P                 	R                        	                      	                       	                             	                     	                                 	                      	               	                    	                        	F                                	F                      	R                               	R                          	F                                 	                           	                       	                      	                  	                  	             	R                   	R                    	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  6	H	 5	  40.00	    124.9000	Koc      	Diatoms                                      	A              	M                 	F                        	F                     	                       	                             	C                    	C                                	F                     	R              	                    	F                       	C                                	C                      	C                               	C                          	C                                 	                           	                       	                      	F                 	                  	             	                    	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  6	H	 6	  42.00	    126.4200	Koc      	Diatoms                                      	C              	M                 	F                        	R                     	F                      	R                            	R                    	F                                	F                     	               	                    	F                       	C                                	C                      	C                               	C                          	C                                 	                           	                       	                      	F                 	R                 	R            	R                   	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  7	H	 6	  40.00	    135.9000	Koc      	Diatoms                                      	R              	P                 	                         	                      	                       	                             	                     	                                 	                      	R              	                    	                        	                                 	                       	                                	                           	                                  	                           	                       	                      	                  	                  	             	                    	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  7	H	 7	  40.00	    137.4000	Koc      	Diatoms                                      	R              	P                 	                         	R                     	                       	                             	                     	                                 	                      	               	R                   	                        	R                                	                       	                                	                           	                                  	                           	                       	                      	                  	                  	             	                    	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  8	H	 1	  95.00	    138.4500	Koc      	Diatoms                                      	C              	M                 	R                        	                      	                       	                             	R                    	                                 	F                     	               	F                   	R                       	C                                	C                      	F                               	                           	F                                 	                           	R                      	                      	R                 	                  	             	                    	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  8	H	 2	  75.00	    139.7500	Koc      	Diatoms                                      	C              	M                 	R                        	F                     	F                      	                             	F                    	                                 	R                     	R              	C                   	R                       	C                                	F                      	F                               	R                          	                                  	                           	R                      	R                     	                  	                  	             	                    	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  8	H	 4	  43.00	    142.4300	Koc      	Diatoms                                      	R              	P                 	R                        	                      	                       	                             	                     	                                 	                      	               	                    	                        	R                                	R                      	                                	                           	                                  	                           	                       	                      	                  	                  	             	                    	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  8	H	 5	  20.00	    143.7000	Koc      	Diatoms                                      	C              	M                 	R                        	C                     	F                      	                             	R                    	                                 	R                     	               	F                   	R                       	C                                	C                      	F                               	R                          	F                                 	R                          	                       	                      	                  	                  	             	                    	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	B	  8	H	 7	  18.00	    146.6800	Koc      	Diatoms                                      	F              	P                 	F                        	R                     	R                      	R                            	R                    	R                                	R                     	R              	F                   	F                       	F                                	F                      	                                	                           	                                  	                           	                       	                      	                  	                  	             	                    	                     	                    	                        	               	                             	                    	From Leg 152  sr; Ch 15; Table 1; p 212-213

