Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceratium pileus,Thalassiosira oestrupii,Thalassionema nitzschioides,Coscinodiscus marginatus,Cestodiscus pulchellus,Actinoptychus senarius,Thalassiothrix longissima,Rossiella paleacea,Nitzschia reinholdii,Nitzschia miocenica,Nitzschia marina,Thalassiosira praeconvexa,Hemidiscus cuneiformis,Azpeitia nodulifera,Actinocyclus ellipticus var. javanica,Actinocyclus ellipticus,Thalassiosira yabei,Coscinodiscus lewisianus,Actinocyclus moronensis,Thalassiosira convexa var. aspinosa,Asteromphalus elegans,Thalassiosira tappanae,Thalassiosira miocenica,Actinocyclus ingens,Actinocyclus ellipticus f. lanceolata,Nitzschia praedim*,Comment
  IR,                 ,                 ,                  ,              ,170,1041,B,  5,R,CC,  19.00,    200.4400,White    ,Diatoms                                      ,R              ,P                 ,                  ,                       ,                           ,                        ,                      ,R                     ,                         ,                  ,                    ,                   ,                ,                         ,                      ,                   ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1041,B,  6,R,CC,  12.00,    208.6700,White    ,Diatoms                                      ,F              ,M                 ,                  ,F                      ,                           ,                        ,                      ,R                     ,                         ,                  ,                    ,                   ,                ,                         ,                      ,F                  ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 13B       ,170,1041,B,  7,R,CC,  13.00,    219.9100,White    ,Diatoms                                      ,C              ,M                 ,rR                ,F                      ,R                          ,                        ,rR                    ,                      ,                         ,                  ,F                   ,                   ,R               ,                         ,R                     ,F                  ,rR                                   ,                       ,                   ,                        ,                       ,                                   ,R                    ,                      ,R                      ,                   ,                                     ,rR                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 13B       ,170,1041,B,  8,R,CC,  15.00,    226.5900,White    ,Diatoms                                      ,F              ,P                 ,rR                ,R                      ,R                          ,                        ,rR                    ,R                     ,                         ,                  ,rR                  ,R                  ,R               ,                         ,                      ,F                  ,                                     ,                       ,                   ,                        ,rR                     ,R                                  ,                     ,rR                    ,R                      ,rR                 ,rR                                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 13B       ,170,1041,B,  9,R,CC,   9.00,    236.6100,White    ,Diatoms                                      ,C              ,M                 ,                  ,R                      ,F                          ,                        ,                      ,R                     ,F                        ,                  ,F                   ,F                  ,                ,                         ,                      ,F                  ,                                     ,                       ,                   ,                        ,                       ,F                                  ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 13B       ,170,1041,B, 10,R,CC,  12.00,    247.5600,White    ,Diatoms                                      ,C              ,M                 ,rR                ,R                      ,R                          ,                        ,                      ,R                     ,R                        ,                  ,                    ,F                  ,R               ,F                        ,R                     ,R                  ,                                     ,                       ,                   ,                        ,rR                     ,F                                  ,R                    ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 13B       ,170,1041,B, 11,R,CC,  38.00,    258.0300,White    ,Diatoms                                      ,C              ,M                 ,rR                ,F                      ,R                          ,                        ,                      ,R                     ,F                        ,                  ,R                   ,F                  ,R               ,F                        ,R                     ,F                  ,                                     ,                       ,rR                 ,                        ,rR                     ,F                                  ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 13B       ,170,1041,B, 12,R,CC,  86.00,    268.0800,White    ,Diatoms                                      ,C              ,P                 ,rR                ,R                      ,R                          ,                        ,rR                    ,R                     ,R                        ,                  ,R                   ,F                  ,R               ,F                        ,R                     ,R                  ,rR                                   ,                       ,rR                 ,rR                      ,rR                     ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 12A       ,170,1041,B, 13,R,CC,  21.00,    275.2100,White    ,Diatoms                                      ,F              ,P                 ,                  ,R                      ,                           ,                        ,rR                    ,R                     ,R                        ,                  ,                    ,F                  ,R               ,R                        ,R                     ,R                  ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 12A       ,170,1041,B, 14,R,CC,  10.00,    285.1900,White    ,Diatoms                                      ,F              ,P                 ,                  ,                       ,R                          ,R                       ,                      ,                      ,R                        ,                  ,                    ,R                  ,                ,                         ,                      ,R                  ,                                     ,rR                     ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 12A       ,170,1041,B, 15,R,CC,   0.00,    290.3900,White    ,Diatoms                                      ,R              ,P                 ,                  ,R                      ,R                          ,                        ,                      ,                      ,R                        ,                  ,                    ,                   ,                ,                         ,                      ,                   ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 12A       ,170,1041,B, 18,R,CC,   0.00,    321.3000,White    ,Diatoms                                      ,F              ,P                 ,                  ,R                      ,R                          ,R                       ,                      ,R                     ,R                        ,                  ,                    ,R                  ,                ,                         ,                      ,R                  ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 12A       ,170,1041,B, 20,R,CC,  20.00,    344.4700,White    ,Diatoms                                      ,R              ,P                 ,                  ,R                      ,R                          ,                        ,                      ,R                     ,R                        ,                  ,                    ,                   ,                ,                         ,                      ,                   ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 12A       ,170,1041,B, 21,R,CC,   0.00,    351.6500,White    ,Diatoms                                      ,R              ,P                 ,                  ,                       ,R                          ,                        ,                      ,                      ,R                        ,                  ,                    ,                   ,R               ,                         ,                      ,R                  ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 12A       ,170,1041,B, 22,R,CC,   0.00,    361.7200,White    ,Diatoms                                      ,R              ,P                 ,                  ,                       ,R                          ,                        ,                      ,                      ,R                        ,                  ,                    ,                   ,                ,                         ,                      ,                   ,                                     ,rR                     ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 12A       ,170,1041,B, 23,R,CC,  18.00,    370.4900,White    ,Diatoms                                      ,F              ,M                 ,                  ,R                      ,                           ,                        ,                      ,R                     ,R                        ,F                 ,                    ,R                  ,R               ,R                        ,R                     ,R                  ,rR                                   ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 11B       ,170,1041,B, 24,R,CC,   0.00,    381.3200,White    ,Diatoms                                      ,F              ,M                 ,                  ,F                      ,F                          ,                        ,                      ,                      ,F                        ,R                 ,R                   ,R                  ,R               ,                         ,                      ,                   ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NTD 11B       ,170,1041,B, 25,R,CC,  15.00,    388.2200,White    ,Diatoms                                      ,F              ,P                 ,rR                ,R                      ,R                          ,R                       ,R                     ,R                     ,                         ,                  ,                    ,                   ,                ,                         ,                      ,                   ,                                     ,                       ,                   ,                        ,                       ,                                   ,                     ,                      ,                       ,                   ,                                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
