Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus rugosus/rioensis,Sphenolithus spp.,Reticulofenestrid taxa,Reticulofenestra pseudoumbilicus,Discoaster in class,Discoaster brouweri,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster variabilis,Discoaster exilis,Discoaster calcaris,Discoaster moorei,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Discoaster hamatus/bellus,Discoaster neohamatus,Minylitha convallis,Discoaster triradiatus,Discoaster loeblichii,Discoaster adamanteus,Discoaster intercalaris,Helicosphaera carteri,Discoaster surculus,Discoaster quinqueramus,Amaurolithus primus,Discoaster asymmetricus,Amaurolithus delicatus,Discoaster pentaradiatus,Amaurolithus tricorniculatus,Triquetrorhabdulus extensus,Discoaster prepentaradiatus,Amaurolithus amplificus,Rhabdosphaera spp.,Reticulofenestra spp.,Ceratolithus acutus,Geminilithella rotula,Ceratolithus rugosus,Coccolithus radiatus,Discoaster tristellifer,Ceratolithus cristatus/telesmus,Syracosphaera spp.,Discoaster pansus,Pontosphaera sp.,Helicosphaera sellii,Discoaster tamalis,Pseudoemiliania lacunosa,Discoaster decorus,Gephyrocapsa spp. small (<4 microns),Umbilicosphaera spp.,Thoracosphaera spp.,Gephyrocapsa oceanica,Helicosphaera wallichii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13a             ,              ,138, 848,C,  3,H, 5,  90.00,     21.9000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,F                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,C                    ,                   ,                     ,                    ,F                   ,                       ,A                              ,F                 ,                 ,                ,D                   ,                  ,A                       ,                  ,C                                   ,F                   ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13a             ,              ,138, 848,C,  3,H, 5, 100.00,     22.0000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,C                     ,C                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,C                    ,                   ,                     ,                    ,F                   ,                       ,F                              ,R                 ,                 ,                ,D                   ,                  ,A                       ,                  ,C                                   ,R                   ,R                  ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13a             ,              ,138, 848,C,  3,H, 5, 120.00,     22.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,                   ,R                    ,                        ,A                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,                   ,                       ,                   ,                       ,                      ,T                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,C                              ,C                 ,                 ,R               ,A                   ,                  ,A                       ,                  ,C                                   ,F                   ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13a             ,              ,138, 848,C,  3,H, 5, 140.00,     22.4000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,C                     ,A                     ,T                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,A                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,C                              ,C                 ,                 ,F               ,C                   ,                  ,A                       ,                  ,C                                   ,F                   ,R                  ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13a             ,              ,138, 848,C,  3,H, 6,  20.00,     22.7000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,A                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,C                              ,C                 ,                 ,R               ,C                   ,                  ,A                       ,                  ,F                                   ,F                   ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13a             ,              ,138, 848,C,  3,H, 6,  50.00,     23.0000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,C                     ,C                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,F                   ,                       ,C                              ,F                 ,                 ,F               ,D                   ,                  ,A                       ,                  ,F                                   ,F                   ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13a             ,              ,138, 848,C,  3,H, 6,  80.00,     23.3000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,C                     ,C                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,A                              ,C                 ,                 ,R               ,C                   ,                  ,A                       ,                  ,F                                   ,F                   ,R                  ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13a             ,              ,138, 848,C,  3,H, 6, 120.00,     23.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,                   ,                     ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,C                              ,C                 ,                 ,R               ,A                   ,                  ,A                       ,                  ,F                                   ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,CN12d         ,138, 848,C,  3,H, 7,  10.00,     24.1000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,F                  ,                     ,                        ,A                     ,A                     ,T                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,T                  ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,F                              ,C                 ,                 ,                ,C                   ,                  ,A                       ,                  ,F                                   ,R                   ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,CN12d         ,138, 848,C,  3,H, 7,  20.00,     24.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,R                  ,                     ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,C                              ,F                 ,                 ,                ,C                   ,                  ,A                       ,                  ,F                                   ,R                   ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,CN12d         ,138, 848,C,  3,H, 7,  30.00,     24.3000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,R                  ,                     ,                        ,A                     ,A                     ,T                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,R                     ,                     ,                     ,                       ,F                    ,T                  ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,F                   ,                       ,C                              ,C                 ,                 ,                ,C                   ,                  ,A                       ,                  ,F                                   ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,CN12d         ,138, 848,C,  3,H, 7,  40.00,     24.4000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,F                  ,R                    ,                        ,A                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,R                     ,                     ,                     ,                       ,R                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,F                   ,                       ,A                              ,F                 ,                 ,                ,C                   ,                  ,A                       ,                  ,R                                   ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,CN12d         ,138, 848,C,  3,H, 7,  50.00,     24.5000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,F                  ,F                    ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,R                     ,                     ,                     ,                       ,F                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,C                              ,C                 ,                 ,                ,C                   ,                  ,A                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,CN12d         ,138, 848,C,  3,H, 7,  60.00,     24.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,F                  ,F                    ,                        ,A                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,R                     ,                     ,                     ,                       ,R                    ,                   ,                       ,                   ,                       ,                      ,T                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,C                   ,                       ,C                              ,A                 ,                 ,                ,F                   ,                  ,A                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,CN12d         ,138, 848,C,  4,H, 3,  40.00,     27.9000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,C                  ,C                    ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,F                     ,                     ,                     ,                       ,C                    ,                   ,                       ,                   ,T                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,F                   ,                       ,A                              ,C                 ,                 ,                ,F                   ,                  ,A                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,CN12d         ,138, 848,C,  4,H, 3, 120.00,     28.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,A                  ,C                    ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,                   ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,R                   ,                       ,F                              ,C                 ,                 ,                ,R                   ,                  ,A                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,CN12d         ,138, 848,C,  4,H, 4,  40.00,     29.4000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,A                  ,C                    ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,T                     ,                     ,                     ,T                      ,C                    ,                   ,                       ,                   ,F                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,R                   ,                       ,F                              ,C                 ,                 ,                ,R                   ,                  ,A                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12b             ,              ,138, 848,C,  4,H, 4,  80.00,     29.8000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,                 ,                      ,T                               ,                   ,C                  ,F                    ,                        ,C                     ,A                     ,T                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,T                      ,F                    ,R                  ,                       ,                   ,T                      ,                      ,T                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,R                   ,                       ,C                              ,C                 ,                 ,                ,R                   ,                  ,A                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12b             ,              ,138, 848,C,  4,H, 4, 120.00,     30.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,C                  ,F                    ,                        ,A                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,T                  ,                       ,                   ,T                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,R                    ,                    ,F                   ,                       ,C                              ,A                 ,                 ,                ,R                   ,T                 ,A                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12b             ,              ,138, 848,C,  4,H, 5,  23.00,     30.7300,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,C                  ,F                    ,                        ,C                     ,A                     ,T                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,R                  ,                       ,                   ,R                      ,                      ,R                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,F                   ,                       ,A                              ,C                 ,                 ,                ,R                   ,                  ,A                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12aB            ,              ,138, 848,C,  4,H, 5,  85.00,     31.3500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,C                  ,C                    ,                        ,A                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,R                  ,                       ,                   ,C                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,                    ,F                   ,                       ,A                              ,C                 ,                 ,                ,C                   ,F                 ,A                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12aB            ,              ,138, 848,C,  4,H, 5, 120.00,     31.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,A                  ,F                    ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,R                  ,                       ,                   ,C                      ,                      ,F                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,F                   ,C                   ,                       ,C                              ,C                 ,                 ,                ,R                   ,F                 ,C                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12aB            ,              ,138, 848,C,  4,H, 6,  20.00,     32.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,C                  ,F                    ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,R                      ,C                    ,C                  ,                       ,                   ,F                      ,                      ,R                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,F                    ,R                   ,F                   ,                       ,F                              ,C                 ,                 ,                ,R                   ,                  ,C                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12aB            ,              ,138, 848,C,  4,H, 6, 120.00,     33.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,F                  ,A                    ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,F                  ,                       ,                   ,R                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,F                    ,F                   ,F                   ,                       ,F                              ,C                 ,                 ,                ,R                   ,                  ,C                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
