Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia praescitula,Globoquadrina venezuelana,Catapsydrax parvulus,Globoquadrina cf. G. venezuelana,Globigerina spp.,Globigerina bulloides,Globigerina woodi,Neogloboquadrina spp.,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Globigerinella obesa,Globigerina cf. G. bulloides,Globigerina falconensis,Globigerinita uvula,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina himiensis,Neogloboquadrina asanoi,Turborotalita humilis,Tenuitella parkerae,Neogloboquadrina pachyderma (sin.),Neogloboquadrina pachyderma (dex.),Globigerinita minuta,Globigerinita glutinata,Globigerina umbilicata,Globigerina quinqueloba,Globigerina clarkei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  1,H, 3, 134.00,      4.3400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,30                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,64                                ,6                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  1,H, 4,  74.00,      5.2400,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  1,H, 4, 104.00,      5.5400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,1                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,97                                ,2                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  1,H,CC,  20.00,      5.8300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,13                   ,                 ,1                    ,                                     ,                         ,                    ,                            ,                       ,                   ,8                                      ,                          ,                       ,                     ,                   ,                                  ,                                  ,                    ,                       ,1                     ,3                      ,                   ,from ODP Leg 127&128 Chapter 12 Table 5 p 202-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  2,H, 1, 102.00,      6.9200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,28                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,71                                ,1                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  2,H, 2,  76.00,      8.1600,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  2,H, 3,  74.00,      9.6400,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  2,H, 3,  76.00,      9.6600,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  2,H, 4,  14.00,     10.5400,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  2,H, 4,  76.00,     11.1600,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  2,H, 5,  76.00,     12.6600,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  2,H, 6,  76.00,     14.1600,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  2,H, 6, 134.00,     14.7400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,4                  ,                                       ,                          ,                       ,0                    ,10                 ,83                                ,2                                 ,0                   ,0                      ,0                     ,1                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  2,H,CC,  21.00,     15.7300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,3                    ,                 ,2                    ,                                     ,                         ,                    ,                            ,                       ,                   ,10                                     ,                          ,                       ,                     ,                   ,                                  ,                                  ,                    ,                       ,                      ,                       ,                   ,from ODP Leg 127&128 Chapter 12 Table 5 p 202-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  3,H, 1,  77.00,     16.1700,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  3,H, 2,  77.00,     17.6700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,54                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,8                                 ,31                                ,0                   ,0                      ,0                     ,8                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  3,H, 3,  77.00,     19.1700,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  3,H, 4,  77.00,     20.6700,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  3,H, 5,  77.00,     22.1700,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  3,H, 6,  77.00,     23.6700,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  3,H, 6, 103.00,     23.9300,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  3,H, 6, 135.00,     24.2500,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,12                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,3                  ,77                                ,2                                 ,0                   ,0                      ,0                     ,5                      ,                   ,Indeterminate tests = 1; from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  3,H, 7,  14.00,     24.5400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,52                 ,32                                ,2                                 ,1                   ,4                      ,0                     ,7                      ,                   ,Indeterminate tests = 2; from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  3,H,CC,  21.00,     25.1800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,7                    ,                 ,                     ,1                                    ,                         ,                    ,                            ,                       ,                   ,7                                      ,                          ,                       ,                     ,                   ,                                  ,                                  ,                    ,1                      ,2                     ,3                      ,1                  ,from ODP Leg 127&128 Chapter 12 Table 5 p 202-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 1,  77.00,     25.6700,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 2,  20.00,     26.6000,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 2,  77.00,     27.1700,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 3,  44.00,     28.3400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,21                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,16                 ,                                       ,                          ,                       ,0                    ,0                  ,11                                ,3                                 ,0                   ,0                      ,0                     ,50                     ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 3,  77.00,     28.6700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,99                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,1                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 3, 102.00,     28.9200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,80                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,1                  ,                                       ,                          ,                       ,0                    ,1                  ,1                                 ,1                                 ,0                   ,0                      ,0                     ,16                     ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 3, 135.00,     29.2500,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,8                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,1                  ,                                       ,                          ,                       ,0                    ,1                  ,74                                ,1                                 ,0                   ,0                      ,0                     ,16                     ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 4,  13.00,     29.5300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,100                               ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 4,  77.00,     30.1700,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 4, 102.00,     30.4200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,87                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,6                                 ,1                                 ,0                   ,0                      ,2                     ,3                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 4, 135.00,     30.7500,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,21                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,1                  ,                                       ,                          ,                       ,0                    ,1                  ,72                                ,1                                 ,0                   ,0                      ,1                     ,3                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 5,  43.00,     31.3300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,20                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,75                                ,2                                 ,0                   ,0                      ,0                     ,1                      ,                   ,Indeterminate tests = 2; from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 5,  74.00,     31.6400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,100                  ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 6,  77.00,     33.1700,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H, 6, 135.00,     33.7500,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,3                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,82                                ,4                                 ,0                   ,0                      ,0                     ,11                     ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  4,H,CC,  19.00,     34.6100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,1               ,5                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,                   ,7                                      ,                          ,                       ,                     ,                   ,                                  ,                                  ,                    ,                       ,5                     ,1                      ,                   ,from ODP Leg 127&128 Chapter 12 Table 5 p 202-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  5,H, 1,  78.00,     35.1800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,45                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,52                                ,4                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  5,H, 1, 132.00,     35.7200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                        ,                         ,                    ,                                ,                ,49                   ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,46                                ,1                                 ,0                   ,0                      ,4                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  5,H, 2,  44.00,     36.3400,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,B,  5,H, 2,  78.00,     36.6800,Brunner  ,Planktonic Foraminifers                      ,B              ,                  ,                        ,                         ,                    ,                                ,                ,0                    ,                 ,                     ,                                     ,                         ,                    ,                            ,                       ,0                  ,                                       ,                          ,                       ,0                    ,0                  ,0                                 ,0                                 ,0                   ,0                      ,0                     ,0                      ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 8 p 210-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
