Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Miliammina echigoensis,Dentalina frobisherensis,Planularia asanoi,Dentalina setanaensis,Pandaglandulina sp. A,Lagena gracilis,Lagena distoma,Pyrgo spp.,Lagena laevis,Nodosariidae (taxa),Lagena pliocenica,Pyrgo depressa,Lagena nebulosa,Lagena elongata,Parafrondicularia sp. A,Frondicularia sp. A,Dentalina spp.,Nodosaria sp. A ,Lagena amphora,Pyrgo murrhina,Karreriella baccata japonica,Triloculina tricarinata,Miliolid spp.,Dentalina ittai ,Dentalina communis,Silicosigmoilina abyssalica,Lagena sesquistriata,Amphicoryina sp. A,Triloculina spp.,Quinqueloculina sp. B,Lagena gracillima,Sigmoilopsis schlumbergeri,Quinqueloculina sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  1,H,CC,  33.00,      9.2100,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,1         ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,T                           ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,T                    ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  2,H, 1,  43.00,      9.7300,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,T              ,                       ,                   ,              ,                ,              ,              ,T                           ,                       ,T            ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,T                         ,T                    ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  2,H, 2,  43.00,     11.2300,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,T             ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,T             ,                ,T             ,              ,1                           ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H, 1,  36.00,     18.6600,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,T                          ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H, 2,  36.00,     20.1600,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,1                           ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H, 3,  36.00,     21.6600,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,2                           ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H, 4,  36.00,     23.1600,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,T              ,                       ,                   ,              ,                ,T             ,              ,                            ,                       ,             ,                ,                  ,                           ,T                   ,                  ,                ,                     ,T                ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H,CC,  23.00,     27.1000,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,T              ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H, 1,  42.00,     27.7200,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,T             ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,T             ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,T                    ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H, 2,  43.00,     29.2300,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,5                          ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H, 4,  37.00,     32.1700,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,T                           ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H, 5,  45.00,     33.7500,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,T             ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H, 1,  42.00,     37.1200,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,T              ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H, 6,  42.00,     44.6200,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,T               ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H, 7,  42.00,     46.1200,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,T                           ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  6,H, 1,  36.00,     46.5600,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,T                  ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,T                    ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  6,H, 3,  38.00,     49.5800,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,T                    ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 2,  95.00,     57.7900,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,T                    ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 4,  80.00,     60.6400,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,T             ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 5,  80.00,     62.1400,Kato     ,Benthic Foraminifers                         ,               ,M                 ,T                     ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,T              ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,T            ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 6,  80.00,     63.6400,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,T               ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 7,  78.00,     65.1200,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,T             ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,T                 ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 8,  78.00,     66.6200,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,T               ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 2,  58.00,     66.1800,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,T         ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 3,  58.00,     67.6800,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,T                      ,             ,                ,                  ,                           ,T                   ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 5,  58.00,     70.6800,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,T            ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 6,  58.00,     72.1800,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,T             ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,T                          ,T                   ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 7,  58.00,     73.6800,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,T             ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 8,  58.00,     75.1800,Kato     ,Benthic Foraminifers                         ,               ,M                 ,T                     ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 1,  42.00,     75.2200,Kato     ,Benthic Foraminifers                         ,               ,G                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,1                  ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,T            ,T               ,T                 ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 3,  39.00,     77.9500,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,T            ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 4,  36.00,     79.4200,Kato     ,Benthic Foraminifers                         ,               ,M                 ,T                     ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,T                  ,              ,                ,              ,              ,                            ,T                      ,T            ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 5,  42.00,     80.9800,Kato     ,Benthic Foraminifers                         ,               ,G                 ,2                     ,                        ,T                ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 6,  40.00,     82.4600,Kato     ,Benthic Foraminifers                         ,               ,M                 ,2                     ,                        ,                 ,                     ,                     ,               ,              ,          ,T            ,                   ,                 ,              ,T              ,               ,                       ,                   ,              ,                ,              ,T             ,T                           ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 7,  40.00,     83.8300,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,T                ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 10,H, 1,  37.00,     84.7700,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,1                  ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 10,H, 2,  37.00,     85.3900,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,T                      ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 10,H, 3,  52.00,     87.0400,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,T              ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 11,H, 1,  84.00,     94.9400,Kato     ,Benthic Foraminifers                         ,               ,P                 ,92                    ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 11,H, 3,  40.00,     97.5000,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,T              ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 11,H, 4,  40.00,     99.0000,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,T              ,               ,                       ,                   ,              ,                ,T             ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 11,H, 5,  42.00,    100.5200,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,T               ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 12,H, 2,  43.00,    105.0000,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,T              ,               ,T                      ,3                  ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
