Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Indeterminate spp.,Globigerina spp.,Globigerina linaperta,Acarinina soldadoensis,Pseudohastigerina wilcoxensis,Morozovella aragonensis,Acarinina primitiva,Acarinina pentacamerata,Acarinina broedermanni,Truncorotaloides rohri,Globigerina eocaena,Acarinina bullbrooki,Globigerinatheka senni,Turborotalia possagnoensis,Globigerina cryptomphala,Acarinina quetra,Catapsydrax dissimilis,Comment
  IR,                 ,Middle Eocene    ,                  ,              ,173,1067,A,  5,R,CC,  14.00,    690.5200,Urquhart ,Planktonic Foraminifers                      ,F              ,P                 ,                  ,R               ,R                    ,R                     ,R                            ,                       ,                   ,R                      ,R                     ,R                     ,R                  ,R                   ,                      ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,173,1067,A,  6,R,CC,  18.00,    699.2600,Urquhart ,Planktonic Foraminifers                      ,R              ,P                 ,R                 ,                ,                     ,R                     ,                             ,R                      ,                   ,                       ,R                     ,                      ,                   ,                    ,                      ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,173,1067,A,  8,R,CC,  23.00,    720.7300,Urquhart ,Planktonic Foraminifers                      ,R              ,P                 ,                  ,                ,R                    ,                      ,R                            ,R                      ,R                  ,R                      ,                      ,                      ,                   ,                    ,                      ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,              ,173,1067,A, 10,R,CC,  15.00,    739.5700,Urquhart ,Planktonic Foraminifers                      ,R              ,P                 ,                  ,                ,R                    ,                      ,                             ,R                      ,R                  ,                       ,                      ,                      ,                   ,                    ,                      ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,              ,173,1067,A, 11,R,CC,  14.00,    744.3100,Urquhart ,Planktonic Foraminifers                      ,F              ,P                 ,                  ,R               ,R                    ,                      ,R                            ,                       ,                   ,                       ,                      ,                      ,                   ,                    ,                      ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,              ,173,1067,A, 12,R,CC,   0.00,    746.0900,Urquhart ,Planktonic Foraminifers                      ,F              ,P                 ,                  ,R               ,R                    ,R                     ,                             ,                       ,                   ,                       ,                      ,                      ,                   ,                    ,                      ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,              ,173,1067,A, 12,R,CC,  25.00,    746.3400,Urquhart ,Planktonic Foraminifers                      ,               ,                  ,                  ,R               ,R                    ,R                     ,                             ,                       ,                   ,                       ,                      ,                      ,                   ,                    ,                      ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,              ,173,1067,A, 13,R,CC,  16.00,    756.5500,Urquhart ,Planktonic Foraminifers                      ,               ,                  ,R                 ,                ,                     ,                      ,                             ,                       ,                   ,                       ,                      ,                      ,                   ,                    ,                      ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,                  ,              ,173,1067,A, 13,R,CC,  16.00,    756.5500,Urquhart ,Planktonic Foraminifers                      ,T              ,P                 ,R                 ,                ,                     ,                      ,                             ,                       ,                   ,                       ,                      ,                      ,                   ,                    ,                      ,                          ,                        ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
