Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera spp.,Sphenolithus neoabies,Pseudoemiliania lacunosa,Oolithotus fragilis,Helicosphaera kamptneri,Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania ovata,Cyclolithus annulus,Calcidiscus leptoporus,Thoracosphaera spp.,Thoracosphaera saxea,Thoracosphaera heimii,Syracosphaera spp.,Scyphosphaera sp. (fragment),Scyphosphaera galeana,Scapholithus fossilis,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Pontosphaera spp.,Holodiscolithus spp.,Helicosphaera pavimentum,Helicosphaera hyalina,Hayaster perplexus,Coccolithus pataecus,Ceratolithus rugosus,Scyphosphaera spp.,Pontosphaera japonica,Helicosphaera sellii,Discoaster surculus,Ceratolithus cristatus,Discoaster brouweri,Scyphosphaera canescens,Helicosphaera inversa,Ceratolithus telesmus,Pontosphaera indooceanica,Discoaster spp. (6 rays),Emiliania huxleyi,Coccolithus pelagicus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,135, 836,A,  3,H, 4,  10.00,     15.1800,Styzen   ,Nannofossils                                 ,               ,                  ,M                   ,                     ,L                       ,S                  ,C                      ,A                        ,A                    ,                         ,L              ,R                  ,F                     ,S                  ,F                   ,R                    ,F                 ,                            ,                     ,                     ,M                      ,R                      ,R                ,                    ,                        ,S                    ,                  ,R                   ,R                   ,                  ,                     ,                    ,                   ,                      ,                   ,                       ,                     ,                     ,                         ,                        ,                 ,                     ,from ODP Leg 135 Chapter 13 Table 5 p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,135, 836,A,  3,H,CC,   4.00,     20.4000,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,                     ,A                       ,C                  ,A                      ,V                        ,V                    ,S                        ,A              ,S                  ,L                     ,F                  ,L                   ,R                    ,A                 ,F                           ,                     ,M                    ,L                      ,F                      ,C                ,M                   ,F                       ,C                    ,F                 ,F                   ,R                   ,R                 ,S                    ,R                   ,R                  ,R                     ,                   ,                       ,                     ,                     ,                         ,                        ,                 ,                     ,from ODP Leg 135 Chapter 13 Table 5 p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,135, 836,A,  4,H,CC,  10.00,     20.3000,Styzen   ,Nannofossils                                 ,               ,                  ,W                   ,                     ,A                       ,L                  ,C                      ,W                        ,L                    ,                         ,A              ,F                  ,L                     ,M                  ,F                   ,                     ,A                 ,S                           ,                     ,F                    ,C                      ,M                      ,M                ,S                   ,S                       ,S                    ,M                 ,                    ,                    ,                  ,                     ,                    ,                   ,R                     ,R                  ,                       ,                     ,                     ,                         ,                        ,                 ,                     ,from ODP Leg 135 Chapter 13 Table 5 p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,135, 836,A,  6,X, 1,  12.00,     22.8200,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,                     ,A                       ,R                  ,L                      ,X                        ,V                    ,F                        ,A              ,S                  ,L                     ,C                  ,C                   ,S                    ,L                 ,F                           ,S                    ,L                    ,C                      ,S                      ,C                ,S                   ,S                       ,F                    ,R                 ,F                   ,R                   ,                  ,                     ,                    ,                   ,                      ,                   ,                       ,                     ,                     ,                         ,                        ,                 ,                     ,from ODP Leg 135 Chapter 13 Table 5 p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,135, 836,A,  7,X, 1,  75.00,     26.4500,Styzen   ,Nannofossils                                 ,               ,                  ,S                   ,R                    ,R                       ,R                  ,R                      ,M                        ,F                    ,R                        ,S              ,R                  ,R                     ,                   ,                    ,                     ,                  ,                            ,                     ,                     ,                       ,                       ,                 ,                    ,                        ,                     ,                  ,                    ,                    ,                  ,                     ,                    ,                   ,                      ,                   ,                       ,                     ,                     ,                         ,                        ,                 ,                     ,from ODP Leg 135 Chapter 13 Table 5 p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
