Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella planispira	Hedbergella delrioensis	Planomalina buxtorfi	Hedbergella simplex	Hedbergella costellata	Globigerinelloides bentonensis	Thalmanninella reicheli	Praeglobotruncana spp.	Thalmanninella brotzeni	Rotalipora montsalvensis thomei	Praeglobotruncana stephani	Hedbergella spp.	Whiteinella archaeocretacea	Whiteinella aprica	Praeglobotruncana oraviensis oraviensis	Dicarinella imbricata	Dicarinella hagni	Praeglobotruncana gibba	Marginotruncana marianosi	Marginotruncana pseudolinneiana	Marginotruncana coronata	Hedbergella hoelzli	Hedbergella aubertae	Falsotruncana maslakovae	Marginotruncana renzi	Marginotruncana tarfayaensis	Marginotruncana augusticarinata	Heterohelix globulosa	Globigerinelloides asper	Praeglobotruncana semsalensis	Heterohelix spp.	Marginotruncana sinuosa	Heterohelix sphenoides	Globotruncana ventricosa	Schackoina spp.	Rosita fornicata	Hedbergella flandrini	Globotruncanita elevata	Globotruncana cf. ventricosa	Marginotruncana marginata	Dicarinella concavata	Pseudotextularia nuttalli	Globotruncana mariei	Globotruncana linneiana	Globotruncana arca	Contusotruncana fornicata	Dicarinella asymetrica	Laeviheterohelix turgida	Laeviheterohelix pulchra	Marginotruncana undulata	Rugoglobigerina pilula	Globotruncana sp. cf. G. arca	Globotruncanella minuta	Globigerinelloides spp.	Globotruncana sp. cf. G. rosetta	Contusotruncana fornicata manaurensis	Globotruncana bulloides	Rugoglobigerina rugosa	Globotruncanita stuartiformis	Schackoina multispinata	Heterohelix rajagopalani	Globotruncana rosetta	Rugoglobigerina milamensis	Globotruncana cf. falsostuarti	Rugotruncana subcircumnodifer	Planoglobulina riograndensis	Gublerina acuta	Globotruncanella havanensis	Pseudotextularia elegans	Gublerina cuvillieri	Globotruncana falsostuarti	Abathomphalus mayaroensis	Rugoglobigerina spp.	Pseudotextularia intermedia	Racemiguembelina fructicosa	Globotruncanita spp.	Globotruncana spp.	Contusotruncana walfischensis	Globotruncana dupeublei	Planoglobulina acervulinoides	Globotruncanita stuarti	Globotruncanita angulata	Contusotruncana contusa	Racemiguembelina cf. fructicosa	Planoglobulina multicamerata	Comment

  SR	Maestrichtian    	                 	A. mayaroensis    	              	122	 762	C	 45	X	 1	  60.00	    574.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	C               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	+                 	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	R                        	C                   	                           	R                          	                    	R                 	+                            	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Maestrichtian    	                 	A. mayaroensis    	              	122	 762	C	 45	X	 3	  60.00	    577.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	A               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	+                       	                    	                          	R                        	A                   	                           	+                          	R                   	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Maestrichtian    	                 	A. mayaroensis    	              	122	 762	C	 46	X	 1	  58.00	    583.5800	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	C               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	+                 	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	A                     	                             	                       	C                       	                     	                          	                              	                             	                            	               	                           	R                       	+                   	                          	                         	                    	+                          	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Maestrichtian    	                 	A. mayaroensis    	              	122	 762	C	 46	X	 3	  61.00	    586.6100	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	C               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	+                       	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	A                   	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Maestrichtian    	                 	A. mayaroensis    	              	122	 762	C	 47	X	 1	  60.00	    593.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	A               	                       	                      	R                       	               	                	                     	                       	                            	                         	                     	                         	                    	                       	C                 	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	A                     	                             	                       	                        	                     	R                         	                              	                             	                            	               	+                          	+                       	R                   	+                         	+                        	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 47	X	 4	  66.00	    597.6600	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	+               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	C                 	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	A                     	                             	                       	R                       	                     	C                         	                              	                             	                            	               	+                          	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 48	X	 1	  56.00	    602.5600	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	C                    	                        	                             	R               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	+                        	                    	                       	C                 	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	A                     	                             	                       	R                       	                     	                          	                              	                             	                            	               	+                          	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 48	X	 4	  55.00	    607.0500	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	C                    	                        	                             	C               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	R                      	R                 	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	A                     	                             	                       	R                       	                     	C                         	                              	                             	                            	               	R                          	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 50	X	 1	  60.00	    621.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	C                 	                         	                      	                        	                        	                        	                      	                             	                       	R                      	                                	                                     	+                      	A                     	                             	                       	R                       	                     	A                         	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 51	X	 1	  60.00	    631.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	C               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	+                        	                    	+                      	R                 	                         	                      	                        	                        	                        	                      	                             	                       	C                      	                                	                                     	                       	A                     	                             	                       	C                       	                     	A                         	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 51	X	 4	  60.00	    635.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	R                        	                    	                       	C                 	                         	                      	                        	                        	                        	                      	                             	                       	C                      	+                               	                                     	                       	C                     	                             	                       	C                       	                     	C                         	                              	                             	                            	               	R                          	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 52	X	 1	  60.00	    640.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	                	                       	                      	+                       	               	                	                     	                       	                            	                         	                     	+                        	                    	                       	R                 	                         	                      	                        	                        	                        	                      	                             	                       	R                      	                                	                                     	                       	C                     	                             	                       	R                       	+                    	C                         	                              	                             	                            	               	+                          	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 52	X	 4	  60.00	    645.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	+                       	               	                	                     	                       	                            	                         	                     	+                        	                    	R                      	C                 	                         	                      	                        	                        	                        	                      	                             	                       	R                      	                                	                                     	                       	A                     	                             	                       	C                       	                     	C                         	                              	                             	                            	+              	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 53	X	 1	  60.00	    650.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	                        	               	                	                     	                       	+                           	                         	                     	+                        	                    	                       	A                 	                         	                      	                        	                        	                        	                      	                             	                       	C                      	                                	                                     	                       	A                     	                             	                       	C                       	                     	                          	                              	+                            	+                           	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 53	X	 4	  60.00	    654.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	C                    	                        	                             	A               	                       	                      	                        	+              	                	                     	                       	+                           	                         	                     	                         	                    	                       	C                 	R                        	                      	                        	                        	                        	                      	                             	                       	C                      	                                	                                     	                       	A                     	                             	                       	C                       	C                    	A                         	R                             	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	uncertain identity of G. cf. falsostuarti: from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 54	X	 1	  60.00	    659.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	+                        	                    	                       	R                 	+                        	                      	                        	                        	                        	                      	                             	                       	R                      	                                	                                     	                       	A                     	                             	                       	R                       	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	Maestrichtian    	H. rajagopalani   	              	122	 762	C	 54	X	 4	  60.00	    664.2100	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	                        	+              	                	                     	                       	                            	                         	                     	+                        	                    	+                      	R                 	                         	                      	                        	                        	                        	                      	                             	+                      	                       	                                	                                     	+                      	A                     	                             	                       	R                       	+                    	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 55	X	 1	  60.00	    669.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	A                     	                             	                       	C                      	                                	                                     	                       	A                     	                             	R                      	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 55	X	 2	  60.00	    670.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	R                        	                    	                       	+                 	                         	                      	                        	                        	                        	C                     	                             	                       	C                      	                                	                                     	                       	C                     	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 56	X	 1	  60.00	    678.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	C               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	C                      	                                	                                     	A                      	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 56	X	 4	  60.00	    683.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	R               	                       	                      	R                       	               	                	                     	                       	                            	                         	                     	                         	                    	                       	C                 	                         	                      	                        	                        	                        	                      	                             	                       	C                      	                                	                                     	A                      	                      	+                            	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 57	X	 1	  60.00	    688.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	C               	                       	                      	R                       	               	                	                     	                       	                            	                         	                     	+                        	                    	                       	C                 	+                        	                      	                        	                        	                        	                      	                             	                       	A                      	+                               	                                     	A                      	R                     	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 58	X	 1	  60.00	    697.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	C               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	+                        	                    	C                      	C                 	                         	                      	                        	                        	                        	                      	                             	R                      	C                      	                                	                                     	A                      	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 58	X	 4	  60.00	    702.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	R                       	               	                	                     	                       	                            	                         	                     	                         	                    	C                      	R                 	                         	                      	                        	                        	                        	                      	                             	                       	C                      	                                	                                     	A                      	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 59	X	 1	  70.00	    707.2000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	                	                       	                      	C                       	               	                	                     	                       	                            	                         	                     	                         	                    	R                      	+                 	C                        	                      	                        	                        	                        	                      	                             	R                      	C                      	                                	+                                    	R                      	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 59	X	 3	  60.00	    710.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	C                       	               	                	                     	                       	                            	                         	                     	                         	                    	C                      	C                 	                         	                      	                        	                        	                        	                      	                             	R                      	A                      	+                               	                                     	+                      	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 60	X	 1	  43.00	    716.4300	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	                	                       	                      	+                       	               	                	                     	                       	                            	                         	                     	                         	                    	C                      	C                 	                         	                      	                        	                        	                        	                      	                             	R                      	R                      	+                               	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

