Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Laeviheterohelix turgida,Whiteinellid taxa,Rotalipora sp.,Praeglobotruncana stephani,Marginotruncanid taxa,Hedbergella planispira,Dicarinellid taxa,Globigerinelloides ultramicrus,Globigerinelloides bentonensis,Favusella washitensis,Whiteinella paradubia,Whiteinella baltica,Whiteinella archaeocretacea,Whiteinella aprica,Heterohelix reussi,Heterohelix moremani,Helvetoglobotruncana helvetica,Globigerinelloides bollii,Marginotruncana sigali,Marginotruncana schneegansi,Marginotruncana renzi,Hedbergella flandrini,Dicarinella primitiva,Dicarinella imbricata,Dicarinella hagni,Dicarinella concavata,Whiteinella sp.,Whiteinella praehelvetica,Marginotruncana sp.,Marginotruncana pseudolinneiana,Heterohelix sp.,Heterohelix globulosa,Hedbergella delrioensis,Guembelitria cretacea,Falsotruncana maslakovae,Dicarinella sp.,Dicarinella canaliculata,Praeglobotruncana gibba,Marginotruncana marginata,Hedbergella sp.,Pseudoguembelina costellifera,Laeviheterohelix pulchra,Contusotruncana fornicata,Clavihedbergella simplex,Marginotruncana sinuosa,Heterohelix carinata,Globigerinelloides prairiehillensis,Globigerinelloides messinae,Heterohelix striata,Hedbergella holmdelensis,Marginotruncana coronata,Globigerinelloides caseyi,Sigalia decoratissima carpatica,Globigerinoides asper,Dicarinella asymetrica,Ventilabrella eggeri,Heterohelix sphenoides,Globigerinelloides subcarinatus,Hedbergella monmouthensis,Globotruncana lapparenti,Sigalia deflaensis rugocostata,Globotruncana sp.,Globotruncanita stuartiformis,Globotruncana orientalis,Globotruncana mariei,Globotruncana linneiana,Globotruncana arca,Globotruncana bulloides,Globotruncana rosetta,Pseudotextularia elegans,Globigerinelloides alvarezi,Archaeoglobigerina blowi,Contusotruncana plummerae,Contusotruncana patelliformis,Archaeoglobigerina sp.,Globotruncanella minuta,Globotruncana rugosa,Biglobigerinella multispina,Archaeoglobigerina cretacea,Radotruncana calcarata,Heterohelix navarroensis,Pseudoguembelina costulata,Globotruncana ventricosa,Rugoglobigerina sp.,Globotruncanita stuarti,Globotruncana falsostuarti,Ventilabrella multicamerata,Heterohelix punctulata,Rugoglobigerina rugosa,Globotruncanita sp.,Globotruncana aegyptiaca,Rugoglobigerina macrocephala,Pseudoguembelina palpebra,Planoglobulina riograndensis,Heterohelix planata,Rugoglobigerina rugosa/hexacamerata,Rugoglobigerina reicheli,Rugoglobigerina pennyi,Rugoglobigerina hexacamerata,Planoglobulina carseyae,Gansserina gansseri,Abathomphalus intermedius,Globotruncanita pettersi,Pseudoguembelina excolata,Kuglerina rotundata,Gansserina wiedenmayeri,Globotruncana esnehensis,Pseudotextularia nuttalli,Gublerina acuta,Globotruncanita conica,Globotruncana insignis,Pseudoguembelina hariaensis,Kefiana sp.,Gublerina cuvillieri,Globotruncanita angulata,Rugoglobigerina milamensis,Globotruncanella petaloidea,Contusotruncana plicata,Globotruncana dupeublei,Pseudotextularia intermedia,Pseudoguembelina kempensis,Plummerita hantkeninoides,Planoglobulina acervulinoides,Planoglobulina sp.,Contusotruncana contusa,Racemiguembelina fructicosa,Abathomphalus mayaroensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,KS31              ,              ,160, 967,E,  9,R, 3,  57.00,    189.5000,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,                              ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,               ,C                    ,                       ,                     ,                        ,               ,                        ,                       ,                         ,               ,                             ,R                       ,                         ,                        ,                       ,                    ,                                   ,R                          ,                   ,R                       ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,VR                             ,                         ,                        ,                              ,                 ,cf/VR                        ,                        ,C                   ,                       ,                  ,                       ,                     ,C                       ,                           ,                        ,                         ,                             ,                      ,VR                     ,                    ,                           ,                           ,                      ,                        ,R                         ,VR                      ,                   ,                       ,                          ,                           ,VR                    ,VR                    ,                   ,                        ,VR                          ,                         ,                            ,                   ,                                   ,                        ,                      ,                            ,                       ,                   ,cf/VR                    ,                        ,C                        ,                   ,                       ,                        ,VR                       ,               ,                      ,                      ,                           ,           ,VR                  ,                        ,                          ,                           ,                       ,                       ,VR                         ,                          ,                         ,                             ,                  ,                       ,                           ,                         ,from Leg 160SR Ch 30 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,KS31              ,              ,160, 967,E,  9,R, 3, 111.00,    190.0400,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,R                             ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,C              ,C                    ,                       ,                     ,                        ,               ,                        ,                       ,                         ,               ,                             ,R                       ,VR                       ,                        ,                       ,                    ,                                   ,C                          ,R                  ,C                       ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,                               ,R                        ,                        ,                              ,C                ,R                            ,C                       ,C                   ,grC                    ,VR                ,                       ,cf/VR                ,C                       ,VR                         ,VR                      ,                         ,                             ,                      ,C                      ,                    ,                           ,cf/R                       ,                      ,R                       ,R                         ,R                       ,                   ,                       ,                          ,VR                         ,                      ,R                     ,                   ,VR                      ,                            ,                         ,                            ,C                  ,                                   ,                        ,                      ,VR                          ,R                      ,VR                 ,                         ,R                       ,C                        ,                   ,                       ,                        ,VR                       ,               ,VR                    ,                      ,                           ,           ,                    ,VR                      ,                          ,                           ,                       ,cf/VR                  ,VR                         ,                          ,                         ,                             ,                  ,                       ,VR                         ,R                        ,from Leg 160SR Ch 30 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,KS31              ,              ,160, 967,E, 10,R, 1, 114.00,    197.3400,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,VR                            ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,               ,C                    ,                       ,VR                   ,                        ,               ,                        ,                       ,                         ,               ,                             ,VR                      ,                         ,                        ,                       ,                    ,                                   ,R                          ,R                  ,VR                      ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,cf/VR                          ,VR                       ,                        ,                              ,C                ,R                            ,R                       ,R                   ,                       ,                  ,cf/VR                  ,VR                   ,C                       ,                           ,cf/VR                   ,                         ,                             ,                      ,                       ,                    ,                           ,R                          ,                      ,VR                      ,R                         ,cf/VR                   ,                   ,                       ,                          ,                           ,                      ,                      ,                   ,                        ,VR                          ,                         ,                            ,cf/VR              ,                                   ,                        ,                      ,                            ,cf/VR                  ,                   ,                         ,                        ,C                        ,                   ,cf/VR                  ,                        ,VR                       ,               ,                      ,                      ,                           ,           ,VR                  ,                        ,                          ,cf/VR                      ,                       ,                       ,VR                         ,                          ,                         ,R                            ,                  ,VR                     ,                           ,R                        ,from Leg 160SR Ch 30 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,C. contusa        ,              ,160, 967,E, 10,R, 2,   0.00,    197.5800,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,                              ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,A              ,C                    ,                       ,                     ,                        ,               ,                        ,                       ,                         ,               ,                             ,VR                      ,                         ,                        ,                       ,                    ,                                   ,                           ,                   ,R                       ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,                               ,R                        ,                        ,                              ,C                ,VR                           ,VR                      ,VR                  ,cf/VR                  ,                  ,                       ,                     ,C                       ,                           ,                        ,VR                       ,                             ,                      ,R                      ,                    ,                           ,                           ,                      ,                        ,C                         ,cf/VR                   ,                   ,                       ,                          ,                           ,                      ,VR                    ,                   ,                        ,                            ,                         ,                            ,                   ,                                   ,                        ,                      ,                            ,                       ,                   ,                         ,VR                      ,C                        ,                   ,                       ,                        ,VR                       ,               ,                      ,                      ,                           ,           ,                    ,                        ,                          ,                           ,                       ,                       ,VR                         ,                          ,                         ,                             ,                  ,                       ,VR                         ,                         ,from Leg 160SR Ch 30 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,C. contusa        ,              ,160, 967,E, 10,R, 2,  98.00,    198.5600,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,R                             ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,C              ,C                    ,                       ,                     ,                        ,               ,                        ,                       ,                         ,               ,                             ,                        ,                         ,                        ,                       ,                    ,                                   ,R                          ,VR                 ,R                       ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,VR                             ,R                        ,                        ,                              ,C                ,R                            ,VR                      ,C                   ,                       ,VR                ,cf/VR                  ,VR                   ,C                       ,                           ,                        ,                         ,VR                           ,                      ,                       ,                    ,                           ,VR                         ,                      ,VR                      ,C                         ,R                       ,                   ,VR                     ,                          ,                           ,                      ,                      ,C                  ,                        ,                            ,                         ,                            ,                   ,R                                  ,                        ,                      ,cf/VR                       ,                       ,                   ,                         ,                        ,C                        ,                   ,VR                     ,                        ,VR                       ,               ,                      ,                      ,                           ,           ,                    ,                        ,                          ,                           ,                       ,                       ,VR                         ,                          ,                         ,R                            ,                  ,                       ,                           ,                         ,from Leg 160SR Ch 30 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,C. contusa        ,              ,160, 967,E, 10,R, 3,   0.00,    198.9000,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,R                             ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,               ,C                    ,                       ,                     ,                        ,               ,                        ,                       ,                         ,               ,                             ,                        ,                         ,                        ,                       ,                    ,                                   ,R                          ,                   ,R                       ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,VR                             ,                         ,                        ,                              ,C                ,VR                           ,R                       ,                    ,                       ,VR                ,                       ,VR                   ,A                       ,                           ,                        ,                         ,                             ,                      ,                       ,                    ,cf/VR                      ,cf/VR                      ,                      ,                        ,C                         ,R                       ,                   ,R                      ,                          ,                           ,                      ,                      ,C                  ,                        ,                            ,                         ,                            ,                   ,                                   ,                        ,                      ,                            ,                       ,                   ,                         ,VR                      ,A                        ,                   ,VR                     ,                        ,VR                       ,               ,VR                    ,                      ,                           ,           ,                    ,cf/VR                   ,                          ,                           ,                       ,cf/VR                  ,                           ,                          ,                         ,C                            ,                  ,VR                     ,                           ,                         ,from Leg 160SR Ch 30 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,G. gansseri       ,              ,160, 967,E, 10,R, 3,  60.00,    199.5000,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,R                             ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,C              ,C                    ,                       ,VR                   ,                        ,               ,                        ,                       ,                         ,               ,                             ,                        ,                         ,                        ,                       ,                    ,                                   ,C                          ,                   ,VR                      ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,R                              ,VR                       ,                        ,                              ,C                ,VR                           ,                        ,C                   ,cf/VR                  ,                  ,                       ,VR                   ,A                       ,VR                         ,                        ,                         ,                             ,R                     ,                       ,                    ,                           ,VR                         ,                      ,cf/VR                   ,A                         ,cf/VR                   ,C                  ,                       ,                          ,VR                         ,                      ,cf/VR                 ,                   ,                        ,VR                          ,                         ,                            ,cf/VR              ,                                   ,cf/VR                   ,                      ,                            ,                       ,                   ,                         ,                        ,A                        ,                   ,                       ,                        ,R                        ,               ,                      ,                      ,                           ,           ,                    ,                        ,                          ,                           ,                       ,                       ,                           ,                          ,                         ,                             ,VR                ,                       ,                           ,                         ,from Leg 160SR Ch 30 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,G. gansseri       ,              ,160, 967,E, 10,R, 3, 127.00,    200.1700,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                        ,                 ,              ,                          ,                     ,                      ,                 ,C                             ,                              ,                     ,                     ,                   ,                           ,                  ,                  ,                    ,                              ,                         ,                      ,                           ,                     ,                     ,                     ,                     ,                 ,                     ,               ,                         ,                   ,                               ,               ,C                    ,                       ,                     ,                        ,               ,                        ,                       ,                         ,               ,                             ,                        ,VR                       ,                        ,                       ,                    ,                                   ,C                          ,                   ,C                       ,                        ,                         ,                               ,                     ,                      ,                    ,                      ,                               ,                         ,                        ,                              ,C                ,C                            ,cf/VR                   ,cf/R                ,                       ,                  ,                       ,cf/VR                ,C                       ,                           ,                        ,                         ,                             ,                      ,                       ,                    ,                           ,                           ,                      ,VR                      ,C                         ,cf/VR                   ,                   ,                       ,                          ,                           ,VR                    ,VR                    ,                   ,                        ,                            ,                         ,                            ,                   ,                                   ,                        ,                      ,                            ,                       ,                   ,                         ,VR                      ,A                        ,                   ,                       ,                        ,R                        ,               ,                      ,                      ,                           ,VR         ,                    ,                        ,                          ,                           ,                       ,                       ,                           ,                          ,                         ,VR                           ,                  ,                       ,                           ,                         ,from Leg 160SR Ch 30 Table 3
