Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Chiasmolithus solitus,Tribrachiatus orthostylus,Transversopontis pulcher,Toweius callosus,Imperiaster obscurus,Discoaster kuepperi,Chiasmolithus eograndis,Neococcolithes dubius,Discoaster lodoensis,Chiasmolithus expansus,Reticulofenestra samodurovii,Reticulofenestra daviesii,Markalius inversus,Discoaster spp.,Discoaster distinctus,Zygrhablithus bijugatus,Markalius apertus,Nannotetrina cristata,Coccolithus formosus,Discoaster barbadiensis,Reticulofenestra umbilica,Reticulofenestra reticulata,Reticulofenestra hillae,Reticulofenestra bisecta,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Discoaster deflandrei,Chiasmolithus altus,Sphenolithus moriformis,Pontosphaera multipora,Helicosphaera carteri,Sphenolithus conicus,Discoaster variabilis,Sphenolithus heteromorphus,Calcidiscus premacintyrei,Coccolithus miopelagicus,Discoaster intercalaris,Calcidiscus macintyrei,Lithostromation perdurum,Calcidiscus leptoporus,Reticulofenestra gelida,Reticulofenestra pseudoumbilicus,Reticulofenestra producta,Reticulofenestra perplexa,Amaurolithus delicatus,Discoaster surculus,Discoaster quinqueramus,Discoaster druggii,Discoaster brouweri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN11          ,152, 918,D, 14,R, 2,  65.00,    414.9500,Wei      ,Nannofossils                                 ,C              ,P                 ,C                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,R              ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,R                    ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,R                     ,F                      ,                                ,R                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN11          ,152, 918,D, 14,R,CC,   0.00,    415.4800,Wei      ,Nannofossils                                 ,R              ,P                 ,                     ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,                       ,                                ,R                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN11          ,152, 918,D, 15,R, 1,  37.00,    422.0700,Wei      ,Nannofossils                                 ,R              ,P                 ,                     ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,                       ,                                ,R                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN11          ,152, 918,D, 19,R,CC,  16.00,    457.2600,Wei      ,Nannofossils                                 ,A              ,P                 ,A                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,R                     ,                       ,                                ,F                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN11          ,152, 918,D, 22,R, 2,  75.00,    486.0500,Wei      ,Nannofossils                                 ,C              ,P                 ,C                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,R              ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,R                     ,C                      ,                                ,R                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN11          ,152, 918,D, 22,R,CC,  10.00,    487.9600,Wei      ,Nannofossils                                 ,C              ,P                 ,C                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,R                     ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,R                     ,C                      ,                                ,R                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN11          ,152, 918,D, 23,R,CC,  16.00,    493.7600,Wei      ,Nannofossils                                 ,F              ,P                 ,F                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,R                     ,F                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN11          ,152, 918,D, 24,R, 1,  61.00,    503.8100,Wei      ,Nannofossils                                 ,R              ,P                 ,                     ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,                       ,                                ,R                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN11          ,152, 918,D, 24,R, 2,  29.00,    504.9900,Wei      ,Nannofossils                                 ,C              ,P                 ,C                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,R                     ,                        ,R                     ,R                      ,                                ,C                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,152, 918,D, 24,R, 3,  49.00,    506.5300,Wei      ,Nannofossils                                 ,C              ,P                 ,                     ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,R                    ,                          ,                         ,                        ,R                      ,                      ,                        ,                      ,C                      ,                                ,                         ,                         ,                      ,                   ,R                      ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,152, 918,D, 24,R,CC,   0.00,    506.8500,Wei      ,Nannofossils                                 ,A              ,P                 ,C                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,R                    ,                          ,                         ,                        ,R                      ,                      ,                        ,                      ,C                      ,                                ,F                        ,                         ,                      ,R                  ,R                      ,?                 ,R                  ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 25,R, 1,  63.00,    513.4300,Wei      ,Nannofossils                                 ,F              ,P                 ,                     ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,R                      ,                                ,F                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 25,R, 2,  27.00,    514.0700,Wei      ,Nannofossils                                 ,F              ,P                 ,                     ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,R                      ,                                ,F                        ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 25,R, 5,  50.00,    517.4400,Wei      ,Nannofossils                                 ,C              ,P                 ,C                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,R                     ,R                    ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,R                     ,C                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 25,R,CC,  16.00,    517.8600,Wei      ,Nannofossils                                 ,R              ,P                 ,R                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,R                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 27,R, 1,  66.00,    532.7600,Wei      ,Nannofossils                                 ,F              ,P                 ,F                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,R              ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,R                     ,F                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 27,R, 3,  67.00,    535.7700,Wei      ,Nannofossils                                 ,F              ,P                 ,F                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,R                     ,F                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 28,R, 1,  67.00,    542.4700,Wei      ,Nannofossils                                 ,R              ,P                 ,R                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,                       ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 29,R, 1,  67.00,    552.0700,Wei      ,Nannofossils                                 ,F              ,P                 ,F                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,F                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 29,R,CC,  16.00,    554.2000,Wei      ,Nannofossils                                 ,R              ,P                 ,R                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,R                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 30,R,CC,  16.00,    561.1600,Wei      ,Nannofossils                                 ,C              ,P                 ,C                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,F                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 31,R, 1,  64.00,    571.3400,Wei      ,Nannofossils                                 ,R              ,P                 ,R                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,R                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 31,R,CC,  13.00,    571.8300,Wei      ,Nannofossils                                 ,R              ,P                 ,R                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,R                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 32,R, 1,  65.00,    580.9500,Wei      ,Nannofossils                                 ,C              ,P                 ,C                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,F                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 32,R,CC,   9.00,    581.7500,Wei      ,Nannofossils                                 ,R              ,P                 ,R                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,R                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7               ,CN9           ,152, 918,D, 33,R, 1,  59.00,    590.5900,Wei      ,Nannofossils                                 ,A              ,P                 ,C                    ,                     ,                         ,                        ,                ,                    ,                   ,                       ,                     ,                    ,                      ,                            ,                         ,                  ,               ,                     ,                       ,                 ,                     ,                    ,                       ,                         ,                           ,                       ,                        ,                           ,                          ,                     ,                   ,                       ,                      ,                     ,                    ,                     ,                          ,                         ,                        ,                       ,                      ,                        ,                      ,F                      ,                                ,                         ,                         ,                      ,                   ,                       ,                  ,                   ,From Leg 152SR; Ch 11; Table 5; pp 152-153
