Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Xanthiopyxis ovalis,Stephanopyxis turris turris,Rocella praenitida,Melosira architecturalis,Hemiaulus polycystinorum,Cavitatus jouseanus,Triceratium inconspicuum var. trilobata,Rocella vigilans,Pyxilla reticulata,Pterotheca aculeifera,Paralia sulcata,Hemiaulus sp.,Cestodiscus sp.,Stephanopyxis hyalomarginata,Sceptroneis tenue,Rhaphoneis amphiceros,Diploneis sp.,Cestodiscus convexus,Stephanopyxis spinossima,Rocella gelida  var. schraderi,Rocella gelida,Hyalodiscus sp.,Azpeitia oligocenica,Rhizosolenia hebetata f. hiemalis,Coscinodiscus descrescens,Hemiaulus claviger,Grammatophora sp.,Triceratium favus,Stephanopyxis marginata,Bogorovia veniamini,Actinocyclus ellipticus,Coscinodiscus rhombicus,Actinocyclus ehrenbergii,Thalassiosira eccentrica,Rossiella symmetrica,Craspedodiscus sp.,Actinoptychus senarius,Thalassiothrix longissima,Stephanopyxis grossecellulata,Cestodiscus novozaelandicus,Nitzschia challengeri,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Denticulopsis sp.,Denticulopsis dimorpha,Actinocyclus ingens,Nitzschia fossilis,Coscinodiscus radiatus,Thalassiosira miocenica,Thalassiosira leptopus,Simonseniella barboi,Nitzschia reinholdii,Nitzschia marina,Azpeitia nodulifera,Aulacosira granulata,Asterolampra marylandica,Thalassiosira lineata,Chaetoceros sp.,Actinocyclus curvatulus,Nitzschia barronii,Hemidiscus cuneiformis,Thalassionema bacillaris,Thalassiosira oestrupii,Nitzschia ritscherii,Nitzschia kerguelenis,Azpeitia africana,Thalassiosira lentiginosa,Thalassiosira elliptipora,Rhaphoneis surirelloides,Pseudoeunotia doliolus,Nitzschia panduriformis,Eucampia antarctica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  6,H,CC,  13.00,     65.1800,diatoms  ,Diatoms                                      ,               ,                  ,                   ,                           ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,               ,             ,T              ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,R                        ,                             ,                           ,T                    ,                                       ,C                          ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,R                 ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  7,H,CC,  21.00,     75.0900,diatoms  ,Diatoms                                      ,               ,                  ,T                  ,T                          ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,R              ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,R                       ,                    ,                  ,                      ,R                        ,                             ,                           ,                     ,                                       ,R                          ,                 ,                      ,                   ,                  ,                      ,                       ,R                     ,R                   ,R                   ,F               ,R                  ,                    ,                        ,                     ,R              ,R                      ,                  ,F                     ,R                       ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  8,H,CC,  11.00,     84.3500,diatoms  ,Diatoms                                      ,               ,                  ,                   ,T                          ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,R              ,             ,               ,                            ,                 ,                     ,T            ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,T                       ,                    ,                  ,                      ,R                        ,                             ,                           ,                     ,                                       ,F                          ,                 ,                      ,                   ,                  ,                      ,                       ,T                     ,                    ,                    ,R               ,                   ,                    ,                        ,T                    ,F              ,                       ,R                 ,R                     ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  9,H,CC,  23.00,     94.1400,diatoms  ,Diatoms                                      ,               ,                  ,                   ,                           ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,               ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,                         ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,T                   ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 10,H,CC,   0.00,    102.7200,diatoms  ,Diatoms                                      ,               ,                  ,                   ,                           ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,T              ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,T                        ,                             ,                           ,                     ,                                       ,T                          ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,T               ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 11,H,CC,  20.00,    112.9500,diatoms  ,Diatoms                                      ,               ,                  ,                   ,T                          ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,R              ,T            ,               ,                            ,                 ,                     ,R            ,                    ,                        ,                              ,              ,               ,                    ,R                                ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,T                     ,R                        ,                             ,                           ,                     ,                                       ,R                          ,                 ,T                     ,                   ,R                 ,                      ,                       ,                      ,                    ,R                   ,R               ,R                  ,                    ,                        ,T                    ,R              ,R                      ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 12,H,CC,   0.00,    121.7000,diatoms  ,Diatoms                                      ,               ,                  ,                   ,T                          ,                  ,                        ,T                       ,                   ,                                       ,                ,T                 ,T                    ,T              ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,R                        ,                             ,                           ,                     ,                                       ,R                          ,                 ,T                     ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 13,H,CC,  13.00,    132.0100,diatoms  ,Diatoms                                      ,               ,                  ,                   ,                           ,                  ,                        ,                        ,                   ,                                       ,                ,T                 ,                     ,T              ,T            ,               ,                            ,                 ,                     ,T            ,                    ,                        ,                              ,              ,               ,                    ,T                                ,                         ,                  ,                 ,                 ,                       ,                   ,R                      ,                       ,                        ,T                       ,                    ,                  ,F                     ,R                        ,                             ,                           ,                     ,T                                      ,R                          ,                 ,                      ,                   ,R                 ,T                     ,R                      ,T                     ,T                   ,R                   ,R               ,F                  ,T                   ,T                       ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 14,H,CC,   0.00,    141.0600,diatoms  ,Diatoms                                      ,               ,                  ,                   ,                           ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,R              ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,R                       ,T                       ,                    ,                  ,R                     ,R                        ,                             ,                           ,                     ,                                       ,F                          ,                 ,R                     ,                   ,R                 ,T                     ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 15,H,CC,  10.00,    150.5500,diatoms  ,Diatoms                                      ,               ,                  ,                   ,T                          ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,R              ,             ,               ,                            ,                 ,                     ,R            ,                    ,                        ,                              ,              ,               ,                    ,T                                ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,R                        ,                             ,                           ,R                    ,T                                      ,R                          ,T                ,F                     ,T                  ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 16,H,CC,   0.00,    159.3000,diatoms  ,Diatoms                                      ,               ,                  ,                   ,                           ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,R              ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,T                                ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,R                        ,                             ,                           ,T                    ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 18,X,CC,   8.00,    178.2800,diatoms  ,Diatoms                                      ,               ,                  ,                   ,                           ,                  ,                        ,                        ,                   ,                                       ,                ,                  ,                     ,               ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,T                                ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,T                        ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 31,X,CC,  18.00,    303.0800,diatoms  ,Diatoms                                      ,               ,                  ,R                  ,R                          ,R                 ,R                       ,                        ,F                  ,                                       ,                ,F                 ,R                    ,R              ,R            ,T              ,                            ,T                ,                     ,             ,                    ,                        ,                              ,T             ,T              ,T                   ,R                                ,R                        ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,T                     ,R                        ,R                            ,T                          ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 32,X,CC,   0.00,    312.9000,diatoms  ,Diatoms                                      ,               ,                  ,R                  ,R                          ,R                 ,T                       ,                        ,R                  ,T                                      ,                ,F                 ,T                    ,R              ,R            ,               ,T                           ,                 ,T                    ,             ,T                   ,                        ,                              ,R             ,R              ,T                   ,R                                ,                         ,                  ,                 ,                 ,T                      ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,T                     ,                         ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 33,X,CC,   7.00,    322.6800,diatoms  ,Diatoms                                      ,               ,                  ,R                  ,R                          ,T                 ,T                       ,T                       ,R                  ,T                                      ,                ,R                 ,                     ,R              ,T            ,               ,                            ,                 ,                     ,             ,                    ,                        ,T                             ,T             ,               ,F                   ,T                                ,R                        ,                  ,                 ,T                ,                       ,                   ,T                      ,R                      ,F                       ,T                       ,F                   ,T                 ,R                     ,                         ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 34,X,CC,  17.00,    332.4900,diatoms  ,Diatoms                                      ,               ,                  ,T                  ,R                          ,                  ,                        ,T                       ,F                  ,                                       ,                ,R                 ,                     ,R              ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,T                             ,F             ,               ,                    ,T                                ,R                        ,                  ,                 ,T                ,                       ,                   ,                       ,R                      ,R                       ,                        ,                    ,                  ,                      ,                         ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 35,X,CC,  30.00,    342.3400,diatoms  ,Diatoms                                      ,               ,                  ,                   ,R                          ,                  ,R                       ,                        ,R                  ,                                       ,                ,R                 ,T                    ,R              ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,                              ,F             ,               ,R                   ,                                 ,                         ,                  ,                 ,T                ,T                      ,R                  ,T                      ,                       ,                        ,                        ,                    ,                  ,                      ,                         ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 36,X,CC,  15.00,    351.7100,diatoms  ,Diatoms                                      ,               ,                  ,R                  ,R                          ,                  ,                        ,R                       ,R                  ,                                       ,T               ,R                 ,                     ,R              ,             ,               ,                            ,                 ,                     ,             ,                    ,                        ,T                             ,C             ,               ,                    ,R                                ,                         ,T                 ,T                ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,                         ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 37,X,CC,  31.00,    361.5400,diatoms  ,Diatoms                                      ,               ,                  ,                   ,R                          ,                  ,                        ,R                       ,R                  ,                                       ,                ,R                 ,                     ,R              ,             ,T              ,                            ,                 ,                     ,             ,                    ,                        ,T                             ,C             ,               ,                    ,T                                ,R                        ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,                         ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 38,X,CC,  19.00,    371.0600,diatoms  ,Diatoms                                      ,               ,                  ,                   ,R                          ,T                 ,                        ,T                       ,F                  ,                                       ,                ,T                 ,                     ,F              ,             ,R              ,                            ,                 ,                     ,             ,                    ,T                       ,T                             ,F             ,T              ,T                   ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,                         ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 39,X,CC,  29.00,    380.9500,diatoms  ,Diatoms                                      ,               ,                  ,                   ,R                          ,                  ,                        ,R                       ,F                  ,                                       ,F               ,R                 ,                     ,R              ,R            ,R              ,T                           ,T                ,T                    ,R            ,T                   ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,                         ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 40,X,CC,   0.00,    390.0700,diatoms  ,Diatoms                                      ,               ,                  ,                   ,R                          ,                  ,                        ,                        ,R                  ,R                                      ,F               ,R                 ,T                    ,R              ,R            ,R              ,                            ,                 ,                     ,             ,                    ,                        ,                              ,              ,               ,                    ,                                 ,                         ,                  ,                 ,                 ,                       ,                   ,                       ,                       ,                        ,                        ,                    ,                  ,                      ,                         ,                             ,                           ,                     ,                                       ,                           ,                 ,                      ,                   ,                  ,                      ,                       ,                      ,                    ,                    ,                ,                   ,                    ,                        ,                     ,               ,                       ,                  ,                      ,                        ,                       ,                    ,                     ,                 ,                         ,                         ,                        ,                      ,                       ,                   ,       
